YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_15A,BG3Y_MCS_16B,BG3Y_MCS_17C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2017,11,광주과학기술원,43.46,61,대학,국립,광주,C그룹,51468,61544,113012,64674,76990,141664,22,6,37255,0,28,37400,8,9,17,8095,0,8095,7039,71,141664,1922,73.69999694824219,8095,141664,6.099999904632568,9052,627,18,46,64,9052,1922,4.699999809265137,232257000000,270463317,0,2504438,1472303158,228406100,0,15025000,1988702013,220698000000,300000000,3700000,0,1172000000,324300000,0,0,1800000000,1988702013,1922,1034704.5,1988702013,232257000000,0.9,0,0,1988702013,0.0,1922,665,1257,157,87,616,39,2821,1,113698,588,896,295,232,0,2011,12800,16543,21233,10820,147,61543,0,0,740,780,642,20,15,259,1,0,0,29343,1922,15.300000190734863,113698,1922,59.20000076293945,1,1,3,1,4,2,6,0,1,0,1,0,3,0,3,249,24,1,1,3,1,1922,2.400000095367432,1,3,1922,2.0999999046325684,249,2,4,41.5
2017,12,전남대학교,43.44,321,대학,국립,광주,A그룹,577715,324356,902071,1290953,493572,1784525,37,30,44206,0,67,44206,1195,333,1528,38852,24249,63101,25932,24,1784525,24944,71.5,63101,1784525,3.700000047683716,30178,5230,83,169,252,30178,24944,1.2000000476837158,295522845000,656275280,130836630,11249786,1809025050,492841280,0,0,3100228026,251006214000,599750000,114660000,0,1272009000,387000000,0,0,2373419000,3100228026,24944,124287.5,3100228026,295522845000,1.0,3101212896,3141260753,3100228026,0.0,24944,20050,4894,1266,1212,789,17661,45872,95,2141830,13938,3500,1259,610,2327,21634,116598,50060,26445,12149,41677,246929,0,0,16660,10372,2448,2625,994,1417,375,145,3112,166658,24944,6.699999809265137,2141830,24944,85.9000015258789,36,5,4,2,40,7,47,11,25,0,36,0,4,0,4,3913,854,36,5,4,2,24944,1.7999999523162842,36,4,24944,1.600000023841858,3913,41,6,83.30000305175781
2017,13,이화여자대학교,43.38,308,대학,사립,서울,A그룹,531751,471105,1002856,946750,681897,1628647,30,91,125516,0,121,129120,784,1196,1980,40944,8764,49708,37228,453,1628647,21552,75.5999984741211,49708,1628647,3.0999999046325684,22616,4048,94,290,384,22616,21552,1.0,446360177000,715203111,719637065,12252024,2417872952,811847748,0,123515459,4800328359,420947952000,700400000,782600000,23000000,2245000000,875400242,0,110000000,4736400242,4800328359,21552,222732.4,4800328359,446360177000,1.1,4725016046,4762260079,4800328359,0.8,21552,15315,6237,1001,1858,520,8104,33035,80,1447602,13202,6227,1122,441,3861,24853,168743,125907,28385,10665,95001,428701,0,0,4079,4789,3645,3072,3273,4374,2555,229,5647,294650,21552,13.699999809265137,1447602,21552,67.19999694824219,22,2,20,2,42,4,46,11,11,0,22,0,8,12,20,1413,246,22,2,20,2,21552,1.899999976158142,22,20,21552,1.899999976158142,1413,24,22,30.700000762939453
2017,14,울산대학교,43.34,297,대학,사립,울산,A그룹,372948,202762,575710,620313,471049,1091362,57,34,74404,0,91,74404,315,234,549,10820,42376,53196,49186,77,1091362,14544,75.0,53196,1091362,5.099999904632568,22112,3504,48,167,215,22112,14544,1.5,260387833000,250449870,13656650,6829760,2158818592,1295208292,0,0,3724963164,253097109000,396000000,15000000,5000000,2226000000,1150120000,0,0,3792120000,3724963164,14544,256116.8,3724963164,260387833000,1.4,2564860845,2667806711,3724963164,21.8,14544,12560,1984,1102,1021,330,3743,20740,66,1246332,8159,713,465,533,2176,12046,60171,8437,7241,6976,19363,102188,0,0,855,3441,635,131,190,2088,1549,149,3240,68608,14544,4.699999809265137,1246332,14544,85.69999694824219,18,0,5,2,23,2,25,2,16,0,18,0,5,0,5,638,184,18,0,5,2,14544,1.600000023841858,18,5,14544,1.600000023841858,638,18,7,25.5
2017,15,아주대학교,43.16,264,대학,사립,경기,A그룹,334574,230883,565457,617163,432644,1049807,45,49,37993,0,94,39218,593,117,710,10859,4082,14941,12927,0,1049807,14042,74.80000305175781,14941,1049807,1.399999976158142,17516,2829,60,107,167,17516,14042,1.2000000476837158,245021817000,325982000,90244000,10783000,1957681000,433248000,0,49318000,2867256000,258938764000,320000000,104900000,10800000,2108363000,433063000,0,53535000,3030661000,2867256000,14042,204191.4,2867256000,245021817000,1.2,2615034630,2903878624,2867256000,4.9,14042,9580,4462,688,736,263,5382,21111,40,1217949,7115,1653,493,266,1685,11212,56589,16217,8877,3333,32188,117204,0,0,2711,2492,1128,327,297,4208,1486,61,1092,72806,14042,5.199999809265137,1217949,14042,86.69999694824219,11,2,10,1,21,3,24,3,8,0,11,0,10,0,10,716,161,11,2,10,1,14042,1.5,11,10,14042,1.5,716,13,11,29.799999237060547
2017,16,전북대학교,43.16,324,대학,국립,전북,A그룹,574235,166309,740544,1332252,370712,1702964,36,36,65051,0,72,65911,685,657,1342,29516,14582,44098,20567,0,1702964,22932,74.30000305175781,44098,1702964,2.700000047683716,45010,4609,75,421,496,45010,22932,2.0,276028002000,368243180,673517560,22980120,2088223915,847397418,0,101299510,4101661703,239793000000,183000000,250000000,10000000,1078115000,453029000,0,54356000,2028500000,4101661703,22932,178861.9,4101661703,276028002000,1.5,940379330,2771827010,4101661703,121.4,22932,18743,4189,1035,1533,507,3733,29740,155,3588996,12924,2422,501,517,1609,17973,97141,31699,12493,6666,43294,191293,0,0,37828,28070,3272,328,293,2708,3617,145,4894,128840,22932,5.599999904632568,3588996,22932,156.5,31,2,3,0,34,2,36,11,18,2,31,0,3,0,3,3376,615,31,2,3,0,22932,1.5,31,3,22932,1.5,3376,33,3,93.8000030517578
2017,17,경상국립대학교,43.13,37,대학,국립,경남,A그룹,607000,281515,888515,1328576,443824,1772400,36,32,30306,0,68,31324,1036,253,1289,26584,24744,51328,38543,76,1772400,22867,77.5,51328,1772400,3.0,34812,3516,74,299,373,34812,22867,1.5,253618001000,547156260,591418810,18285730,1635851920,235109600,0,34400000,3062222320,229330266000,464635000,475380000,14000000,1193104000,84976000,0,36340000,2268435000,3062222320,22867,133914.5,3062222320,253618001000,1.2,3800869510,3371050395,3062222320,-10.2,22867,19939,2928,986,1098,550,5135,30636,117,717175,9671,1303,594,415,2885,14868,74931,14026,10349,5863,26801,131970,0,0,9700,13590,835,198,249,1414,301,40,887,88957,22867,3.900000095367432,717175,22867,31.39999961853028,28,4,6,0,34,4,38,8,19,1,28,1,5,0,6,2331,482,28,4,6,0,22867,1.600000023841858,28,6,22867,1.5,2331,32,6,61.29999923706055
2017,18,가톨릭대학교,43.12,6,대학,사립,경기,A그룹,396926,197280,594206,731810,380273,1112083,68,67,77460,0,135,79142,2402,894,3296,21870,8610,30480,18475,47,1112083,10881,102.1999969482422,30480,1112083,2.799999952316284,17684,3199,65,202,267,17684,10881,1.600000023841858,206588165000,454090673,151634592,71590350,2752174279,573937724,0,58316024,4061743642,214636809000,466100000,132100000,47000000,2861734982,451685018,0,71580000,4030200000,4061743642,10881,373287.7,4061743642,206588165000,2.0,3947650145,4049022188,4061743642,1.4,10881,7992,2889,1154,1180,491,2063,15769,46,1399308,6648,939,2056,282,940,10865,87824,24756,25611,7861,16111,162163,0,0,7242,6201,2470,640,2542,2639,1944,111,1912,112580,10881,10.300000190734863,1399308,10881,128.60000610351562,19,7,2,1,21,8,29,4,15,0,19,0,2,0,2,690,124,19,7,2,1,10881,2.5,19,2,10881,1.899999976158142,690,26,3,23.799999237060547
2017,19,인하대학교,43.0,316,대학,사립,인천,A그룹,533990,325785,859775,1222455,397152,1619607,40,38,56568,0,78,62843,646,233,879,22577,11201,33778,23684,31256,1619607,20613,78.5999984741211,33778,1619607,2.0999999046325684,26533,3930,79,313,392,26533,20613,1.2999999523162842,267846212000,544168832,150705261,3068528,1708877277,564539458,0,83761627,3055120983,296215957000,524000000,145800000,2000000,1410000000,575200000,0,83000000,2740000000,3055120983,20613,148213.3,3055120983,267846212000,1.1,3195640130,3454747398,3055120983,-1.7,20613,17497,3116,839,1052,369,4956,27829,66,1742181,12420,2071,448,550,1746,17235,123375,34547,9661,10153,34291,212027,0,0,0,0,206,304,585,1973,978,82,1819,157922,20613,7.699999809265137,1742181,20613,84.5,14,1,12,0,26,1,27,8,5,1,14,0,12,0,12,1333,262,14,1,12,0,20613,1.2000000476837158,14,12,20613,1.2999999523162842,1333,15,12,49.400001525878906
2017,20,건국대학교,42.98,18,대학,사립,서울,A그룹,510357,171651,682008,1096114,239661,1335775,26,33,41206,0,59,41301,684,217,901,44610,7402,52012,31815,4112,1335775,19902,67.0999984741211,52012,1335775,4.099999904632568,24695,3675,59,264,323,24695,19902,1.2000000476837158,439777792000,988773056,97133940,6108570,1236308191,483526163,0,15500000,2827349920,411067498000,840000000,105000000,10000000,1243194000,486220000,0,15586000,2700000000,2827349920,19902,142063.6,2827349920,439777792000,0.6,2806600000,2800000000,2827349920,0.4,19902,15583,4319,712,1314,446,18687,41061,70,2230068,9853,2698,680,487,3933,17651,83305,31097,11812,5926,44214,176354,0,0,0,0,204,103,222,1050,300,29,355,114402,19902,5.699999809265137,2230068,19902,112.0999984741211,8,4,16,3,24,7,31,4,4,0,8,0,15,1,16,702,132,8,4,16,3,19902,1.2999999523162842,8,16,19902,1.2000000476837158,702,12,19,22.600000381469727
