YR,RK,SNM,SCR
2018,1,서울대학교,83.7
2018,2,과학기술연합대학원대학교,78.8
2018,3,성균관대학교,78.0
2018,4,연세대학교,77.9
2018,5,고려대학교,77.6
2018,6,한국과학기술원,76.5
2018,7,한양대학교,75.8
2018,8,포항공과대학교,75.7
2018,9,부산대학교,75.2
2018,10,경희대학교,75.1
2018,11,경북대학교,74.8
2018,12,전남대학교,74.5
2018,13,울산대학교,74.4
2018,14,이화여자대학교,73.4
2018,15,건국대학교,73.3
2018,16,가톨릭대학교,73.2
2018,17,전북대학교,72.9
2018,18,충남대학교,72.7
2018,19,중앙대학교,72.7
2018,20,인하대학교,72.7
2018,21,강원대학교,72.5
2018,22,광주과학기술원,72.2
2018,23,경상국립대학교,72.0
2018,24,아주대학교,71.9
2018,25,울산과학기술원,71.3
2018,26,영남대학교,71.2
2018,27,단국대학교,71.0
2018,28,충북대학교,71.0
2018,29,세종대학교,70.9
2018,30,가천대학교,70.7
2018,31,동국대학교,70.6
2018,32,인제대학교,70.5
2018,33,한림대학교,70.3
2018,34,서강대학교,70.0
2018,35,순천향대학교,69.8
