연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(당해년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2012년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2013년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2014년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2014,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,7693774000,2278680,0,0,0,0,0,0,2278680,6855229000,3000000,0,0,0,0,0,0,3000000,2278680,325,7011.3,2278680,7693774000,0,0,1831293,2278680,0
2014,2,가야대학교,대학,사립,경남,C그룹,27661122000,76150900,14496220,18788000,0,8920000,0,27748090,146103210,27532364000,73000000,22000000,7000000,6000000,12000000,0,27000000,147000000,146103210,2890,50554.7,146103210,27661122000,0.5,90057946,150219200,146103210,32
2014,3,가천대학교,대학,사립,경기,A그룹,255520233000,456909545,30395990,43506142,666954304,663426559,0,164480600,2025673140,306485477000,452000000,148420000,76000000,911000000,813200000,0,128700000,2529320000,2025673140,21016,96387.2,2025673140,255520233000,0.8,1451568789,1616203021,2025673140,18.3
2014,4,가톨릭관동대학교,대학,사립,강원,B그룹,107329471000,202270515,95497660,9665935,205012881,84111620,0,97513136,694071747,124243207000,205000000,108925000,11000000,220905000,94835000,0,89172000,729837000,694071747,9993,69455.8,694071747,107329471000,0.6,707090893,698922539,694071747,-0.9
2014,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,7664991000,21125441,2845000,388390,7675827,31221283,0,10965342,74221283,7713850000,23400000,2900000,1000000,8400000,40800000,0,16500000,93000000,74221283,569,130441.6,74221283,7664991000,1,103991970,74547805,74221283,-14.4
2014,6,가톨릭대학교,대학,사립,경기,A그룹,195313670000,577082672,125911462,83411998,4019021775,879395068,0,136570390,5821393365,214043477000,535424000,174035000,65000000,2445000000,603070000,0,124000000,3946529000,5821393365,11016,528448.9,5821393365,195313670000,3,3473398125,4141844849,5821393365,29.9
2014,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,14133697000,34841580,0,2205460,4100000,4937000,0,2500000,48584040,13747543000,32160000,0,2000000,6000000,4000000,0,2670000,46830000,48584040,2066,23516,48584040,14133697000,0.3,67154210,49229350,48584040,-14
2014,8,감리교신학대학교,대학,사립,서울,C그룹,16112927000,48527025,31421095,3930204,18439000,19059072,0,18612026,139988422,16790959000,85000000,30000000,5000000,6200000,14500000,0,9300000,150000000,139988422,1576,88825.1,139988422,16112927000,0.9,142433030,143022212,139988422,-0.9
2014,9,강남대학교,대학,사립,경기,B그룹,77291800000,124923400,35765220,14658340,121284721,93407929,0,15955500,405995110,72894479000,75000000,32000000,14000000,96000000,70000000,0,13000000,300000000,405995110,7910,51326.8,405995110,77291800000,0.5,977345209,429563599,405995110,-30.8
2014,10,강동대학교,전문대학,사립,충북,B그룹,45752583000,59395700,3852700,1880000,0,6190000,0,49540000,120858400,41120897000,97641000,9000000,3886000,0,3886000,0,7000000,121413000,120858400,4368,27669,120858400,45752583000,0.3,49595170,116786895,120858400,69.5
