연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(전년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2021년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2022년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2023년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2023,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,12335770681,2698740,0,0,0,0,0,0,2698740,12688740000,3000000,0,0,0,0,0,0,3000000,2698740,273,9885.5,2698740,12335770681,0,2631510,2700090,2698740,1.3
2023,2,가야대학교,대학,사립,경남,C그룹,31427764528,67488690,11229450,2334220,23547000,0,0,0,104599360,28530900000,45000000,12000000,6000000,25000000,7000000,0,3500000,98500000,104599360,1937,54000.7,104599360,31427764528,0.3,123390555,115000540,104599360,-7.9
2023,3,가천대학교,대학,사립,경기,A그룹,280203826126,524335427,0,0,906075408,494140047,0,71060943,1995611825,303141836000,610000000,0,0,1051000000,515000000,0,80000000,2256000000,1995611825,22003,90697.3,1995611825,280203826126,0.7,2026162343,1973755559,1995611825,-0.7
2023,4,가톨릭관동대학교,대학,사립,강원,B그룹,90842163396,164076931,0,0,121571613,108921713,0,10960000,405530257,92587631000,170000000,0,0,123600000,113100000,0,18500000,425200000,405530257,7331,55317.2,405530257,90842163396,0.4,730606487,488409062,405530257,-25.1
2023,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,9079229393,13472463,1984000,0,25460000,9083537,0,0,50000000,7884539000,22800000,2200000,0,25000000,0,0,0,50000000,50000000,468,106837.6,50000000,9079229393,0.6,50000000,50000000,50000000,0
2023,6,가톨릭대학교,대학,사립,경기,A그룹,264893736947,404510928,57226507,3525927,3044156602,706693423,0,86328314,4302441701,238362361000,421100000,67100000,5500000,3594316052,961565115,0,122404833,5171986000,4302441701,10504,409600.3,4302441701,264893736947,1.6,3890966903,4197659950,4302441701,5.2
2023,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,18856059830,52329880,2015200,0,7655000,3061361,0,0,65061441,20099492550,31260000,2400000,0,4900000,3500000,0,0,42060000,65061441,1850,35168.3,65061441,18856059830,0.3,68498447,69226635,65061441,-2.5
2023,8,감리교신학대학교,대학,사립,서울,C그룹,17332212785,59275380,6858196,0,18072000,13711054,0,11761420,109678050,14353750502,38000000,5500000,200000,15000000,17300000,0,24000000,100000000,109678050,1267,86565.2,109678050,17332212785,0.6,119878866,129253546,109678050,-3.7
2023,9,강남대학교,대학,사립,경기,B그룹,78879001072,79347510,3109888,14819730,105135746,39014593,0,9800000,251227467,79906575000,130000000,22000000,0,128000000,83000000,0,11000000,374000000,251227467,6719,37390.6,251227467,78879001072,0.3,456383861,461677685,251227467,-22.2
2023,10,강동대학교,전문대학,사립,충북,B그룹,29843657718,26975850,3826800,0,6186000,27711336,0,0,64699986,27210589000,12300000,4920000,0,6400000,12000000,0,0,35620000,64699986,2972,21769.8,64699986,29843657718,0.2,107161200,66892556,64699986,-20.4
2023,11,강릉영동대학교,전문대학,사립,강원,B그룹,26641522366,31897570,0,0,6186000,2651500,0,0,40735070,24912860000,36600000,0,0,0,0,0,0,36600000,40735070,2330,17482.9,40735070,26641522366,0.2,41585363,38800816,40735070,-0.9
2023,12,강서대학교,대학,사립,서울,C그룹,38435937257,38725572,7668392,0,27182000,33804019,0,3300000,110679983,16766672800,36441600,8000000,350000,31050000,36000000,0,3300000,115141600,110679983,1787,61936.2,110679983,38435937257,0.3,105919904,106414558,110679983,2.2
2023,13,강원관광대학교,전문대학,사립,강원,C그룹,5447087048,0,0,1000000,3827000,0,0,0,4827000,5807902000,4000000,0,0,4000000,0,0,0,8000000,4827000,415,11631.3,4827000,5447087048,0.1,13664690,4827000,4827000,-32.3
2023,14,강원대학교,대학,국립,강원,A그룹,312613198373,860971664,775098258,1970250,1797775010,714149709,0,8000000,4157964891,288342755000,684300000,683192632,3000000,500000000,449500000,0,8000000,2327992632,4157964891,21291,195292.1,4157964891,312613198373,1.3,3760224728,3479036336,4157964891,6
2023,15,강원도립대학교,전문대학,공립,강원,C그룹,14392049670,33136190,2912600,0,0,4564000,0,3500000,44112790,15080000000,33000000,3000000,0,0,5000000,0,3500000,44500000,44112790,552,79914.5,44112790,14392049670,0.3,36446410,41522930,44112790,10.1
2023,16,개신대학원대학교,대학원대학,사립,서울,-,1865041604,4425615,324000,0,0,0,0,0,4749615,2097360000,6800000,700000,0,0,0,0,0,7500000,4749615,176,26986.4,4749615,1865041604,0.3,3969650,4412795,4749615,9.4
2023,17,거제대학교,전문대학,사립,경남,C그룹,12634083333,24337620,2206800,1381000,4655000,2987900,0,0,35568320,11776657000,24000000,2500000,1500000,3900000,3900000,0,0,35800000,35568320,991,35891.3,35568320,12634083333,0.3,35753616,34323978,35568320,-0.2
