연도,번호,학교명,학교유형,설립,지역,대학규모,직원-정규직-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,비정규직-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,합계-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,계-1급 정사서,2급 정사서,준사서,미소지자,계,직원교육현황-대면교육-참여시간,참여인원,온라인 교육-참여시간,참여인원,"재학생 1,000명당 도서관 직원수-정규직-사서",비사서,비정규직-사서,비사서,재학생수(당해년도),"재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수-사서직원수 정규직",사서직원수 비정규직,재학생수(당해년도),"재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간-교육 참여시간,도서관직원수 정규직,도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간
2022,14,강원대학교,대학,국립,강원,A그룹,9,15.0,0,2,26.0,0,0,0,0.0,0.0,0,0.0,0,5.5,5.5,0,0,0,0,0,9,15.0,0,7.5,31.5,0,0,0,0.0,0.0,9,15.0,0,7.5,31.5,1193.5,314,1132.800048828125,225,24.0,2.0,0.0,5.5,21291,1.2999999523162842,24.0,0.0,21291,1.100000023841858,2326.300048828125,24.0,5.5,78.9000015258789
2022,15,강원도립대학교,전문대학,공립,강원,C그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,1.0,0,1.0,2.0,0,0,0,0.0,0.0,0,1.0,0,1.0,2.0,164.5,20,172.0,39,1.0,0.0,0.0,1.0,552,2.700000047683716,1.0,0.0,552,1.7999999523162842,336.5,1.0,1.0,168.3000030517578
2022,16,개신대학원대학교,대학원대학,사립,서울,-,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,27.5,5,0.0,0,1.0,0.0,0.0,0.0,176,5.699999809265137,1.0,0.0,176,5.699999809265137,27.5,1.0,0.0,27.5
2022,17,거제대학교,전문대학,사립,경남,C그룹,1,0.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0.0,1.0,0,0,0,0.0,0.0,1,0.0,0,0.0,1.0,43.0,9,3.5,1,1.0,0.0,0.0,0.0,991,1.0,1.0,0.0,991,1.0,46.5,1.0,1.0,23.299999237060547
2022,18,건국대학교,대학,사립,서울,A그룹,0,5.0,0,3,8.0,0,0,0,0.0,0.0,0,12.0,1,0.0,13.0,0,0,0,0,0,0,17.0,1,3.0,21.0,0,0,0,0.0,0.0,0,17.0,1,3.0,21.0,14.0,5,127.0,26,5.0,3.0,13.0,0.0,19890,0.8999999761581421,5.0,13.0,19890,0.8999999761581421,141.0,9.0,14.0,6.099999904632568
2022,19,건국대학교(글로컬),대학,사립,충북,B그룹,0,1.0,0,3,4.0,0,0,0,0.0,0.0,0,5.0,0,1.0,6.0,0,0,0,0,0,0,6.0,0,4.0,10.0,0,0,0,0.0,0.0,0,6.0,0,4.0,10.0,393.0,153,207.0,44,1.0,3.0,5.0,1.0,7113,1.100000023841858,1.0,5.0,7113,0.800000011920929,600.0,5.0,6.0,54.5
2022,20,건동대학교,대학,사립,경북,C그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022,21,건신대학원대학교,대학원대학,사립,대전,-,0,0.0,0,0,0.0,0,1,0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0.0,1.0,0,1.0,0,0.0,1.0,18.0,2,46.29999923706055,14,1.0,0.0,0.0,0.0,156,6.400000095367432,1.0,0.0,156,6.400000095367432,64.30000305175781,1.0,0.0,64.30000305175781
2022,22,건양대학교,대학,사립,충남,B그룹,1,4.0,0,2,7.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,1,5.0,0,2.0,8.0,0,0,0,0.0,0.0,1,5.0,0,2.0,8.0,192.5,38,88.0,20,5.0,2.0,1.0,0.0,7062,1.0,5.0,1.0,7062,0.800000011920929,280.5,5.0,2.0,40.099998474121094
2022,23,경기과학기술대학교,전문대학,사립,경기,A그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,1.0,0,1.0,2.0,0,0,0,0.0,0.0,0,1.0,0,1.0,2.0,0.0,0,99.4000015258789,23,1.0,0.0,0.0,1.0,4411,0.30000001192092896,1.0,0.0,4411,0.20000000298023224,99.4000015258789,2.0,1.0,33.099998474121094
