연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(당해년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2015,28,경남정보대학교,전문대학,사립,부산,A그룹,99727,4324,104051,168374,26128,194502,2,5,3068,0,7,8918,221,1,222,8290,2706,10996,8522,0,194502,7058,27.600000381469727,10996,194502,6.0
2015,29,경동대학교,대학,사립,강원,B그룹,73015,9398,82413,148650,16857,165507,3,4,19052,0,7,23094,245,0,245,1618,31416,33034,11419,0,165507,5987,27.600000381469727,33034,165507,24.899999618530273
2015,30,경민대학교,전문대학,사립,경기,B그룹,73914,5980,79894,105704,7906,113610,5,3,5034,0,8,11010,124,21,145,3215,445,3660,3205,7537,113610,4723,24.100000381469727,3660,113610,3.299999952316284
2015,31,경복대학교,전문대학,사립,경기,A그룹,40386,1333,41719,55305,1644,56949,3,1,2075,0,4,9747,199,1,200,6115,681,6796,5183,0,56949,6452,8.800000190734863,6796,56949,13.600000381469727
2015,32,경북과학대학교,전문대학,사립,경북,C그룹,43186,11804,54990,66252,13741,79993,2,0,2250,0,2,6312,516,0,516,123,1334,1457,1303,0,79993,1851,43.20000076293945,1457,79993,1.899999976158142
2015,33,경북대학교,대학,국립,대구,A그룹,870338,457827,1328165,2163640,949045,3112685,31,48,159438,0,79,203176,991,1179,2170,45583,11395,56978,32991,0,3112685,30890,100.80000305175781,56978,3112685,1.899999976158142
2015,34,경북보건대학교,전문대학,사립,경북,C그룹,29739,1142,30881,37548,1377,38925,2,1,5304,0,3,8833,38,2,40,1668,362,2030,1657,0,38925,1344,29.0,2030,38925,5.5
2015,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2015,36,경북전문대학교,전문대학,사립,경북,B그룹,72669,52296,124965,98157,64952,163109,1,1,3095,0,2,6419,152,2,154,3793,507,4300,4072,18000,163109,2700,60.400001525878906,4300,163109,2.700000047683716
2015,37,경상국립대학교,대학,국립,경남,A그룹,605611,279568,885179,1252247,424340,1676587,41,30,152676,0,71,200921,1041,572,1613,41498,20133,61631,35226,0,1676587,23799,70.4000015258789,61631,1676587,3.799999952316284
