YR,ID,SNM,STYP,FND,RGN,USC,SCR_EST
2018,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,71.47293141307692
2018,2,가야대학교,대학,사립,경남,C그룹,69.36647876775125
2018,3,가천대학교,대학,사립,경기,A그룹,70.34664835682972
2018,4,가톨릭관동대학교,대학,사립,강원,B그룹,68.04939124031871
2018,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,68.20836901706164
2018,6,가톨릭대학교,대학,사립,경기,A그룹,74.01160714002904
2018,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,68.06613330029724
2018,8,감리교신학대학교,대학,사립,서울,C그룹,68.06706919322377
2018,9,강남대학교,대학,사립,경기,B그룹,69.56638083596437
2018,10,강동대학교,전문대학,사립,충북,B그룹,70.818406010851
2018,11,강릉영동대학교,전문대학,사립,강원,B그룹,69.29756491715335
2018,12,강서대학교,대학,사립,서울,C그룹,68.16682275592173
2018,13,강원관광대학교,전문대학,사립,강원,C그룹,68.07879314684456
2018,14,강원대학교,대학,국립,강원,A그룹,68.90286747404222
2018,15,강원도립대학교,전문대학,공립,강원,C그룹,68.13630471128683
2018,16,개신대학원대학교,대학원대학,사립,서울,-,69.25356135880004
2018,17,거제대학교,전문대학,사립,경남,C그룹,70.07617751592302
2018,18,건국대학교,대학,사립,서울,A그룹,71.01279809049662
2018,19,건국대학교(글로컬),대학,사립,충북,B그룹,68.06665065002636
2018,21,건신대학원대학교,대학원대학,사립,대전,-,69.73180822681745
2018,22,건양대학교,대학,사립,충남,B그룹,70.22749074525304
2018,23,경기과학기술대학교,전문대학,사립,경기,A그룹,69.45741571859116
2018,24,경기대학교,대학,사립,경기,A그룹,70.1393181579442
2018,25,경남대학교,대학,사립,경남,A그룹,68.06168195454156
2018,26,경남도립거창대학,전문대학,공립,경남,C그룹,68.28422182753833
2018,27,경남도립남해대학,전문대학,공립,경남,C그룹,68.07158537280776
2018,28,경남정보대학교,전문대학,사립,부산,A그룹,68.06613330029724
2018,29,경동대학교,대학,사립,강원,B그룹,70.71031314930586
2018,30,경민대학교,전문대학,사립,경기,B그룹,68.09081372744762
2018,31,경복대학교,전문대학,사립,경기,A그룹,68.06613330029724
2018,32,경북과학대학교,전문대학,사립,경북,C그룹,70.3642536304981
2018,33,경북대학교,대학,국립,대구,A그룹,70.31127514924958
2018,34,경북보건대학교,전문대학,사립,경북,C그룹,68.1785998171101
2018,36,경북전문대학교,전문대학,사립,경북,B그룹,68.10393044993631
2018,37,경상국립대학교,대학,국립,경남,A그룹,70.53899112953754
2018,38,경성대학교,대학,사립,부산,A그룹,68.09725389931408
2018,39,경안대학원대학교,대학원대학,사립,경북,-,70.53778938336693
2018,40,경운대학교,대학,사립,경북,C그룹,68.05387186199883
2018,41,경인교육대학교,대학,국립,인천,C그룹,68.05658823743656
2018,42,경인여자대학교,전문대학,사립,인천,B그룹,68.10583095487604
2018,43,경일대학교,대학,사립,경북,B그룹,70.16496263535427
2018,44,경찰대학,기타,기타,충남,-,68.06613330029724
2018,45,경희대학교,대학,사립,서울,A그룹,66.92124780026454
2018,46,계명대학교,대학,사립,대구,A그룹,70.4919497316982
2018,47,계명문화대학교,전문대학,사립,대구,A그룹,68.8543198946477
2018,48,계약신학대학원대학교,대학원대학,사립,경기,-,69.49512848699426
2018,49,계원예술대학교,전문대학,사립,경기,B그룹,69.27407417907868
2018,50,고려대학교,대학,사립,서울,A그룹,69.18424792239229
2018,51,고려대학교(세종),대학,사립,세종,B그룹,70.30808165218018
2018,52,고려사이버대학교,대학,사립,서울,A그룹,71.47382652701727
2018,53,고신대학교,대학,사립,부산,C그룹,68.06311939653702
2018,54,공군사관학교,기타,기타,충북,-,68.09081372744762
2018,55,공주교육대학교,대학,국립,충남,C그룹,68.05213689168086
2018,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,72.16807819300539
2018,57,광신대학교,대학,사립,광주,C그룹,70.47760116168239
2018,58,광양보건대학교,전문대학,사립,전남,C그룹,68.13085263877633
2018,59,광운대학교,대학,사립,서울,B그룹,68.12566685642638
2018,60,광주가톨릭대학교,대학,사립,전남,C그룹,65.70987310524268
2018,61,광주과학기술원,대학,국립,광주,C그룹,71.82674736881351
2018,62,광주교육대학교,대학,국립,광주,C그룹,68.05075061995203
2018,63,광주대학교,대학,사립,광주,B그룹,70.14469952773321
2018,64,광주보건대학교,전문대학,사립,광주,B그룹,70.36102010996919
2018,65,광주여자대학교,대학,사립,광주,C그룹,68.06613330029724
2018,66,구미대학교,전문대학,사립,경북,A그룹,68.06613330029724
2018,67,구세군사관대학원대학교,대학원대학,사립,경기,-,65.41035703557247
