연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_대면교육_참여시간,직원교육현황_대면교육_참여인원,직원교육현황_온라인 교육_참여시간,직원교육현황_온라인 교육_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2024,93,군장대학교,전문대학,사립,전북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,30,6,1,0,0,0,1603,0.6000000238418579,1,0,1603,0.6000000238418579,33,1,0,33
2024,94,극동대학교,대학,사립,충북,C그룹,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,2,0,2,4,7,4,146,44,1,1,1,1,3158,1,1,1,3158,0.6000000238418579,153,2,2,38.29999923706055
2024,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,2,0,0,2516,0.6000000238418579,0,0,2516,0,0,1,0,0
2024,96,금강대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4,1,24,5,1,0,0,0,115,8.699999809265137,1,0,115,8.699999809265137,28,1,0,28
2024,97,기독간호대학교,전문대학,사립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,33,6,0,0,1,0,591,1.399999976158142,0,1,591,1.7000000476837158,35,0,1,35
2024,98,김천대학교,대학,사립,경북,C그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,1,3,103.5,20,16.299999237060547,9,2,0,0,1,2340,1.100000023841858,2,0,2340,0.8999999761581421,119.80000305175781,3,0,39.900001525878906
2024,99,김포대학교,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,26,4,2.299999952316284,1,0,1,0,0,1741,0.5,0,0,1741,0,28.299999237060547,1,0,28.299999237060547
2024,100,김해대학교,전문대학,사립,경남,C그룹,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,51.5,5,10,3,1,1,0,0,1368,1.2999999523162842,1,0,1368,0.699999988079071,61.5,2,0,30.799999237060547
2024,101,나사렛대학교,대학,사립,충남,B그룹,0,2,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,6,189.5,35,200.6999969482422,48,2,0,4,0,4932,1.100000023841858,2,4,4932,1.2000000476837158,390.20001220703125,2,4,65
2024,102,나주대학교,전문대학,사립,전남,C그룹,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,14,3,14,2,0,0,1,0,1293,0.6000000238418579,0,1,1293,0.800000011920929,28,0,1,28
