연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-정보화기기(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2019,47,계명문화대학교,전문대학,사립,대구,A그룹,5598.0,839,64,5598.0,5220,1.100000023841858
2019,48,계약신학대학원대학교,대학원대학,사립,경기,-,402.0,58,9,402.0,51,7.900000095367432
2019,49,계원예술대학교,전문대학,사립,경기,B그룹,3017.0,594,16,3017.0,2879,1.0
2019,50,고려대학교,대학,사립,서울,A그룹,49347.30078125,7620,402,49347.30078125,29771,1.7000000476837158
2019,51,고려대학교(세종),대학,사립,세종,B그룹,8958.0,1202,98,8958.0,7240,1.2000000476837158
2019,52,고려사이버대학교,대학,사립,서울,A그룹,0.0,0,4,0.0,9064,0.0
2019,53,고신대학교,대학,사립,부산,C그룹,7413.0,1875,27,7413.0,4821,1.5
2019,54,공군사관학교,기타,기타,충북,-,4105.2001953125,336,16,4105.2001953125,0,0.0
2019,55,공주교육대학교,대학,국립,충남,C그룹,6537.0,841,45,6537.0,2006,3.299999952316284
2019,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0.0,0,0,0.0,1331,0.0
2019,57,광신대학교,대학,사립,광주,C그룹,2715.0,351,23,2715.0,984,2.799999952316284
2019,58,광양보건대학교,전문대학,사립,전남,C그룹,1308.0,290,6,1308.0,1179,1.100000023841858
