연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(전년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2017년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2018년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2019년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2019,385,한국열린사이버대학교,대학,사립,서울,B그룹,30818338647,1000000,0,0,0,0,0,0,1000000,35808115000,1000000,0,0,0,0,0,0,1000000,1000000,4809,207.9,1000000,30818338647,0,1000000,7000000,1000000,257.1
2019,386,한국영상대학교,전문대학,사립,세종,B그룹,35799188303,52803190,9362790,5440000,0,5757000,0,5500000,78862980,40609794000,54500000,11500000,5400000,0,6000000,0,5500000,82900000,78862980,3543,22258.8,78862980,35799188303,0.2,63628340,65766630,78862980,11.6
2019,387,한국예술종합학교,대학,국립,서울,C그룹,70176045007,278226700,105592916,99128800,57764505,68180801,0,12933284,621827006,79341315000,282200000,106000000,114850000,59082000,68000000,0,14680000,644812000,621827006,2693,230904.9,621827006,70176045007,0.9,620518110,622555268,621827006,0.1
2019,388,한국외국어대학교,대학,사립,서울,A그룹,229475789474,802307421,145351723,29700,1123759217,343244258,0,39576991,2454269310,251972803964,809280662,314291000,5000000,958836850,335601000,0,66630488,2489640000,2454269310,19919,123212.5,2454269310,229475789474,1.1,2530811610,2488699413,2454269310,-1.5
2019,389,한국전력국제원자력대학원대학교,대학원대학,사립,울산,-,14761764294,4527018,2212802,1462641,72601500,0,0,0,80803961,13540000000,17500000,12860000,4800000,85767400,0,0,7860000,128787400,80803961,98,824530.2,80803961,14761764294,0.5,150960000,98926999,80803961,-26.4
2019,390,한국전통문화대학교,대학,국립,충남,C그룹,27098011000,200000000,16823000,11716000,0,58072000,0,48284000,334895000,34560975000,150000000,20000000,12000000,0,76000000,0,30000000,288000000,334895000,687,487474.5,334895000,27098011000,1.2,340323240,339252580,334895000,-0.8
2019,391,한국정보통신대학교,대학,사립,대전,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,392,한국철도대학,전문대학,국립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,393,한국체육대학교,대학,국립,서울,C그룹,45996762345,95997240,41669900,0,23938360,74517000,0,723800,236846300,67352398000,107648000,36720000,0,25500000,80000000,0,2000000,251868000,236846300,3122,75863.6,236846300,45996762345,0.5,191395450,234990635,236846300,11.8
2019,394,한국침례신학대학교,대학,사립,대전,C그룹,23894021268,59508590,27907399,5029616,26671000,15895890,0,0,135012495,26045302000,0,0,0,0,0,0,0,0,135012495,2212,61036.4,135012495,23894021268,0.6,184953865,173602361,135012495,-14.2
2019,395,한국폴리텍Ⅰ대학서울강서캠퍼스,전문대학,사립,서울,C그룹,3387762240,7668360,247000,0,0,0,0,0,7915360,3676843000,8000000,0,0,0,0,0,0,8000000,7915360,504,15705.1,7915360,3387762240,0.2,7933830,8282010,7915360,0
2019,396,한국폴리텍Ⅰ대학서울정수캠퍼스,전문대학,사립,서울,C그룹,4909855682,11722700,0,720720,0,0,0,0,12443420,4806443000,4200000,0,0,0,0,0,0,4200000,12443420,1432,8689.5,12443420,4909855682,0.3,11765000,11765000,12443420,2.9
2019,397,한국폴리텍Ⅰ대학성남캠퍼스,전문대학,사립,경기,C그룹,4264067592,8240000,0,0,0,0,0,0,8240000,3389393000,0,0,0,0,0,0,0,0,8240000,905,9105,8240000,4264067592,0.2,10681400,8748000,8240000,-12
2019,398,한국폴리텍Ⅰ대학제주캠퍼스,전문대학,사립,제주,C그룹,2022753060,0,0,0,0,0,0,0,0,1750330000,0,0,0,0,0,0,0,0,0,42,0,0,2022753060,0,2188620,2188080,0,-50
2019,399,한국폴리텍Ⅱ대학남인천캠퍼스,전문대학,사립,인천,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,400,한국폴리텍Ⅱ대학인천캠퍼스,전문대학,사립,인천,C그룹,8247675271,19590000,0,0,0,0,0,0,19590000,11903174000,12000000,0,0,0,0,0,0,12000000,19590000,2262,8660.5,19590000,8247675271,0.2,16416000,18000000,19590000,9.2
2019,401,한국폴리텍Ⅱ대학화성캠퍼스,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,402,한국폴리텍Ⅲ대학강릉캠퍼스,전문대학,사립,강원,C그룹,2740079373,5829300,615000,0,0,0,0,0,6444300,2625727000,6510000,360000,0,0,0,0,0,6870000,6444300,122,52822.1,6444300,2740079373,0.2,9369100,4508000,6444300,-4.5
2019,403,한국폴리텍Ⅲ대학원주캠퍼스,전문대학,사립,강원,C그룹,2968161644,4675860,180000,0,0,0,0,0,4855860,2503566000,448000,1656000,0,0,0,0,0,2104000,4855860,51,95212.9,4855860,2968161644,0.2,3010000,3010000,4855860,30.7
2019,404,한국폴리텍Ⅲ대학춘천캠퍼스,전문대학,사립,강원,C그룹,4150739370,0,0,0,0,0,0,0,0,3551988000,0,0,0,0,0,0,0,0,0,377,0,0,4150739370,0,6000000,0,0,0
2019,405,한국폴리텍Ⅳ대학대전캠퍼스,전문대학,사립,대전,C그룹,15046408510,8856000,0,1070000,0,0,0,0,9926000,4609421000,0,0,0,0,0,0,0,0,9926000,970,10233,9926000,15046408510,0.1,9029000,9029000,9926000,5
2019,406,한국폴리텍Ⅳ대학아산캠퍼스,전문대학,사립,충남,C그룹,10104526470,4320000,0,0,0,0,0,0,4320000,2299308000,0,0,0,0,0,0,0,0,4320000,530,8150.9,4320000,10104526470,0,5026410,4925000,4320000,-7.2
2019,407,한국폴리텍Ⅳ대학청주캠퍼스,전문대학,사립,충북,C그룹,3298616331,4500000,0,0,0,0,0,0,4500000,2439463000,0,0,0,0,0,0,0,0,4500000,801,5618,4500000,3298616331,0.1,6018940,6019000,4500000,-12.6
2019,408,한국폴리텍Ⅳ대학충남캠퍼스,전문대학,사립,충남,C그룹,1776292267,0,0,0,0,0,0,0,0,1618129000,0,0,0,0,0,0,0,0,0,251,0,0,1776292267,0,2786000,0,0,0
2019,409,한국폴리텍Ⅴ대학광주캠퍼스,전문대학,사립,광주,C그룹,6306316446,9150000,300000,0,0,0,0,0,9450000,9378349000,8612000,0,0,0,0,0,0,8612000,9450000,882,10714.3,9450000,6306316446,0.1,12187440,9300000,9450000,-11
2019,410,한국폴리텍Ⅴ대학순천캠퍼스,전문대학,사립,전남,C그룹,2765771317,3686000,0,0,0,0,0,0,3686000,6938872000,1000000,0,0,0,0,0,0,1000000,3686000,23,160260.9,3686000,2765771317,0.1,0,0,3686000,0
2019,411,한국폴리텍Ⅴ대학익산캠퍼스,전문대학,사립,전북,C그룹,2373719215,3230010,0,0,0,0,0,0,3230010,2232313000,2220000,0,0,0,0,0,0,2220000,3230010,98,32959.3,3230010,2373719215,0.1,4683000,0,3230010,0
2019,412,한국폴리텍Ⅴ대학전남캠퍼스,전문대학,사립,전남,C그룹,2697751286,3500000,0,0,0,0,0,0,3500000,2027776000,0,0,0,0,0,0,0,0,3500000,239,14644.4,3500000,2697751286,0.1,9469350,0,3500000,0
2019,413,한국폴리텍Ⅴ대학전북캠퍼스,전문대학,사립,전북,C그룹,2570564355,5787440,0,0,0,0,0,0,5787440,2313481000,0,0,0,0,0,0,0,0,5787440,516,11216,5787440,2570564355,0.2,6183230,5960120,5787440,-3.3
2019,414,한국폴리텍Ⅵ대학구미캠퍼스,전문대학,사립,경북,C그룹,2885772599,6845670,0,0,0,0,0,0,6845670,2935370000,3000000,0,0,0,0,0,0,3000000,6845670,548,12492.1,6845670,2885772599,0.2,9000000,6840000,6845670,-12
2019,415,한국폴리텍Ⅵ대학대구캠퍼스,전문대학,사립,대구,C그룹,4107200885,11957670,2100000,0,0,0,0,0,14057670,3268588000,8000007,4712000,0,0,0,0,0,12712007,14057670,967,14537.4,14057670,4107200885,0.3,20981390,21598610,14057670,-16
2019,416,한국폴리텍Ⅵ대학영남융합기술캠퍼스,전문대학,사립,대구,C그룹,2468258594,4269510,0,0,0,0,0,0,4269510,2326680000,2000000,0,0,0,0,0,0,2000000,4269510,267,15990.7,4269510,2468258594,0.2,3829620,3830000,4269510,5.7
2019,417,한국폴리텍Ⅵ대학영주캠퍼스,전문대학,사립,경북,C그룹,1903195047,1834380,0,0,0,0,0,0,1834380,1757264000,0,0,0,0,0,0,0,0,1834380,54,33970,1834380,1903195047,0.1,2189000,2176200,1834380,-8.1
2019,418,한국폴리텍Ⅶ대학동부산캠퍼스,전문대학,사립,부산,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,419,한국폴리텍Ⅶ대학부산캠퍼스,전문대학,사립,부산,C그룹,3802103139,8114940,0,1065430,0,0,0,0,9180370,3045152000,2460000,0,0,0,0,0,0,2460000,9180370,957,9592.9,9180370,3802103139,0.2,10437500,10285000,9180370,-6.1
2019,420,한국폴리텍Ⅶ대학울산캠퍼스,전문대학,사립,울산,C그룹,3792943894,8150000,0,0,0,0,0,0,8150000,3122966000,3677000,0,0,0,0,0,0,3677000,8150000,860,9476.7,8150000,3792943894,0.2,7111890,6421590,8150000,8.6
2019,421,한국폴리텍Ⅶ대학진주캠퍼스,전문대학,사립,경남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,422,한국폴리텍Ⅶ대학창원캠퍼스,전문대학,사립,경남,C그룹,6813302368,14129100,783000,0,0,0,0,0,14912100,9162884000,10000000,800000,0,0,0,0,0,10800000,14912100,1444,10326.9,14912100,6813302368,0.2,39800990,17638560,14912100,-35.6
2019,423,한국폴리텍특성화 로봇캠퍼스,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,424,한국폴리텍특성화 바이오캠퍼스,전문대학,사립,충남,C그룹,8100588565,4177830,0,0,0,0,0,0,4177830,3898936000,3600000,0,0,0,0,0,0,3600000,4177830,378,11052.5,4177830,8100588565,0.1,7757000,0,4177830,0
2019,425,한국폴리텍특성화 반도체융합캠퍼스,전문대학,사립,경기,C그룹,2577788356,5480005,0,0,0,0,0,0,5480005,2572867000,0,0,0,0,0,0,0,0,5480005,615,8910.6,5480005,2577788356,0.2,6263750,5469930,5480005,-6.2
