연도,번호,학교명,학교유형,설립,지역,대학규모,결산-대학총결산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,예산-대학총예산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,재학생 1인당 자료구입비(결산)-자료구입비,재학생수(전년도),재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율-자료구입비,대학총결산,대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)-자료구입비(결산)-2015년(A),2016년(B),2017년(C),최근 3년간 자료구입비 증가율(결산)
2017,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,7078833000,2916600,0,0,0,0,0,0,2916600,7278270000,3000000,0,0,0,0,0,0,3000000,2916600,311,9378.1,2916600,7078833000,0.0,0,2645530,2916600,0.0
2017,2,가야대학교,대학,사립,경남,C그룹,30312446000,118498690,16230760,4474000,15111000,0,0,0,154314450,36115730000,89000000,21000000,8000000,15000000,15000000,0,7000000,155000000,154314450,2718,56775.0,154314450,30312446000,0.5,138003945,152021200,154314450,5.8
2017,3,가천대학교,대학,사립,경기,A그룹,265829651000,492990987,0,0,852936004,476733352,0,2069100,1824729443,295600562000,500000000,0,7000000,905000000,499000000,0,50000000,1961000000,1824729443,20737,87993.9,1824729443,265829651000,0.7,2647035700,2128918131,1824729443,-16.9
2017,4,가톨릭관동대학교,대학,사립,강원,B그룹,117600754000,253006289,44654110,18306400,268617601,152992359,0,88253442,825830201,109424617000,242500000,49496000,11000000,277064830,152596610,0,119181560,851839000,825830201,9332,88494.4,825830201,117600754000,0.7,717639505,787563768,825830201,7.3
2017,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,9525235000,26748955,3416000,98499,0,46236546,0,16500000,93000000,9462248000,27500000,3000000,1600000,0,48000000,0,9900000,90000000,93000000,536,173507.5,93000000,9525235000,1.0,93000000,93000000,93000000,0.0
2017,6,가톨릭대학교,대학,사립,경기,A그룹,206588165000,454090673,151634592,71590350,2752174279,573937724,0,58316024,4061743642,214636809000,466100000,132100000,47000000,2861734982,451685018,0,71580000,4030200000,4061743642,10881,373287.7,4061743642,206588165000,2.0,3947650145,4049022188,4061743642,1.4
2017,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,18889396000,35879670,5898820,2703680,4060000,2409062,0,8982500,59933732,18504278000,36000000,7000000,2450000,4500000,2500000,0,9700000,62150000,59933732,1975,30346.2,59933732,18889396000,0.3,52650586,59114506,59933732,6.8
2017,8,감리교신학대학교,대학,사립,서울,C그룹,16733980000,116293960,13111941,633600,20037966,15028956,0,3000000,168106423,17217226000,98000000,14000000,600000,21900000,16500000,0,3000000,154000000,168106423,1576,106666.5,168106423,16733980000,1.0,139995973,189978223,168106423,12.1
2017,9,강남대학교,대학,사립,경기,B그룹,87268737000,356612180,44580603,12054750,234859189,119127869,0,11000000,778234591,107640259000,262568000,48000000,13000000,270000000,152000000,0,15000000,760568000,778234591,7325,106243.6,778234591,87268737000,0.9,423221924,458276546,778234591,39.1
2017,10,강동대학교,전문대학,사립,충북,B그룹,37270955000,62087900,3482200,0,0,14743752,0,68227000,148540852,34108215000,40970800,3482200,0,5547000,10000000,0,50000000,110000000,148540852,4027,36886.2,148540852,37270955000,0.4,120091300,109481456,148540852,13.4
