연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-패키지,동영상강의자료(e-Learning)-패키지,합계-패키지,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2024,30,경민대학교,전문대학,사립,경기,B그룹,91042,5346,96388,137773,6216,143989,16,15,4,1,36,23,4,27,3671,279,3950,3508,0,143989,3896,37.0,3950,143989,2.799999952316284
2024,31,경복대학교,전문대학,사립,경기,A그룹,105943,29481,135424,143118,29550,172668,2,3,0,0,5,19,4,23,7031,0,7031,6466,0,172668,6104,28.299999237060547,7031,172668,4.199999809265137
2024,32,경북과학대학교,전문대학,사립,경북,C그룹,57555,11967,69522,79505,13744,93249,2,0,0,0,2,66,0,66,0,411,411,323,0,93249,1800,51.79999923706055,411,93249,0.4000000059604645
2024,33,경북대학교,대학,국립,대구,A그룹,895610,673437,1569047,2281627,1207811,3489438,43,62,12,4,121,922,335,1257,73416,8027,81443,53946,66295,3489438,27587,126.5,81443,3489438,2.4000000953674316
2024,34,경북보건대학교,전문대학,사립,경북,C그룹,36993,630,37623,42850,668,43518,2,2,0,0,4,1,0,1,1597,0,1597,1403,1280,43518,1291,33.70000076293945,1597,43518,3.799999952316284
2024,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2024,36,경북전문대학교,전문대학,사립,경북,B그룹,131787,10099,141886,135615,12567,148182,2,1,0,0,3,126,2,128,2527,1079,3606,3587,0,148182,2521,58.79999923706055,3606,148182,2.5
2024,37,경상국립대학교,대학,국립,경남,A그룹,637412,293394,930806,1190824,457444,1648268,47,52,5,3,107,253,113,366,36477,11509,47986,33950,57540,1648268,20208,81.5999984741211,47986,1648268,3.0
2024,38,경성대학교,대학,사립,부산,A그룹,459442,176039,635481,766967,223409,990376,19,32,4,3,58,108,0,108,11019,3747,14766,12027,318,990376,12478,79.4000015258789,14766,990376,1.5
2024,39,경안대학원대학교,대학원대학,사립,경북,-,7717,0,7717,8581,0,8581,0,0,0,0,0,2,0,2,15,0,15,15,0,8581,48,178.8000030517578,15,8581,0.20000000298023224
2024,40,경운대학교,대학,사립,경북,C그룹,205170,27599,232769,420173,35644,455817,15,16,4,0,35,185,16,201,4156,780,4936,2098,0,455817,4569,99.80000305175781,4936,455817,1.100000023841858
2024,41,경인교육대학교,대학,국립,인천,C그룹,227373,32657,260030,560808,40281,601089,19,18,4,2,43,65,0,65,12326,1092,13418,6306,11049,601089,3727,161.3000030517578,13418,601089,2.299999952316284
2024,42,경인여자대학교,전문대학,사립,인천,B그룹,118962,32180,151142,227311,32546,259857,14,14,4,0,32,84,2,86,4004,397,4401,3773,0,259857,3859,67.30000305175781,4401,259857,1.7000000476837158
2024,43,경일대학교,대학,사립,경북,B그룹,198966,130833,329799,406051,140275,546326,19,20,7,8,54,197,2,199,7757,705,8462,4210,0,546326,7116,76.80000305175781,8462,546326,1.600000023841858
2024,44,경찰대학,기타,기타,충남,-,137363,38695,176058,171858,52474,224332,6,3,0,0,9,88,20,108,3174,1336,4510,4308,0,224332,0,0.0,4510,224332,2.0999999046325684
2024,45,경희대학교,대학,사립,서울,A그룹,976668,537027,1513695,1980984,670058,2651042,64,56,11,5,136,43,33,76,31478,8960,40438,36138,59461,2651042,34535,76.80000305175781,40438,2651042,1.5
2024,46,계명대학교,대학,사립,대구,A그룹,537775,354535,892310,1592706,488558,2081264,39,61,6,3,109,1344,164,1508,30890,6027,36917,27198,47069,2081264,22747,91.5,36917,2081264,1.7999999523162842
2024,47,계명문화대학교,전문대학,사립,대구,A그룹,165737,8118,173855,206289,11340,217629,13,15,5,1,34,35,0,35,2954,286,3240,3227,5151,217629,4505,48.29999923706055,3240,217629,1.5
2024,48,계약신학대학원대학교,대학원대학,사립,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2024,49,계원예술대학교,전문대학,사립,경기,B그룹,83968,36756,120724,94673,37575,132248,3,0,0,3,6,5,6,11,1284,31,1315,1313,0,132248,2790,47.400001525878906,1315,132248,1.0
2024,50,고려대학교,대학,사립,서울,A그룹,712649,1142590,1855239,1584155,1727722,3311877,68,104,15,8,195,564,1106,1670,42485,9591,52076,43836,2045,3311877,30320,109.19999694824219,52076,3311877,1.600000023841858
2024,51,고려대학교(세종),대학,사립,세종,B그룹,238117,52808,290925,351117,83991,435108,7,10,0,4,21,113,10,123,2574,832,3406,3102,10301,435108,7501,58.0,3406,435108,0.800000011920929
2024,52,고려사이버대학교,대학,사립,서울,A그룹,6289,38415,44704,13960,38415,52375,0,1,0,0,1,0,0,0,534,0,534,265,0,52375,10119,5.199999809265137,534,52375,1.0
2024,53,고신대학교,대학,사립,부산,C그룹,239796,135426,375222,320132,138945,459077,22,22,5,2,51,226,14,240,2717,1607,4324,4086,40,459077,4035,113.80000305175781,4324,459077,1.0
2024,54,공군사관학교,기타,기타,충북,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2024,55,공주교육대학교,대학,국립,충남,C그룹,129882,7009,136891,329427,23534,352961,16,19,4,0,39,86,0,86,7009,278,7287,3171,0,352961,1916,184.1999969482422,7287,352961,2.0999999046325684
2024,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,5579,122943,128522,17394,122943,140337,2,6,0,0,8,0,0,0,13376,0,13376,13313,0,140337,1352,103.80000305175781,13376,140337,10.5
2024,57,광신대학교,대학,사립,광주,C그룹,67722,58696,126418,95519,65190,160709,9,13,4,0,26,124,13,137,2552,74,2626,1864,0,160709,948,169.5,2626,160709,1.7000000476837158
2024,58,광양보건대학교,전문대학,사립,전남,C그룹,23460,476,23936,39935,542,40477,10,12,4,0,26,36,0,36,0,8,8,8,0,40477,116,348.8999938964844,8,40477,0.0
2024,59,광운대학교,대학,사립,서울,B그룹,352311,103325,455636,672844,156346,829190,24,25,6,1,56,156,19,175,16341,3073,19414,15840,12,829190,9808,84.5,19414,829190,2.4000000953674316
2024,60,광주가톨릭대학교,대학,사립,전남,C그룹,95642,85091,180733,138210,100278,238488,14,15,4,0,33,45,64,109,1084,457,1541,1415,0,238488,95,2510.39990234375,1541,238488,0.699999988079071
2024,61,광주과학기술원,대학,국립,광주,C그룹,88464,85897,174361,109707,87384,197091,27,23,4,1,55,0,0,0,2588,2476,5064,4283,6328,197091,2110,93.4000015258789,5064,197091,2.5999999046325684
2024,62,광주교육대학교,대학,국립,광주,C그룹,181106,27553,208659,260044,32747,292791,13,18,4,0,35,0,0,0,5091,965,6056,4126,0,292791,1757,166.60000610351562,6056,292791,2.0999999046325684
2024,63,광주대학교,대학,사립,광주,B그룹,325921,63213,389134,566739,108607,675346,17,22,4,4,47,165,20,185,14195,3187,17382,11298,637,675346,6118,110.4000015258789,17382,675346,2.5999999046325684
2024,64,광주보건대학교,전문대학,사립,광주,B그룹,106230,5565,111795,194832,8069,202901,4,3,1,2,10,33,5,38,1065,420,1485,932,0,202901,3498,58.0,1485,202901,0.699999988079071
2024,65,광주여자대학교,대학,사립,광주,C그룹,177923,38960,216883,270855,46329,317184,17,16,4,1,38,65,0,65,7821,1082,8903,6418,11014,317184,3773,84.0999984741211,8903,317184,2.9000000953674316
