연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2020,11,강릉영동대학교,전문대학,사립,강원,B그룹,2795,2795,0,88,137,53,68,3141,2663,2663,0,81,119,53,0,2916,0,0,701,0,35,24,18,778,4821,0,418,290,148,5677,0,0,1,1,0,1,0,2,0,0,0,4821,2795,1.7000000476837158,0,2795,0
2020,12,강서대학교,대학,사립,서울,C그룹,1520,1389,131,46,92,43,333,2034,1492,1351,141,47,111,52,230,1932,0,5178,230,60,31,20,23,364,1055,924,493,432,492,3396,0,0,521,198,2,1,35,1,1,8,404,1979,1520,1.2999999523162842,5178,1520,3.4000000953674316
2020,13,강원관광대학교,전문대학,사립,강원,C그룹,1187,1187,0,27,54,30,0,1298,1012,1012,0,23,33,33,0,1101,0,23600,248,0,12,6,0,266,1400,0,66,47,0,1513,0,0,1221,287,27,0,0,0,0,9,225,1400,1187,1.2000000476837158,23600,1187,19.899999618530273
2020,14,강원대학교,대학,국립,강원,A그룹,22414,19800,2614,1006,1386,812,1302,26920,22114,19587,2527,1004,1288,815,764,25985,0,1715470,7448,2211,973,297,579,11508,41498,8459,9221,3410,18384,80972,0,0,592,3533,134,213,179,1667,4745,175,2635,49957,22414,2.200000047683716,1715470,22414,76.5
2020,15,강원도립대학교,전문대학,공립,강원,C그룹,619,619,0,30,66,57,290,1062,635,635,0,30,94,62,282,1103,0,31800,200,0,20,54,94,368,1859,0,206,490,1249,3804,0,0,82,0,0,0,0,0,0,10,214,1859,619,3,31800,619,51.400001525878906
2020,16,개신대학원대학교,대학원대학,사립,서울,-,157,0,157,7,15,8,199,386,145,0,145,7,18,6,206,382,0,7400,0,44,13,4,38,99,0,568,202,24,377,1171,0,0,100,30,60,30,0,146,0,1,12,568,157,3.5999999046325684,7400,157,47.099998474121094
2020,17,거제대학교,전문대학,사립,경남,C그룹,1199,1199,0,41,77,39,31,1387,1181,1181,0,39,68,39,52,1379,0,69445,365,0,51,32,37,485,2247,0,881,623,504,4255,0,0,5,1,1,3,0,18,0,6,670,2247,1199,1.899999976158142,69445,1199,57.900001525878906
2020,18,건국대학교,대학,사립,서울,A그룹,20277,15933,4344,698,1258,490,26907,49630,20087,15766,4321,689,1349,538,31783,54446,0,1682509,8305,2210,671,400,2806,14392,59742,23689,10858,5262,29009,128560,0,0,0,0,0,86,238,1059,186,57,825,83431,20277,4.099999904632568,1682509,20277,83
2020,19,건국대학교(글로컬),대학,사립,충북,B그룹,7667,7244,423,455,365,184,592,9263,7402,6995,407,462,341,177,1061,9443,0,347449,3702,163,233,188,102,4388,26470,1405,5298,2655,2503,38331,0,0,0,0,10,41,129,101,41,89,1957,27875,7667,3.5999999046325684,347449,7667,45.29999923706055
2020,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,21,건신대학원대학교,대학원대학,사립,대전,-,165,0,165,13,17,8,963,1166,169,0,169,13,20,7,1061,1270,0,2159,0,80,9,4,6,99,0,1074,138,17,37,1266,0,0,5,0,0,2,0,1,0,2,17,1074,165,6.5,2159,165,13.100000381469727
2020,22,건양대학교,대학,사립,충남,B그룹,7914,7347,567,399,249,234,3886,12682,7603,7039,564,385,243,235,767,9233,0,656381,4082,154,221,175,211,4843,37310,1643,4241,2913,2655,48762,0,0,112,127,164,36,29,522,107,20,1212,38953,7914,4.900000095367432,656381,7914,82.9000015258789
2020,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4269,4269,0,109,222,59,505,5164,4712,4712,0,115,249,61,542,5679,0,342125,1478,0,89,45,9,1621,15700,0,1380,678,762,18520,0,0,181,54,0,13,975,2,0,52,1254,15700,4269,3.700000047683716,342125,4269,80.0999984741211
2020,24,경기대학교,대학,사립,경기,A그룹,16083,13851,2232,513,711,263,7191,24761,15975,13712,2263,541,671,265,7397,24849,0,586709,6480,480,365,234,737,8296,38616,5794,4847,3848,40199,93304,0,0,1624,329,188,110,285,651,152,62,1393,44410,16083,2.799999952316284,586709,16083,36.5
2020,25,경남대학교,대학,사립,경남,A그룹,12609,11486,1123,452,426,215,1700,15402,12302,11147,1155,447,549,222,1604,15124,0,695567,3251,443,338,128,394,4554,24855,5050,7010,3430,21638,61983,0,0,6816,3891,52,69,268,298,78,23,858,29905,12609,2.4000000953674316,695567,12609,55.20000076293945
2020,26,경남도립거창대학,전문대학,공립,경남,C그룹,898,898,0,29,69,51,13,1060,856,856,0,29,77,49,13,1024,0,5793,344,0,32,23,1,400,2323,0,442,324,9,3098,0,0,136,0,0,0,0,0,0,2,85,2323,898,2.5999999046325684,5793,898,6.5
2020,27,경남도립남해대학,전문대학,공립,경남,C그룹,794,794,0,24,70,47,0,935,783,783,0,24,69,51,0,927,0,22814,184,0,18,28,0,230,696,0,253,301,0,1250,0,0,0,0,0,0,0,0,0,0,0,696,794,0.8999999761581421,22814,794,28.700000762939453
2020,28,경남정보대학교,전문대학,사립,부산,A그룹,7036,7036,0,183,401,148,51,7819,6665,6665,0,181,406,129,40,7421,0,141415,1107,0,52,51,25,1235,5789,0,718,931,266,7704,0,0,84,159,28,1,1,0,0,24,1109,5789,7036,0.800000011920929,141415,7036,20.100000381469727
2020,29,경동대학교,대학,사립,강원,B그룹,7794,7794,0,256,119,117,223,8509,7814,7814,0,254,133,120,402,8723,0,249000,3524,0,2,102,4,3632,55491,0,7,1015,47,56560,0,0,2000,1000,500,0,0,0,0,68,2262,55491,7794,7.099999904632568,249000,7794,31.899999618530273
2020,30,경민대학교,전문대학,사립,경기,B그룹,4336,4336,0,126,241,91,59,4853,4432,4432,0,123,255,101,82,4993,0,57907,1909,0,77,68,34,2088,23430,0,1863,1792,429,27514,0,0,15,45,13,0,5,18,1,63,2098,23430,4336,5.400000095367432,57907,4336,13.399999618530273
2020,31,경복대학교,전문대학,사립,경기,A그룹,6565,6565,0,174,337,65,17,7158,6455,6455,0,173,323,77,0,7028,0,131521,1571,0,76,54,0,1701,20932,0,1037,1276,2,23247,0,0,1320,2640,56,2,0,54,0,87,3798,20932,6565,3.200000047683716,131521,6565,20
2020,32,경북과학대학교,전문대학,사립,경북,C그룹,1425,1425,0,54,94,34,0,1607,1655,1655,0,52,76,32,0,1815,0,6930,26,0,8,9,0,43,331,0,60,24,0,415,0,0,2,0,0,0,0,0,0,0,0,331,1425,0.20000000298023224,6930,1425,4.900000095367432
2020,33,경북대학교,대학,국립,대구,A그룹,28251,22718,5533,1312,1731,973,38266,70533,27862,22303,5559,1348,1618,963,0,31791,0,4354084,13087,2361,1262,581,3791,21082,106241,30761,19857,7284,84338,248481,0,0,52698,25807,449,747,1077,1580,4294,86,2364,137002,28251,4.800000190734863,4354084,28251,154.10000610351562
2020,34,경북보건대학교,전문대학,사립,경북,C그룹,1298,1298,0,42,67,37,0,1444,1250,1250,0,40,86,32,0,1408,0,0,394,0,18,25,0,437,5810,0,331,316,35,6492,0,0,0,0,0,0,0,15,0,19,393,5810,1298,4.5,0,1298,0
2020,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,36,경북전문대학교,전문대학,사립,경북,B그룹,2852,2852,0,81,161,69,0,3163,2853,2853,0,83,193,69,0,3198,0,95124,526,0,35,43,0,604,2305,0,514,505,0,3324,0,0,747,159,4,0,0,0,0,22,991,2305,2852,0.800000011920929,95124,2852,33.400001525878906
2020,37,경상국립대학교,대학,국립,경남,A그룹,21750,19039,2711,1007,1184,674,13850,38465,21509,19021,2488,1008,1459,690,14032,38698,0,951042,8218,554,751,356,2776,12655,56867,6452,12357,4549,27256,107481,0,0,14430,10139,968,479,255,2187,3176,99,2357,63319,21750,2.9000000953674316,951042,21750,43.70000076293945
2020,38,경성대학교,대학,사립,부산,A그룹,12883,12255,628,429,473,269,5654,19708,13025,12454,571,438,568,275,5140,19446,0,499008,5132,288,348,201,1313,7282,71844,6751,11715,4653,15312,110275,0,0,8055,5731,1089,122,222,400,212,131,3607,78595,12883,6.099999904632568,499008,12883,38.70000076293945
2020,39,경안대학원대학교,대학원대학,사립,경북,-,60,0,60,6,16,3,0,85,56,0,56,6,12,3,0,77,0,83,0,17,3,2,0,22,0,74,5,4,0,83,0,0,0,0,0,0,0,0,0,0,0,74,60,1.2000000476837158,83,60,1.399999976158142
2020,40,경운대학교,대학,사립,경북,C그룹,4608,4486,122,198,126,131,5,5068,4464,4338,126,195,207,148,10,5024,0,119805,1888,7,90,44,11,2040,9313,94,1832,383,209,11831,0,0,235,30,1,8,42,10,11,13,319,9407,4608,2,119805,4608,26
2020,41,경인교육대학교,대학,국립,인천,C그룹,4008,2616,1392,132,229,173,798,5340,3913,2667,1246,133,285,180,754,5265,0,254960,2597,491,129,97,321,3635,63888,6388,3951,1477,3254,78958,0,0,391,1173,102,75,46,172,18,22,615,70276,4008,17.5,254960,4008,63.599998474121094
2020,42,경인여자대학교,전문대학,사립,인천,B그룹,4646,4646,0,112,218,59,59,5094,4722,4722,0,115,203,59,327,5426,0,432552,1747,0,73,88,7,1915,13112,0,1129,1304,32,15577,0,0,20,40,40,0,0,43,0,6,3100,13112,4646,2.799999952316284,432552,4646,93.0999984741211
2020,43,경일대학교,대학,사립,경북,B그룹,7015,6846,169,252,139,152,29,7587,7141,6922,219,255,133,151,0,7680,0,154235,1911,32,86,89,18,2136,14706,327,1381,1444,287,18145,0,0,230,380,215,4,5,37,0,37,969,15033,7015,2.0999999046325684,154235,7015,22
2020,44,경찰대학,기타,기타,충남,-,0,0,0,0,0,0,600,600,0,0,0,0,0,0,600,600,0,27641,247,30,47,169,309,802,2872,1575,2633,2981,1418,11479,0,0,46,51,1,49,6,86,7,2,77,4447,0,0,27641,0,0
2020,45,경희대학교,대학,사립,서울,A그룹,34016,26430,7586,1434,2007,950,23963,62370,33373,25875,7498,1407,2210,1098,22796,60884,0,1804916,15700,4185,1151,700,2906,24642,131470,55255,19714,11976,89131,307546,0,0,44652,22101,2316,862,2229,870,751,306,7432,186725,34016,5.5,1804916,34016,53.099998474121094
2020,46,계명대학교,대학,사립,대구,A그룹,23391,21195,2196,915,851,536,17788,43481,22930,20692,2238,902,982,505,15250,40569,0,1105672,13385,1420,1111,753,2798,19467,87322,20308,18048,10785,54803,191266,0,0,12721,24916,90,326,1095,1811,746,158,3630,107630,23391,4.599999904632568,1105672,23391,47.29999923706055
2020,47,계명문화대학교,전문대학,사립,대구,A그룹,5255,5255,0,126,554,88,1499,7522,5008,5008,0,122,547,92,1713,7482,0,96585,1827,0,164,73,62,2126,24013,0,1743,1457,1587,28800,0,0,62,51,33,0,0,3,0,7,559,24013,5255,4.599999904632568,96585,5255,18.399999618530273
2020,48,계약신학대학원대학교,대학원대학,사립,경기,-,31,0,31,6,3,4,19,63,37,0,37,5,3,3,1,49,0,63,0,39,9,2,1,51,0,1230,65,26,1,1322,0,0,30,132,0,0,0,0,0,2,11,1230,31,39.70000076293945,63,31,2
2020,49,계원예술대학교,전문대학,사립,경기,B그룹,2892,2892,0,88,206,70,1,3257,3009,3009,0,84,195,75,0,3363,0,33291,1250,0,42,42,0,1334,10170,0,552,517,9604,20843,0,0,91,156,13,0,0,1,1,4,246,10170,2892,3.5,33291,2892,11.5
2020,50,고려대학교,대학,사립,서울,A그룹,29757,21165,8592,1442,2834,1030,2819,37882,29580,20822,8758,1477,2797,1135,2861,37850,0,5817936,14503,4532,1122,857,325,21339,176414,116318,22327,14444,45667,375170,0,0,19914,29161,5210,3979,4027,4768,13682,408,3839,292732,29757,9.800000190734863,5817936,29757,195.5
2020,51,고려대학교(세종),대학,사립,세종,B그룹,7135,6443,692,263,325,202,371,8296,7096,6387,709,260,445,212,371,8384,0,281046,3291,710,334,268,1051,5654,28136,6354,2820,4528,6472,48310,0,0,3774,604,0,65,137,65,104,4,49,34490,7135,4.800000190734863,281046,7135,39.400001525878906
2020,52,고려사이버대학교,대학,사립,서울,A그룹,9045,8967,78,44,126,67,0,9282,9468,9385,83,44,207,67,0,9786,0,0,1228,20,12,10,532,1802,8315,73,57,36,0,8481,0,0,0,0,0,0,0,0,0,0,0,8388,9045,0.8999999761581421,0,9045,0
2020,53,고신대학교,대학,사립,부산,C그룹,4802,3925,877,299,156,150,438,5845,4788,3920,868,305,154,158,423,5828,0,240509,1018,571,127,93,168,1977,10304,12833,3056,1706,1924,29823,0,0,3151,3297,2891,22,63,741,1136,28,621,23137,4802,4.800000190734863,240509,4802,50.099998474121094
2020,54,공군사관학교,기타,기타,충북,-,0,0,0,0,0,0,2115,2115,0,0,0,0,0,0,0,0,0,9669,563,0,94,976,35,1668,4567,0,2184,14136,71486,92373,0,0,411,302,96,137,3,143,5,34,537,4567,0,0,9669,0,0
2020,55,공주교육대학교,대학,국립,충남,C그룹,1957,1477,480,87,109,72,12,2237,1921,1439,482,83,119,74,12,2209,0,135676,1546,141,57,29,0,1773,16322,863,1293,565,0,19043,0,0,0,0,0,36,4,51,5,17,392,17185,1957,8.800000190734863,135676,1957,69.30000305175781
2020,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,1308,0,1308,948,432,65,0,2753,1304,0,1304,951,206,69,0,2530,0,5946,0,230,128,28,6,392,0,1896,1178,222,45,3341,0,0,0,0,0,0,0,94,0,6,93,1896,1308,1.399999976158142,5946,1308,4.5
2020,57,광신대학교,대학,사립,광주,C그룹,972,502,470,50,124,26,140,1312,986,514,472,50,88,26,140,1290,0,37524,134,151,18,7,9,319,1647,1493,124,68,132,3464,0,0,24,14,3,22,16,29,13,1,83,3140,972,3.200000047683716,37524,972,38.599998474121094
2020,58,광양보건대학교,전문대학,사립,전남,C그룹,996,996,0,60,59,17,0,1132,648,648,0,47,33,15,0,743,0,1083,234,0,16,27,0,277,234,0,16,27,0,277,0,0,11,2,0,0,0,0,0,1,95,234,996,0.20000000298023224,1083,996,1.100000023841858
2020,59,광운대학교,대학,사립,서울,B그룹,9561,8199,1362,320,480,222,8848,19431,9610,8182,1428,327,500,221,7130,17788,0,1477851,4629,694,263,178,2072,7836,50279,8254,4642,4217,27938,95330,0,0,890,894,117,64,439,277,79,31,820,58533,9561,6.099999904632568,1477851,9561,154.60000610351562
2020,60,광주가톨릭대학교,대학,사립,전남,C그룹,107,76,31,16,6,29,459,617,121,89,32,18,6,30,477,652,0,16295,70,31,18,10,43,172,3529,4392,436,103,1442,9902,0,0,245,46,222,1,7,18,20,4,102,7921,107,74,16295,107,152.3000030517578
2020,61,광주과학기술원,대학,국립,광주,C그룹,2052,772,1280,189,94,678,0,3013,2042,739,1303,196,89,705,0,3032,0,168888,646,802,185,356,17,2006,7628,8541,12970,10192,414,39745,0,0,500,1000,1000,47,102,165,34,16,80,16169,2052,7.900000095367432,168888,2052,82.30000305175781
2020,62,광주교육대학교,대학,국립,광주,C그룹,1921,1360,561,73,118,100,210,2422,1882,1364,518,72,174,99,0,2227,0,50357,1109,94,43,46,72,1364,8248,1154,2257,478,571,12708,0,0,190,1024,140,33,10,122,0,7,96,9402,1921,4.900000095367432,50357,1921,26.200000762939453
2020,63,광주대학교,대학,사립,광주,B그룹,7301,6869,432,243,164,116,1984,9808,7391,6963,428,256,193,129,1807,9776,0,168672,2308,46,131,62,138,2685,43120,536,1778,864,4202,50500,0,0,2157,664,102,141,18,21,119,60,2029,43656,7301,6,168672,7301,23.100000381469727
2020,64,광주보건대학교,전문대학,사립,광주,B그룹,3778,3778,0,101,162,61,46,4148,3733,3733,0,101,175,59,9,4077,0,70340,444,0,30,31,8,513,2576,0,281,266,719,3842,0,0,0,0,4,1,4,5,2,2,294,2576,3778,0.699999988079071,70340,3778,18.600000381469727
2020,65,광주여자대학교,대학,사립,광주,C그룹,3845,3614,231,133,68,76,81,4203,3951,3735,216,131,135,80,193,4490,0,182728,1567,45,78,70,30,1790,7997,232,1181,883,8562,18855,0,0,100,100,15,0,0,56,0,21,681,8229,3845,2.0999999046325684,182728,3845,47.5
2020,66,구미대학교,전문대학,사립,경북,A그룹,5255,5255,0,127,186,57,4,5629,5066,5066,0,123,215,65,0,5469,0,7810,769,0,7,27,2,805,2376,0,37,156,16,2585,0,0,3,5,0,1,1,0,0,8,1418,2376,5255,0.5,7810,5255,1.5
2020,67,구세군사관대학원대학교,대학원대학,사립,경기,-,37,0,37,9,8,8,7,69,28,0,28,8,9,7,7,59,0,771,0,37,7,5,8,57,0,596,79,29,30,734,0,0,78,6,4,0,0,0,0,0,0,596,37,16.100000381469727,771,37,20.799999237060547
2020,68,국군간호사관학교,기타,기타,대전,-,0,0,0,0,0,0,520,520,0,0,0,0,0,0,520,520,0,67226,216,0,41,22,45,324,1523,0,484,231,425,2663,0,0,40,17,55,13,0,8,0,19,337,1523,0,0,67226,0,0
2020,69,국립강릉원주대학교,대학,국립,강원,B그룹,8473,7835,638,377,374,421,760,10405,8487,7836,651,375,389,390,644,10285,0,526452,3974,272,343,232,349,5170,31683,2695,4503,2979,5044,46904,0,0,1419,1512,329,142,179,340,69,42,1355,34378,8473,4.099999904632568,526452,8473,62.099998474121094
2020,70,국립경국대학교,대학,국립,경북,B그룹,7331,6782,549,303,423,279,158,8494,7285,6718,567,301,436,310,208,8540,0,321001,3082,246,246,193,79,3846,26231,3512,3732,2301,1180,36956,0,0,93,342,177,235,18,227,51,58,1589,29743,7331,4.099999904632568,321001,7331,43.79999923706055
2020,71,국립공주대학교,대학,국립,충남,A그룹,15712,13174,2538,565,744,517,1627,19165,15426,12945,2481,559,842,529,1665,19021,0,1147089,6526,824,255,257,476,8338,52066,7920,4348,3370,22358,90062,0,0,741,268,251,207,127,116,166,48,1076,59986,15712,3.799999952316284,1147089,15712,73
2020,72,국립군산대학교,대학,국립,전북,B그룹,8001,7131,870,335,264,270,393,9263,8105,7313,792,340,277,273,710,9705,0,1217885,2667,253,226,151,350,3647,32217,2992,8432,3273,28032,74946,0,0,10317,9480,138,62,66,459,15,49,1122,35209,8001,4.400000095367432,1217885,8001,152.1999969482422
2020,73,국립금오공과대학교,대학,국립,경북,B그룹,6318,5707,611,229,204,236,343,7330,6101,5574,527,230,215,249,581,7376,0,376495,3297,252,155,137,132,3973,27173,2789,2168,2113,1940,36183,0,0,3,4,8,15,59,53,27,17,221,29962,6318,4.699999809265137,376495,6318,59.599998474121094
2020,74,국립목포대학교,대학,국립,전남,B그룹,8132,7237,895,306,418,283,559,9698,8142,7329,813,315,395,267,583,9702,0,157835,2691,224,138,162,1005,4220,15090,1735,1540,1764,9786,29915,0,0,729,2616,486,110,32,148,15,15,247,16825,8132,2.0999999046325684,157835,8132,19.399999618530273
2020,75,국립목포해양대학교,대학,국립,전남,C그룹,2689,2595,94,122,69,198,103,3181,2639,2548,91,122,90,208,115,3174,0,39265,616,15,49,91,21,792,3776,121,475,522,1851,6745,0,0,482,45,0,0,0,0,0,0,0,3897,2689,1.399999976158142,39265,2689,14.600000381469727
2020,76,국립부경대학교,대학,국립,부산,A그룹,18562,16326,2236,599,888,540,12709,33298,18376,16094,2282,591,906,596,10460,30929,0,799450,7767,875,494,221,1245,10602,82092,13102,9553,5019,10170,119936,0,0,2179,13900,169,149,134,930,92,61,2199,95194,18562,5.099999904632568,799450,18562,43.099998474121094
2020,77,국립순천대학교,대학,국립,전남,B그룹,7778,7017,761,326,367,267,12814,21552,7737,6988,749,331,394,284,8487,17233,0,169557,3275,277,214,170,3519,7455,28170,2239,3162,2552,19415,55538,0,0,655,131,6436,79,55,320,16,62,1251,30409,7778,3.9000000953674316,169557,7778,21.799999237060547
2020,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,60,0,60,18,93,6,0,177,67,0,67,18,101,9,0,195,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,26000,60,433.29998779296875
2020,79,국립창원대학교,대학,국립,경남,B그룹,9260,8022,1238,325,563,319,2096,12563,9100,7915,1185,342,601,320,2011,12374,0,836577,3751,387,241,214,718,5311,24273,4186,4078,3217,12614,48368,0,0,1904,1632,35,205,87,500,67,10,189,28459,9260,3.0999999046325684,836577,9260,90.30000305175781
2020,80,국립한국교통대학교,대학,국립,충북,B그룹,8813,8230,583,332,314,306,318,10083,8820,8254,566,334,316,319,357,10146,0,266022,4305,125,168,232,88,4918,25910,697,2234,2753,792,32386,0,0,1940,3175,82,7,4,37,0,27,491,26607,8813,3,266022,8813,30.200000762939453
2020,81,국립한국해양대학교,대학,국립,부산,B그룹,7386,6506,880,267,442,292,308,8695,7325,6422,903,274,453,296,309,8657,0,413362,1818,171,166,155,41,2351,9316,1776,1749,1530,563,14934,0,0,500,465,191,101,161,400,49,50,1722,11092,7386,1.5,413362,7386,56
2020,82,국립한밭대학교,대학,국립,대전,B그룹,9285,8768,517,272,499,178,698,10932,9305,8789,516,279,542,256,499,10881,0,412282,3180,173,296,139,323,4111,22277,1346,7234,2308,3731,36896,0,0,3288,1644,186,23,118,74,2,20,637,23623,9285,2.5,412282,9285,44.400001525878906
2020,83,국민대학교,대학,사립,서울,A그룹,18582,15575,3007,625,995,444,4190,24836,18122,15109,3013,675,1047,449,4983,25276,0,1360575,8984,1310,441,276,304,11315,56138,12801,9435,5723,43765,127862,0,0,6694,2068,1496,292,389,601,214,98,1970,68939,18582,3.700000047683716,1360575,18582,73.19999694824219
2020,84,국방대학교,기타,기타,충남,-,0,0,0,0,0,0,888,888,0,0,0,0,0,0,3215,3215,0,49651,0,443,143,220,595,1401,0,13792,4044,3312,13105,34253,0,0,4300,1500,620,28,2,6,11,7,661,13792,0,0,49651,0,0
2020,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,268,0,268,16,16,20,20,340,270,0,270,16,20,17,20,343,0,97,0,75,13,3,6,97,0,415,48,5,16,484,0,0,45,92,0,1,0,13,0,3,120,415,268,1.5,97,268,0.4000000059604645
2020,86,국제대학교,전문대학,사립,경기,B그룹,3889,3889,0,105,143,58,30,4225,3857,3857,0,104,164,56,30,4211,0,52084,317,0,39,35,52,443,1565,0,382,271,2234,4452,0,0,889,47,3,0,0,0,0,28,942,1565,3889,0.4000000059604645,52084,3889,13.399999618530273
2020,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,124,0,124,5,1,9,0,139,84,0,84,5,1,12,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,124,0
2020,89,국제사이버대학교,대학,사립,경기,C그룹,3046,3046,0,15,120,35,300,3516,3119,3119,0,15,117,34,300,3585,0,302,298,0,1,3,0,302,407,0,1,3,0,411,0,0,0,0,0,0,0,0,0,6,381,407,3046,0.10000000149011612,302,3046,0.10000000149011612
2020,90,국제언어대학원대학교,대학원대학,사립,서울,-,55,0,55,4,14,9,100,182,46,0,46,4,18,9,70,147,0,100,0,41,5,4,46,96,0,659,60,53,361,1133,0,0,20,10,3,0,0,1,1,5,90,659,55,12,100,55,1.7999999523162842
2020,91,국제예술대학교,기타,기타,서울,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,92,군산간호대학교,전문대학,사립,전북,C그룹,1134,1134,0,31,42,27,63,1297,1152,1152,0,32,41,28,66,1319,0,31600,810,0,21,14,31,876,8144,0,319,124,197,8784,0,0,474,123,79,0,0,0,0,8,252,8144,1134,7.199999809265137,31600,1134,27.899999618530273
2020,93,군장대학교,전문대학,사립,전북,C그룹,1951,1951,0,53,114,58,0,2176,1904,1904,0,52,134,58,0,2148,0,28122,116,0,9,15,0,140,706,0,35,198,0,939,0,0,172,53,0,0,0,0,0,9,281,706,1951,0.4000000059604645,28122,1951,14.399999618530273
2020,94,극동대학교,대학,사립,충북,C그룹,3770,3671,99,146,169,62,175,4322,3792,3684,108,145,176,64,0,4177,0,0,1885,1,182,147,171,2386,3971,1,757,632,1331,6692,0,0,0,0,0,8,0,4,0,2,159,3972,3770,1.100000023841858,0,3770,0
2020,95,글로벌사이버대학교,대학,사립,충남,C그룹,2325,2325,0,17,108,40,3541,6031,2454,2454,0,17,116,42,4109,6738,0,850,65,0,5,5,32,107,287,0,15,17,137,456,0,0,0,0,0,0,0,0,0,0,0,287,2325,0.10000000149011612,850,2325,0.4000000059604645
2020,96,금강대학교,대학,사립,충남,C그룹,407,394,13,21,55,44,18,545,410,393,17,14,44,42,4,514,0,61276,235,17,16,23,13,304,2387,697,202,247,236,3769,0,0,102,44,0,0,0,6,2,1,6,3084,407,7.599999904632568,61276,407,150.60000610351562
2020,97,기독간호대학교,전문대학,사립,광주,C그룹,619,619,0,20,16,17,0,672,595,595,0,19,14,16,0,644,0,14675,200,0,9,5,1,215,1145,0,115,16,363,1639,0,0,95,40,0,0,0,0,0,1,139,1145,619,1.7999999523162842,14675,619,23.700000762939453
