연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_대면 이용자 교육_교육횟수,이용자 교육_대면 이용자 교육_교육 참가자수,이용자 교육_비대면 이용자 교육_교육횟수,이용자 교육_비대면 이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2024,369,한경국립대학교,대학,국립,경기,B그룹,6026,5597,429,246,399,322,1756,8749,6000,5589,411,257,381,336,331,7305,0,291147,2353,112,136,141,108,2850,15440,753,1674,1786,8704,28357,0,0,0,0,0,39,51,28,1,0,0,5,1092,16193,6026,2.700000047683716,291147,6026,48.29999923706055
2024,370,한국개발연구원국제정책대학원대학교,대학원대학,사립,세종,-,749,0,749,40,48,136,69,1042,726,0,726,42,46,133,76,1023,0,479214,0,414,25,81,19,539,0,3597,343,1365,174,5479,0,0,0,0,0,0,0,103,17,6,88,0,0,3597,749,4.800000190734863,479214,749,639.7999877929688
2024,371,한국골프과학기술대학교,전문대학,사립,강원,C그룹,427,427,0,14,26,34,427,928,457,457,0,14,21,27,0,519,0,2155,110,0,5,7,0,122,512,0,40,62,211,825,0,0,0,0,0,0,0,0,0,0,0,0,0,512,427,1.2000000476837158,2155,427,5
2024,372,한국공학대학교,대학,사립,경기,B그룹,7573,7200,373,256,383,210,0,8422,7674,7302,372,257,396,208,72,8607,0,159743,1634,62,114,92,25,1927,9855,399,2241,892,4968,18355,0,0,0,0,0,65,1241,12,2,34,300,0,0,10254,7573,1.399999976158142,159743,7573,21.100000381469727
2024,373,한국과학기술원,대학,국립,대전,A그룹,11503,3868,7635,670,701,2419,187,15480,11999,3980,8019,700,754,2379,325,16157,0,766556,2405,3093,314,807,31,6650,20437,23444,2898,9731,53525,110035,0,0,0,0,0,446,96,132,639,70,1514,1,14,43881,11503,3.799999952316284,766556,11503,66.5999984741211
2024,374,한국관광대학교,전문대학,사립,경기,C그룹,1194,1194,0,51,56,44,76,1421,1087,1087,0,49,39,52,79,1306,0,11782,295,0,11,10,6,322,1596,0,168,77,763,2604,0,0,0,0,0,0,0,0,0,0,0,1,275,1596,1194,1.2999999523162842,11782,1194,9.899999618530273
2024,375,한국교원대학교,대학,국립,충북,B그룹,5644,2267,3377,211,501,344,1542,8242,5512,2300,3212,211,512,347,1134,7716,0,431383,1846,1451,117,137,1317,4868,23211,24960,1945,2323,8574,61013,0,0,0,0,0,373,294,412,61,56,497,1,53,48171,5644,8.5,431383,5644,76.4000015258789
2024,376,한국국제대학교,대학,사립,경남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,377,한국기술교육대학교,대학,사립,충남,C그룹,4681,4111,570,188,280,448,577,6174,4785,4215,570,183,290,463,1585,7306,0,585061,2029,179,154,220,37,2619,13432,1177,1951,3171,14568,34299,0,0,0,0,0,121,70,529,12,122,1260,14,1278,14609,4681,3.0999999046325684,585061,4681,125
2024,378,한국농수산대학교,전문대학,국립,전북,C그룹,1718,1718,0,57,94,189,130,2188,1608,1608,0,53,109,182,135,2087,0,23098,262,0,22,85,24,393,2713,0,287,1864,463,5327,0,0,0,0,0,0,0,0,0,0,0,0,0,2713,1718,1.600000023841858,23098,1718,13.399999618530273
