연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_대면교육_참여시간,직원교육현황_대면교육_참여인원,직원교육현황_비대면 실시간 교육_참여시간,직원교육현황_비대면 실시간 교육_참여인원,직원교육현황_온라인 교육_참여시간,직원교육현황_온라인 교육_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2021,14,강원대학교,대학,국립,강원,A그룹,8,14,0,2,24,0,0,0,0,0,0,1,0,4.5,5.5,0,0,0,0,0,8,15,0,6.5,29.5,0,0,0,0,0,8,15,0,6.5,29.5,145.8000030517578,38,402,154,1123.699951171875,208,22,2,1,4.5,21898,1.2000000476837158,22,1,21898,1.100000023841858,1671.5,26,5,53.900001525878906
2021,15,강원도립대학교,전문대학,공립,강원,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,0,0,168.5,32,81,19,1,0,0,1,579,2.5999999046325684,1,0,579,1.7000000476837158,249.5,1,1,124.80000305175781
2021,16,개신대학원대학교,대학원대학,사립,서울,-,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,31,4,15,4,1,0,0,0,137,7.300000190734863,1,0,137,7.300000190734863,46,1,0,46
2021,17,거제대학교,전문대학,사립,경남,C그룹,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,58,10,36.5,8,1,0,1,0,1066,1.7000000476837158,1,1,1066,1.899999976158142,94.5,1,1,47.29999923706055
2021,18,건국대학교,대학,사립,서울,A그룹,2,5,0,2,9,0,0,0,0,0,0,12,1,1,14,0,0,0,0,0,2,17,1,3,23,0,0,0,0,0,2,17,1,3,23,0,0,25,4,221.3000030517578,44,7,2,13,1,20271,1,7,13,20271,1,246.3000030517578,9,18,9.100000381469727
2021,19,건국대학교(글로컬),대학,사립,충북,B그룹,1,1,0,3,5,0,0,0,0,0,0,4,0,2,6,0,0,0,0,0,1,5,0,5,11,0,0,0,0,0,1,5,0,5,11,0,0,138.5,32,136.5,34,2,3,4,2,7431,1.2000000476837158,2,4,7431,0.800000011920929,275,5,7,22.899999618530273
2021,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,21,건신대학원대학교,대학원대학,사립,대전,-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,15.5,4,38.5,10,0,1,0,0,166,4.800000190734863,0,0,166,0,54,1,1,27
2021,22,건양대학교,대학,사립,충남,B그룹,1,4,0,0,5,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,6,0,0,7,0,0,0,0,0,1,6,0,0,7,0,0,293,54,59,14,5,0,2,0,7336,0.8999999761581421,5,2,7336,1,352,3,6,39.099998474121094
2021,23,경기과학기술대학교,전문대학,사립,경기,A그룹,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,150,25,37,12,2,0,1,0,4276,0.699999988079071,2,1,4276,0.699999988079071,187,2,1,62.29999923706055
