연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-업무용컴퓨터(PC)수,이용자용컴퓨터(PC)수,총 보유컴퓨터(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2018,162,목원대학교,대학,사립,대전,B그룹,9072.0,1492,19,68,87,9072.0,8701,1.0
2018,163,목포가톨릭대학교,대학,사립,전남,C그룹,1129.0,253,3,11,14,1129.0,558,2.0
2018,164,목포과학대학교,전문대학,사립,전남,B그룹,2943.0,372,5,5,10,2943.0,2403,1.2000000476837158
2018,165,문경대학교,전문대학,사립,경북,C그룹,743.0,198,3,6,9,743.0,905,0.800000011920929
2018,166,배재대학교,대학,사립,대전,B그룹,8736.0,1565,19,69,88,8736.0,9160,1.0
2018,167,배화여자대학교,전문대학,사립,서울,B그룹,5680.0,510,9,72,81,5680.0,3127,1.7999999523162842
2018,168,백석대학교,대학,사립,충남,A그룹,9188.0,2885,14,147,161,9188.0,14316,0.6000000238418579
2018,169,백석문화대학교,전문대학,사립,충남,A그룹,7621.0,432,35,75,110,7621.0,5556,1.399999976158142
2018,170,백석예술대학,전문대학,사립,서울,A그룹,0.0,0,0,0,0,0.0,0,0.0
2018,171,백제예술대학교,전문대학,사립,전북,C그룹,1355.0,135,3,11,14,1355.0,1554,0.8999999761581421
2018,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,198.0,16,3,1,4,198.0,69,2.9000000953674316
2018,173,벽성대학,전문대학,사립,전북,C그룹,0.0,0,0,0,0,0.0,0,0.0
2018,174,부산가톨릭대학교,대학,사립,부산,C그룹,5686.0,1151,20,57,77,5686.0,4207,1.399999976158142
2018,175,부산경상대학교,전문대학,사립,부산,B그룹,3823.0,876,7,42,49,3823.0,2995,1.2999999523162842
2018,176,부산과학기술대학교,전문대학,사립,부산,B그룹,3117.0,590,7,45,52,3117.0,4003,0.800000011920929
2018,177,부산교육대학교,대학,국립,부산,C그룹,6023.0,807,16,41,57,6023.0,2517,2.4000000953674316
2018,178,부산대학교,대학,국립,부산,A그룹,35855.0,5649,104,298,402,35855.0,28853,1.2000000476837158
2018,179,부산디지털대학교,대학,사립,부산,C그룹,128.0,56,3,15,18,128.0,2257,0.10000000149011612
2018,180,부산보건대학교,전문대학,사립,부산,B그룹,2516.0,657,10,38,48,2516.0,3403,0.699999988079071
2018,181,부산여자대학교,전문대학,사립,부산,C그룹,5131.0,549,13,44,57,5131.0,2975,1.7000000476837158
2018,182,부산예술대학교,전문대학,사립,부산,C그룹,1067.0,80,3,8,11,1067.0,801,1.2999999523162842
2018,183,부산외국어대학교,대학,사립,부산,B그룹,12328.0,1908,26,148,174,12328.0,9210,1.2999999523162842
2018,184,부산장신대학교,대학,사립,경남,C그룹,1041.0,206,5,25,30,1041.0,492,2.0999999046325684
2018,185,부천대학교,전문대학,사립,경기,A그룹,5070.0,1002,12,117,129,5070.0,7456,0.699999988079071
2018,186,삼육대학교,대학,사립,서울,B그룹,6771.0,1437,22,104,126,6771.0,5985,1.100000023841858
2018,187,삼육보건대학교,전문대학,사립,서울,C그룹,1220.0,329,6,45,51,1220.0,1386,0.8999999761581421
2018,188,상명대학교,대학,사립,서울,A그룹,13456.0,2226,61,220,281,13456.0,14378,0.8999999761581421
2018,189,상지대학교,대학,사립,강원,B그룹,11537.0,1494,26,117,143,11537.0,6956,1.7000000476837158
2018,190,상지영서대학교,전문대학,사립,강원,B그룹,2152.0,355,7,84,91,2152.0,2608,0.800000011920929
2018,191,서강대학교,대학,사립,서울,A그룹,16051.0,2832,84,100,184,16051.0,11160,1.399999976158142
2018,192,서경대학교,대학,사립,서울,B그룹,9012.0,1619,24,244,268,9012.0,7044,1.2999999523162842
2018,193,서남대학교,대학,사립,전북,C그룹,0.0,0,0,0,0,0.0,0,0.0
2018,194,서라벌대학교,전문대학,사립,경북,C그룹,1075.0,354,3,13,16,1075.0,800,1.2999999523162842
2018,195,서영대학교,전문대학,사립,광주,A그룹,2438.0,712,6,20,26,2438.0,5071,0.5
2018,196,서울과학기술대학교,대학,국립,서울,A그룹,14177.0,2210,32,75,107,14177.0,12085,1.2000000476837158
2018,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,108.0,35,3,1,4,108.0,426,0.30000001192092896
2018,198,서울교육대학교,대학,국립,서울,C그룹,4480.0,823,17,74,91,4480.0,2984,1.5
2018,199,서울기독대학교,대학,사립,서울,C그룹,614.0,145,5,9,14,614.0,747,0.800000011920929
2018,200,서울대학교,대학,국립,서울,A그룹,78585.0,9809,164,539,703,78585.0,28378,2.799999952316284
2018,201,서울디지털대학교,대학,사립,서울,A그룹,10.0,0,1,1,2,10.0,11304,0.0
2018,202,서울미디어대학원대학교,대학원대학,사립,서울,-,379.0,76,1,4,5,379.0,158,2.4000000953674316
2018,203,서울벤처대학원대학교,대학원대학,사립,서울,-,33.0,10,0,4,4,33.0,259,0.10000000149011612
2018,204,서울불교대학원대학교,대학원대학,사립,서울,-,218.0,48,2,3,5,218.0,181,1.2000000476837158
2018,205,서울사이버대학교,대학,사립,서울,A그룹,122.0,16,1,4,5,122.0,10152,0.0
2018,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,158.0,24,2,3,5,158.0,128,1.2000000476837158
2018,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,429.0,105,4,6,10,429.0,111,3.9000000953674316
2018,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,252.0,73,2,3,5,252.0,87,2.9000000953674316
2018,209,서울시립대학교,대학,공립,서울,A그룹,15482.0,2561,54,206,260,15482.0,11741,1.2999999523162842
2018,210,서울신학대학교,대학,사립,경기,C그룹,4529.0,749,41,44,85,4529.0,3151,1.399999976158142
2018,211,서울여자간호대학교,전문대학,사립,서울,C그룹,1195.0,327,3,14,17,1195.0,986,1.2000000476837158
2018,212,서울여자대학교,대학,사립,서울,B그룹,10446.0,1878,40,128,168,10446.0,7644,1.399999976158142
2018,213,서울예술대학교,전문대학,사립,경기,B그룹,1092.0,148,16,22,38,1092.0,3088,0.4000000059604645
2018,214,서울외국어대학원대학교,대학원대학,사립,서울,-,73.0,59,0,0,0,73.0,154,0.5
2018,215,서울장신대학교,대학,사립,경기,C그룹,1805.0,330,9,37,46,1805.0,857,2.0999999046325684
2018,216,서울한영대학교,대학,사립,서울,C그룹,1385.0,241,9,19,28,1385.0,1030,1.2999999523162842
2018,217,서원대학교,대학,사립,충북,B그룹,8162.0,1702,18,100,118,8162.0,7524,1.100000023841858
2018,218,서일대학교,전문대학,사립,서울,A그룹,2519.0,613,15,37,52,2519.0,6336,0.4000000059604645
2018,219,서정대학교,전문대학,사립,경기,A그룹,1157.0,306,7,12,19,1157.0,4461,0.30000001192092896
2018,220,서해대학,전문대학,사립,전북,C그룹,916.0,282,3,2,5,916.0,1107,0.800000011920929
2018,221,선교청대학교,대학,사립,충남,C그룹,0.0,0,0,0,0,0.0,0,0.0
2018,222,선린대학교,전문대학,사립,경북,C그룹,1140.0,385,5,12,17,1140.0,2502,0.5
2018,223,선문대학교,대학,사립,충남,B그룹,12967.0,2217,31,159,190,12967.0,9782,1.2999999523162842
2018,224,선학유피대학원대학교,대학원대학,사립,경기,-,1657.0,69,3,13,16,1657.0,61,27.200000762939453
2018,225,성결대학교,대학,사립,경기,B그룹,8896.0,1212,26,90,116,8896.0,5858,1.5
2018,226,성공회대학교,대학,사립,서울,C그룹,4071.0,603,11,40,51,4071.0,2525,1.600000023841858
2018,227,성균관대학교,대학,사립,서울,A그룹,39062.0,6814,144,763,907,39062.0,26117,1.5
2018,228,성산효대학원대학교,대학원대학,사립,인천,-,213.0,24,1,4,5,213.0,227,0.8999999761581421
2018,229,성서침례대학원대학교,대학원대학,사립,경기,-,528.0,119,1,2,3,528.0,46,11.5
2018,230,성신여자대학교,대학,사립,서울,A그룹,11734.0,2325,35,130,165,11734.0,10092,1.2000000476837158
2018,231,성운대학교,전문대학,사립,경북,C그룹,604.0,160,3,14,17,604.0,1380,0.4000000059604645
2018,232,성화대학,전문대학,사립,전남,B그룹,0.0,0,0,0,0,0.0,0,0.0
2018,233,세경대학교,전문대학,사립,강원,C그룹,449.0,152,1,4,5,449.0,976,0.5
2018,234,세계사이버대학,기타,기타,경기,-,0.0,0,0,0,0,0.0,0,0.0
2018,235,세명대학교,대학,사립,충북,B그룹,11963.0,1757,27,137,164,11963.0,8045,1.5
2018,236,세종대학교,대학,사립,서울,A그룹,17313.0,3831,34,313,347,17313.0,14087,1.2000000476837158
2018,237,세한대학교,대학,사립,충남,C그룹,8565.0,1289,8,56,64,8565.0,4285,2.0
2018,238,송곡대학교,전문대학,사립,강원,C그룹,293.0,80,1,2,3,293.0,730,0.4000000059604645
2018,239,송원대학교,대학,사립,광주,C그룹,3506.0,643,6,20,26,3506.0,2719,1.2999999523162842
2018,240,송호대학교,전문대학,사립,강원,C그룹,736.0,156,4,18,22,736.0,976,0.800000011920929
2018,241,수도국제대학원대학교,대학원대학,사립,서울,-,246.0,46,1,8,9,246.0,314,0.800000011920929
2018,242,수성대학교,전문대학,사립,대구,B그룹,1909.0,499,6,31,37,1909.0,3551,0.5
2018,243,수원가톨릭대학교,대학,사립,경기,C그룹,2898.0,161,6,19,25,2898.0,171,16.899999618530273
