연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수-재학생수(당해년도),봉사대상자수-학부생,대학원생,전임교원,비전임교원,직원,기타,계,학과수,이용자수-도서관 이용자수,대출현황-대출자수-학부생,대학원생,교원,직원,기타,계,대출책수-학부생,대학원생,교원,직원,기타,계,참고서비스 및 상호협력-참고서비스 신청 및 제공 건수 (2010년 이전)-신청,제공,참고서비스 제공 건수 (2010년 이후)-면담,전화,온라인,상호대차 신청 및 제공 건수-신청,제공,원문복사 신청 및 제공 건수-신청,제공,이용자 교육-교육횟수,교육 참가자수,재학생 1인당 대출책수-대출책수,재학생수(당해년도),재학생 1인당 대출책수,재학생 1인당 도서관방문자수-방문자수,재학생수(당해년도),재학생 1인당 도서관방문자수
2015,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,302,302,0,18,13,28,0,361,5,25,12,0,0,1,0,13,23,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,23,302,0.10000000149011612,25,302,0.10000000149011612
2015,2,가야대학교,대학,사립,경남,C그룹,2814,2638,176,98,117,63,2,3094,16,112247,816,7,36,42,2,903,7384,66,966,1248,16,9680,0,0,353,50,25,23,2,25,0,3,277,7450,2814,2.5999999046325684,112247,2814,39.900001525878906
2015,3,가천대학교,대학,사립,경기,A그룹,21018,18995,2023,845,1279,274,2318,25734,62,883443,10530,403,225,162,233,11553,76626,4104,3675,2170,1672,88247,0,0,9001,7080,4010,73,263,226,150,47,1105,80730,21018,3.799999952316284,883443,21018,42.0
2015,4,가톨릭관동대학교,대학,사립,강원,B그룹,9686,9192,494,451,296,255,31,10719,62,487706,10723,232,469,451,31,11906,19580,560,1516,1099,375,23130,0,0,2901,1167,7,9,83,27,86,24,4290,20140,9686,2.0999999046325684,487706,9686,50.400001525878906
2015,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,579,502,77,22,38,45,0,684,2,48040,415,36,22,19,0,492,4779,470,413,386,0,6048,0,0,17,12,3,0,0,2,1,1,120,5249,579,9.100000381469727,48040,579,83.0
2015,6,가톨릭대학교,대학,사립,경기,A그룹,10899,8016,2883,1146,780,474,1830,15129,47,1494677,7174,954,1872,300,1173,11473,112415,24374,24539,7563,14331,183222,0,0,3595,3351,1751,224,1461,2381,2544,125,4321,136789,10899,12.600000381469727,1494677,10899,137.10000610351562
2015,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,2055,2055,0,61,150,60,78,2404,37,120216,1074,0,30,45,16,1165,6550,0,240,554,130,7474,0,0,28,8,2,0,0,4,0,17,756,6550,2055,3.200000047683716,120216,2055,58.5
2015,8,감리교신학대학교,대학,사립,서울,C그룹,1550,858,692,28,97,36,304,2015,7,1678,821,621,91,19,109,1661,14537,21328,3219,310,2441,41835,0,0,55,75,32,0,0,12,52,1,70,35865,1550,23.100000381469727,1678,1550,1.100000023841858
2015,9,강남대학교,대학,사립,경기,B그룹,7719,7279,440,233,356,114,139,8561,38,261385,3783,116,82,135,6,4122,22724,1011,1091,1906,3200,29932,0,0,10,36,9,26,57,90,46,2,6707,23735,7719,3.0999999046325684,261385,7719,33.900001525878906
2015,10,강동대학교,전문대학,사립,충북,B그룹,4198,4198,0,120,283,43,0,4644,50,53062,302,0,20,8,0,330,1496,0,544,227,367,2634,0,0,500,30,0,0,0,0,0,1,264,1496,4198,0.4000000059604645,53062,4198,12.600000381469727
