연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(전년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2016년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2017년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2018년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2018,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,7439028000,2543220,0,0,0,0,0,0,2543220,7724545000,3000000,0,0,0,0,0,0,3000000,2543220,322,7898.2,2543220,7439028000,0,2645530,2916600,2543220,-1.3
2018,2,가야대학교,대학,사립,경남,C그룹,35782489000,114271620,16010400,5305000,9350000,0,0,0,144937020,29796302000,89000000,21000000,8000000,15000000,15000000,0,7000000,155000000,144937020,2684,54000.4,144937020,35782489000,0.4,152021200,154314450,144937020,-2.3
2018,3,가천대학교,대학,사립,경기,A그룹,278307002000,489408838,0,4999620,838233326,542708400,0,24500000,1899850184,268366964000,500000000,0,7000000,844000000,560000000,0,50000000,1961000000,1899850184,20422,93029.6,1899850184,278307002000,0.7,2128918131,1824729443,1899850184,-5.1
2018,4,가톨릭관동대학교,대학,사립,강원,B그룹,121758677000,260901902,7180000,9856040,259241710,139804234,0,81286102,758269988,112922035000,235000000,8000000,11000000,320738000,151929000,0,99746000,826413000,758269988,8750,86659.4,758269988,121758677000,0.6,787563768,825830201,758269988,-1.7
2018,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,10842053000,26276054,3292000,0,0,50531946,0,9900000,90000000,10575325000,31000000,3000000,1000000,0,50000000,0,10000000,95000000,90000000,504,178571.4,90000000,10842053000,0.8,93000000,93000000,90000000,-1.6
2018,6,가톨릭대학교,대학,사립,경기,A그룹,209618561000,420155503,101760657,82916762,2678254590,457818078,0,88426090,3829331680,229775011000,466100000,120250000,46000000,2830159111,496072889,0,54580000,4013162000,3829331680,10529,363693.8,3829331680,209618561000,1.8,4049022188,4061743642,3829331680,-2.7
2018,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,18669328000,42087685,2645430,667500,9484000,2277732,0,6300000,63462347,18747479000,38000000,3200000,1000000,11600000,2500000,0,3300000,59600000,63462347,1931,32865,63462347,18669328000,0.3,59114506,59933732,63462347,3.6
2018,8,감리교신학대학교,대학,사립,서울,C그룹,17322032000,97803167,5993579,191100,17488000,12223545,0,6300000,139999391,16893828000,90000000,8000000,5000000,20000000,20000000,0,7000000,150000000,139999391,1535,91204.8,139999391,17322032000,0.8,189978223,168106423,139999391,-14.1
2018,9,강남대학교,대학,사립,경기,B그룹,89277341000,153928490,35107320,13595490,131992713,54143742,0,0,388767755,85043943000,100000000,50000000,20000000,142300000,57500000,0,0,369800000,388767755,7101,54748.3,388767755,89277341000,0.4,458276546,778234591,388767755,9.9
2018,10,강동대학교,전문대학,사립,충북,B그룹,41321277000,48218900,3433300,0,0,14525732,0,43623400,109801332,33852824000,50000000,5000000,0,0,13000000,0,42000000,110000000,109801332,3879,28306.6,109801332,41321277000,0.3,109481456,148540852,109801332,4.8
