Institution
Ajou University
Catholic Kwandong University
Catholic University of Daegu
Catholic University of Korea
Cha University
Chonbuk National University
Chonnam National University
Chosun University
Chung-Ang University
Chungbuk National University
Chungnam National University
Daegu Gyeongbuk Institute of Science and Technology
Daegu University
Dankook University
Dong-A University
Dongguk University
Eulji University
Ewha Womans University
Gachon University
Gangneung-Wonju National University
Gwangju Institute of Science and Technology
Gyeongsang National University
Hallym University
Hanbat National University
Hankuk University of Foreign Studies
Hanyang University
Hongik University
Incheon National University
Inha University
Inje University
Jeju National University
Jeonbuk National University
KAIST
Kangwon National University
Keimyung University
Kongju National University
Konkuk University
Kookmin University
Korea Advanced Institute of Science and Technology (KAIST)
Korea University
Kosin University
Kunsan National University
Kwangwoon University
Kyonggi University
Kyung Hee University
Kyungpook National University
Myongji University
Pohang University of Science and Technology
Pukyong National University
Pusan National University
Sejong University
Seoul National University
Seoul National University of Science and Technology
Sogang University
Sookmyung Women's University
Soonchunhyang University
Soongsil University
Sunchon National University
Sungkyunkwan University
Ulsan National Institute of Science and Technology
"University of Science and Technology, Korea"
University of Seoul
University of Ulsan
Wonkwang University
Yeungnam University
Yonsei University
