연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2020,15,강원도립대학교,전문대학,공립,강원,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,71.5,13,1,0,0,1,635,2.4000000953674316,1,0,635,1.600000023841858,71.5,1,1,35.79999923706055
2020,16,개신대학원대학교,대학원대학,사립,서울,-,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,16,2,1,0,0,0,145,6.900000095367432,1,0,145,6.900000095367432,16,1,0,16
2020,17,거제대학교,전문대학,사립,경남,C그룹,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,77,14,1,0,1,0,1181,1.5,1,1,1181,1.7000000476837158,77,1,1,38.5
2020,18,건국대학교,대학,사립,서울,A그룹,2,5,0,2,9,0,0,0,0,0,0,16,1,1,18,0,0,0,0,0,2,21,1,3,27,0,0,0,0,0,2,21,1,3,27,230.5,54,7,2,17,1,20087,1.100000023841858,7,17,20087,1.2000000476837158,230.5,8,18,8.899999618530273
2020,19,건국대학교(글로컬),대학,사립,충북,B그룹,3,0,0,2,5,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,3,3,0,6,12,0,0,0,0,0,3,3,0,6,12,634.5,150,3,2,3,4,7402,1.2000000476837158,3,3,7402,0.800000011920929,634.5,6,7,48.79999923706055
2020,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,21,건신대학원대학교,대학원대학,사립,대전,-,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,2,51,8,0,1,0,1,169,7.699999809265137,0,0,169,0,51,0,1,51
2020,22,건양대학교,대학,사립,충남,B그룹,1,2,0,0,3,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,1,8,0,0,9,0,0,0,0,0,1,8,0,0,9,325,71,3,0,6,0,7603,1,3,6,7603,1.2000000476837158,325,5,5,32.5
2020,23,경기과학기술대학교,전문대학,사립,경기,A그룹,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,95,13,2,0,1,0,4712,0.6000000238418579,2,1,4712,0.6000000238418579,95,2,1,31.700000762939453
2020,24,경기대학교,대학,사립,경기,A그룹,3,7,0,0,10,0,0,0,0,0,0,4,0,8,12,0,0,0,0,0,3,11,0,8,22,0,0,0,0,0,3,11,0,8,22,547.5,102,10,0,4,8,15975,1.100000023841858,10,4,15975,0.8999999761581421,547.5,11,8,28.799999237060547
