연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(전년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2022년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2023년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2024년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2024,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,12975055456,2694690,0,0,0,0,0,0,2694690,11284796000,3000000,0,0,0,0,0,0,3000000,2694690,287,9389.2,2694690,12975055456,0,2700090,2698740,2694690,-0.1
2024,2,가야대학교,대학,사립,경남,C그룹,28606583823,69558125,4067000,473110,24435000,0,0,0,98533235,32563097000,50990000,5500000,1500000,25500000,6000000,0,1500000,90990000,98533235,1787,55138.9,98533235,28606583823,0.3,115000540,104599360,98533235,-7.4
2024,3,가천대학교,대학,사립,경기,A그룹,298740608336,552268192,0,0,1232621457,604479743,0,73684711,2463054103,333006706000,630000000,0,0,1367000000,640000000,0,80000000,2717000000,2463054103,23393,105290.2,2463054103,298740608336,0.8,1973755559,1995611825,2463054103,12.3
2024,4,가톨릭관동대학교,대학,사립,강원,B그룹,85762766871,166621847,0,0,110671330,110609892,0,9000000,396903069,86182344000,159100000,0,0,114750000,85250000,0,10000000,369100000,396903069,6419,61832.5,396903069,85762766871,0.5,488409062,405530257,396903069,-9.5
2024,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,10078979552,11960262,1944000,0,26332000,9763738,0,0,50000000,8205526000,11000000,2000000,0,27000000,10000000,0,0,50000000,50000000,468,106837.6,50000000,10078979552,0.5,50000000,50000000,50000000,0
2024,6,가톨릭대학교,대학,사립,경기,A그룹,273426405866,455400344,35105528,1917268,3385203270,835839891,109331107,34160000,4856957408,252882163000,430443000,47100000,5500000,3772630000,909609000,120000000,35516000,5320798000,4856957408,10964,442991.4,4856957408,273426405866,1.8,4197659950,4302441701,4856957408,7.7
2024,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,19251000456,33431380,1948600,0,7748000,3105967,0,0,46233947,19235926680,31260000,2400000,0,9700000,3500000,0,0,46860000,46233947,1827,25305.9,46233947,19251000456,0.2,69226635,65061441,46233947,-17.5
2024,8,감리교신학대학교,대학,사립,서울,C그룹,27047563848,59387166,7443059,0,18757000,11643942,0,10848470,108079637,17352144936,55000000,8000000,200000,15000000,11800000,0,20000000,110000000,108079637,1202,89916.5,108079637,27047563848,0.4,129253546,109678050,108079637,-8.3
2024,9,강남대학교,대학,사립,경기,B그룹,79975751275,140133445,19856712,0,195097759,92281650,5506380,38649000,491524946,80438077000,130000000,22000000,20000000,141000000,75000000,0,30000000,418000000,491524946,6885,71390.7,491524946,79975751275,0.6,461677685,251227467,491524946,25
2024,10,강동대학교,전문대학,사립,충북,B그룹,28566517763,17783195,4427000,0,12745000,3048923,26795882,0,64800000,28154736000,20000000,4730000,0,6500000,3200000,30270000,0,64700000,64800000,2982,21730.4,64800000,28566517763,0.2,66892556,64699986,64800000,-1.6
2024,11,강릉영동대학교,전문대학,사립,강원,B그룹,26229409971,29425890,0,0,6309000,2786600,0,0,38521490,22797270000,42060000,0,0,0,0,0,0,42060000,38521490,2257,17067.6,38521490,26229409971,0.1,38800816,40735070,38521490,-0.2
2024,12,강서대학교,대학,사립,서울,C그룹,18222614610,38509492,7121678,0,29691000,36518961,0,3300000,115141131,18028916504,37827800,8000000,200000,33350000,40735000,0,3300000,123412800,115141131,1644,70037.2,115141131,18222614610,0.6,106414558,110679983,115141131,4
2024,13,강원관광대학교,전문대학,사립,강원,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,14,강원대학교,대학,국립,강원,A그룹,372814265478,769912105,572036000,1070970,1845319557,798916613,54565984,28000000,4069821229,277933712000,596300000,712030384,1000000,652500000,213500000,0,0,2175330384,4069821229,21759,187040.8,4069821229,372814265478,1.1,3479036336,4157964891,4069821229,8.7
2024,15,강원도립대학교,전문대학,공립,강원,C그룹,15132051926,33046000,2910000,0,0,4655000,0,3000000,43611000,22191310000,25000000,1800000,0,0,5000000,0,3000000,34800000,43611000,608,71728.6,43611000,15132051926,0.3,41522930,44112790,43611000,2.5
2024,16,개신대학원대학교,대학원대학,사립,서울,-,2102231912,6083045,324000,0,0,0,0,0,6407045,2557970000,7300000,700000,0,0,0,0,0,8000000,6407045,175,36611.7,6407045,2102231912,0.3,4412795,4749615,6407045,21.3
2024,17,거제대학교,전문대학,사립,경남,C그룹,12518842759,21347520,2184100,0,4748000,3108536,0,0,31388156,16636067000,24000000,2500000,0,4500000,3500000,0,0,34500000,31388156,1018,30833.2,31388156,12518842759,0.3,34323978,35568320,31388156,-4.1
2024,18,건국대학교,대학,사립,서울,A그룹,286384086446,416329260,70874420,0,1679482202,898079065,179552755,33528000,3277845702,281768992000,388000000,70874420,0,1700000000,910000000,185000000,34000000,3287874420,3277845702,19996,163925.1,3277845702,286384086446,1.1,2499999899,2588000295,3277845702,15.1
2024,19,건국대학교(글로컬),대학,사립,충북,B그룹,124920793590,226644808,57549350,961990,330852219,83634010,0,16720000,716362377,116552086000,249000000,61000000,1000000,419000000,150000000,0,30000000,910000000,716362377,7287,98306.9,716362377,124920793590,0.6,781415335,759036929,716362377,-4.2
2024,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,21,건신대학원대학교,대학원대학,사립,대전,-,1403033963,5266030,508000,0,8170690,0,0,0,13944720,1578715000,4500000,530000,0,0,8800000,0,0,13830000,13944720,174,80142.1,13944720,1403033963,1,10278530,15073780,13944720,19.6
2024,22,건양대학교,대학,사립,충남,B그룹,123349066691,128568406,0,0,366243999,126259867,17939123,1622400,640633795,118260622901,133000000,0,200000,400000000,146000000,10000000,1800000,691000000,640633795,7096,90281,640633795,123349066691,0.5,700561765,632071035,640633795,-4.2
2024,23,경기과학기술대학교,전문대학,사립,경기,A그룹,53314792178,99973330,2226280,24500,11614000,0,0,0,113838110,53319076000,40000000,2000000,60000000,4630000,0,0,0,106630000,113838110,4293,26517.1,113838110,53314792178,0.2,116225090,117212590,113838110,-1
