연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_재학생수(전년도),봉사대상자수 및 이용자수_봉사대상자수_학부생,봉사대상자수 및 이용자수_봉사대상자수_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전임교원,봉사대상자수 및 이용자수_봉사대상자수_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_직원,봉사대상자수 및 이용자수_봉사대상자수_기타,봉사대상자수 및 이용자수_봉사대상자수_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2017,392,한국철도대학,전문대학,국립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,393,한국체육대학교,대학,국립,서울,C그룹,3047,2505,542,109,151,110,197,3614,9,78157,819,145,43,52,14,1073,5003,2107,706,1130,265,9211,0,0,126,108,0,0,0,28,7,15,40,7110,3047,2.299999952316284,78157,3047,25.700000762939453
2017,394,한국침례신학대학교,대학,사립,대전,C그룹,2406,1580,826,52,131,49,945,3583,8,73772,1344,790,71,42,269,2516,14278,22191,2230,1730,7096,47525,0,0,0,0,0,46,8,77,9,11,229,36469,2406,15.199999809265137,73772,2406,30.700000762939453
2017,395,한국폴리텍Ⅰ대학서울강서캠퍼스,전문대학,사립,서울,C그룹,608,608,0,30,43,16,0,697,9,0,268,0,0,0,0,268,429,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,429,608,0.699999988079071,0,608,0
2017,396,한국폴리텍Ⅰ대학서울정수캠퍼스,전문대학,사립,서울,C그룹,1484,1484,0,66,83,15,3,1651,10,4494,257,0,10,17,2,286,1368,0,50,137,6,1561,0,0,0,0,0,0,0,0,0,0,0,1368,1484,0.8999999761581421,4494,1484,3
2017,397,한국폴리텍Ⅰ대학성남캠퍼스,전문대학,사립,경기,C그룹,1027,1027,0,44,48,12,4,1135,7,1824,131,0,8,0,0,139,695,0,23,0,0,718,0,0,0,0,0,0,0,0,0,0,0,695,1027,0.699999988079071,1824,1027,1.7999999523162842
2017,398,한국폴리텍Ⅰ대학제주캠퍼스,전문대학,사립,제주,C그룹,17,17,0,1,1,9,0,28,1,89,17,0,1,7,0,25,47,0,10,27,0,84,0,0,0,0,0,0,0,0,0,0,0,47,17,2.799999952316284,89,17,5.199999809265137
2017,399,한국폴리텍Ⅱ대학남인천캠퍼스,전문대학,사립,인천,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,400,한국폴리텍Ⅱ대학인천캠퍼스,전문대학,사립,인천,C그룹,2360,2360,0,101,98,16,0,2575,16,2540,546,0,46,4,0,596,1188,0,186,29,0,1403,0,0,0,0,0,0,0,0,0,0,0,1188,2360,0.5,2540,2360,1.100000023841858
2017,401,한국폴리텍Ⅱ대학화성캠퍼스,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,402,한국폴리텍Ⅲ대학강릉캠퍼스,전문대학,사립,강원,C그룹,97,97,0,4,12,7,8,128,2,557,63,0,6,9,2,80,371,0,62,55,61,549,0,0,0,0,0,0,0,0,0,0,0,371,97,3.799999952316284,557,97,5.699999809265137
2017,403,한국폴리텍Ⅲ대학원주캠퍼스,전문대학,사립,강원,C그룹,39,39,0,6,4,8,0,57,1,186,35,0,3,0,0,38,67,0,8,48,0,123,0,0,0,0,0,0,0,0,0,0,0,67,39,1.7000000476837158,186,39,4.800000190734863
2017,404,한국폴리텍Ⅲ대학춘천캠퍼스,전문대학,사립,강원,C그룹,386,386,0,25,21,13,3,448,6,3,44,0,0,14,0,58,271,0,0,85,0,356,0,0,0,0,0,0,0,0,0,0,0,271,386,0.699999988079071,3,386,0
2017,405,한국폴리텍Ⅳ대학대전캠퍼스,전문대학,사립,대전,C그룹,1076,1076,0,53,58,14,120,1321,6,500,204,0,16,0,0,220,256,0,142,0,0,398,0,0,0,0,0,0,0,0,0,1,500,256,1076,0.20000000298023224,500,1076,0.5
2017,406,한국폴리텍Ⅳ대학아산캠퍼스,전문대학,사립,충남,C그룹,553,553,0,31,33,7,30,654,8,150,15,0,1,3,0,19,36,0,4,5,0,45,0,0,0,0,0,0,0,0,0,0,0,36,553,0.10000000149011612,150,553,0.30000001192092896
2017,407,한국폴리텍Ⅳ대학청주캠퍼스,전문대학,사립,충북,C그룹,803,803,0,34,38,10,3,888,5,952,560,0,80,41,0,681,560,0,80,41,0,681,0,0,0,0,0,0,0,0,0,0,0,560,803,0.699999988079071,952,803,1.2000000476837158
2017,408,한국폴리텍Ⅳ대학충남캠퍼스,전문대학,사립,충남,C그룹,272,272,0,17,13,8,2,312,4,721,192,0,10,3,0,205,322,0,52,12,0,386,0,0,0,0,0,0,0,0,0,0,0,322,272,1.2000000476837158,721,272,2.700000047683716
2017,409,한국폴리텍Ⅴ대학광주캠퍼스,전문대학,사립,광주,C그룹,808,808,0,34,43,17,0,902,10,2600,178,0,25,10,0,213,256,0,169,108,0,533,0,0,0,0,0,0,0,0,0,1,650,256,808,0.30000001192092896,2600,808,3.200000047683716
2017,410,한국폴리텍Ⅴ대학순천캠퍼스,전문대학,사립,전남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,411,한국폴리텍Ⅴ대학익산캠퍼스,전문대학,사립,전북,C그룹,100,100,0,9,5,9,16,139,1,600,20,0,10,8,0,38,82,0,44,30,0,156,0,0,0,0,0,0,0,0,0,0,0,82,100,0.800000011920929,600,100,6
2017,412,한국폴리텍Ⅴ대학전남캠퍼스,전문대학,사립,전남,C그룹,289,289,0,21,18,12,1,341,5,280,142,0,32,23,0,197,242,0,40,30,0,312,0,0,0,0,0,0,0,0,0,2,200,242,289,0.800000011920929,280,289,1
2017,413,한국폴리텍Ⅴ대학전북캠퍼스,전문대학,사립,전북,C그룹,547,547,0,30,20,7,0,604,7,0,54,0,15,0,0,69,190,0,126,0,0,316,0,0,0,0,0,0,0,0,0,0,0,190,547,0.30000001192092896,0,547,0
2017,414,한국폴리텍Ⅵ대학구미캠퍼스,전문대학,사립,경북,C그룹,607,607,0,33,33,9,0,682,5,183,45,0,20,18,0,83,21,0,45,17,0,83,0,0,0,0,0,0,0,0,0,5,150,21,607,0,183,607,0.30000001192092896
2017,415,한국폴리텍Ⅵ대학대구캠퍼스,전문대학,사립,대구,C그룹,1069,1069,0,53,50,18,4,1194,7,7450,773,0,17,19,0,809,2360,0,124,150,0,2634,0,0,50,230,60,0,0,0,0,0,0,2360,1069,2.200000047683716,7450,1069,7
2017,416,한국폴리텍Ⅵ대학영남융합기술캠퍼스,전문대학,사립,대구,C그룹,379,379,0,27,26,7,0,439,6,106,67,0,1,7,0,75,281,0,19,0,0,300,0,0,0,0,0,0,0,0,0,0,0,281,379,0.699999988079071,106,379,0.30000001192092896
2017,417,한국폴리텍Ⅵ대학영주캠퍼스,전문대학,사립,경북,C그룹,44,44,0,6,6,7,1,64,1,211,211,0,0,0,0,211,556,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,556,44,12.600000381469727,211,44,4.800000190734863
2017,418,한국폴리텍Ⅶ대학동부산캠퍼스,전문대학,사립,부산,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,419,한국폴리텍Ⅶ대학부산캠퍼스,전문대학,사립,부산,C그룹,1042,1042,0,39,50,11,10,1152,7,970,84,0,7,11,10,112,161,0,20,91,138,410,0,0,0,0,0,0,0,0,0,0,0,161,1042,0.20000000298023224,970,1042,0.8999999761581421
2017,420,한국폴리텍Ⅶ대학울산캠퍼스,전문대학,사립,울산,C그룹,881,881,0,36,46,12,0,975,8,289,79,0,0,4,0,83,201,0,69,0,0,270,0,0,0,0,0,0,0,0,0,0,0,201,881,0.20000000298023224,289,881,0.30000001192092896
2017,421,한국폴리텍Ⅶ대학진주캠퍼스,전문대학,사립,경남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,422,한국폴리텍Ⅶ대학창원캠퍼스,전문대학,사립,경남,C그룹,1477,1477,0,56,66,23,0,1622,12,3400,129,0,9,11,0,149,608,0,58,132,0,798,0,0,0,0,0,0,0,0,0,0,0,608,1477,0.4000000059604645,3400,1477,2.299999952316284
2017,423,한국폴리텍특성화 로봇캠퍼스,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,424,한국폴리텍특성화 바이오캠퍼스,전문대학,사립,충남,C그룹,377,377,0,23,16,10,0,426,6,369,70,0,8,6,0,84,384,0,91,36,0,511,0,0,0,0,0,0,0,0,0,0,0,384,377,1,369,377,1
2017,425,한국폴리텍특성화 반도체융합캠퍼스,전문대학,사립,경기,C그룹,545,545,0,28,40,9,64,686,7,520,102,0,0,12,5,119,447,0,0,22,54,523,0,0,0,0,0,0,0,0,0,0,0,447,545,0.800000011920929,520,545,1
2017,426,한국폴리텍특성화 항공캠퍼스,전문대학,사립,경남,C그룹,566,566,0,27,24,9,0,626,6,342,493,0,28,12,0,533,493,0,28,12,0,533,0,0,0,0,0,0,0,0,0,1,280,493,566,0.8999999761581421,342,566,0.6000000238418579
2017,427,한국학대학원,대학원대학,국립,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,428,한국항공대학교,대학,사립,경기,C그룹,4616,4127,489,152,123,222,276,5389,11,477747,2327,213,80,85,459,3164,18692,2494,913,1375,2050,25524,0,0,1237,745,97,39,20,261,22,2,6,21186,4616,4.599999904632568,477747,4616,103.5
2017,429,한남대학교,대학,사립,대전,A그룹,13290,12224,1066,434,649,229,1043,15645,47,942335,6207,420,321,256,609,7813,59442,7592,8859,4963,11916,92772,0,0,5407,1165,1305,203,141,803,82,110,4004,67034,13290,5,942335,13290,70.9000015258789
2017,430,한동대학교,대학,사립,경북,C그룹,4359,3990,369,144,169,131,20,4823,14,335337,3942,349,84,177,24,4576,55330,3980,2225,3302,359,65196,0,0,1365,476,432,0,0,48,42,6,511,59310,4359,13.600000381469727,335337,4359,76.9000015258789
2017,431,한라대학교,대학,사립,강원,C그룹,4120,4083,37,137,145,86,0,4488,20,158676,809,0,54,59,0,922,2955,0,677,599,632,4863,0,0,295,127,29,0,0,30,1,40,527,2955,4120,0.699999988079071,158676,4120,38.5
2017,432,한려대학교,대학,사립,전남,C그룹,721,671,50,58,5,17,0,801,14,1291,101,0,0,0,0,101,464,0,0,0,0,464,0,0,18,15,0,0,0,0,0,0,0,464,721,0.6000000238418579,1291,721,1.7999999523162842
2017,433,한림국제대학원대학교,대학원대학,사립,서울,-,193,0,193,17,51,11,0,272,5,500,0,28,3,0,0,31,0,116,34,0,0,150,0,0,15,10,0,0,0,0,0,0,0,116,193,0.6000000238418579,500,193,2.5999999046325684
2017,434,한림대학교,대학,사립,강원,B그룹,9001,8277,724,799,404,203,1951,12358,32,673592,6212,368,419,370,455,7824,75393,5200,12042,7993,9963,110591,0,0,5256,1985,62,31,164,444,377,33,1226,80593,9001,9,673592,9001,74.80000305175781
2017,435,한림성심대학교,전문대학,사립,강원,B그룹,3315,3315,0,89,246,61,1125,4836,27,229629,1237,0,59,29,221,1546,9413,0,766,333,9884,20396,0,0,53,65,143,0,15,0,0,13,1270,9413,3315,2.799999952316284,229629,3315,69.30000305175781
2017,436,한민학교,대학,사립,충남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,437,한반도국제대학원대학교,대학원대학,사립,서울,-,56,0,56,6,4,3,667,736,2,120,0,13,2,1,25,41,0,80,10,1,121,212,0,0,5,15,0,0,0,0,0,2,40,80,56,1.399999976158142,120,56,2.0999999046325684
2017,438,한북대학교,대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,439,한서대학교,대학,사립,충남,B그룹,7903,7401,502,283,298,159,847,9490,50,214753,1854,84,89,86,30,2143,15163,895,2555,2228,2837,23678,0,0,32,20,50,7,33,312,38,36,1020,16058,7903,2,214753,7903,27.200000762939453
2017,440,한성대학교,대학,사립,서울,B그룹,7454,6651,803,260,373,131,1680,9898,32,380784,4638,286,301,195,1650,7070,64380,4222,7440,2832,10396,89270,0,0,798,78,423,121,344,242,91,31,718,68602,7454,9.199999809265137,380784,7454,51.099998474121094
2017,441,한세대학교,대학,사립,경기,C그룹,3664,2812,852,131,365,81,284,4525,23,267175,1416,518,60,37,75,2106,10120,6333,817,609,1423,19302,0,0,107,84,111,0,4,16,22,22,630,16453,3664,4.5,267175,3664,72.9000015258789
2017,442,한신대학교,대학,사립,경기,B그룹,5761,5306,455,175,280,128,886,7230,37,359792,3354,427,199,115,111,4206,26929,9524,3998,1978,3849,46278,0,0,1363,43,665,32,122,64,77,6,183,36453,5761,6.300000190734863,359792,5761,62.5
2017,443,한양대학교,대학,사립,서울,A그룹,22624,15499,7125,1012,2328,660,21126,47750,67,1822681,11600,5959,711,613,805,19688,104209,68891,13118,8484,58519,253221,0,0,5873,12384,791,270,510,1071,1423,101,2703,173100,22624,7.699999809265137,1822681,22624,80.5999984741211
2017,444,한양대학교(ERICA),대학,사립,경기,A그룹,10441,9037,1404,386,734,257,645,12463,55,561015,5855,68,285,274,201,6683,56288,898,5355,4780,51927,119248,0,0,766,10108,3026,2661,4890,491,671,79,1032,57186,10441,5.5,561015,10441,53.70000076293945
2017,445,한양여자대학교,전문대학,사립,서울,A그룹,6726,6726,0,181,468,119,6,7500,29,104939,2563,0,92,134,6,2795,16840,0,1650,1468,49,20007,0,0,167,42,27,0,0,0,3,9,2091,16840,6726,2.5,104939,6726,15.600000381469727
2017,446,한영대학교,전문대학,사립,전남,C그룹,1386,1386,0,40,114,21,335,1896,10,1770,1016,0,37,8,68,1129,12030,0,578,70,228,12906,0,0,27,296,0,0,0,72,72,1,584,12030,1386,8.699999809265137,1770,1386,1.2999999523162842
2017,447,한일장신대학교,대학,사립,전북,C그룹,1217,912,305,45,122,30,140,1554,9,63586,561,211,48,23,27,870,4613,5367,819,350,2627,13776,0,0,128,122,0,79,31,179,6,3,300,9980,1217,8.199999809265137,63586,1217,52.20000076293945
2017,448,한중대학교,대학,사립,강원,C그룹,1145,1062,83,75,79,43,0,1342,19,3200,30,1,4,0,1,36,61,49,5,0,3,118,0,0,0,0,0,0,0,0,0,0,0,110,1145,0.10000000149011612,3200,1145,2.799999952316284
2017,449,합동신학대학원대학교,대학원대학,사립,경기,-,304,0,304,23,16,15,2696,3054,5,11661,0,317,30,13,217,577,0,12375,726,194,5797,19092,0,0,500,250,208,52,40,38,24,3,131,12375,304,40.70000076293945,11661,304,38.400001525878906
2017,450,해군사관학교,기타,기타,경남,-,0,0,0,0,0,0,749,749,0,24244,706,0,101,489,96,1392,9167,0,2422,9285,545,21419,0,0,0,0,0,117,0,70,1,2,750,9167,0,0,24244,0,0
2017,451,협성대학교,대학,사립,경기,C그룹,4894,4455,439,158,308,74,282,5716,31,247834,2503,201,131,48,26,2909,16212,3264,2474,818,369,23137,0,0,2585,1078,28,46,9,85,19,20,691,19476,4894,4,247834,4894,50.599998474121094
2017,452,혜전대학교,전문대학,사립,충남,B그룹,3126,3126,0,85,205,51,87,3554,23,58754,1648,0,46,63,22,1779,17513,0,910,1735,383,20541,0,0,96,170,2,5,0,0,0,0,0,17513,3126,5.599999904632568,58754,3126,18.799999237060547
2017,453,호남대학교,대학,사립,광주,B그룹,8000,7376,624,278,131,140,1498,10047,46,514971,1828,80,127,106,65,2206,12244,560,2324,1557,6894,23579,0,0,407,115,14,0,0,79,52,13,1787,12804,8000,1.600000023841858,514971,8000,64.4000015258789
2017,454,호남신학대학교,대학,사립,광주,C그룹,986,541,445,38,76,24,425,1549,3,57525,290,313,35,11,44,693,2788,7168,435,118,896,11405,0,0,0,0,0,0,0,20,12,17,68,9956,986,10.100000381469727,57525,986,58.29999923706055
2017,455,호산대학교,전문대학,사립,경북,C그룹,2001,2001,0,74,154,29,0,2258,12,8844,259,0,75,47,0,381,1437,0,1165,1021,0,3623,0,0,12,12,0,1,1,0,0,0,0,1437,2001,0.699999988079071,8844,2001,4.400000095367432
2017,456,호서대학교,대학,사립,충남,A그룹,13785,12518,1267,478,436,206,4307,19212,84,1145572,5123,297,237,246,220,6123,29011,3964,4510,6613,3977,48075,0,0,185,96,60,191,29,315,51,11,167,32975,13785,2.4000000953674316,1145572,13785,83.0999984741211
2017,457,호원대학교,대학,사립,전북,B그룹,5782,5782,0,187,365,86,175,6595,36,126834,899,0,40,57,15,1011,5999,0,588,744,7952,15283,0,0,162,114,4,9,14,78,1,33,1248,5999,5782,1,126834,5782,21.899999618530273
2017,458,홍익대학교,대학,사립,서울,A그룹,21953,18346,3607,742,834,473,11159,35161,74,2061487,11863,2172,489,351,862,15737,97955,34445,7734,6034,10938,157106,0,0,19167,10099,9089,2971,2081,339,447,55,1010,132400,21953,6,2061487,21953,93.9000015258789
2017,459,화성의과학대학교,대학,사립,경기,C그룹,815,815,0,49,12,15,0,891,13,3200,341,0,7,1,0,349,521,0,12,1,0,534,0,0,0,0,0,0,0,0,0,0,0,521,815,0.6000000238418579,3200,815,3.9000000953674316
2017,460,화신사이버대학교,대학,사립,부산,C그룹,1210,1210,0,11,26,23,0,1270,7,1187,1187,0,0,0,0,1187,551,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,551,1210,0.5,1187,1210,1
2017,461,횃불트리니티신학대학원대학교,대학원대학,사립,서울,-,445,0,445,25,30,23,227,750,4,130007,0,485,32,11,46,574,0,5208,575,84,430,6297,0,0,164,123,34,39,31,121,11,4,53,5208,445,11.699999809265137,130007,445,292.20001220703125
