연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_재학생수(전년도),봉사대상자수 및 이용자수_봉사대상자수_학부생,봉사대상자수 및 이용자수_봉사대상자수_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전임교원,봉사대상자수 및 이용자수_봉사대상자수_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_직원,봉사대상자수 및 이용자수_봉사대상자수_기타,봉사대상자수 및 이용자수_봉사대상자수_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2017,363,치유상담대학원대학교,대학원대학,사립,서울,-,191,0,191,16,4,11,300,522,2,500,0,123,1,9,50,183,0,791,19,49,200,1059,0,0,75,25,5,0,0,5,5,12,32,791,191,4.099999904632568,500,191,2.5999999046325684
2017,364,칼빈대학교,대학,사립,경기,C그룹,715,407,308,19,110,24,223,1091,8,37960,212,138,22,8,19,399,1953,3833,389,59,209,6443,0,0,203,85,82,2,6,5,8,3,180,5786,715,8.100000381469727,37960,715,53.099998474121094
2017,365,탐라대학교,대학,사립,제주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,366,평택대학교,대학,사립,경기,C그룹,4645,4032,613,150,235,86,316,5432,28,309257,1744,284,92,40,46,2206,14856,5607,1277,313,1615,23668,0,0,430,1530,805,141,10,248,11,15,1131,20463,4645,4.400000095367432,309257,4645,66.5999984741211
2017,367,포항공과대학교,대학,사립,경북,C그룹,3238,1472,1766,270,157,404,5224,9293,12,390325,1566,2410,388,392,1951,6707,10560,10613,5057,4260,8038,38528,0,0,14,61,82,70,30,745,993,15,275,21173,3238,6.5,390325,3238,120.5
2017,368,포항대학교,전문대학,사립,경북,C그룹,2224,2224,0,76,111,60,57,2528,19,16825,259,0,20,56,24,359,2364,0,186,568,651,3769,0,0,52,47,0,0,0,0,0,2,57,2364,2224,1.100000023841858,16825,2224,7.599999904632568
2017,369,한경국립대학교,대학,국립,경기,B그룹,7103,6717,386,235,430,159,3332,11259,41,378771,3310,104,146,172,819,4551,32358,1075,1640,2301,9483,46857,0,0,1306,695,28,17,1,76,1,29,1227,33433,7103,4.699999809265137,378771,7103,53.29999923706055
2017,370,한국개발연구원국제정책대학원대학교,대학원대학,사립,세종,-,754,0,754,34,45,93,625,1551,3,726818,0,595,42,104,414,1155,0,6967,401,2151,5493,15012,0,0,2471,94,144,0,0,217,20,12,267,6967,754,9.199999809265137,726818,754,963.9000244140625
2017,371,한국골프과학기술대학교,전문대학,사립,강원,C그룹,453,453,0,14,23,26,5,521,4,990,79,0,12,11,4,106,661,0,99,125,54,939,0,0,50,20,20,0,0,0,0,5,55,661,453,1.5,990,453,2.200000047683716
2017,372,한국공학대학교,대학,사립,경기,B그룹,8108,7713,395,244,290,142,86,8870,28,384891,2973,84,107,74,48,3286,19941,640,2014,780,467,23842,0,0,0,0,23,63,54,69,9,1,10,20581,8108,2.5,384891,8108,47.5
2017,373,한국과학기술원,대학,국립,대전,A그룹,10633,3932,6701,622,505,1772,822,14354,17,1445233,2841,4236,296,737,111,8221,30515,42668,3390,8993,34425,119991,0,0,3531,3287,2574,149,462,413,1085,52,1360,73183,10633,6.900000095367432,1445233,10633,135.89999389648438
2017,374,한국관광대학교,전문대학,사립,경기,C그룹,2025,2025,0,50,61,55,70,2261,14,19323,619,0,15,27,3,664,4439,0,168,538,25,5170,0,0,167,23,0,6,1,6,1,17,1222,4439,2025,2.200000047683716,19323,2025,9.5
2017,375,한국교원대학교,대학,국립,충북,B그룹,5709,2403,3306,207,298,265,2566,9045,24,359346,2322,2354,161,142,265,5244,41431,40866,3396,8950,8930,103573,0,0,2008,3047,130,409,182,490,157,51,1742,82297,5709,14.399999618530273,359346,5709,62.900001525878906
2017,376,한국국제대학교,대학,사립,경남,C그룹,3682,3681,1,135,137,66,66,4086,32,13721,528,0,20,39,37,624,2129,0,416,1717,872,5134,0,0,103,74,7,1,0,30,0,38,489,2129,3682,0.6000000238418579,13721,3682,3.700000047683716
2017,377,한국기술교육대학교,대학,사립,충남,C그룹,4871,4390,481,182,206,190,270,5719,11,485004,3047,219,126,220,215,3827,32021,2151,2335,2216,2551,41274,0,0,2136,2494,923,71,0,749,30,234,1343,34172,4871,7,485004,4871,99.5999984741211
2017,378,한국농수산대학교,전문대학,국립,전북,C그룹,1180,1180,0,33,92,107,317,1729,12,28023,316,0,24,38,52,430,2011,0,241,793,2964,6009,0,0,1989,523,45,0,0,0,0,0,0,2011,1180,1.7000000476837158,28023,1180,23.700000762939453
2017,379,한국방송통신대학교,대학,국립,서울,A그룹,125385,123197,2188,155,113,586,84,126323,24,841764,3330,205,244,286,105,4170,19920,1819,4344,3728,71903,101714,0,0,88278,54508,1493,157,75,111,34,299,3323,21739,125385,0.20000000298023224,841764,125385,6.699999809265137
2017,380,한국복지사이버대학교,전문대학,사립,경북,B그룹,1675,1675,0,10,60,21,2,1768,9,0,22,0,0,0,2,24,22,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,22,1675,0,0,1675,0
2017,381,한국상담대학원대학교,대학원대학,사립,서울,-,199,0,199,16,2,12,7,236,1,7200,0,194,0,19,0,213,0,1900,0,140,0,2040,0,0,30,65,15,6,6,63,59,6,107,1900,199,9.5,7200,199,36.20000076293945
