연도,번호,학교명,학교유형,설립,지역,대학규모,시설_도서관건물연면적 (제곱미터),시설_열람석_총열람석수,시설_설비_업무용컴퓨터(PC)수,시설_설비_이용자용컴퓨터(PC)수,시설_설비_총 보유컴퓨터(PC)수,재학생 1인당 도서관건물 연면적_연면적,재학생 1인당 도서관건물 연면적_재학생수(당해년도),재학생 1인당 도서관건물 연면적_재학생 1인당 도서관건물 연면적
2016,260,신한대학교,대학,사립,경기,B그룹,6500,1405,14,37,51,6500,6047,1.100000023841858
2016,261,신흥대학교,전문대학,사립,경기,A그룹,0,0,0,0,0,0,0,0.0
2016,262,실천신학대학원대학교,대학원대학,사립,경기,-,117,25,1,1,2,117,57,2.0999999046325684
2016,263,아신대학교,대학,사립,경기,C그룹,2061,458,4,21,25,2061,1479,1.399999976158142
2016,264,아주대학교,대학,사립,경기,A그룹,17516,2761,59,104,163,17516,14042,1.2000000476837158
2016,265,아주자동차대학교,전문대학,사립,충남,C그룹,412,183,4,6,10,412,1004,0.4000000059604645
2016,266,안동과학대학교,전문대학,사립,경북,B그룹,7391,643,6,93,99,7391,2813,2.5999999046325684
2016,267,안산대학교,전문대학,사립,경기,A그룹,4412,714,13,75,88,4412,4557,1.0
2016,268,안양대학교,대학,사립,경기,B그룹,4858,1100,25,68,93,4858,5336,0.8999999761581421
2016,269,에스라성경대학원대학교,대학원대학,사립,경기,-,135,100,1,2,3,135,60,2.299999952316284
2016,270,여주대학교,전문대학,사립,경기,B그룹,7276,920,5,60,65,7276,5585,1.2999999523162842
2016,271,연성대학교,전문대학,사립,경기,A그룹,2411,528,15,59,74,2411,5943,0.4000000059604645
2016,272,연세대학교,대학,사립,서울,A그룹,68914,6923,185,966,1151,68914,31007,2.200000047683716
2016,273,연세대학교(미래),대학,사립,강원,B그룹,10486,1781,37,291,328,10486,8145,1.2999999523162842
2016,274,연암공과대학교,전문대학,사립,경남,C그룹,1533,324,2,20,22,1533,1241,1.2000000476837158
2016,275,연암대학교,전문대학,사립,충남,C그룹,1828,235,5,22,27,1828,1079,1.7000000476837158
