연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2020,120,대구한의대학교,대학,사립,경북,B그룹,266809,93500,360309,496434,136865,633299,11,13,44797,1,25,44797,324,28,352,14064,3997,18061,13820,9,633299,6721,94.19999694824219,18061,633299,2.9000000953674316
2020,121,대덕대학교,전문대학,사립,대전,C그룹,75344,686,76030,183268,913,184181,2,5,45209,2,9,45209,85,1,86,7555,10025,17580,4662,1749,184181,4193,43.900001525878906,17580,184181,10.600000381469727
2020,122,대동대학교,전문대학,사립,부산,C그룹,49198,1083,50281,54051,1155,55206,5,5,10953,0,10,10953,71,3,74,754,80,834,778,0,55206,1490,37.099998474121094,834,55206,1.5
2020,123,대림대학교,전문대학,사립,경기,A그룹,101399,48030,149429,148699,49343,198042,3,1,54583,2,6,54583,129,0,129,7271,831,8102,4550,0,198042,6894,28.700000762939453,8102,198042,4.300000190734863
2020,124,대신대학교,대학,사립,경북,C그룹,79883,10859,90742,101064,11523,112587,2,3,7950,0,5,7950,114,4,118,892,1355,2247,2018,0,112587,622,181.0,2247,112587,2.0
2020,125,대원대학교,전문대학,사립,충북,C그룹,56594,3596,60190,86101,4096,90197,2,0,11674,2,4,11674,137,0,137,3486,661,4147,3282,0,90197,2482,36.29999923706055,4147,90197,4.800000190734863
2020,126,대전가톨릭대학교,대학,사립,세종,C그룹,91633,36271,127904,107804,38023,145827,0,4,2547,0,4,2547,138,72,210,958,2516,3474,2844,862,145827,91,1602.5,3474,145827,2.4000000953674316
2020,127,대전과학기술대학교,전문대학,사립,대전,B그룹,80084,99358,179442,179785,170210,349995,4,5,9165,3,12,9165,162,8,170,4856,695,5551,2820,0,349995,4509,77.5999984741211,5551,349995,1.600000023841858
2020,128,대전대학교,대학,사립,대전,B그룹,408872,118974,527846,621414,164301,785715,11,16,85646,10,37,85646,322,9,331,26391,3404,29795,28213,0,785715,9880,79.5,29795,785715,3.9000000953674316
2020,129,대전보건대학교,전문대학,사립,대전,A그룹,99923,30320,130243,204667,33250,237917,3,17,49789,1,21,49789,81,0,81,6710,49689,56399,28322,0,237917,5730,41.5,56399,237917,31.100000381469727
2020,130,대전신학대학교,대학,사립,대전,C그룹,40738,9283,50021,66082,11672,77754,0,1,4338,0,1,4338,182,0,182,268,101,369,295,0,77754,200,388.79998779296875,369,77754,0.5
2020,131,대진대학교,대학,사립,경기,B그룹,275350,93521,368871,547770,145092,692862,14,20,37471,7,41,37471,243,6,249,15971,3039,19010,11203,0,692862,7901,87.69999694824219,19010,692862,2.799999952316284
2020,132,대한신학대학원대학교,대학원대학,사립,경기,-,7405,1931,9336,13130,2700,15830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15830,290,54.599998474121094,0,15830,0.0
2020,133,덕성여자대학교,대학,사립,서울,B그룹,389025,74729,463754,638537,128163,766700,18,19,19339,6,43,19339,534,64,598,12068,2952,15020,12091,0,766700,5928,129.3000030517578,15020,766700,2.0
2020,134,동강대학교,전문대학,사립,광주,B그룹,111260,8632,119892,158255,10079,168334,1,0,17671,1,2,17671,66,0,66,4094,307,4401,4005,3025,168334,3217,52.29999923706055,4401,168334,2.700000047683716
2020,135,동국대학교,대학,사립,서울,A그룹,809997,334398,1144395,1196813,408866,1605679,30,36,229745,0,66,229745,762,390,1152,163506,11119,174625,173227,0,1605679,17498,91.80000305175781,174625,1605679,12.199999809265137
2020,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,422918,90569,513487,666492,134091,800583,13,17,15966,2,32,15966,1143,86,1229,9484,2912,12396,11427,7806,800583,8417,95.0999984741211,12396,800583,1.600000023841858
2020,137,동남보건대학교,전문대학,사립,경기,A그룹,79683,6785,86468,143152,7867,151019,0,4,20471,1,5,20471,32,0,32,4726,633,5359,3949,0,151019,4677,32.29999923706055,5359,151019,3.700000047683716
2020,138,동덕여자대학교,대학,사립,서울,B그룹,170202,36606,206808,413200,116354,529554,13,21,63512,2,36,63512,379,122,501,15079,1685,16764,12661,15225,529554,7139,74.19999694824219,16764,529554,3.299999952316284
2020,139,동명대학교,대학,사립,부산,B그룹,369093,46003,415096,488609,52186,540795,6,9,33334,0,15,33334,41,9,50,21518,2695,24213,21340,0,540795,8200,66.0,24213,540795,4.699999809265137
2020,140,동방문화대학원대학교,대학원대학,사립,서울,-,19977,3974,23951,21695,4099,25794,7,5,5782,0,12,5782,12,0,12,432,860,1292,939,94,25794,309,83.5,1292,25794,5.300000190734863
2020,141,동부산대학교,전문대학,사립,부산,C그룹,113946,9360,123306,135094,9916,145010,0,0,4340,0,0,4340,56,0,56,0,0,0,0,0,145010,1335,108.5999984741211,0,145010,0.0
2020,142,동서대학교,대학,사립,부산,B그룹,318466,112015,430481,638594,139789,778383,9,15,129306,1,25,129306,299,67,366,24545,3033,27578,27012,0,778383,10780,72.19999694824219,27578,778383,3.700000047683716
2020,143,동서울대학교,전문대학,사립,경기,A그룹,101086,9313,110399,217632,10648,228280,2,1,15349,3,6,15349,86,0,86,5833,533,6366,3565,1293,228280,5953,38.29999923706055,6366,228280,2.9000000953674316
2020,144,동신대학교,대학,사립,전남,B그룹,466725,125058,591783,583526,140879,724405,8,16,36086,5,29,36086,278,29,307,14326,1793,16119,14884,0,724405,7008,103.4000015258789,16119,724405,2.299999952316284
2020,145,동아대학교,대학,사립,부산,A그룹,575125,254298,829423,1032501,364808,1397309,33,23,47796,0,56,47796,355,131,486,17787,17896,35683,24169,0,1397309,20460,68.30000305175781,35683,1397309,2.5999999046325684
2020,146,동아방송예술대학교,전문대학,사립,경기,B그룹,62945,16293,79238,89207,16574,105781,3,9,24380,0,12,24380,67,0,67,6403,677,7080,4753,0,105781,3072,34.400001525878906,7080,105781,7.199999809265137
2020,147,동아보건대학교,전문대학,사립,전남,C그룹,46753,0,46753,60151,0,60151,0,2,7542,0,2,7542,46,0,46,1228,2398,3626,2478,322,60151,1736,34.599998474121094,3626,60151,6.400000095367432
2020,148,동양대학교,대학,사립,경북,C그룹,149916,62258,212174,274733,78455,353188,8,5,35812,4,17,35812,59,0,59,9765,857,10622,8355,2,353188,4453,79.30000305175781,10622,353188,3.0999999046325684
2020,149,동양미래대학교,전문대학,사립,서울,A그룹,163474,18925,182399,251140,24729,275869,5,4,23651,2,11,23651,217,22,239,7663,0,7663,4880,14060,275869,5830,47.29999923706055,7663,275869,2.9000000953674316
2020,150,동우대학,전문대학,사립,강원,B그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,151,동원과학기술대학교,전문대학,사립,경남,B그룹,49715,1887,51602,78015,2174,80189,1,0,0,0,1,0,68,1,69,1042,0,1042,811,0,80189,2291,35.0,1042,80189,1.2999999523162842
2020,152,동원대학교,전문대학,사립,경기,B그룹,88208,2092,90300,129594,3353,132947,0,1,17440,0,1,17440,53,0,53,4585,18,4603,3391,0,132947,3663,36.29999923706055,4603,132947,3.5999999046325684
2020,153,동의과학대학교,전문대학,사립,부산,B그룹,93452,5693,99145,161498,7227,168725,4,4,13636,1,9,13636,110,15,125,5232,127,5359,3733,0,168725,5748,29.399999618530273,5359,168725,3.299999952316284
2020,154,동의대학교,대학,사립,부산,A그룹,443870,159154,603024,938287,282249,1220536,12,18,47670,5,35,47670,411,23,434,26291,1308,27599,21078,0,1220536,16122,75.69999694824219,27599,1220536,2.299999952316284
2020,155,두원공과대학교,전문대학,사립,경기,B그룹,64106,9194,73300,126273,10608,136881,2,2,3335,0,4,3335,136,0,136,4972,1,4973,2111,0,136881,5058,27.100000381469727,4973,136881,3.799999952316284
2020,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,2627,0,2627,10135,0,10135,0,1,2627,0,1,2627,0,0,0,104,0,104,75,0,10135,3675,2.799999952316284,104,10135,1.0
2020,157,루터대학교,대학,사립,경기,C그룹,21724,7786,29510,28589,9837,38426,2,9,2360,0,11,2360,55,49,104,276,0,276,232,0,38426,397,96.80000305175781,276,38426,0.699999988079071
2020,158,마산대학교,전문대학,사립,경남,A그룹,70848,1312,72160,189031,1503,190534,5,5,37970,0,10,37970,127,0,127,9442,0,9442,5387,0,190534,5595,34.099998474121094,9442,190534,5.199999809265137
2020,159,명신대학교,대학,사립,전남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,160,명지대학교,대학,사립,서울,A그룹,637914,279765,917679,1198424,359359,1557783,29,18,439109,12,59,439109,1175,78,1253,84522,3537,88059,41651,0,1557783,16070,96.9000015258789,88059,1557783,6.0
2020,161,명지전문대학,전문대학,사립,서울,A그룹,121198,12384,133582,230170,14778,244948,1,3,11185,2,6,11185,57,6,63,9020,266,9286,8133,0,244948,7056,34.70000076293945,9286,244948,3.9000000953674316
2020,162,목원대학교,대학,사립,대전,B그룹,241258,165834,407092,456710,219043,675753,11,21,128941,8,40,128941,336,31,367,19445,1731,21176,13325,23,675753,8429,80.19999694824219,21176,675753,3.200000047683716
2020,163,목포가톨릭대학교,대학,사립,전남,C그룹,35528,3451,38979,45584,3527,49111,6,6,9727,0,12,9727,10,1,11,1394,37,1431,1314,0,49111,500,98.19999694824219,1431,49111,3.0
2020,164,목포과학대학교,전문대학,사립,전남,B그룹,61133,4472,65605,67959,5718,73677,3,0,5908,0,3,5908,12,0,12,938,0,938,870,0,73677,2287,32.20000076293945,938,73677,1.2999999523162842
2020,165,문경대학교,전문대학,사립,경북,C그룹,32276,187,32463,41420,210,41630,0,1,2459,1,2,2459,70,0,70,743,0,743,662,0,41630,876,47.5,743,41630,1.7999999523162842
2020,166,배재대학교,대학,사립,대전,B그룹,216811,214489,431300,482440,267116,749556,8,10,168101,4,22,168101,228,25,253,21971,2836,24807,14176,62,749556,9075,82.5999984741211,24807,749556,3.4000000953674316
2020,167,배화여자대학교,전문대학,사립,서울,B그룹,73426,5721,79147,147278,7311,154589,2,0,4421,2,4,4421,57,13,70,3146,524,3670,2218,2382,154589,2863,54.0,3670,154589,2.4000000953674316
2020,168,백석대학교,대학,사립,충남,A그룹,418635,364663,783298,777473,407930,1185403,11,8,452567,4,23,452567,222,48,270,38619,1998,40617,39844,0,1185403,14140,83.80000305175781,40617,1185403,3.5
2020,169,백석문화대학교,전문대학,사립,충남,A그룹,90686,15241,105927,173869,20597,194466,0,3,14676,6,9,14676,18,0,18,3808,283,4091,911,0,194466,5679,34.20000076293945,4091,194466,2.0999999046325684
2020,170,백석예술대학,전문대학,사립,서울,A그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,171,백제예술대학교,전문대학,사립,전북,C그룹,32045,1298,33343,44031,2241,46272,0,0,1578,0,0,1578,18,0,18,535,0,535,535,0,46272,1264,36.599998474121094,535,46272,1.2000000476837158
2020,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,18032,180,18212,37639,213,37852,0,0,0,0,0,0,18,14,32,392,5,397,217,0,37852,52,727.9000244140625,397,37852,1.100000023841858
2020,173,벽성대학,전문대학,사립,전북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,174,부산가톨릭대학교,대학,사립,부산,C그룹,187548,107025,294573,275611,116646,392257,9,13,84088,1,23,84088,437,18,455,4126,3656,7782,6456,0,392257,4092,95.9000015258789,7782,392257,2.0
2020,175,부산경상대학교,전문대학,사립,부산,B그룹,86615,2937,89552,125400,3075,128475,0,0,7833,1,1,7833,178,0,178,3265,324,3589,2319,0,128475,2818,45.599998474121094,3589,128475,2.9000000953674316
2020,176,부산과학기술대학교,전문대학,사립,부산,B그룹,106109,4004,110113,155368,4399,159767,1,2,14556,0,3,14556,120,0,120,5290,0,5290,1328,0,159767,4173,38.29999923706055,5290,159767,3.4000000953674316
2020,177,부산교육대학교,대학,국립,부산,C그룹,165816,14521,180337,306553,17831,324384,9,8,22901,1,18,22901,227,20,247,4281,1726,6007,2894,0,324384,2424,133.8000030517578,6007,324384,1.899999976158142
2020,178,부산대학교,대학,국립,부산,A그룹,751773,399191,1150964,1701929,838055,2539984,45,49,581752,5,99,581752,975,1061,2036,57102,16520,73622,39866,0,2539984,27830,91.30000305175781,73622,2539984,3.0
2020,179,부산디지털대학교,대학,사립,부산,C그룹,2926,0,2926,2926,0,2926,1,0,977,0,1,977,0,0,0,331,0,331,235,0,2926,2420,1.2000000476837158,331,2926,12.800000190734863
2020,180,부산보건대학교,전문대학,사립,부산,B그룹,77690,13073,90763,100911,17420,118331,5,6,32943,0,11,32943,120,0,120,2828,864,3692,3334,0,118331,3194,37.0,3692,118331,3.200000047683716
2020,181,부산여자대학교,전문대학,사립,부산,C그룹,114316,25813,140129,132972,30592,163564,5,4,691,0,9,691,110,8,118,3178,301,3479,3077,0,163564,2820,58.0,3479,163564,2.200000047683716
2020,182,부산예술대학교,전문대학,사립,부산,C그룹,9558,0,9558,13633,0,13633,0,0,0,0,0,0,0,0,0,415,183,598,500,0,13633,761,17.899999618530273,598,13633,4.599999904632568
2020,183,부산외국어대학교,대학,사립,부산,B그룹,288368,202212,490580,534957,291022,825979,11,15,61006,5,31,61006,364,44,408,18871,3178,22049,18669,0,825979,8722,94.69999694824219,22049,825979,2.700000047683716
2020,184,부산장신대학교,대학,사립,경남,C그룹,40156,5174,45330,60907,6604,67511,3,5,4746,0,8,4746,56,0,56,996,126,1122,896,290,67511,412,163.89999389648438,1122,67511,1.7000000476837158
2020,185,부천대학교,전문대학,사립,경기,A그룹,172395,20736,193131,274096,25270,299366,5,9,40110,1,15,40110,142,16,158,10466,799,11265,9058,0,299366,7710,38.79999923706055,11265,299366,3.9000000953674316
2020,186,삼육대학교,대학,사립,서울,B그룹,218570,100463,319033,346762,132202,478964,4,14,47148,4,22,47148,61,41,102,11173,20159,31332,28232,14,478964,5890,81.30000305175781,31332,478964,7.0
2020,187,삼육보건대학교,전문대학,사립,서울,C그룹,46803,1824,48627,60029,2694,62723,1,2,4430,0,3,4430,156,2,158,2450,165,2615,2495,0,62723,1371,45.70000076293945,2615,62723,4.400000095367432
2020,188,상명대학교,대학,사립,서울,A그룹,482138,177625,659763,915332,259938,1175270,17,29,176438,6,52,176438,286,97,383,31074,3486,34560,21378,77865,1175270,13947,84.30000305175781,34560,1175270,3.0
2020,189,상지대학교,대학,사립,강원,B그룹,301337,24919,326256,661791,47028,708819,10,9,17378,6,25,17378,436,1,437,113447,995,114442,71383,0,708819,6784,104.5,114442,708819,19.299999237060547
2020,190,상지영서대학교,전문대학,사립,강원,B그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,191,서강대학교,대학,사립,서울,A그룹,398370,455528,853898,685429,579777,1265206,40,48,61997,7,95,61997,230,176,406,29835,2383,32218,29716,43169,1265206,11194,113.0,32218,1265206,2.5999999046325684
2020,192,서경대학교,대학,사립,서울,B그룹,293640,48045,341685,530379,68857,599236,7,6,32127,3,16,32127,406,79,485,25453,1047,26500,23699,0,599236,6892,86.9000015258789,26500,599236,4.599999904632568
2020,193,서남대학교,대학,사립,전북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,194,서라벌대학교,전문대학,사립,경북,C그룹,30764,4148,34912,107470,16526,123996,1,2,2785,0,3,2785,73,0,73,1096,0,1096,705,0,123996,680,182.3000030517578,1096,123996,0.8999999761581421
2020,195,서영대학교,전문대학,사립,광주,A그룹,82637,3222,85859,101797,3555,105352,1,6,24604,1,8,24604,169,0,169,3606,80,3686,3640,0,105352,5122,20.600000381469727,3686,105352,3.5999999046325684
2020,196,서울과학기술대학교,대학,국립,서울,A그룹,254073,118255,372328,617928,142172,760100,25,25,20212,4,54,20212,396,21,417,22437,940,23377,12813,0,760100,12209,62.29999923706055,23377,760100,3.200000047683716
2020,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,1672,244,1916,2553,323,2876,7,6,4746,0,13,4746,4,0,4,0,31,31,3,0,2876,522,5.5,31,2876,1.100000023841858
2020,198,서울교육대학교,대학,국립,서울,C그룹,157860,25866,183726,287973,36367,324340,15,10,49464,0,25,49464,173,25,198,5212,1587,6799,4955,0,324340,2912,111.4000015258789,6799,324340,2.0999999046325684
2020,199,서울기독대학교,대학,사립,서울,C그룹,31499,12803,44302,40865,15230,56095,3,7,4549,1,11,4549,70,4,74,858,151,1009,874,0,56095,731,76.69999694824219,1009,56095,1.7999999523162842
2020,200,서울대학교,대학,국립,서울,A그룹,731687,1642659,2374346,2135088,2977928,5113016,91,118,690013,0,209,690013,1417,1970,3387,22255,15249,37504,34996,473,5113016,27784,184.0,37504,5113016,0.699999988079071
2020,201,서울디지털대학교,대학,사립,서울,A그룹,13765,202,13967,37165,1008,38173,1,0,12878,0,1,12878,0,0,0,1148,1040,2188,1138,0,38173,10199,3.700000047683716,2188,38173,6.099999904632568
2020,202,서울미디어대학원대학교,대학원대학,사립,서울,-,3758,1207,4965,4185,1369,5554,0,1,0,0,1,0,10,0,10,130,226,356,356,0,5554,111,50.0,356,5554,6.800000190734863
2020,203,서울벤처대학원대학교,대학원대학,사립,서울,-,880,390,1270,2191,1146,3337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337,266,12.5,0,3337,0.0
2020,204,서울불교대학원대학교,대학원대학,사립,서울,-,7819,2414,10233,7788,2414,10202,0,2,0,0,2,0,2,1,3,228,885,1113,1059,64,10202,179,57.0,1113,10202,12.199999809265137
2020,205,서울사이버대학교,대학,사립,서울,A그룹,2036,10325,12361,7933,50975,58908,0,3,53011,0,3,53011,0,0,0,0,0,0,0,0,58908,10710,5.5,0,58908,0.0
2020,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,5460,0,5460,5708,0,5708,0,0,0,0,0,0,1,0,1,24,253,277,276,1,5708,168,34.0,277,5708,5.099999904632568
2020,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,6801,419,7220,8010,431,8441,3,1,0,0,4,0,27,0,27,461,16,477,391,0,8441,124,68.0999984741211,477,8441,6.0
2020,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,15064,1417,16481,19536,2144,21680,1,4,5538,0,5,5538,51,4,55,779,32,811,358,259,21680,98,221.1999969482422,811,21680,3.9000000953674316
2020,209,서울시립대학교,대학,공립,서울,A그룹,428839,164176,593015,817552,280500,1098052,28,58,300566,4,90,300566,520,193,713,24564,2534,27098,19879,0,1098052,11764,93.30000305175781,27098,1098052,2.5
2020,210,서울신학대학교,대학,사립,경기,C그룹,116303,115021,231324,217355,134782,352137,3,7,54420,2,12,54420,75,13,88,1586,597,2183,1871,0,352137,3118,112.9000015258789,2183,352137,0.6000000238418579
2020,211,서울여자간호대학교,전문대학,사립,서울,C그룹,25432,1427,26859,35376,1774,37150,7,7,7328,0,14,7328,38,3,41,1734,319,2053,1775,0,37150,939,39.599998474121094,2053,37150,5.800000190734863
2020,212,서울여자대학교,대학,사립,서울,B그룹,401402,148868,550270,570932,178793,749725,18,16,69792,4,38,69792,149,68,217,16727,900,17627,14731,26739,749725,7368,101.80000305175781,17627,749725,2.4000000953674316
2020,213,서울예술대학교,전문대학,사립,경기,B그룹,74393,10488,84881,94058,11368,105426,5,6,67415,5,16,67415,74,34,108,4635,196,4831,4104,0,105426,3129,33.70000076293945,4831,105426,4.800000190734863
2020,214,서울외국어대학원대학교,대학원대학,사립,서울,-,1883,660,2543,2680,708,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388,159,21.299999237060547,0,3388,0.0
2020,215,서울장신대학교,대학,사립,경기,C그룹,64901,7511,72412,85482,39951,125433,5,8,40313,1,14,40313,124,2,126,15762,269,16031,16045,132,125433,839,149.5,16031,125433,14.699999809265137
2020,216,서울한영대학교,대학,사립,서울,C그룹,50920,33468,84388,82703,48823,131526,0,10,7373,0,10,7373,200,11,211,1875,1427,3302,2536,2,131526,895,147.0,3302,131526,2.5999999046325684
2020,217,서원대학교,대학,사립,충북,B그룹,316574,61476,378050,599623,115988,715611,8,12,42470,0,20,42470,551,20,571,16588,2124,18712,16447,3662,715611,6989,102.4000015258789,18712,715611,2.700000047683716
2020,218,서일대학교,전문대학,사립,서울,A그룹,107938,15443,123381,169231,16672,185903,5,6,16395,4,15,16395,101,14,115,6130,67,6197,5495,0,185903,6005,31.0,6197,185903,3.4000000953674316
2020,219,서정대학교,전문대학,사립,경기,A그룹,46331,15535,61866,69886,18671,88557,0,1,44618,1,2,44618,46,0,46,5666,0,5666,5156,0,88557,4908,18.0,5666,88557,6.800000190734863
2020,220,서해대학,전문대학,사립,전북,C그룹,44737,1035,45772,57985,1349,59334,0,0,1270,0,0,1270,0,0,0,0,0,0,0,0,59334,527,112.5999984741211,0,59334,0.0
2020,221,선교청대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,222,선린대학교,전문대학,사립,경북,C그룹,51023,2561,53584,80270,3289,83559,2,1,13317,0,3,13317,65,1,66,2760,20,2780,2377,0,83559,2400,34.79999923706055,2780,83559,3.4000000953674316
2020,223,선문대학교,대학,사립,충남,B그룹,322146,113242,435388,568832,143727,712559,14,17,40015,5,36,40015,295,52,347,20472,4588,25060,14295,0,712559,9584,74.30000305175781,25060,712559,3.5999999046325684
2020,224,선학유피대학원대학교,대학원대학,사립,경기,-,25677,8526,34203,37018,8526,45544,0,0,0,0,0,0,0,0,0,371,512,883,552,202,45544,52,875.7999877929688,883,45544,2.0
2020,225,성결대학교,대학,사립,경기,B그룹,243401,129266,372667,425308,147925,573233,5,12,83883,5,22,83883,109,67,176,59639,345,59984,59028,0,573233,5835,98.19999694824219,59984,573233,11.699999809265137
2020,226,성공회대학교,대학,사립,서울,C그룹,127285,82827,210112,162515,102742,265257,11,13,69830,4,28,69830,75,28,103,3434,799,4233,3788,2454,265257,2430,109.19999694824219,4233,265257,1.600000023841858
2020,227,성균관대학교,대학,사립,서울,A그룹,705115,457185,1162300,1304273,796356,2100629,42,56,541987,6,104,541987,366,303,669,35248,5974,41222,23875,122,2100629,27097,77.5,41222,2100629,2.0
2020,228,성산효대학원대학교,대학원대학,사립,인천,-,21609,5493,27102,21966,5493,27459,1,0,0,0,1,0,18,1,19,287,113,400,391,0,27459,248,110.69999694824219,400,27459,1.5
2020,229,성서침례대학원대학교,대학원대학,사립,경기,-,16797,6121,22918,16820,6121,22941,0,0,0,0,0,0,55,14,69,163,83,246,243,506,22941,42,546.2000122070312,246,22941,1.100000023841858
2020,230,성신여자대학교,대학,사립,서울,A그룹,377484,205013,582497,721983,250107,972090,16,22,84191,7,45,84191,180,104,284,42972,2053,45025,41213,16458,972090,9735,99.9000015258789,45025,972090,4.900000095367432
2020,231,성운대학교,전문대학,사립,경북,C그룹,24887,5467,30354,44193,5467,49660,0,0,9834,0,0,9834,34,0,34,2394,2000,4394,2704,0,49660,1640,30.299999237060547,4394,49660,9.699999809265137
2020,232,성화대학,전문대학,사립,전남,B그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,233,세경대학교,전문대학,사립,강원,C그룹,43906,1469,45375,45578,1469,47047,0,2,8059,0,2,8059,73,0,73,1501,202,1703,1703,0,47047,1047,44.900001525878906,1703,47047,3.799999952316284
2020,234,세계사이버대학,기타,기타,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,235,세명대학교,대학,사립,충북,B그룹,274377,69923,344300,557628,114598,672226,5,13,33952,10,28,33952,133,23,156,15747,201,15948,13179,0,672226,7803,86.0999984741211,15948,672226,2.4000000953674316
2020,236,세종대학교,대학,사립,서울,A그룹,371985,197486,569471,649345,306278,955623,27,25,44233,7,59,44233,177,80,257,6545,1829,8374,7054,0,955623,14208,67.30000305175781,8374,955623,0.8999999761581421
2020,237,세한대학교,대학,사립,충남,C그룹,163841,53668,217509,258629,74902,333531,3,7,41418,3,13,41418,82,3,85,13689,506,14195,10176,0,333531,4114,81.0999984741211,14195,333531,4.400000095367432
2020,238,송곡대학교,전문대학,사립,강원,C그룹,13780,43,13823,15905,97,16002,9,0,6053,0,9,6053,13,0,13,307,1586,1893,1687,0,16002,659,24.299999237060547,1893,16002,13.399999618530273
2020,239,송원대학교,대학,사립,광주,C그룹,112967,19212,132179,252238,26774,279012,9,9,32361,4,22,32361,90,0,90,6788,2732,9520,8731,0,279012,2869,97.30000305175781,9520,279012,3.5
2020,240,송호대학교,전문대학,사립,강원,C그룹,27924,1581,29505,42487,2236,44723,0,2,2641,0,2,2641,41,0,41,597,202,799,727,0,44723,973,46.0,799,44723,1.7999999523162842
2020,241,수도국제대학원대학교,대학원대학,사립,서울,-,14230,2492,16722,20760,4050,24810,0,0,0,0,0,0,28,0,28,34,313,347,258,14,24810,357,69.5,347,24810,1.399999976158142
2020,242,수성대학교,전문대학,사립,대구,B그룹,71112,2679,73791,120323,3601,123924,4,2,14703,4,10,14703,55,0,55,5340,117,5457,3865,0,123924,3506,35.29999923706055,5457,123924,4.599999904632568
2020,243,수원가톨릭대학교,대학,사립,경기,C그룹,61381,25004,86385,98127,38736,136863,4,3,6295,0,7,6295,156,109,265,2061,676,2737,1261,0,136863,179,764.5999755859375,2737,136863,2.0
2020,244,수원과학대학교,전문대학,사립,경기,B그룹,119474,7772,127246,217400,9970,227370,0,3,25922,2,5,25922,127,2,129,7243,12,7255,5737,0,227370,6256,36.29999923706055,7255,227370,3.299999952316284
2020,245,수원대학교,대학,사립,경기,B그룹,306315,148960,455275,664780,274012,938792,10,10,75330,4,24,75330,244,6,250,4598,9774,14372,12702,0,938792,10270,91.4000015258789,14372,938792,1.600000023841858
2020,246,수원여자대학교,전문대학,사립,경기,B그룹,72298,5407,77705,179757,10907,190664,1,3,6346,1,5,6346,80,0,80,5460,22,5482,2906,0,190664,4262,44.70000076293945,5482,190664,3.0
2020,247,숙명여자대학교,대학,사립,서울,A그룹,397595,188639,586234,943439,314318,1257757,32,36,108571,2,70,108571,426,124,550,20561,3174,23735,14900,540,1257757,12342,101.9000015258789,23735,1257757,1.899999976158142
2020,248,순복음대학원대학교,대학원대학,사립,서울,-,17145,243,17388,28861,304,29165,0,0,0,0,0,0,30,0,30,0,23,23,20,0,29165,104,280.3999938964844,23,29165,0.10000000149011612
2020,249,순복음총회신학교,대학,사립,충북,C그룹,13580,0,13580,25001,0,25001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25001,210,119.0999984741211,0,25001,0.0
2020,250,순천제일대학교,전문대학,사립,전남,B그룹,68213,858,69071,109607,1223,110830,2,1,3815,0,3,3815,25,0,25,2388,0,2388,2317,0,110830,2694,41.099998474121094,2388,110830,2.200000047683716
2020,251,순천향대학교,대학,사립,충남,A그룹,341900,224381,566281,574587,253403,827990,32,24,164321,4,60,164321,160,10,170,22964,458,23422,19753,15903,827990,11725,70.5999984741211,23422,827990,2.9000000953674316
2020,252,숭실대학교,대학,사립,서울,A그룹,413398,220184,633582,709425,252760,962185,33,38,325007,6,77,325007,215,138,353,26838,2974,29812,21949,0,962185,16211,59.400001525878906,29812,962185,3.200000047683716
