연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(당해년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2014년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2015년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2016년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2016,260,신한대학교,대학,사립,경기,B그룹,69103951000,224079040,21680770,14938760,28695700,23597634,0,25800000,338791904,67323083000,224000000,22000000,10000000,34000000,24500000,0,27800000,342300000,338791904,6047,56026.4,338791904,69103951000,0.5,342271977,369090784,338791904,-0.2
2016,261,신흥대학교,전문대학,사립,경기,A그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,262,실천신학대학원대학교,대학원대학,사립,경기,-,1493127000,1764760,304000,0,0,0,0,0,2068760,1235226000,3800000,1200000,600000,600000,3000000,0,800000,10000000,2068760,57,36294,2068760,1493127000,0.1,2441040,1702620,2068760,-4.4
2016,263,아신대학교,대학,사립,경기,C그룹,13773230000,66589107,35087200,1208560,0,22796938,0,12608377,138290182,13370000000,47000000,37000000,3000000,0,24700000,0,4000000,115700000,138290182,1479,93502.5,138290182,13773230000,1,109421277,127088132,138290182,12.5
2016,264,아주대학교,대학,사립,경기,A그룹,246850764000,276461440,92163886,20202118,1986311436,443316707,0,85423037,2903878624,253931747000,280000000,102360000,15000000,2014000000,432000000,0,99000000,2942360000,2903878624,14042,206799.5,2903878624,246850764000,1.2,2715793228,2615034630,2903878624,3.7
2016,265,아주자동차대학교,전문대학,사립,충남,C그룹,11769277000,25999930,3220000,0,0,0,0,0,29219930,9970314000,26000000,5280000,0,0,0,0,0,31280000,29219930,1004,29103.5,29219930,11769277000,0.2,24896780,29214960,29219930,8.7
2016,266,안동과학대학교,전문대학,사립,경북,B그룹,30467020000,49218930,16820580,3813080,9336000,0,0,17594660,96783250,31676107000,52000000,18000000,3000000,10000000,0,0,17000000,100000000,96783250,2813,34405.7,96783250,30467020000,0.3,91581520,89458306,96783250,2.9
2016,267,안산대학교,전문대학,사립,경기,A그룹,45925946000,54823990,24352000,6242610,16701169,2180000,0,17339740,121639509,45998625000,48673500,21595500,8589000,17300000,3817500,0,21632500,121608000,121639509,4557,26692.9,121639509,45925946000,0.3,153126783,130877996,121639509,-10.8
2016,268,안양대학교,대학,사립,경기,B그룹,56395597000,133448500,7386100,9528060,101102230,44588030,0,0,296052920,57401850000,77988400,7500000,9300000,87300000,33598300,0,46498750,262185450,296052920,5336,55482.2,296052920,56395597000,0.5,228985264,198139654,296052920,18
2016,269,에스라성경대학원대학교,대학원대학,사립,경기,-,829913000,5480000,472000,0,0,0,0,0,5952000,762145000,2528000,472000,0,0,0,0,0,3000000,5952000,60,99200,5952000,829913000,0.7,5000000,5000000,5952000,9.5
2016,270,여주대학교,전문대학,사립,경기,B그룹,55536376000,50799000,11330000,0,12804000,0,0,0,74933000,55514383000,131468560,9731440,0,13000000,0,0,0,154200000,74933000,5585,13416.8,74933000,55536376000,0.1,90977847,72444170,74933000,-8.5
2016,271,연성대학교,전문대학,사립,경기,A그룹,70148792000,79519334,18796580,34911980,6370000,8511690,0,29750000,177859584,70271241000,80000000,21900000,45000000,6560000,9000000,0,35150000,197610000,177859584,5943,29927.6,177859584,70148792000,0.3,155507600,164023369,177859584,7
