연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수-재학생수(당해년도),봉사대상자수-학부생,대학원생,전임교원,비전임교원,직원,기타,계,학과수,이용자수-도서관 이용자수,대출현황-대출자수-학부생,대학원생,교원,직원,기타,계,대출책수-학부생,대학원생,교원,직원,기타,계,참고서비스 및 상호협력-참고서비스 신청 및 제공 건수 (2010년 이전)-신청,제공,참고서비스 제공 건수 (2010년 이후)-면담,전화,온라인,상호대차 신청 및 제공 건수-신청,제공,원문복사 신청 및 제공 건수-신청,제공,이용자 교육-교육횟수,교육 참가자수,재학생 1인당 대출책수-대출책수,재학생수(당해년도),재학생 1인당 대출책수,재학생 1인당 도서관방문자수-방문자수,재학생수(당해년도),재학생 1인당 도서관방문자수
2014,450,해군사관학교,기타,기타,경남,-,550,550,0,95,35,450,596,1726,0,12457,531,0,57,123,357,1068,6766,0,1869,2879,7687,19201,0,0,1689,2957,957,20,0,24,0,4,15000,6766,550,12.300000190734863,12457,550,22.600000381469727
2014,451,협성대학교,대학,사립,경기,C그룹,5223,4779,444,169,355,82,137,5966,29,309054,2463,219,17,59,64,2822,15598,3826,2161,824,663,23072,0,0,2788,1584,428,41,10,72,36,0,0,19424,5223,3.700000047683716,309054,5223,59.20000076293945
2014,452,혜전대학교,전문대학,사립,충남,B그룹,3191,3191,0,84,191,48,263,3777,31,2510,1654,0,73,43,85,1855,13273,0,1062,773,825,15933,0,0,0,135,15,3,0,0,0,0,1532,13273,3191,4.199999809265137,2510,3191,0.800000011920929
2014,453,호남대학교,대학,사립,광주,B그룹,8111,7358,753,273,140,146,0,8670,51,388256,2036,101,128,114,0,2379,10087,652,2445,1406,0,14590,0,0,0,0,0,2,1,47,75,22,1241,10739,8111,1.2999999523162842,388256,8111,47.900001525878906
2014,454,호남신학대학교,대학,사립,광주,C그룹,1076,599,477,37,78,23,343,1557,3,95341,371,392,31,12,77,883,3210,7620,589,107,1050,12576,0,0,18,45,62,0,0,27,11,20,323,10830,1076,10.100000381469727,95341,1076,88.5999984741211
2014,455,호산대학교,전문대학,사립,경북,C그룹,2535,2535,0,63,157,31,7,2793,57,10560,394,0,31,35,7,467,2132,0,771,558,865,4326,0,0,10,5,0,6,0,1,0,0,0,2132,2535,0.800000011920929,10560,2535,4.199999809265137
2014,456,호서대학교,대학,사립,충남,A그룹,14400,13161,1239,445,563,217,30,15655,84,464293,6054,346,256,242,30,6928,49166,4941,4861,6298,483,65749,0,0,306,306,90,66,45,194,110,16,270,54107,14400,3.799999952316284,464293,14400,32.20000076293945
2014,457,호원대학교,대학,사립,전북,B그룹,5400,5400,0,165,382,79,238,6264,45,62616,1035,0,42,50,17,1144,8427,0,372,679,627,10105,0,0,0,0,0,20,3,103,2,16,457,8427,5400,1.600000023841858,62616,5400,11.600000381469727
2014,458,홍익대학교,대학,사립,서울,A그룹,22413,18732,3681,728,1082,432,3134,27789,72,2397078,13568,1848,446,338,531,16731,139118,28051,6930,5792,16959,196850,0,0,21368,11380,3609,1493,977,522,957,46,807,167169,22413,7.5,2397078,22413,107.0
2014,459,화성의과학대학교,대학,사립,경기,C그룹,868,868,0,51,0,12,0,931,10,4800,422,0,32,9,0,463,693,0,58,14,0,765,0,0,0,0,0,0,0,0,0,1,334,693,868,0.800000011920929,4800,868,5.5
2014,460,화신사이버대학교,대학,사립,부산,C그룹,1032,1032,0,8,29,15,0,1084,8,0,1142,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,0.0,0,1032,0.0
2014,461,횃불트리니티신학대학원대학교,대학원대학,사립,서울,-,449,0,449,23,28,21,211,732,6,923,0,488,26,15,41,570,0,16024,714,286,758,17782,0,0,289,144,14,23,24,189,15,15,181,16024,449,35.70000076293945,923,449,2.0999999046325684
