YR,ID,SNM,STYP,FND,RGN,USC,SCR_EST
2023,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,71.41763395442916
2023,2,가야대학교,대학,사립,경남,C그룹,67.97188795485594
2023,3,가천대학교,대학,사립,경기,A그룹,69.98678145486012
2023,4,가톨릭관동대학교,대학,사립,강원,B그룹,67.97188795485594
2023,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,68.02567892109684
2023,6,가톨릭대학교,대학,사립,경기,A그룹,73.6626745342248
2023,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,68.03051985735073
2023,8,감리교신학대학교,대학,사립,서울,C그룹,70.07215943746704
2023,9,강남대학교,대학,사립,경기,B그룹,69.60575846970227
2023,10,강동대학교,전문대학,사립,충북,B그룹,67.99272270771166
2023,11,강릉영동대학교,전문대학,사립,강원,B그룹,70.4967978177371
2023,12,강서대학교,대학,사립,서울,C그룹,68.05744204619073
2023,13,강원관광대학교,전문대학,사립,강원,C그룹,71.10088470963359
2023,14,강원대학교,대학,국립,강원,A그룹,72.6437264194953
2023,15,강원도립대학교,전문대학,공립,강원,C그룹,68.04789698333003
2023,16,개신대학원대학교,대학원대학,사립,서울,-,68.04789698333003
2023,17,거제대학교,전문대학,사립,경남,C그룹,68.06289411870124
2023,18,건국대학교,대학,사립,서울,A그룹,71.09026397184874
2023,19,건국대학교(글로컬),대학,사립,충북,B그룹,67.98970880395143
2023,21,건신대학원대학교,대학원대학,사립,대전,-,68.06571783242552
2023,22,건양대학교,대학,사립,충남,B그룹,68.01740313486205
2023,23,경기과학기술대학교,전문대학,사립,경기,A그룹,67.99272270771166
2023,24,경기대학교,대학,사립,경기,A그룹,68.08343247434851
2023,25,경남대학교,대학,사립,경남,A그룹,67.97981317495706
2023,26,경남도립거창대학,전문대학,공립,경남,C그룹,68.06289411870124
2023,27,경남도립남해대학,전문대학,공립,경남,C그룹,68.06440067112253
2023,28,경남정보대학교,전문대학,사립,부산,A그룹,67.99272270771166
2023,29,경동대학교,대학,사립,강원,B그룹,67.99272270771166
2023,30,경민대학교,전문대학,사립,경기,B그룹,69.1436505292538
2023,31,경복대학교,전문대학,사립,경기,A그룹,67.98827136195597
2023,32,경북과학대학교,전문대학,사립,경북,C그룹,69.22762873934917
2023,33,경북대학교,대학,국립,대구,A그룹,74.2435366342011
2023,34,경북보건대학교,전문대학,사립,경북,C그룹,68.05744204619073
2023,36,경북전문대학교,전문대학,사립,경북,B그룹,68.05744204619073
2023,37,경상국립대학교,대학,국립,경남,A그룹,73.0881075034458
2023,38,경성대학교,대학,사립,부산,A그룹,67.9843511757811
2023,39,경안대학원대학교,대학원대학,사립,경북,-,69.03309423268061
2023,40,경운대학교,대학,사립,경북,C그룹,67.97188795485594
2023,41,경인교육대학교,대학,국립,인천,C그룹,67.99516087646194
2023,42,경인여자대학교,전문대학,사립,인천,B그룹,67.99272270771166
2023,43,경일대학교,대학,사립,경북,B그룹,67.99272270771166
2023,44,경찰대학,기타,기타,충남,-,68.05744204619073
2023,45,경희대학교,대학,사립,서울,A그룹,74.69792181929367
2023,46,계명대학교,대학,사립,대구,A그룹,69.75640256485916
2023,47,계명문화대학교,전문대학,사립,대구,A그룹,67.99272270771166
2023,49,계원예술대학교,전문대학,사립,경기,B그룹,70.29636546350285
2023,50,고려대학교,대학,사립,서울,A그룹,77.61800528471467
2023,51,고려대학교(세종),대학,사립,세종,B그룹,70.67042386132621
2023,52,고려사이버대학교,대학,사립,서울,A그룹,70.29272946064866
2023,53,고신대학교,대학,사립,부산,C그룹,68.3132496411178
2023,54,공군사관학교,기타,기타,충북,-,68.855460984931
