연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료_종수_국내서,도서자료_종수_국외서,도서자료_종수_계,도서자료_책수_국내서,도서자료_책수_국외서,도서자료_책수_계,전자자료_전자저널_패키지,전자자료_웹DB_패키지,전자자료_[구독] e-Book_종수,전자자료_동영상강의자료(e-Learning)_패키지,전자자료_합계_패키지,전자자료_합계_종수,연속간행물_국내,연속간행물_국외,연속간행물_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_구입,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_기증,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 종수,연간 장서 증가 및 폐기 책수_연간 장서 폐기 책수,재학생 1인당 소장도서수_소장도서수,재학생 1인당 소장도서수_재학생수(전년도),재학생 1인당 소장도서수_재학생 1인당 소장도서수,연간장서증가율_연간장서증가책수,연간장서증가율_소장도서수,연간장서증가율_연간장서증가율
2023,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,7023,241,7264,9572,246,9818,0,0,0,0,0,0,0,0,0,132,0,132,130,0,9818,273,36,132,9818,1.399999976158142
2023,2,가야대학교,대학,사립,경남,C그룹,125947,47564,173511,188792,49721,238513,15,13,112253,0,28,112253,1520,57,1577,5124,703,5827,5413,0,238513,1937,123.0999984741211,5827,238513,2.5
2023,3,가천대학교,대학,사립,경기,A그룹,405787,159055,564842,987624,205034,1192658,34,42,85767,7,83,85767,6,0,6,20137,4852,24989,13633,0,1192658,22003,54.20000076293945,24989,1192658,2.0999999046325684
2023,4,가톨릭관동대학교,대학,사립,강원,B그룹,253112,176882,429994,525912,221798,747710,15,25,120659,2,42,120659,273,2,275,10051,2050,12101,7274,18317,747710,7331,102,12101,747710,1.600000023841858
2023,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,38746,11539,50285,54309,11990,66299,14,15,10370,0,29,10370,28,1,29,397,3,400,197,0,66299,468,141.6999969482422,400,66299,0.6000000238418579
2023,6,가톨릭대학교,대학,사립,경기,A그룹,453550,271904,725454,729585,421455,1151040,102,77,446792,5,184,446792,929,255,1184,23167,2400,25567,19994,29954,1151040,10504,109.5999984741211,25567,1151040,2.299999952316284
2023,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,66559,2270,68829,104023,3944,107967,13,11,64187,0,24,64187,147,0,147,2804,75,2879,2608,8261,107967,1850,58.400001525878906,2879,107967,2.700000047683716
2023,8,감리교신학대학교,대학,사립,서울,C그룹,65939,119721,185660,100985,136873,237858,9,7,76492,4,20,76492,38,10,48,2545,182,2727,2610,957,237858,1267,187.6999969482422,2727,237858,1.2000000476837158
2023,9,강남대학교,대학,사립,경기,B그룹,279258,80280,359538,428285,141187,569472,18,17,54348,1,36,54348,100,0,100,3926,1428,5354,2949,0,569472,6719,84.80000305175781,5354,569472,0.8999999761581421
2023,10,강동대학교,전문대학,사립,충북,B그룹,114816,1314,116130,141251,1399,142650,10,15,119621,0,25,119621,24,0,24,2144,298,2442,2083,0,142650,2972,48,2442,142650,1.7000000476837158
2023,11,강릉영동대학교,전문대학,사립,강원,B그룹,57949,12072,70021,88467,12099,100566,1,1,80790,0,2,80790,180,0,180,1098,379,1477,1070,0,100566,2330,43.20000076293945,1477,100566,1.5
2023,12,강서대학교,대학,사립,서울,C그룹,75429,20561,95990,97580,22737,120317,16,21,73129,3,40,73129,125,30,155,1062,1322,2384,2373,0,120317,1787,67.30000305175781,2384,120317,2
2023,13,강원관광대학교,전문대학,사립,강원,C그룹,38903,235,39138,48029,272,48301,1,0,2237,0,1,2237,0,0,0,0,0,0,0,0,48301,415,116.4000015258789,0,48301,0
2023,14,강원대학교,대학,국립,강원,A그룹,859882,203790,1063672,1290050,322970,1613020,50,64,159399,1,115,159399,487,158,645,37466,5416,42882,37809,21224,1613020,21291,75.80000305175781,42882,1613020,2.700000047683716
2023,15,강원도립대학교,전문대학,공립,강원,C그룹,47943,1889,49832,58405,2102,60507,8,7,63957,1,16,63957,52,0,52,1577,0,1577,1281,2761,60507,552,109.5999984741211,1577,60507,2.700000047683716
2023,16,개신대학원대학교,대학원대학,사립,서울,-,18155,1060,19215,23950,1646,25596,2,1,86,0,3,86,45,1,46,333,21,354,340,300,25596,176,145.39999389648438,354,25596,1.399999976158142
2023,17,거제대학교,전문대학,사립,경남,C그룹,57765,1726,59491,73721,1834,75555,1,1,3310,0,2,3310,100,0,100,2311,942,3253,3253,0,75555,991,76.19999694824219,3253,75555,4.5
2023,18,건국대학교,대학,사립,서울,A그룹,448631,148343,596974,975919,197391,1173310,24,21,76223,3,48,76223,443,188,631,22923,6491,29414,17208,198771,1173310,19890,59,29414,1173310,2.5999999046325684
2023,19,건국대학교(글로컬),대학,사립,충북,B그룹,294444,112982,407426,573591,135487,709078,18,29,208976,1,48,208976,185,204,389,15266,563,15829,8256,31565,709078,7113,99.69999694824219,15829,709078,2.299999952316284
2023,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,21,건신대학원대학교,대학원대학,사립,대전,-,12351,3495,15846,17969,5078,23047,2,0,60,0,2,60,8,0,8,243,103,346,321,81,23047,156,147.6999969482422,346,23047,1.5
