연도,번호,학교명,학교유형,설립,지역,대학규모,시설_도서관건물연면적 (제곱미터),시설_열람석_총열람석수,시설_설비_정보화기기(PC)수,재학생 1인당 도서관건물 연면적_연면적,재학생 1인당 도서관건물 연면적_재학생수(당해년도),재학생 1인당 도서관건물 연면적_재학생 1인당 도서관건물 연면적
2023,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,190.89999389648438,18,0,190.89999389648438,287,0.699999988079071
2023,2,가야대학교,대학,사립,경남,C그룹,3446.89990234375,712,32,3446.89990234375,1787,1.899999976158142
2023,3,가천대학교,대학,사립,경기,A그룹,13194.2998046875,2984,243,13194.2998046875,23396,0.6000000238418579
2023,4,가톨릭관동대학교,대학,사립,강원,B그룹,8226.0,1365,74,8226.0,6419,1.2999999523162842
2023,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727.0,185,26,1727.0,468,3.700000047683716
2023,6,가톨릭대학교,대학,사립,경기,A그룹,17684.0,3104,181,17684.0,10966,1.600000023841858
2023,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339.0,414,17,3339.0,1827,1.7999999523162842
2023,8,감리교신학대학교,대학,사립,서울,C그룹,2542.0,170,9,2542.0,1202,2.0999999046325684
2023,9,강남대학교,대학,사립,경기,B그룹,5555.0,1101,80,5555.0,6885,0.800000011920929
2023,10,강동대학교,전문대학,사립,충북,B그룹,1289.5999755859375,456,38,1289.5999755859375,2982,0.4000000059604645
2023,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521.0,420,7,2521.0,2257,1.100000023841858
2023,12,강서대학교,대학,사립,서울,C그룹,1169.0,284,11,1169.0,1777,0.699999988079071
2023,13,강원관광대학교,전문대학,사립,강원,C그룹,1092.0,228,21,1092.0,395,2.799999952316284
2023,14,강원대학교,대학,국립,강원,A그룹,35438.19921875,4070,319,35438.19921875,21759,1.600000023841858
2023,15,강원도립대학교,전문대학,공립,강원,C그룹,1735.0,188,9,1735.0,608,2.9000000953674316
2023,16,개신대학원대학교,대학원대학,사립,서울,-,221.5,40,10,221.5,175,1.2999999523162842
2023,17,거제대학교,전문대학,사립,경남,C그룹,1413.5999755859375,306,5,1413.5999755859375,1018,1.399999976158142
2023,18,건국대학교,대학,사립,서울,A그룹,24648.0,3443,153,24648.0,19996,1.2000000476837158
2023,19,건국대학교(글로컬),대학,사립,충북,B그룹,10320.0,1262,46,10320.0,7287,1.399999976158142
2023,20,건동대학교,대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2023,21,건신대학원대학교,대학원대학,사립,대전,-,446.0,60,5,446.0,174,2.5999999046325684
2023,22,건양대학교,대학,사립,충남,B그룹,9895.0,2013,117,9895.0,7095,1.399999976158142
2023,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4367.0,909,95,4367.0,4293,1.0
2023,24,경기대학교,대학,사립,경기,A그룹,13909.0,1981,154,13909.0,16384,0.800000011920929
2023,25,경남대학교,대학,사립,경남,A그룹,13473.2001953125,2013,148,13473.2001953125,10658,1.2999999523162842
2023,26,경남도립거창대학,전문대학,공립,경남,C그룹,823.0,180,15,823.0,860,1.0
2023,27,경남도립남해대학,전문대학,공립,경남,C그룹,759.9000244140625,110,27,759.9000244140625,749,1.0
2023,28,경남정보대학교,전문대학,사립,부산,A그룹,7791.0,1297,117,7791.0,5573,1.399999976158142
2023,29,경동대학교,대학,사립,강원,B그룹,12051.0,2449,122,12051.0,7060,1.7000000476837158
2023,30,경민대학교,전문대학,사립,경기,B그룹,2218.39990234375,244,23,2218.39990234375,3896,0.6000000238418579
2023,31,경복대학교,전문대학,사립,경기,A그룹,9777.099609375,1337,114,9777.099609375,6104,1.600000023841858
2023,32,경북과학대학교,전문대학,사립,경북,C그룹,1014.0,237,23,1014.0,1800,0.6000000238418579
2023,33,경북대학교,대학,국립,대구,A그룹,41449.19921875,5478,157,41449.19921875,27587,1.5
2023,34,경북보건대학교,전문대학,사립,경북,C그룹,1044.0,235,10,1044.0,1291,0.800000011920929
2023,35,경북외국어대학교,대학,사립,대구,C그룹,0.0,0,0,0.0,0,0.0
2023,36,경북전문대학교,전문대학,사립,경북,B그룹,1621.199951171875,360,8,1621.199951171875,2521,0.6000000238418579
2023,37,경상국립대학교,대학,국립,경남,A그룹,34340.0,3616,212,34340.0,20208,1.7000000476837158
2023,38,경성대학교,대학,사립,부산,A그룹,13287.5,1858,173,13287.5,12478,1.100000023841858
2023,39,경안대학원대학교,대학원대학,사립,경북,-,117.30000305175781,33,1,117.30000305175781,48,2.4000000953674316
2023,40,경운대학교,대학,사립,경북,C그룹,5716.0,1188,100,5716.0,4569,1.2999999523162842
2023,41,경인교육대학교,대학,국립,인천,C그룹,10071.900390625,1311,85,10071.900390625,3727,2.700000047683716
2023,42,경인여자대학교,전문대학,사립,인천,B그룹,2202.60009765625,478,36,2202.60009765625,3859,0.6000000238418579
2023,43,경일대학교,대학,사립,경북,B그룹,12429.0,1356,85,12429.0,7116,1.7000000476837158
2023,44,경찰대학,기타,기타,충남,-,5497.0,260,16,5497.0,0,0.0
2023,45,경희대학교,대학,사립,서울,A그룹,37855.30078125,4994,193,37855.30078125,34535,1.100000023841858
2023,46,계명대학교,대학,사립,대구,A그룹,28160.69921875,3386,237,28160.69921875,22747,1.2000000476837158
2023,47,계명문화대학교,전문대학,사립,대구,A그룹,5555.0,636,63,5555.0,4505,1.2000000476837158
2023,48,계약신학대학원대학교,대학원대학,사립,경기,-,0.0,0,0,0.0,0,0.0
2023,49,계원예술대학교,전문대학,사립,경기,B그룹,3017.0,455,7,3017.0,2790,1.100000023841858
2023,50,고려대학교,대학,사립,서울,A그룹,50130.80078125,7304,188,50130.80078125,30320,1.7000000476837158
2023,51,고려대학교(세종),대학,사립,세종,B그룹,9118.0,1099,43,9118.0,7501,1.2000000476837158
2023,52,고려사이버대학교,대학,사립,서울,A그룹,0.0,0,0,0.0,10119,0.0
2023,53,고신대학교,대학,사립,부산,C그룹,7648.60009765625,1526,35,7648.60009765625,4035,1.899999976158142
2023,54,공군사관학교,기타,기타,충북,-,4105.2001953125,358,16,4105.2001953125,836,4.900000095367432
2023,55,공주교육대학교,대학,국립,충남,C그룹,6537.0,841,45,6537.0,1916,3.4000000953674316
2023,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0.0,0,0,0.0,1352,0.0
2023,57,광신대학교,대학,사립,광주,C그룹,2715.0,351,23,2715.0,948,2.9000000953674316
2023,58,광양보건대학교,전문대학,사립,전남,C그룹,1308.0,290,5,1308.0,116,11.300000190734863
2023,59,광운대학교,대학,사립,서울,B그룹,10899.7001953125,1584,97,10899.7001953125,9808,1.100000023841858
2023,60,광주가톨릭대학교,대학,사립,전남,C그룹,2883.0,179,19,2883.0,95,30.299999237060547
2023,61,광주과학기술원,대학,국립,광주,C그룹,8760.0,585,48,8760.0,2110,4.199999809265137
2023,62,광주교육대학교,대학,국립,광주,C그룹,5612.0,657,22,5612.0,1757,3.200000047683716
2023,63,광주대학교,대학,사립,광주,B그룹,14829.5,1083,82,14829.5,6118,2.4000000953674316
2023,64,광주보건대학교,전문대학,사립,광주,B그룹,3375.0,1106,17,3375.0,3498,1.0
2023,65,광주여자대학교,대학,사립,광주,C그룹,5456.10009765625,912,42,5456.10009765625,3773,1.399999976158142
2023,66,구미대학교,전문대학,사립,경북,A그룹,1484.0,394,94,1484.0,5256,0.30000001192092896
2023,67,구세군사관대학원대학교,대학원대학,사립,경기,-,200.0,24,3,200.0,16,12.5
2023,68,국군간호사관학교,기타,기타,대전,-,1728.300048828125,434,4,1728.300048828125,0,0.0
2023,69,국립강릉원주대학교,대학,국립,강원,B그룹,21940.900390625,1463,65,21940.900390625,7803,2.799999952316284
2023,70,국립경국대학교,대학,국립,경북,B그룹,12421.0,1442,64,12421.0,6340,2.0
2023,71,국립공주대학교,대학,국립,충남,A그룹,27957.30078125,3231,147,27957.30078125,14767,1.899999976158142
2023,72,국립군산대학교,대학,국립,전북,B그룹,11398.0,1461,95,11398.0,7245,1.600000023841858
2023,73,국립금오공과대학교,대학,국립,경북,B그룹,11648.099609375,1682,71,11648.099609375,5637,2.0999999046325684
2023,74,국립목포대학교,대학,국립,전남,B그룹,15918.2998046875,1921,115,15918.2998046875,6652,2.4000000953674316
2023,75,국립목포해양대학교,대학,국립,전남,C그룹,4713.60009765625,556,41,4713.60009765625,2607,1.7999999523162842
2023,76,국립부경대학교,대학,국립,부산,A그룹,23094.0,4045,99,23094.0,17774,1.2999999523162842
2023,77,국립순천대학교,대학,국립,전남,B그룹,11878.900390625,970,67,11878.900390625,7392,1.600000023841858
2023,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,210.0,56,18,210.0,56,3.799999952316284
2023,79,국립창원대학교,대학,국립,경남,B그룹,14914.599609375,2070,126,14914.599609375,8828,1.7000000476837158
2023,80,국립한국교통대학교,대학,국립,충북,B그룹,15319.0,1919,180,15319.0,8492,1.7999999523162842
2023,81,국립한국해양대학교,대학,국립,부산,B그룹,7741.39990234375,905,67,7741.39990234375,7063,1.100000023841858
2023,82,국립한밭대학교,대학,국립,대전,B그룹,9954.900390625,1341,41,9954.900390625,8927,1.100000023841858
2023,83,국민대학교,대학,사립,서울,A그룹,12646.0,1685,115,12646.0,18320,0.699999988079071
2023,84,국방대학교,기타,기타,충남,-,9072.0,190,38,9072.0,0,0.0
2023,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,103.0,31,5,103.0,275,0.4000000059604645
2023,86,국제대학교,전문대학,사립,경기,B그룹,703.0999755859375,212,25,703.0999755859375,2476,0.30000001192092896
2023,87,국제문화대학원대학교,대학원대학,사립,충남,-,0.0,0,0,0.0,0,0.0
2023,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,561.5999755859375,170,0,561.5999755859375,193,2.9000000953674316
2023,89,국제사이버대학교,대학,사립,경기,C그룹,0.0,0,4,0.0,3429,0.0
2023,90,국제언어대학원대학교,대학원대학,사립,서울,-,221.39999389648438,42,9,221.39999389648438,129,1.7000000476837158
2023,91,국제예술대학교,기타,기타,서울,-,45.0,1,1,45.0,0,0.0
2023,92,군산간호대학교,전문대학,사립,전북,C그룹,846.0999755859375,276,38,846.0999755859375,1147,0.699999988079071
2023,93,군장대학교,전문대학,사립,전북,C그룹,712.0,142,9,712.0,1554,0.5
2023,94,극동대학교,대학,사립,충북,C그룹,2362.199951171875,673,49,2362.199951171875,2984,0.800000011920929
2023,95,글로벌사이버대학교,대학,사립,충남,C그룹,0.0,0,0,0.0,2228,0.0
2023,96,금강대학교,대학,사립,충남,C그룹,8287.7998046875,481,31,8287.7998046875,203,40.79999923706055
2023,97,기독간호대학교,전문대학,사립,광주,C그룹,344.79998779296875,96,5,344.79998779296875,583,0.6000000238418579
2023,98,김천대학교,대학,사립,경북,C그룹,3509.10009765625,801,38,3509.10009765625,2442,1.399999976158142
2023,99,김포대학교,전문대학,사립,경기,C그룹,2302.0,566,17,2302.0,1609,1.399999976158142
2023,100,김해대학교,전문대학,사립,경남,C그룹,719.0,244,2,719.0,1435,0.5
2023,101,나사렛대학교,대학,사립,충남,B그룹,4763.0,675,89,4763.0,5089,0.8999999761581421
2023,102,나주대학교,전문대학,사립,전남,C그룹,367.0,120,62,367.0,1206,0.30000001192092896
2023,103,남부대학교,대학,사립,광주,C그룹,2212.300048828125,771,11,2212.300048828125,3231,0.699999988079071
2023,104,남서울대학교,대학,사립,충남,B그룹,15937.0,1626,85,15937.0,9640,1.7000000476837158
2023,105,농협대학교,전문대학,사립,경기,C그룹,445.70001220703125,90,14,445.70001220703125,376,1.2000000476837158
2023,106,능인대학원대학교,대학원대학,사립,경기,-,399.0,57,5,399.0,23,17.299999237060547
2023,107,단국대학교,대학,사립,경기,A그룹,31258.099609375,4008,183,31258.099609375,26571,1.2000000476837158
2023,108,대경대학교,전문대학,사립,경북,B그룹,1176.0,365,36,1176.0,3656,0.30000001192092896
2023,109,대구가톨릭대학교,대학,사립,경북,A그룹,20041.5,2194,182,20041.5,12358,1.600000023841858
2023,110,대구경북과학기술원,대학,국립,대구,C그룹,11833.0,383,8,11833.0,1759,6.699999809265137
2023,111,대구공업대학교,전문대학,사립,대구,C그룹,1944.0999755859375,272,22,1944.0999755859375,1294,1.5
2023,112,대구과학대학교,전문대학,사립,대구,A그룹,6357.10009765625,1218,57,6357.10009765625,4308,1.5
2023,113,대구교육대학교,대학,국립,대구,C그룹,8369.2001953125,1206,70,8369.2001953125,2412,3.5
2023,114,대구대학교,대학,사립,경북,A그룹,17709.30078125,2357,185,17709.30078125,17191,1.0
2023,115,대구미래대학교,전문대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2023,116,대구보건대학교,전문대학,사립,대구,A그룹,3464.0,719,31,3464.0,6571,0.5
2023,117,대구사이버대학교,대학,사립,경북,C그룹,12.600000381469727,0,0,12.600000381469727,4529,0.0
2023,118,대구예술대학교,대학,사립,경북,C그룹,891.7000122070312,120,36,891.7000122070312,429,2.0999999046325684
2023,119,대구외국어대학교,대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2023,120,대구한의대학교,대학,사립,경북,B그룹,7271.7998046875,1047,43,7271.7998046875,6699,1.100000023841858
2023,121,대덕대학교,전문대학,사립,대전,C그룹,1398.0999755859375,374,39,1398.0999755859375,1777,0.800000011920929
2023,122,대동대학교,전문대학,사립,부산,C그룹,1010.0,269,38,1010.0,1416,0.699999988079071
2023,123,대림대학교,전문대학,사립,경기,A그룹,3976.60009765625,893,276,3976.60009765625,6940,0.6000000238418579
2023,124,대신대학교,대학,사립,경북,C그룹,2183.0,284,10,2183.0,616,3.5
2023,125,대원대학교,전문대학,사립,충북,C그룹,1417.800048828125,512,24,1417.800048828125,1789,0.800000011920929
