연도,번호,학교명,학교유형,설립,지역,대학규모,결산-대학총결산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,예산-대학총예산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,재학생 1인당 자료구입비(결산)-자료구입비,재학생수(전년도),재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율-자료구입비,대학총결산,대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)-자료구입비(결산)-2020년(A),2021년(B),2022년(C),최근 3년간 자료구입비 증가율(결산)
2022,19,건국대학교(글로컬),대학,사립,충북,B그룹,116224203644,164104360,51923880,1452150,363853619,112849215,0,87232111,781415335,113310330000,223000000,58000000,1000000,380353000,133000000,0,85000000,880353000,781415335,7431,105156.1,781415335,116224203644,0.7,830181562,817373123,781415335,-3.0
2022,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2022,21,건신대학원대학교,대학원대학,사립,대전,-,1443012435,2490720,343000,0,7444810,0,0,0,10278530,1509052000,9000000,1350000,0,7800000,0,0,0,18150000,10278530,166,61918.9,10278530,1443012435,0.7,12695710,12891930,10278530,-9.4
2022,22,건양대학교,대학,사립,충남,B그룹,114087785307,224826990,0,0,371097727,103014648,0,1622400,700561765,107631938608,182000000,0,1000000,400000000,105000000,0,17000000,705000000,700561765,7336,95496.4,700561765,114087785307,0.6,653918315,639150377,700561765,3.7
2022,23,경기과학기술대학교,전문대학,사립,경기,A그룹,45278107690,91869470,8338020,2999600,10018000,3000000,0,0,116225090,42861108742,100000000,1200000,3000000,10000000,0,0,0,114200000,116225090,4276,27180.8,116225090,45278107690,0.3,127363440,130881193,116225090,-4.2
2022,24,경기대학교,대학,사립,경기,A그룹,194193196586,119000000,10821630,61674101,499964254,150278643,0,55420000,897158628,192850296000,119000000,13220000,56000000,500000000,155000000,0,55000000,898220000,897158628,16112,55682.6,897158628,194193196586,0.5,877122062,885956915,897158628,1.1
2022,25,경남대학교,대학,사립,경남,A그룹,143314522069,256010282,15110716,3243910,429960724,178709325,0,9491139,892526096,113954170000,244200000,30824000,9976000,430000000,170000000,0,20000000,905000000,892526096,11943,74732.2,892526096,143314522069,0.6,875991754,918002202,892526096,1.0
2022,26,경남도립거창대학,전문대학,공립,경남,C그룹,13124854428,22758740,1973000,0,3827000,2462980,0,0,31021720,14824851000,20000000,2000000,3000000,4000000,4000000,0,0,33000000,31021720,804,38584.2,31021720,13124854428,0.2,27599270,28083940,31021720,6.1
2022,27,경남도립남해대학,전문대학,공립,경남,C그룹,12306482482,23748940,2487900,1244500,0,0,0,0,27481340,13561883000,22000000,2700000,0,0,0,0,0,24700000,27481340,728,37749.1,27481340,12306482482,0.2,21173090,26000590,27481340,14.2
2022,28,경남정보대학교,전문대학,사립,부산,A그룹,63091520029,87988350,4859840,1734570,0,35717150,0,0,130299910,62717122000,86000000,5000000,2000000,0,38000000,0,0,131000000,130299910,6030,21608.6,130299910,63091520029,0.2,151999020,145000000,130299910,-7.4
