YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_18A,BG3Y_MCS_19B,BG3Y_MCS_20C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2020,32,충북대학교,70.8,359,대학,국립,충북,A그룹,427613,168757,596370,1069671,256553,1326224,36,36,58137,2,74,58137,666,198,864,14547,15977,30524,22648,37037,1326224,16858,78.69999694824219,30524,1326224,2.400000095367432,2377,647,34,2377,2748,.8999999761581421,12664609406,39321890,6097500,0,0,3226000,0,0,48645390,14014056000,40000000,6800000,0,0,5000000,0,0,51800000,48645390,896,54291.7,48645390,12664609406,.4,46309960,49349120,48645390,2.6,896,896,0,30,60,61,0,1047,837,837,0,30,59,59,0,985,0,2015,205,0,10,19,0,234,2192,0,107,250,0,2549,0,0,90,10,0,0,0,0,0,4,118,2192,896,2.400000095367432,2015,896,2.200000047683716,6,17,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,4,27,0,0,0,0,0,6,17,0,4,27,1908,445,23,4,0,0,16466,1.600000023841858,23,0,16466,1.399999976158142,1908,26,0,73.4000015258789
2020,33,한림대학교,70.5,434,대학,사립,강원,B그룹,280511,149873,430384,562588,274722,837310,20,15,16702,0,35,16702,446,39,485,10452,3609,14061,8767,0,837310,8759,95.5999984741211,14061,837310,1.7000000476837158,2183,284,10,2183,611,3.5999999046325684,38162426749,84298380,5435080,5262190,0,0,0,0,94995650,37000243560,80000000,5500000,4500000,0,0,0,0,90000000,94995650,4144,22923.7,94995650,38162426749,.2,94999905,94992260,94995650,0,6643,6395,248,228,310,271,11,7463,6754,6338,416,230,336,284,11,7615,0,344647,1835,12,101,118,8,2074,10322,91,1108,1245,49,12815,0,0,205,143,57,19,0,27,0,32,509,10413,6643,1.600000023841858,344647,6643,51.900001525878906,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,700,1.100000023841858,0,0,700,0,0,1,0,0
2020,34,서강대학교,70.3,191,대학,사립,서울,A그룹,398370,455528,853898,685429,579777,1265206,40,48,61997,7,95,61997,230,176,406,29835,2383,32218,29716,43169,1265206,11194,113,32218,1265206,2.5999999046325684,495,90,1,495,2144,.2000000029802322,4696773153,0,0,0,0,0,0,0,0,3518111000,3800000,0,0,0,0,0,0,3800000,0,312,0,0,4696773153,0,0,0,0,0,312,312,0,21,22,48,0,403,277,277,0,16,24,47,0,364,0,33,24,0,6,3,0,33,116,0,17,13,0,146,0,0,0,0,0,0,0,0,0,1,125,116,312,.4000000059604645,33,312,.1000000014901161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,250,0,0,0,0,0
2020,35,단국대학교,70.1,107,대학,사립,경기,A그룹,958503,291398,1249901,1513972,477813,1991785,19,21,34281,4,44,34281,1065,142,1207,39016,8758,47774,38878,47033,1991785,26997,73.80000305175781,47774,1991785,2.5,31938.30078125,3156,221,31938.30078125,21509,1.5,880792268,0,0,0,0,0,0,0,0,-755244250,0,0,0,0,0,0,0,0,0,124,0,0,880792268,0,0,0,0,0,55,0,55,4,14,9,100,182,46,0,46,4,18,9,70,147,0,100,0,41,5,4,46,96,0,659,60,53,361,1133,0,0,20,10,3,0,0,1,1,5,90,659,55,12,100,55,1.7999999523162842,0,3,0,0,3,0,0,0,0,0,0,8,0,2,10,0,0,0,2,2,0,11,0,2,13,0,0,0,2,2,0,11,0,4,15,598,97,3,0,8,4,10078,1.100000023841858,3,8,10078,1.100000023841858,598,3,12,39.900001525878906
2020,36,순천향대학교,69.8,251,대학,사립,충남,A그룹,341900,224381,566281,574587,253403,827990,32,24,164321,4,60,164321,160,10,170,22964,458,23422,19753,15903,827990,11725,70.5999984741211,23422,827990,2.900000095367432,4164,719,11,4164,6382,.699999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20352,17673,2679,824,952,353,5998,28479,20240,17507,2733,819,983,356,10989,33387,0,1652710,10843,1568,540,173,2088,15212,89609,21183,11364,3731,53596,179483,0,0,18280,6827,1556,494,874,1495,623,121,5578,110792,20352,5.400000095367432,1652710,20352,81.19999694824219,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,1,0,0,3,91.5,14,3,0,0,0,4367,.699999988079071,3,0,4367,.699999988079071,91.5,3,0,30.5
2020,37,국립부경대학교,69.5,76,대학,국립,부산,A그룹,358341,149930,508271,1058473,238162,1296635,23,29,275169,4,56,275169,480,132,612,14078,18191,32269,18599,0,1296635,18562,69.9000015258789,32269,1296635,2.5999999046325684,0,0,0,0,0,0,874048698049,1699762000,947870000,35920000,8558202000,1658901000,0,532509000,13433164000,863485293000,991000000,919378000,20000000,6800000000,921700000,0,250000000,9902078000,13433164000,27784,483485.6,13433164000,874048698049,1.5,10913302000,11097210000,13433164000,11.4,10199,10199,0,51,247,67,3881,14445,9880,9880,0,53,225,63,3881,14102,0,1096963,1475,0,18,21,0,1514,11793,0,183,133,0,12109,0,0,0,0,0,1,1,0,0,0,0,11793,10199,1.2000000476837158,1096963,10199,107.5999984741211,1,11,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1,14,0,0,0,0,0,1,11,1,1,14,854.2000122070312,173,13,1,0,0,9100,1.5,13,0,9100,1.399999976158142,854.2000122070312,13,1,61
2020,38,동아대학교,69.3,145,대학,사립,부산,A그룹,575125,254298,829423,1032501,364808,1397309,33,23,47796,0,56,47796,355,131,486,17787,17896,35683,24169,0,1397309,20460,68.30000305175781,35683,1397309,2.5999999046325684,122,4,4,122,12332,0,3864715486,25950640,12087560,0,0,19438443,0,0,57476643,4157445000,20000000,12000000,1000000,0,21500000,0,0,54500000,57476643,91,631611.5,57476643,3864715486,1.5,70984788,61537170,57476643,-10,9880,9106,774,349,428,166,1176,11999,9759,8979,780,346,499,165,1116,11885,0,567619,4258,100,213,130,106,4807,54439,1795,4765,2579,2261,65839,0,0,1230,2460,2460,70,104,304,61,24,723,56234,9880,5.699999809265137,567619,9880,57.5,1,6,2,1,10,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,1,8,2,3,14,0,0,0,0,0,1,8,2,3,14,899.2999877929688,174,9,1,2,2,10710,1.2000000476837158,9,2,10710,1,899.2999877929688,10,3,69.19999694824219
2020,39,계명대학교,69,46,대학,사립,대구,A그룹,589526,373494,963020,1649250,466270,2115520,38,60,300645,4,102,300645,1724,399,2123,55705,11136,66841,55385,9492,2115520,23391,90.4000015258789,66841,2115520,3.299999952316284,16496.5,2808,222,16496.5,12391,1.2999999523162842,77383663185,298369700,32897000,8280000,54689000,38260000,0,130461000,562956700,79554086000,257600000,43500000,10000000,61000000,52000000,0,138900000,563000000,562956700,7301,77106.8,562956700,77383663185,.7,532702940,574782778,562956700,2.9,2052,772,1280,189,94,678,0,3013,2042,739,1303,196,89,705,0,3032,0,168888,646,802,185,356,17,2006,7628,8541,12970,10192,414,39745,0,0,500,1000,1000,47,102,165,34,16,80,16169,2052,7.900000095367432,168888,2052,82.30000305175781,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,77,11,2,0,1,0,3009,.8999999761581421,2,1,3009,1,77,2,1,25.700000762939453
2020,40,조선대학교,68.8,335,대학,사립,광주,A그룹,475899,219075,694974,987960,388161,1376121,29,24,118325,4,57,118325,434,157,591,23650,6198,29848,19574,0,1376121,20941,65.69999694824219,29848,1376121,2.200000047683716,17977,2500,154,17977,11772,1.5,30308456723,51775160,600000,0,0,0,0,4400000,56775160,29197866000,44540000,60000,0,0,0,0,4500000,49100000,56775160,2818,20147.3,56775160,30308456723,.2,36489300,17180980,56775160,88.8,4092,3955,137,145,127,130,50,4544,4085,3948,137,149,129,136,28,4527,0,294059,2031,62,81,82,28,2284,13871,1058,2275,1543,1390,20137,0,0,390,182,363,34,7,287,22,34,1257,14929,4092,3.5999999046325684,294059,4092,71.9000015258789,0,13,0,1,14,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,15,0,1,16,0,0,0,0,0,0,15,0,1,16,2802,894,13,1,2,0,21073,.699999988079071,13,2,21073,.699999988079071,2802,15,2,164.8000030517578
2020,41,대구경북과학기술원,68.7,110,대학,국립,대구,C그룹,56131,90491,146622,62677,92198,154875,38,37,248437,0,75,248437,5,1,6,13358,30,13388,13234,0,154875,1463,105.9000015258789,13388,154875,9.5,5753.5,1376,120,5753.5,4464,1.2999999523162842,0,554000,0,0,0,0,0,0,554000,0,5000000,0,0,0,0,0,0,5000000,554000,0,0,554000,0,0,274800,207800,554000,71.1,1951,1951,0,53,114,58,0,2176,1904,1904,0,52,134,58,0,2148,0,28122,116,0,9,15,0,140,706,0,35,198,0,939,0,0,172,53,0,0,0,0,0,9,281,706,1951,.4000000059604645,28122,1951,14.399999618530272,7,12,0,9,28,0,0,0,0,0,0,4,0,3,7,0,0,0,0,0,7,16,0,12,35,0,0,0,0,0,7,16,0,12,35,787.5,153,19,9,4,3,26716,1.2000000476837158,19,4,26716,.8999999761581421,787.5,28,6,23.200000762939453
