YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,APS_APS,BGT_MCT,BGT_UBGT,BPS_BPS,BR_BCNT_SUM,CPSS_CPS,EHS_EHS,FACLT_EQP_TPC,FACLT_LAS,FACLT_RS_TRS,LBRT_USTL,LPK_LPK,LPS_LPS,LS_LB_SUM,LS_LU_SUM,SPK_SPK,STL_MCT,STL_USTL,VPS_VPS,VUC_UC_LUC
2014,20,건국대학교,45.01,18,대학,사립,서울,A그룹,1.2000000476837158,2800000000,404947349000,58.0,1178252,142463.6,36.0,329,25077.0,4095,406641901000,1.5,8.600000381469727,201915,19082,1.7000000476837158,2896000000,406641901000,134.3000030517578,2730860
2014,21,단국대학교,44.82,107,대학,사립,경기,A그룹,1.2999999523162842,3902575000,332621443000,65.0,1879197,120078.6,22.89999961853028,367,36687.0,5482,342788592000,1.100000023841858,6.800000190734863,227807,19962,1.100000023841858,3471712636,342788592000,79.9000015258789,2309792
2014,22,인하대학교,44.78,316,대학,사립,인천,A그룹,1.2999999523162842,3325000000,289173814000,75.5,1633867,155904.6,30.700000762939453,512,27115.0,3786,261374994000,1.399999976158142,7.900000095367432,195950,18098,1.5,3371904094,261374994000,46.0,994158
2014,23,충남대학교,44.77,357,대학,국립,대전,A그룹,1.100000023841858,2187368000,216729339000,66.80000305175781,1611407,111769.0,151.89999389648438,202,26038.0,4278,224725225000,1.2999999523162842,7.300000190734863,211232,18033,1.399999976158142,2695867280,224725225000,145.1999969482422,3502062
2014,24,가톨릭대학교,44.74,6,대학,사립,경기,A그룹,1.600000023841858,3946529000,214043477000,87.5,963682,528448.9,35.20000076293945,262,17684.0,3174,195313670000,2.0,13.600000381469728,194640,11805,2.400000095367432,5821393365,195313670000,127.9000015258789,1409227
2014,25,인제대학교,44.56,310,대학,사립,경남,B그룹,1.2999999523162842,1028097000,169810956000,69.69999694824219,823368,87820.4,17.0,269,15252.0,2136,177751637000,0.8999999761581421,4.199999809265137,58179,7456,1.2000000476837158,1036983114,177751637000,36.20000076293945,427127
2014,26,영남대학교,44.55,276,대학,사립,경북,A그룹,1.2000000476837158,3938269000,351520411000,66.69999694824219,1782444,149895.0,38.29999923706055,399,32068.0,4229,343925966000,1.2999999523162842,8.600000381469727,276847,23368,1.399999976158142,4006393110,343925966000,87.80000305175781,2347191
2014,27,강원대학교,44.49,14,대학,국립,강원,A그룹,1.0,2761600000,228500838000,59.0,1475783,156071.8,76.30000305175781,398,25223.0,3574,246147741000,1.0,4.800000190734863,138846,15874,1.399999976158142,3906477665,246147741000,52.0,1301958
2014,28,충북대학교,44.47,359,대학,국립,충북,A그룹,1.100000023841858,2105136000,194585855000,58.20000076293945,1067059,131567.4,75.4000015258789,275,20156.0,2990,195868399000,1.2999999523162842,7.800000190734863,155613,14332,1.5,2412156560,195868399000,168.89999389648438,3097525
2014,29,세종대학교,44.47,236,대학,사립,서울,A그룹,1.2999999523162842,1300000000,152008932000,68.69999694824219,933660,109801.8,3.0999999046325684,389,17313.0,3425,142133378000,0.699999988079071,7.099999904632568,108139,9645,0.800000011920929,1492206000,142133378000,143.5,1949940
2014,30,중앙대학교,44.47,339,대학,사립,서울,A그룹,1.100000023841858,3617917000,395745450000,64.4000015258789,1863440,118320.3,44.29999923706055,418,33174.0,5522,395900537000,0.8999999761581421,10.399999618530272,345049,28079,1.0,3423360091,395900537000,94.8000030517578,2742707
