YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCC,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2016,25,경남대학교,대학,사립,경남,A그룹,435160,96812,531972,665033,124768,789801,22,24,173074,0,46,219646,702,124,826,15225,4141,19366,18233,0,789801,13489,58.59999847412109,19366,789801,2.5
2016,26,경남도립거창대학,전문대학,공립,경남,C그룹,27453,849,28302,39363,906,40269,0,0,1853,0,0,1874,15,0,15,1206,0,1206,878,0,40269,889,45.29999923706055,1206,40269,3.0999999046325684
2016,27,경남도립남해대학,전문대학,공립,경남,C그룹,30277,498,30775,36538,519,37057,0,0,318,0,0,337,40,0,40,1389,0,1389,1181,0,37057,848,43.70000076293945,1389,37057,3.900000095367432
2016,28,경남정보대학교,전문대학,사립,부산,A그룹,105427,6452,111879,182845,7347,190192,2,2,6872,0,4,18203,171,2,173,7267,2100,9367,5800,0,190192,6853,27.799999237060547,9367,190192,5.199999809265137
2016,29,경동대학교,대학,사립,강원,B그룹,94948,11949,106897,177707,21042,198749,2,7,24282,0,9,35437,247,1,248,21836,11406,33242,14484,0,198749,7240,27.5,33242,198749,20.100000381469727
2016,30,경민대학교,전문대학,사립,경기,B그룹,76635,6114,82749,122315,8034,130349,5,2,5728,0,7,11675,126,25,151,5251,562,5813,3843,1816,130349,4661,28.0,5813,130349,4.699999809265137
2016,31,경복대학교,전문대학,사립,경기,A그룹,58089,2105,60194,64004,3635,67639,4,0,4357,0,4,10998,166,0,166,11413,274,11687,8009,0,67639,6350,10.699999809265137,11687,67639,20.899999618530277
2016,32,경북과학대학교,전문대학,사립,경북,C그룹,45345,11804,57149,69354,13741,83095,2,0,2523,0,2,8102,516,0,516,1969,492,2461,2159,0,83095,1902,43.70000076293945,2461,83095,3.0999999046325684
2016,33,경북대학교,대학,국립,대구,A그룹,888976,465847,1354823,2212352,963742,3176094,32,55,155310,0,87,202402,1468,969,2437,37862,24706,62568,45233,0,3176094,30296,104.8000030517578,62568,3176094,2.0
2016,34,경북보건대학교,전문대학,사립,경북,C그룹,33904,1209,35113,40297,1444,41741,2,1,5885,0,3,10176,38,2,40,1516,293,1809,1530,0,41741,1300,32.099998474121094,1809,41741,4.5
2016,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2016,36,경북전문대학교,전문대학,사립,경북,B그룹,75304,42514,117818,102211,48959,151170,1,1,3557,0,2,7631,159,3,162,3006,1045,4051,3505,16000,151170,2562,59.0,4051,151170,2.799999952316284
2016,37,경상국립대학교,대학,국립,경남,A그룹,630717,285920,916637,1298585,437317,1735902,38,33,160546,0,71,205134,922,559,1481,34050,23239,57289,42868,35,1735902,22867,75.9000015258789,57289,1735902,3.400000095367432
