YR,RK,SNM,SCR
2023,1,서울대학교,86.6
2023,2,고려대학교,79.8
2023,3,연세대학교,79.8
2023,4,성균관대학교,78.9
2023,5,한국과학기술원,78.2
2023,6,한양대학교,76.7
2023,7,경희대학교,75.7
2023,8,포항공과대학교,75.5
2023,9,경북대학교,75.2
2023,10,울산대학교,75.2
2023,11,부산대학교,74.9
2023,12,전남대학교,74.9
2023,13,울산과학기술원,74.4
2023,14,이화여자대학교,73.3
2023,15,중앙대학교,73.1
2023,16,전북대학교,73.0
2023,17,가톨릭대학교,73.0
2023,18,건국대학교,72.9
2023,19,세종대학교,72.6
2023,20,충남대학교,72.4
2023,21,인하대학교,72.3
2023,22,영남대학교,72.2
2023,23,아주대학교,72.1
2023,24,강원대학교,72.0
2023,25,경상국립대학교,71.6
2023,26,광주과학기술원,71.6
2023,27,동국대학교,71.5
2023,28,가천대학교,71.1
2023,29,충북대학교,71.0
2023,30,인제대학교,70.9
2023,31,과학기술연합대학원대학교,70.9
2023,32,서울시립대학교,70.8
2023,33,한림대학교,70.5
2023,34,서강대학교,70.0
2023,35,단국대학교,69.8
2023,36,순천향대학교,69.6
2023,37,대구경북과학기술원,69.4
2023,38,국립부경대학교,69.4
2023,39,계명대학교,69.0
2023,40,동아대학교,68.8
2023,41,숭실대학교,68.6
2023,42,제주대학교,68.6
2023,43,조선대학교,68.3
2023,44,차의과학대학교,68.2
2023,45,인천대학교,68.2
2023,46,서울과학기술대학교,67.8
2023,47,국민대학교,67.6
2023,48,광운대학교,67.4
2023,49,원광대학교,67.2
2023,50,명지대학교,67.0
2023,51,숙명여자대학교,67.0
2023,52,국립강릉원주대학교,67.0
2023,53,국립공주대학교,66.9
2023,54,홍익대학교,66.8
2023,55,을지대학교,66.7
2023,56,대구가톨릭대학교,66.6
2023,57,한국외국어대학교,66.3
