YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_17A,BG3Y_MCS_18B,BG3Y_MCS_19C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2019,341,중원대학교,대학,사립,충북,C그룹,60196,129043,189239,73428,129785,203213,2,11,132526,0,13,132526,49,7,56,10716,7608,18324,15799,0,203213,4142,49.09999847412109,18324,203213,9.899999618530272,239,120,10,239,967,.2000000029802322,6306316446,9150000,300000,0,0,0,0,0,9450000,9378349000,8612000,0,0,0,0,0,0,8612000,9450000,882,10714.3,9450000,6306316446,.1,12187440,9300000,9450000,-11,299,0,299,21,20,15,3027,3382,0,26902,0,239,36,9,342,626,0,10755,1033,242,8636,20666,0,0,480,270,200,50,25,41,24,3,140,10755,299,36,26902,299,90,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,61,3,1,1,0,0,2757,.699999988079071,1,0,2757,.4000000059604645,61,2,0,30.5
2019,342,진주교육대학교,대학,국립,경남,C그룹,121588,14542,136130,285343,16799,302142,5,4,10253,0,9,10253,66,0,66,5789,1055,6844,3371,10854,302142,1754,172.3000030517578,6844,302142,2.299999952316284,518,102,2,518,267,1.899999976158142,2765771317,3686000,0,0,0,0,0,0,3686000,6938872000,1000000,0,0,0,0,0,0,1000000,3686000,23,160260.9,3686000,2765771317,.1,0,0,3686000,0,0,0,0,0,0,0,1150,1150,0,23010,638,0,106,445,112,1301,5805,0,2658,6936,333190,348589,0,0,0,0,0,150,2,137,2,4,250,5805,0,0,23010,0,0,0,4,0,1,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,9,0,1,10,0,0,0,0,0,0,9,0,1,10,375,52,4,1,5,0,6835,1.2999999523162842,4,5,6835,1.2999999523162842,375,5,5,37.5
2019,343,진주보건대학교,전문대학,사립,경남,B그룹,63652,1955,65607,88189,2378,90567,2,2,0,0,4,0,336,0,336,2473,611,3084,1668,0,90567,2789,32.5,3084,90567,3.5,33,0,0,33,54,.6000000238418579,2373719215,3230010,0,0,0,0,0,0,3230010,2232313000,2220000,0,0,0,0,0,0,2220000,3230010,98,32959.3,3230010,2373719215,.1,4683000,0,3230010,0,4732,4333,399,158,232,76,240,5438,0,295280,2087,178,95,44,28,2432,14765,3340,3357,651,324,22437,0,0,914,442,19,19,27,128,13,11,880,18105,4732,3.799999952316284,295280,4732,62.400001525878906,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,1,0,0,3,114,8,3,0,0,0,1626,1.7999999523162842,3,0,1626,1.7999999523162842,114,3,0,38
2019,344,차의과학대학교,대학,사립,경기,C그룹,36426,15891,52317,49410,23223,72633,7,5,8626,0,12,8626,165,4,169,2720,6408,9128,8668,0,72633,3395,21.39999961853028,9128,72633,14.399999618530272,0,0,0,0,0,0,2697751286,3500000,0,0,0,0,0,0,3500000,2027776000,0,0,0,0,0,0,0,0,3500000,239,14644.4,3500000,2697751286,.1,9469350,0,3500000,0,2859,2859,0,84,181,51,90,3265,0,208082,1243,0,32,31,8,1314,10469,0,368,478,54,11369,0,0,842,347,27,0,0,27,0,0,0,10469,2859,3.700000047683716,208082,2859,72.80000305175781,1,4,0,0,5,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,1,14,0,0,15,0,0,0,0,0,1,14,0,0,15,1142,254,5,0,10,0,11378,1.100000023841858,5,10,11378,1.2999999523162842,1142,5,10,76.0999984741211
2019,345,창신대학교,대학,사립,경남,C그룹,97085,3765,100850,136496,5391,141887,1,9,28055,2,12,28055,81,0,81,8370,5526,13896,8709,0,141887,1987,71.4000015258789,13896,141887,10.899999618530272,305,126,2,305,957,.3000000119209289,2570564355,5787440,0,0,0,0,0,0,5787440,2313481000,0,0,0,0,0,0,0,0,5787440,516,11216,5787440,2570564355,.2,6183230,5960120,5787440,-3.3,7914,7179,735,268,121,122,1750,10175,0,511039,1630,84,134,101,78,2027,13258,686,2198,2142,8801,27085,0,0,405,114,12,14,54,174,22,31,1485,13944,7914,1.7999999523162842,511039,7914,64.5999984741211,1,2,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,4,0,0,0,0,0,1,2,0,1,4,673,18,3,0,0,1,3443,1,3,0,3443,.8999999761581421,673,3,1,168.3000030517578
2019,346,창원문성대학교,전문대학,사립,경남,C그룹,91403,2655,94058,188961,5657,194618,1,1,6765,0,2,6765,30,1,31,4161,0,4161,1559,0,194618,3156,61.70000076293945,4161,194618,2.200000047683716,683,142,2,683,860,.800000011920929,2885772599,6845670,0,0,0,0,0,0,6845670,2935370000,3000000,0,0,0,0,0,0,3000000,6845670,548,12492.1,6845670,2885772599,.2,9000000,6840000,6845670,-12,951,533,418,37,66,19,341,1414,0,61539,217,258,28,7,35,545,2567,5439,634,243,314,9197,0,0,40,52,0,0,0,10,8,10,184,8006,951,8.399999618530273,61539,951,64.69999694824219,0,1,0,2,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,2,6,0,0,0,0,0,0,4,0,2,6,295.5,22,1,2,3,0,3958,1.2999999523162842,1,3,3958,1,295.5,3,3,49.29999923706055
2019,347,청강문화산업대학교,전문대학,사립,경기,B그룹,90842,15679,106521,187387,16771,204158,0,0,11131,1,1,11131,132,55,187,5565,8981,14546,3102,0,204158,3631,56.20000076293945,14546,204158,7.699999809265137,0,0,0,0,0,0,4107200885,11957670,2100000,0,0,0,0,0,14057670,3268588000,8000007,4712000,0,0,0,0,0,12712007,14057670,967,14537.4,14057670,4107200885,.3,20981390,21598610,14057670,-16,2040,2040,0,67,156,27,23,2313,0,8540,173,0,15,12,16,216,800,0,468,202,373,1843,0,0,2,1,0,0,0,5,5,0,0,800,2040,.4000000059604645,8540,2040,4.199999809265137,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,1,3,135,11,2,1,0,0,1315,2.0999999046325684,2,0,1315,1.5,135,3,0,45
2019,348,청암대학교,전문대학,사립,전남,B그룹,58886,7242,66128,85138,10727,95865,0,5,3190,2,7,3190,14,0,14,2500,300,2800,2100,0,95865,2757,34.79999923706055,2800,95865,3,1746.5999755859375,275,4,1746.5999755859375,1444,1.2000000476837158,2468258594,4269510,0,0,0,0,0,0,4269510,2326680000,2000000,0,0,0,0,0,0,2000000,4269510,267,15990.7,4269510,2468258594,.2,3829620,3830000,4269510,5.7,13087,11791,1296,458,467,199,5600,19811,0,962412,4772,308,251,239,383,5953,24157,3426,5144,6561,4944,44232,0,0,132,142,78,87,21,224,61,56,1115,27583,13087,2.0999999046325684,962412,13087,73.5,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,286.5,13,3,0,0,0,1733,1.7000000476837158,3,0,1733,1.7000000476837158,286.5,3,0,95.5
2019,349,청운대학교,대학,사립,충남,B그룹,265202,60101,325303,560521,69925,630446,8,8,90049,3,19,90049,164,31,195,18562,992,19554,12433,0,630446,6835,92.1999969482422,19554,630446,3.200000047683716,0,0,0,0,0,0,1903195047,1834380,0,0,0,0,0,0,1834380,1757264000,0,0,0,0,0,0,0,0,1834380,54,33970,1834380,1903195047,.1,2189000,2176200,1834380,-8.1,5592,5592,0,163,384,86,63,6288,0,123516,665,0,47,52,12,776,4153,0,564,371,9938,15026,0,0,202,78,1,2,18,15,5,18,518,4153,5592,.699999988079071,123516,5592,22.100000381469727,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,58.5,10,1,1,0,0,2667,.699999988079071,1,0,2667,.4000000059604645,58.5,2,0,29.299999237060547
2019,350,청주교육대학교,대학,국립,충북,C그룹,146863,10556,157419,261649,23839,285488,0,7,18598,0,7,18598,137,19,156,5231,6090,11321,7342,0,285488,1626,175.60000610351562,11321,285488,4.099999904632568,536,87,1,536,378,1.399999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699,18095,3604,752,648,453,7191,30743,0,1834809,10958,2167,459,408,643,14635,89018,31680,6011,5769,15126,147604,0,0,11412,7097,10376,2167,1740,600,428,83,1405,120698,21699,5.599999904632568,1834809,21699,84.5999984741211,16,13.5,0,1,30.5,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,16,14.5,0,3,33.5,0,0,0,0,0,16,14.5,0,3,33.5,2573,390,29.5,1,1,2,23125,1.399999976158142,29.5,1,23125,1.2999999523162842,2573,30.5,3,76.80000305175781
