YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2021,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,6774,241,7015,9302,246,9548,0,0,0,0,0,0,0,0,0,173,0,173,172,0,9548,307,31.100000381469727,173,9548,1.7999999523162842
2021,2,가야대학교,대학,사립,경남,C그룹,119043,43813,162856,180946,45965,226911,6,5,53706,0,11,53706,1516,52,1568,5125,837,5962,5608,0,226911,2277,99.6999969482422,5962,226911,2.700000047683716
2021,3,가천대학교,대학,사립,경기,A그룹,385493,146008,531501,947382,190376,1137758,33,37,70347,6,76,70347,6,0,6,18459,6171,24630,14049,0,1137758,21077,54.0,24630,1137758,2.200000047683716
2021,4,가톨릭관동대학교,대학,사립,강원,B그룹,242284,172184,414468,530956,225071,756027,11,24,146578,4,39,146578,288,0,288,17884,1986,19870,13004,17122,756027,8518,88.80000305175781,19870,756027,2.700000047683716
2021,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,38308,11536,49844,53167,11990,65157,6,11,56327,1,18,56327,36,1,37,371,44,415,312,0,65157,524,124.3000030517578,415,65157,0.6000000238418579
2021,6,가톨릭대학교,대학,사립,경기,A그룹,435353,265630,700983,765834,405961,1171795,87,64,180836,5,156,180836,2088,297,2385,21248,2458,23706,16368,16999,1171795,10484,111.8000030517578,23706,1171795,2.0999999046325684
2021,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,68035,2989,71024,110996,4160,115156,9,7,52010,2,18,52010,143,0,143,2755,251,3006,2440,0,115156,1860,61.900001525878906,3006,115156,2.700000047683716
2021,8,감리교신학대학교,대학,사립,서울,C그룹,62611,118305,180916,97972,135341,233313,7,9,75643,4,20,75643,50,17,67,8404,1445,9849,9379,0,233313,1526,152.89999389648438,9849,233313,4.400000095367432
2021,9,강남대학교,대학,사립,경기,B그룹,271815,79546,351361,413712,140444,554156,10,11,38516,1,22,38516,89,44,133,8177,992,9169,5411,0,554156,7101,78.0,9169,554156,1.7000000476837158
2021,10,강동대학교,전문대학,사립,충북,B그룹,66211,33175,99386,99772,33919,133691,0,4,92531,0,4,92531,30,0,30,2356,0,2356,4611,0,133691,3534,37.79999923706055,2356,133691,1.7999999523162842
2021,11,강릉영동대학교,전문대학,사립,강원,B그룹,54073,14122,68195,82956,14946,97902,1,1,23012,0,2,23012,145,0,145,2142,0,2142,1441,0,97902,2663,36.79999923706055,2142,97902,2.200000047683716
2021,12,강서대학교,대학,사립,서울,C그룹,71340,20450,91790,93009,22598,115607,11,14,61934,2,27,61934,125,30,155,2069,971,3040,2692,1,115607,1490,77.5999984741211,3040,115607,2.700000047683716
2021,13,강원관광대학교,전문대학,사립,강원,C그룹,38903,235,39138,48029,272,48301,1,0,2237,0,1,2237,39,0,39,427,510,937,860,1069,48301,1012,47.70000076293945,937,48301,2.0
2021,14,강원대학교,대학,국립,강원,A그룹,775217,187434,962651,1287797,322509,1610306,32,43,153103,0,75,153103,467,182,649,25681,5236,30917,19756,35351,1610306,22114,72.80000305175781,30917,1610306,2.0
2021,15,강원도립대학교,전문대학,공립,강원,C그룹,48330,1949,50279,59767,2169,61936,6,5,52706,1,12,52706,60,0,60,1684,466,2150,1854,1028,61936,635,97.5,2150,61936,3.5999999046325684
2021,16,개신대학원대학교,대학원대학,사립,서울,-,17574,1059,18633,23608,1647,25255,1,0,82,0,1,82,45,1,46,258,5,263,248,0,25255,145,174.1999969482422,263,25255,1.100000023841858
2021,17,거제대학교,전문대학,사립,경남,C그룹,54987,1713,56700,71092,1822,72914,4,5,2609,0,9,2609,98,0,98,1481,176,1657,1594,0,72914,1181,61.70000076293945,1657,72914,2.299999952316284
2021,18,건국대학교,대학,사립,서울,A그룹,528569,181569,710138,1106953,253276,1360229,31,31,65388,1,63,65388,790,188,978,18566,6697,25263,15081,13692,1360229,20087,67.69999694824219,25263,1360229,1.899999976158142
2021,19,건국대학교(글로컬),대학,사립,충북,B그룹,280141,113412,393553,569387,151560,720947,13,19,188042,3,35,188042,174,26,200,16920,0,16920,8610,0,720947,7402,97.4000015258789,16920,720947,2.400000095367432
2021,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2021,21,건신대학원대학교,대학원대학,사립,대전,-,11833,3408,15241,16992,4941,21933,2,0,8,0,2,8,7,0,7,213,58,271,259,0,21933,169,129.8000030517578,271,21933,1.2999999523162842
2021,22,건양대학교,대학,사립,충남,B그룹,214000,45036,259036,344048,138036,482084,18,14,274846,0,32,274846,0,0,0,15038,2187,17225,15970,0,482084,7603,63.400001525878906,17225,482084,3.700000047683716
2021,23,경기과학기술대학교,전문대학,사립,경기,A그룹,90361,48886,139247,104891,49164,154055,6,1,76019,1,8,76019,95,0,95,4717,29,4746,4209,54,154055,4712,32.70000076293945,4746,154055,3.200000047683716
