ID,SNM,STYP,FND,RGN,USC,SCR_EST,RK_EST,YR,APS_APS,BGT_MCT,BGT_UBGT,BPS_BPS,BR_BCNT_SUM,CPSS_CPS,EHS_EHS,FACLT_EQP_TPC,FACLT_LAS,FACLT_RS_TRS,LBRT_USTL,LPK_LPK,LPS_LPS,LS_LB_SUM,LS_LU_SUM,SPK_SPK,STL_MCT,STL_USTL,VPS_VPS,VUC_UC_LUC
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,54.6765344523382,143,2017,1.2999999523162842,3000000,7278270000,28.39999961853028,8831,9378.1,0.0,1,403,80,7078833000,0.0,0.2000000029802322,125,60,2.5999999046325684,2916600,7078833000,1.0,313
2,가야대학교,대학,사립,경남,C그룹,53.91266790582569,251,2017,1.2000000476837158,155000000,36115730000,70.80000305175781,192358,56775.0,42.0,38,3318,830,30312446000,1.5,2.5999999046325684,10097,823,1.2999999523162842,154314450,30312446000,33.0,89725
3,가천대학교,대학,사립,경기,A그룹,52.57980334310602,375,2017,0.6000000238418579,1961000000,295600562000,48.29999923706055,1000706,87993.9,31.39999961853028,148,12577,3228,265829651000,0.699999988079071,3.200000047683716,79498,9353,1.0,1824729443,265829651000,40.79999923706055,845906
4,가톨릭관동대학교,대학,사립,강원,B그룹,53.28891794334622,329,2017,0.8999999761581421,851839000,109424617000,74.19999694824219,692408,88494.4,31.200000762939453,95,8226,1388,117600754000,0.5,2.200000047683716,25924,2709,1.0,825830201,117600754000,50.0,466730
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,54.122950541903876,223,2017,3.200000047683716,90000000,9462248000,106.5,57083,173507.5,36.0,30,1727,251,9525235000,1.899999976158142,5.699999809265137,3610,401,1.899999976158142,93000000,9525235000,84.5,45308
6,가톨릭대학교,대학,사립,경기,A그룹,54.22119805328095,213,2017,1.600000023841858,4030200000,214636809000,102.1999969482422,1112083,373287.7,23.799999237060547,267,17684,3199,206588165000,1.899999976158142,10.300000190734863,162163,10865,2.5,4061743642,206588165000,128.60000610351562,1399308
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,53.450283363915375,312,2017,1.7000000476837158,62150000,18504278000,52.09999847412109,102910,30346.2,72.80000305175781,47,3339,444,18889396000,1.5,3.0999999046325684,7410,788,1.600000023841858,59933732,18889396000,61.79999923706055,121998
8,감리교신학대학교,대학,사립,서울,C그룹,54.01485940535981,234,2017,1.600000023841858,154000000,17217226000,95.0,149742,106666.5,45.0,41,2542,377,16733980000,1.899999976158142,20.39999961853028,38096,1616,1.899999976158142,168106423,16733980000,1.2999999523162842,2066
9,강남대학교,대학,사립,경기,B그룹,53.82838872621701,263,2017,0.699999988079071,760568000,107640259000,68.80000305175781,503598,106243.6,17.600000381469727,100,5233,961,87268737000,1.2000000476837158,3.0,25526,3591,1.2000000476837158,778234591,87268737000,35.0,256353
10,강동대학교,전문대학,사립,충북,B그룹,54.935207125918524,95,2017,0.3000000119209289,110000000,34108215000,26.299999237060547,105857,36886.2,12.0,12,1055,420,37270955000,0.2000000029802322,0.4000000059604645,2299,361,0.2000000029802322,148540852,37270955000,12.100000381469728,48588
11,강릉영동대학교,전문대학,사립,강원,B그룹,54.81161016672116,120,2017,0.800000011920929,69300000,32070803000,24.700000762939453,74353,28213.9,24.0,19,2521,600,32691649000,0.3000000119209289,1.7999999523162842,6940,997,0.5,84867550,32691649000,0.0,0
12,강서대학교,대학,사립,서울,C그룹,55.174807779198275,17,2017,0.5,104500000,16676036000,64.5,103431,60458.6,24.5,16,821,152,19738259000,1.899999976158142,1.7000000476837158,4043,442,2.200000047683716,96975527,19738259000,6.300000190734863,10065
13,강원관광대학교,전문대학,사립,강원,C그룹,53.723044776772255,279,2017,0.800000011920929,42000000,13090882000,31.5,42568,27270.1,30.0,23,1092,228,12086002000,0.699999988079071,0.8999999761581421,1356,243,0.699999988079071,36841860,12086002000,37.5,50600
14,강원대학교,대학,국립,강원,A그룹,49.187066005063755,425,2017,1.2000000476837158,818850000,234940399000,65.0999984741211,1559598,124174.2,58.09999847412109,390,28821,3200,246962057000,1.100000023841858,3.299999952316284,108093,19272,1.2999999523162842,2973599950,246962057000,68.0,1628379
15,강원도립대학교,전문대학,공립,강원,C그룹,54.60959572202709,155,2017,1.899999976158142,33000000,13519000000,64.5,57665,36407.9,65.0,13,1735,188,11702030000,1.100000023841858,1.7999999523162842,2619,215,1.100000023841858,32548700,11702030000,1.100000023841858,1018
16,개신대학원대학교,대학원대학,사립,서울,-,47.49974230395551,438,2017,1.600000023841858,10000000,2590400000,175.60000610351562,23529,48479.0,20.0,9,221,38,2552114000,7.5,4.699999809265137,1131,86,7.5,6496186,2552114000,63.400001525878906,8500
17,거제대학교,전문대학,사립,경남,C그룹,53.855561287792014,260,2017,0.8999999761581421,51510000,13856874000,42.70000076293945,66827,32056.1,60.5,23,1464,304,14626639000,1.2999999523162842,2.0,5256,570,1.100000023841858,50199790,14626639000,39.59999847412109,61955
18,건국대학교,대학,사립,서울,A그룹,48.60913706852874,432,2017,1.2000000476837158,2700000000,411067498000,67.0999984741211,1335775,142063.6,22.600000381469727,323,24695,3675,439777792000,1.2000000476837158,5.699999809265137,176354,17651,1.2999999523162842,2827349920,439777792000,112.0999984741211,2230068
19,건국대학교(글로컬),대학,사립,충북,B그룹,52.566988456654364,379,2017,0.8999999761581421,1100000000,0,72.0999984741211,631753,114133.8,32.5,162,7463,1644,0,0.8999999761581421,5.099999904632568,76086,5444,1.2999999523162842,999925788,0,37.900001525878906,332112
20,건동대학교,대학,사립,경북,C그룹,55.05561017448576,23,2017,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0
21,건신대학원대학교,대학원대학,사립,대전,-,54.53388875535334,175,2017,3.0,19950000,1380759000,138.39999389648438,20490,127909.0,49.0,8,446,60,1353602000,0.0,6.300000190734863,1457,119,3.400000095367432,18930534,1353602000,16.0,2366
22,건양대학교,대학,사립,충남,B그룹,51.10373652062373,409,2017,1.2000000476837158,635000000,147867670000,49.20000076293945,422536,64254.0,76.30000305175781,192,9895,1774,140315772000,1.0,5.900000095367432,64821,6230,1.0,552134911,140315772000,81.30000305175781,698615
23,경기과학기술대학교,전문대학,사립,경기,A그룹,53.00702595623092,349,2017,0.699999988079071,145728000,43367929000,27.5,123199,31399.6,41.70000076293945,95,3118,447,44291260000,0.4000000059604645,1.5,12078,1734,0.6000000238418579,140764520,44291260000,122.5,549163
24,경기대학교,대학,사립,경기,A그룹,52.495525309121994,382,2017,0.800000011920929,904800000,187726618000,76.5999984741211,1254460,54887.9,26.799999237060547,252,13909,2363,191911024000,0.699999988079071,4.699999809265137,115632,11560,0.800000011920929,898899681,191911024000,37.0,605909
25,경남대학교,대학,사립,경남,A그룹,53.425658938658586,315,2017,1.0,901500000,122666162000,65.0,876971,71761.1,47.29999923706055,189,13303,3023,137670925000,0.699999988079071,2.5999999046325684,67261,5575,1.0,967985212,137670925000,38.70000076293945,521432
26,경남도립거창대학,전문대학,공립,경남,C그룹,54.52502383087873,176,2017,0.8999999761581421,31080000,10632824000,46.5,41336,28176.6,35.5,19,823,180,9245415000,1.100000023841858,2.0,3348,334,1.7000000476837158,25049000,9245415000,8.5,7527
27,경남도립남해대학,전문대학,공립,경남,C그룹,53.50661994165145,303,2017,0.8999999761581421,25000000,9731813000,45.29999923706055,38429,26134.0,61.5,27,759,128,8165875000,1.2000000476837158,3.799999952316284,4589,476,1.7999999523162842,22161600,8165875000,29.5,25000
28,경남정보대학교,전문대학,사립,부산,A그룹,54.593901788095266,158,2017,1.100000023841858,170000000,61011271000,29.299999237060547,200859,24806.4,17.5,112,7791,1100,69131986000,0.3000000119209289,0.6000000238418579,6858,1098,0.5,169997940,69131986000,24.39999961853028,167033
29,경동대학교,대학,사립,강원,B그룹,54.31832813960655,205,2017,1.399999976158142,424312000,89036563000,30.299999237060547,219114,55564.6,16.799999237060547,100,10300,1558,93503911000,1.0,2.0999999046325684,16933,1382,1.100000023841858,402287470,93503911000,19.200000762939453,138978
30,경민대학교,전문대학,사립,경기,B그룹,53.973590998939244,242,2017,0.3000000119209289,161000000,51233927000,31.600000381469727,147071,34455.6,28.299999237060547,28,1596,224,55081584000,0.4000000059604645,3.200000047683716,22147,1945,0.6000000238418579,160597406,55081584000,11.899999618530272,55497
31,경복대학교,전문대학,사립,경기,A그룹,54.37116739762184,194,2017,0.5,140000000,94318203000,13.600000381469728,86538,21608.0,76.0,119,3122,900,156854568000,0.3000000119209289,2.200000047683716,15413,2223,0.3000000119209289,137210658,156854568000,3.200000047683716,20050
32,경북과학대학교,전문대학,사립,경북,C그룹,54.64226736314455,149,2017,0.5,47472000,34638020000,44.79999923706055,85219,21805.2,42.0,22,1014,252,37679818000,0.5,0.2000000029802322,600,55,0.5,41473500,37679818000,3.799999952316284,7250
33,경북대학교,대학,국립,대구,A그룹,53.2950338847297,327,2017,1.2000000476837158,5019100000,303306242000,111.0999984741211,3367094,175470.3,59.09999847412109,436,35961,5414,340307885000,1.7000000476837158,6.300000190734863,251145,23714,1.899999976158142,5316049040,340307885000,32.20000076293945,974572
34,경북보건대학교,전문대학,사립,경북,C그룹,53.91985566087574,250,2017,0.6000000238418579,45500000,12124181000,33.099998474121094,42967,32124.8,29.0,23,726,260,13114592000,0.800000011920929,3.400000095367432,6233,554,0.800000011920929,41762241,13114592000,0.0,0
35,경북외국어대학교,대학,사립,대구,C그룹,55.05561017448576,23,2017,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0
36,경북전문대학교,전문대학,사립,경북,B그룹,53.45551574585581,311,2017,1.2999999523162842,61000000,29405827000,55.09999847412109,141100,19928.8,38.0,19,3282,314,30675230000,0.4000000059604645,1.0,4029,621,0.699999988079071,51057620,30675230000,36.20000076293945,92800
37,경상국립대학교,대학,국립,경남,A그룹,50.42774711881653,416,2017,1.5,2268435000,229330266000,77.5,1772400,133914.5,61.29999923706055,373,34812,3516,253618001000,1.5,3.900000095367432,131970,14868,1.600000023841858,3062222320,253618001000,31.39999961853028,717175
38,경성대학교,대학,사립,부산,A그룹,52.52850630834619,381,2017,1.0,1040600000,126075769000,69.69999694824219,938059,78582.5,57.79999923706055,160,13142,1855,134136031000,0.8999999761581421,3.5999999046325684,92745,9903,1.0,1058349755,134136031000,48.5,653560
39,경안대학원대학교,대학원대학,사립,경북,-,55.34443357866256,11,2017,1.600000023841858,1000000,553539000,112.8000030517578,8234,11307.5,0.0,2,118,33,427763000,0.0,0.699999988079071,58,32,11.0,825450,427763000,0.699999988079071,50
40,경운대학교,대학,사립,경북,C그룹,53.939703125811754,246,2017,1.2000000476837158,270001000,70505652000,74.5999984741211,377698,54557.4,30.700000762939453,76,5912,1282,70246579000,0.6000000238418579,0.8999999761581421,5466,1349,1.0,276387842,70246579000,28.799999237060547,146000
41,경인교육대학교,대학,국립,인천,C그룹,53.061185444680554,345,2017,1.899999976158142,334700000,47803228000,124.4000015258789,528288,84445.0,127.0,223,7926,1573,39913998000,1.600000023841858,12.800000190734863,61158,3975,1.7999999523162842,358553680,39913998000,65.9000015258789,279814
42,경인여자대학교,전문대학,사립,인천,B그룹,52.61302679168255,373,2017,0.4000000059604645,227958000,56079770000,31.5,154017,44902.9,27.5,57,2092,410,48139355000,0.2000000029802322,5.699999809265137,46687,2602,0.3000000119209289,219754920,48139355000,32.79999923706055,160383
43,경일대학교,대학,사립,경북,B그룹,53.86834857609441,258,2017,1.0,404000000,75482871000,64.4000015258789,475156,54915.8,22.200000762939453,138,7388,1532,79854066000,1.100000023841858,3.0999999046325684,28207,3270,1.100000023841858,404893950,79854066000,31.600000381469727,232996
44,경찰대학,기타,기타,충남,-,54.51445875622841,179,2017,0.0,0,0,0.0,182560,0.0,83.0,52,5497,260,0,0.0,0.0,12070,840,0.0,0,0,0.0,12070
