YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2019,28,경남정보대학교,전문대학,사립,부산,A그룹,121218,6205,127423,212117,7364,219481,2,2,12385,0,4,12385,135,1,136,8345,904,9249,4714,0,219481,6720,32.70000076293945,9249,219481,4.400000095367432
2019,29,경동대학교,대학,사립,강원,B그룹,124877,17088,141965,247303,26211,273514,3,3,34286,2,8,34286,240,0,240,13113,0,13113,11107,0,273514,8095,33.79999923706055,13113,273514,5.0
2019,30,경민대학교,전문대학,사립,경기,B그룹,88161,6821,94982,144988,8779,153767,5,4,9817,2,11,9817,56,10,66,5870,100,5970,3717,6427,153767,4290,35.79999923706055,5970,153767,4.0
2019,31,경복대학교,전문대학,사립,경기,A그룹,74287,13103,87390,95446,13434,108880,0,3,31693,0,3,31693,200,0,200,11578,5475,17053,16349,0,108880,6651,16.399999618530273,17053,108880,18.600000381469727
2019,32,경북과학대학교,전문대학,사립,경북,C그룹,55164,11967,67131,76575,13744,90319,2,0,3925,1,3,3925,68,0,68,580,1367,1947,1844,0,90319,1486,60.79999923706055,1947,90319,2.200000047683716
2019,33,경북대학교,대학,국립,대구,A그룹,945958,620877,1566835,2315642,1114323,3429965,33,52,318853,2,87,318853,1350,596,1946,37960,10202,48162,33577,47092,3429965,28669,119.5999984741211,48162,3429965,1.399999976158142
2019,34,경북보건대학교,전문대학,사립,경북,C그룹,35767,1288,37055,42393,1525,43918,2,1,8140,0,3,8140,31,2,33,1756,35,1791,1425,2957,43918,1217,36.09999847412109,1791,43918,4.300000190734863
2019,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2019,36,경북전문대학교,전문대학,사립,경북,B그룹,79366,10099,89465,114242,12567,126809,1,1,7054,0,2,7054,141,2,143,3182,473,3655,3537,11852,126809,2818,45.0,3655,126809,3.0
2019,37,경상국립대학교,대학,국립,경남,A그룹,592675,280411,873086,1300359,476913,1777272,28,28,39978,3,59,39978,826,203,1029,33038,14820,47858,38647,105861,1777272,21799,81.5,47858,1777272,2.799999952316284
2019,38,경성대학교,대학,사립,부산,A그룹,425886,163317,589203,778449,215758,994207,12,24,60002,3,39,60002,591,66,657,23235,4285,27520,17216,66,994207,13099,75.9000015258789,27520,994207,2.799999952316284
2019,39,경안대학원대학교,대학원대학,사립,경북,-,7400,0,7400,8237,0,8237,0,0,0,0,0,0,2,0,2,14,103,117,112,0,8237,66,124.8000030517578,117,8237,1.399999976158142
2019,40,경운대학교,대학,사립,경북,C그룹,186628,26825,213453,378443,34822,413265,4,6,65348,0,10,65348,279,42,321,17352,2520,19872,10590,0,413265,4632,89.19999694824219,19872,413265,5.099999904632568
2019,41,경인교육대학교,대학,국립,인천,C그룹,198730,29133,227863,561380,36974,598354,8,7,31421,1,16,31421,179,15,194,40340,1681,42021,8346,1740,598354,4164,143.6999969482422,42021,598354,7.599999904632568
2019,42,경인여자대학교,전문대학,사립,인천,B그룹,126381,35518,161899,155542,35638,191180,0,7,47263,0,7,47263,43,14,57,5730,20100,25830,23564,0,191180,4674,40.900001525878906,25830,191180,15.600000381469728
2019,43,경일대학교,대학,사립,경북,B그룹,178722,130160,308882,376923,148430,525353,3,6,98884,6,15,98884,374,8,382,13505,1273,14778,7481,9,525353,7037,74.69999694824219,14778,525353,2.900000095367432
2019,44,경찰대학,기타,기타,충남,-,147730,47781,195511,150760,48249,199009,0,10,2051,0,10,2051,172,55,227,5559,634,6193,6193,0,199009,0,0.0,6193,199009,3.200000047683716
2019,45,경희대학교,대학,사립,서울,A그룹,903839,408325,1312164,1954720,609327,2564047,58,47,288186,6,111,288186,275,140,415,26644,5907,32551,26522,12446,2564047,33487,76.5999984741211,32551,2564047,1.2999999523162842
2019,46,계명대학교,대학,사립,대구,A그룹,580201,344114,924315,1621720,435688,2057408,34,51,79195,3,88,79195,1734,396,2130,36794,20722,57516,37719,6079,2057408,23336,88.19999694824219,57516,2057408,2.900000095367432
2019,47,계명문화대학교,전문대학,사립,대구,A그룹,153750,8498,162248,230200,12584,242784,4,5,15925,4,13,15925,71,0,71,5598,303,5901,5508,386,242784,5220,46.5,5901,242784,2.5
2019,48,계약신학대학원대학교,대학원대학,사립,경기,-,14917,4241,19158,19710,4377,24087,0,0,691,0,0,691,6,0,6,298,177,475,344,0,24087,51,472.2999877929688,475,24087,2.0
2019,49,계원예술대학교,전문대학,사립,경기,B그룹,76971,35508,112479,88392,36323,124715,2,7,8844,2,11,8844,158,85,243,2798,96,2894,2692,0,124715,2879,43.29999923706055,2894,124715,2.400000095367432
2019,50,고려대학교,대학,사립,서울,A그룹,623564,940330,1563894,1475423,1509827,2985250,113,103,632994,4,220,632994,1519,1564,3083,236811,9706,246517,223220,109114,2985250,29771,100.3000030517578,246517,2985250,9.0
2019,51,고려대학교(세종),대학,사립,세종,B그룹,277168,65941,343109,685018,86602,771620,5,9,11222,2,16,11222,98,12,110,4551,2600,7151,6666,27,771620,7240,106.5999984741211,7151,771620,0.8999999761581421
2019,52,고려사이버대학교,대학,사립,서울,A그룹,4495,38358,42853,11156,38358,49514,0,1,49514,0,1,49514,0,0,0,548,0,548,463,0,49514,9064,5.5,548,49514,1.100000023841858
2019,53,고신대학교,대학,사립,부산,C그룹,217571,128018,345589,291319,161155,452474,14,12,9106,0,26,9106,504,139,643,4679,5990,10669,7220,0,452474,4821,93.9000015258789,10669,452474,2.400000095367432
2019,54,공군사관학교,기타,기타,충북,-,192590,37821,230411,192590,37821,230411,5,6,3446,0,11,3446,197,15,212,4871,2731,7602,7602,50,230411,0,0.0,7602,230411,3.400000095367432
2019,55,공주교육대학교,대학,국립,충남,C그룹,119623,6292,125915,297251,18635,315886,5,7,8204,0,12,8204,145,0,145,4411,546,4957,1419,0,315886,2006,157.5,4957,315886,1.600000023841858
2019,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,10161,41727,51888,17796,41727,59523,0,10,436271,5,15,436271,0,0,0,6289,0,6289,6055,0,59523,1331,44.70000076293945,6289,59523,11.800000190734863
2019,57,광신대학교,대학,사립,광주,C그룹,55196,57983,113179,81413,63741,145154,1,3,10607,0,4,10607,158,53,211,1995,2945,4940,4531,0,145154,984,147.5,4940,145154,3.5
2019,58,광양보건대학교,전문대학,사립,전남,C그룹,23363,476,23839,39827,542,40369,0,0,451,0,0,451,60,0,60,0,30,30,15,0,40369,1179,34.20000076293945,30,40369,0.1000000014901161
