YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_20A,BG3Y_MCS_21B,BG3Y_MCS_22C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2022,347,청강문화산업대학교,전문대학,사립,경기,B그룹,103307,15873,119180,178880,16997,195877,12,10,70691,1,23,70691,89,44,133,4414,251,4665,4603,0,195877,3424,57.20000076293945,4665,195877,2.400000095367432,683,142,2,683,661,1,6822762455,1638000,0,0,0,0,0,0,1638000,7096357000,1560000,0,0,0,0,0,0,1560000,1638000,840,1950,1638000,6822762455,0,2460000,1764000,1638000,-17.7,454,454,0,22,21,38,0,535,411,411,0,20,21,36,340,828,0,5,4,0,0,1,0,5,9,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,454,0,5,454,0,0,2,0,5,7,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,1,2,0,9,12,0,0,0,0,0,1,2,0,9,12,196,39,438,80,2,5,1,4,7865,1.100000023841858,2,1,7865,.4000000059604645,634,6,6,52.79999923706055
2022,348,청암대학교,전문대학,사립,전남,B그룹,62919,7286,70205,89495,10785,100280,0,1,1489,0,1,1489,5,0,5,1842,0,1842,1652,0,100280,2441,41.09999847412109,1842,100280,1.899999976158142,1543.300048828125,60,1,1543.300048828125,8,192.8999938964844,5871153563,3213610,0,0,0,0,0,0,3213610,2930068000,3000000,0,0,0,0,0,0,3000000,3213610,696,4617.3,3213610,5871153563,.1,6472850,2144880,3213610,-8.5,262,0,262,49,4,10,0,325,245,0,245,48,8,10,0,311,0,11000,0,366,52,114,45,577,0,16851,2621,1701,0,21173,0,0,926,756,252,254,459,124,58,3,102,3,400,16851,262,64.30000305175781,11000,262,42,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,104,19,8,2,1,1,0,0,818,2.200000047683716,1,0,818,1.2000000476837158,112,2,0,56
2022,349,청운대학교,대학,사립,충남,B그룹,293405,66370,359775,602317,76494,678811,18,13,158945,5,36,158945,185,25,210,13834,772,14606,10371,0,678811,6103,111.1999969482422,14606,678811,2.200000047683716,1579,240,6,1579,1409,1.100000023841858,3648694916,1911884,0,0,0,0,0,0,1911884,1798160000,1798160,0,0,0,0,0,0,1798160,1911884,0,0,1911884,3648694916,.1,0,0,1911884,0,4405,3816,589,172,120,254,175,5126,4645,4075,570,170,135,275,86,5311,0,13450,542,173,55,75,32,877,2241,1128,547,798,1006,5720,0,0,121,805,28,40,7,112,13,12,15,0,0,3369,4405,.800000011920929,13450,4405,3.0999999046325684,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,3,0,0,3,63,8,75,17,2,0,1,0,1816,1.5,2,1,1816,1.7000000476837158,138,2,1,46
2022,350,청주교육대학교,대학,국립,충북,C그룹,158488,10816,169304,282115,24644,306759,11,7,10979,0,18,10979,111,3,114,8136,2075,10211,6695,0,306759,1564,196.1000061035156,10211,306759,3.400000095367432,1044.699951171875,132,0,1044.699951171875,124,8.399999618530273,7181320944,8844300,674730,0,0,0,0,0,9519030,6729992000,10000000,1200000,0,0,0,0,0,11200000,9519030,1379,6902.8,9519030,7181320944,.1,10722600,9519030,9519030,-5.6,11959,10858,1101,452,576,229,741,13957,12202,11168,1034,420,557,236,762,14177,0,115388,2051,268,254,81,288,2942,16011,3077,5436,1321,4454,30299,0,0,2312,452,75,340,189,413,60,2,41,26,1816,19088,11959,1.600000023841858,115388,11959,9.600000381469728,2,3,0,1,6,0,0,0,0,0,0,11,1,0,12,0,0,0,0,0,2,14,1,1,18,0,0,0,0,0,2,14,1,1,18,744,144,354,80,5,1,12,0,13145,1.2000000476837158,5,12,13145,1.2999999523162842,1098,5,9,78.4000015258789
2022,351,청주대학교,대학,사립,충북,A그룹,473139,188441,661580,1023391,287483,1310874,20,25,134525,3,48,134525,461,37,498,24723,3105,27828,16151,0,1310874,11490,114.0999984741211,27828,1310874,2.200000047683716,536,87,1,536,391,1.399999976158142,1025134627,2790840,0,0,0,0,0,0,2790840,915188000,440000,0,0,0,0,0,0,440000,2790840,98,28478,2790840,1025134627,.3,0,0,2790840,0,4352,3955,397,149,228,161,0,4890,4344,3926,418,153,231,170,6,4904,0,321536,3023,263,174,118,2,3580,29344,2705,2991,2052,5566,42658,0,0,365,427,248,0,0,159,20,26,132,0,0,32049,4352,7.400000095367432,321536,4352,73.9000015258789,0,2,1,1,4,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,4,1,2,7,0,0,0,0,0,0,4,1,2,7,29,3,877.0999755859375,207,3,1,2,1,5362,1.100000023841858,3,2,5362,.8999999761581421,906.0999755859376,4,3,129.39999389648438
2022,352,초당대학교,대학,사립,전남,C그룹,198106,43644,241750,329232,50516,379748,16,14,105943,4,34,105943,99,7,106,9071,283,9354,5627,0,379748,3445,110.1999969482422,9354,379748,2.5,4061,16,0,4061,545,7.5,1974836920,2927160,0,0,0,0,0,0,2927160,2069935142,3000000,0,0,0,0,0,0,3000000,2927160,404,7245.4,2927160,1974836920,.1,3600000,5725590,2927160,5.1,3448,3420,28,132,124,95,0,3799,3184,3156,28,125,136,92,1,3538,0,43043,138,2,36,63,1,240,557,5,467,715,1005,2749,0,0,4,47,13,1,0,15,0,0,0,1,286,562,3448,.2000000029802322,43043,3448,12.5,3,8,0,2,13,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,3,22,0,2,27,0,0,0,0,0,3,22,0,2,27,638,189,472.2000122070313,102,11,2,14,0,21656,1.100000023841858,11,14,21656,1.2000000476837158,1110.199951171875,12,12,46.29999923706055
2022,353,총신대학교,대학,사립,서울,C그룹,122400,344557,466957,287815,406898,694713,15,21,58202,3,39,58202,138,159,297,14219,1193,15412,13070,0,694713,3681,188.6999969482422,15412,694713,2.299999952316284,375,110,1,375,411,.8999999761581421,2429520337,0,0,0,0,0,0,0,0,2445143000,0,0,0,0,0,0,0,0,0,583,0,0,2429520337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,374,0,0,0,0,0
2022,354,추계예술대학교,대학,사립,서울,C그룹,105615,9916,115531,133554,10610,144164,14,13,60860,3,30,60860,88,24,112,2147,112,2259,2215,1,144164,1314,109.6999969482422,2259,144164,1.600000023841858,8132,72,14,8132,245,33.20000076293945,2100290245,2400000,0,0,0,0,0,0,2400000,1839977000,2400000,0,0,0,0,0,0,2400000,2400000,454,5286.3,2400000,2100290245,.1,2375870,2371700,2400000,.5,245,0,245,12,90,12,0,359,246,0,246,11,97,13,0,367,0,50,0,0,4,2,0,6,0,0,10,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,50,245,.2000000029802322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581,0,0,0,1581,0,0,0,0,0
2022,355,춘천교육대학교,대학,국립,강원,C그룹,215236,7329,222565,337096,9285,346381,10,16,0,1,27,0,33,0,33,7173,12,7185,4415,0,346381,1674,206.8999938964844,7185,346381,2.0999999046325684,5696.2998046875,1144,20,5696.2998046875,4645,1.2000000476837158,35930256692,88987950,19840580,0,82151354,44505276,0,1045000,236530160,40191000000,110000000,20000000,0,99000000,66000000,0,5000000,300000000,236530160,262,902786.9,236530160,35930256692,.7,321836946,291112289,236530160,-14.1,8500,7806,694,759,553,287,2417,12516,8290,7568,722,763,592,255,183,10083,0,281000,2860,246,341,147,258,3852,18870,2048,7109,2417,14233,44677,0,0,702,421,281,108,214,396,115,0,0,1,412,20918,8500,2.5,281000,8500,33.099998474121094,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,56.5,9,13,2,1,1,0,0,370,4.900000095367432,1,0,370,2.700000047683716,69.5,2,0,34.79999923706055
2022,356,춘해보건대학교,전문대학,사립,울산,B그룹,79593,1774,81367,91166,2223,93389,6,5,22887,0,11,22887,77,1,78,3359,385,3744,3644,0,93389,2713,34.400001525878906,3744,93389,4.199999809265137,10955,2378,229,10955,12202,.8999999761581421,68022480622,64724510,7972112,0,170215717,93003759,0,0,335916098,68612010928,63000000,12280000,500000,170000000,93543000,0,0,339323000,335916098,4405,76257.9,335916098,68022480622,.5,340361813,328848554,335916098,-.6,2780,2780,0,81,182,66,1596,4705,2761,2761,0,81,182,47,1540,4611,0,26331,861,0,36,38,3,938,15600,0,383,378,224,16585,0,0,0,0,149,16,15,7,1,0,0,0,0,15600,2780,5.599999904632568,26331,2780,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,726,0,0,0,0,0
