YR,RK,SNM,SCR
2016,1,서울대학교,64.92
2016,2,연세대학교,50.25
2016,3,한국과학기술원,49.11
2016,4,고려대학교,49.01
2016,5,포항공과대학교,47.73
2016,6,성균관대학교,47.16
2016,7,한양대학교,47.08
2016,8,경북대학교,45.71
2016,9,부산대학교,45.24
2016,10,전남대학교,45.24
2016,11,광주과학기술원,45.23
2016,12,경희대학교,45.15
2016,13,이화여자대학교,45.14
2016,14,울산대학교,45.04
2016,15,전북대학교,44.91
2016,16,아주대학교,44.86
2016,17,경상국립대학교,44.85
2016,18,가톨릭대학교,44.8
2016,19,인하대학교,44.74
2016,20,건국대학교,44.69
2016,21,충남대학교,44.59
2016,22,서강대학교,44.45
2016,23,강원대학교,44.44
2016,24,중앙대학교,44.42
2016,25,동국대학교,44.41
2016,26,영남대학교,44.41
2016,27,충북대학교,44.39
2016,28,인제대학교,44.37
2016,29,서울시립대학교,44.34
2016,30,세종대학교,44.34
2016,31,단국대학교,44.33
2016,32,울산과학기술원,44.32
2016,33,국립부경대학교,44.28
2016,34,가천대학교,44.28
2016,35,한림대학교,44.27
2016,36,조선대학교,44.26
