YR,ID,SNM,STYP,FND,RGN,USC,SCR_EST,RK_EST,APS_APS,BGT_MCT,BGT_UBGT,BPS_BPS,BR_BCNT_SUM,CPSS_CPS,EHS_EHS,FACLT_EQP_TPC,FACLT_LAS,FACLT_RS_TRS,LBRT_USTL,LPK_LPK,LPS_LPS,LS_LB_SUM,LS_LU_SUM,SPK_SPK,STL_MCT,STL_USTL,VPS_VPS,VUC_UC_LUC
2023,357,충남대학교,대학,국립,대전,A그룹,72.42599999999993,18,1.7000000476837158,2056300000,246332847000,85.5,1867742,184427.9,64.30000305175781,177,37738.0,5151,340206207437,1.2000000476837158,4.0,116878,9957,1.399999976158142,4027904920,340206207437,53.900001525878906,1177376
2023,358,충남도립대학교,전문대학,공립,충남,C그룹,65.19297499999999,207,2.900000095367432,69800000,20042658000,71.19999694824219,70863,67232.7,58.900001525878906,86,2886.0,513,20365487709,2.0,2.0,2844,394,1.7999999523162842,66896520,20365487709,40.0,39805
2023,359,충북대학교,대학,국립,충북,A그룹,70.69899999999998,27,1.7000000476837158,1381880000,216442101290,87.0,1407125,166793.0,42.5,171,26883.30078125,2295,270781842624,1.2999999523162842,3.5,85818,6993,1.5,2696375427,270781842624,48.29999923706055,780438
2023,360,충북도립대학교,전문대학,공립,충북,C그룹,67.73929999999999,61,1.0,31800000,13659079000,86.0999984741211,67597,56894.2,31.0,3,742.5,167,34743382070,1.2999999523162842,1.7000000476837158,1583,172,1.2999999523162842,44661970,34743382070,1.600000023841858,1233
2023,361,충북보건과학대학교,전문대학,사립,충북,B그룹,63.88069833333332,262,0.800000011920929,56416000,21885404074,47.29999923706055,111421,22870.3,54.0,11,1709.5999755859375,343,22720377826,0.5,2.200000047683716,5720,232,0.699999988079071,53859641,22720377826,2.0999999046325684,5000
2023,362,충청대학교,전문대학,사립,충북,B그룹,54.815515000000026,403,1.399999976158142,93000000,33056550845,55.79999923706055,182904,28396.9,54.20000076293945,449,4189.7001953125,576,36515135194,0.6000000238418579,1.5,6291,471,0.8999999761581421,92999805,36515135194,7.199999809265137,23647
2023,363,치유상담대학원대학교,대학원대학,사립,서울,-,65.53843333333333,191,1.7000000476837158,17000000,2178367000,129.8000030517578,17918,72431.3,6.0,3,210.0,40,2235185561,8.300000190734863,6.099999904632568,951,122,8.300000190734863,9995520,2235185561,4.699999809265137,646
2023,364,칼빈대학교,대학,사립,경기,C그룹,66.53233333333333,141,0.5,40000000,12320920000,119.1999969482422,123154,34849.7,122.0,9,830.0,198,11065688383,1.899999976158142,2.900000095367432,3861,233,1.7999999523162842,35999690,11065688383,10.800000190734863,11112
2023,365,탐라대학교,대학,사립,제주,C그룹,50.591168333333314,429,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023,366,평택대학교,대학,사립,경기,C그룹,67.79999999999998,58,1.399999976158142,250000000,45044554427,124.0999984741211,455120,63594.2,31.799999237060547,24,5149.0,618,45244814206,0.6000000238418579,1.7999999523162842,8622,1081,1.2999999523162842,233199961,45244814206,26.799999237060547,98219
2023,367,포항공과대학교,대학,사립,경북,C그룹,75.10050000000001,9,4.5,3356280999,249900354000,116.0,383558,1113616.6,50.400001525878906,29,15614.099609375,1132,226470011366,2.0,3.400000095367432,19220,2342,2.299999952316284,3681616454,226470011366,77.0999984741211,254868
2023,368,포항대학교,전문대학,사립,경북,C그룹,64.85804166666662,230,1.7000000476837158,45500000,14926466000,68.4000015258789,104809,28705.3,27.0,6,2585.0,537,15280001370,0.699999988079071,0.699999988079071,3268,207,0.699999988079071,43976486,15280001370,13.5,20661
2023,369,한경국립대학교,대학,국립,경기,B그룹,66.80799999999998,122,1.7999999523162842,707960000,133736442000,92.6999969482422,558073,83181.1,61.5,103,11079.099609375,1363,104953491990,1.2999999523162842,3.5,29790,2713,1.5,500583885,104953491990,49.70000076293945,299098
2023,370,한국개발연구원국제정책대학원대학교,대학원대학,사립,세종,-,63.228999999999985,280,8.100000381469727,422872000,36685225479,363.7999877929688,273557,569430.6,48.79999923706055,93,6065.2998046875,329,34677744788,6.0,6.400000095367432,7339,519,5.900000095367432,428211815,34677744788,543.7999877929688,408960
2023,371,한국골프과학기술대학교,전문대학,사립,강원,C그룹,58.964861666666636,343,1.399999976158142,6375000,4894916362,39.5,16776,12985.7,29.0,9,606.0,105,4842061358,2.299999952316284,1.2999999523162842,627,117,2.299999952316284,5518920,4842061358,5.099999904632568,2150
2023,372,한국공학대학교,대학,사립,경기,B그룹,65.84124999999999,177,0.5,500000000,136048000000,29.89999961853028,222899,64108.3,103.5999984741211,30,3908.0,1125,106091302289,1.2000000476837158,2.0999999046325684,21512,1642,1.100000023841858,477863176,106091302289,14.399999618530272,107628
2023,373,한국과학기술원,대학,국립,대전,A그룹,78.32899999999991,4,2.5,8492042305,1181883811457,83.0,918268,761838.7,44.0,95,28245.900390625,3045,1093523892583,2.0999999046325684,3.700000047683716,100907,6363,2.700000047683716,8425174211,1093523892583,45.29999923706055,500792
2023,374,한국관광대학교,전문대학,사립,경기,C그룹,63.38597500000001,275,1.5,37380000,28679803000,74.4000015258789,108166,46106.8,49.5,38,1806.0,459,22726200564,0.800000011920929,1.399999976158142,4015,421,1.5,66993170,22726200564,8.5,12305
2023,375,한국교원대학교,대학,국립,충북,B그룹,60.94800000000002,320,2.900000095367432,411557000,105678980000,127.9000015258789,709671,115753.1,49.900001525878906,146,16185.900390625,1522,103677966181,2.299999952316284,8.100000381469727,57934,4739,2.299999952316284,642313895,103677966181,50.09999847412109,277879
2023,376,한국국제대학교,대학,사립,경남,C그룹,50.591168333333314,429,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023,377,한국기술교육대학교,대학,사립,충남,C그룹,69.46699999999997,38,2.0,1029000000,198856595000,94.1999969482422,442752,210245.1,100.6999969482422,38,9207.2998046875,1992,199269394424,1.2000000476837158,3.0999999046325684,33856,2658,1.2999999523162842,987731593,199269394424,105.6999969482422,496355
2023,378,한국농수산대학교,전문대학,국립,전북,C그룹,66.01101666666666,171,0.699999988079071,145600000,35428000000,42.59999847412109,72104,70315.9,0.0,6,1195.0,84,34566854060,1.2000000476837158,1.7000000476837158,4660,283,1.0,119044860,34566854060,8.600000381469727,14544
2023,379,한국방송통신대학교,대학,국립,서울,A그룹,59.50543000000002,339,0.2000000029802322,815899000,135962685000,10.0,988400,9023.5,44.20000076293945,293,17534.0,2909,114881147759,0.3000000119209289,1.2000000476837158,123887,1902,0.3000000119209289,896340474,114881147759,0.0,3023
2023,380,한국복지사이버대학교,전문대학,사립,경북,B그룹,52.19070999999996,425,0.0,4000000,14909887000,4.5,11960,1477.8,9.0,1,15.5,2,13728071900,0.0,0.1000000014901161,318,123,0.3000000119209289,3923470,13728071900,0.4000000059604645,995
2023,381,한국상담대학원대학교,대학원대학,사립,서울,-,63.55043333333333,272,2.400000095367432,38000000,2599613000,135.8000030517578,22950,157716.2,32.5,14,384.0,86,2234296191,6.300000190734863,7.099999904632568,1270,139,5.099999904632568,26654040,2234296191,9.100000381469728,1531
2023,382,한국성서대학교,대학,사립,서울,C그룹,67.06979999999999,90,2.299999952316284,111200000,17031211062,139.89999389648438,167161,89826.6,34.29999923706055,20,2739.0,263,16721821305,1.7000000476837158,4.400000095367432,6257,677,1.7000000476837158,107342821,16721821305,37.5,44798
2023,383,한국승강기대학교,전문대학,사립,경남,C그룹,57.4602883333333,371,1.5,15120000,12490055640,36.79999923706055,23172,27431.4,4.0,6,893.2999877929688,178,8625563278,1.7000000476837158,0.0,31,27,3.0999999046325684,17281760,8625563278,3.5,2221
2023,384,한국에너지공과대학교,대학,국립,전남,C그룹,54.64080000000002,405,1.7000000476837158,893069000,246872870000,40.79999923706055,6282,5975137.8,0.0,1,495.0,59,30077009830,7.099999904632568,8.300000190734863,2311,137,6.400000095367432,920171228,30077009830,230.0,35426
2023,385,한국열린사이버대학교,대학,사립,서울,B그룹,56.15102166666664,388,0.0,1000000,46001775000,0.699999988079071,4126,174.2,0.0,0,0.0,0,44155693720,0.0,0.3000000119209289,1735,365,0.2000000029802322,1000000,44155693720,0.0,0
