YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_16A,BG3Y_MCS_17B,BG3Y_MCS_18C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2018,20,인하대학교,72.7,316,대학,사립,인천,A그룹,553693,328161,881854,1245346,400312,1645658,34,35,56797,5,74,56797,575,160,735,19001,7050,26051,22079,0,1645658,20205,81.4000015258789,26051,1645658,1.600000023841858,26533.0,3823,75,316,391,26533.0,20205,1.2999999523162842,278562264000,467726068,110641263,1980800,1607366914,458348648,0,79570404,2725634097,288185351000,466000000,111000000,3000000,1716000000,463000000,0,81000000,2840000000,2725634097,20205,134899.0,2725634097,278562264000,1.0,3454747398,3055120983,2725634097,-11.2,20205,17124,3081,835,960,353,5661,28014,71,1713313,12031,1939,439,557,1791,16757,116844,31343,9415,10942,38992,207536,0,0,9109,3624,472,343,534,1918,789,78,1767,148187,20205,7.300000190734863,1713313,20205,84.80000305175781,15,0,9,1,24,1,25,8,6,1,15,0,9,0,9,918,127,15,0,9,1,20205,1.100000023841858,15,9,20205,1.2000000476837158,918,15,10,36.70000076293945
2018,21,강원대학교,72.5,14,대학,국립,강원,A그룹,749624,173309,922933,1262219,312691,1574910,24,28,28938,0,52,28938,1623,368,1991,21812,6787,28599,25666,92,1574910,22949,68.5999984741211,28599,1574910,1.7999999523162842,28484.0,3427,58,350,408,28484.0,22949,1.2000000476837158,255008208000,284600190,702767330,10133300,920557960,393825000,0,26036170,2337919950,244415986000,280000000,741000000,9000000,800000000,427000000,0,25000000,2282000000,2337919950,22949,101874.6,2337919950,255008208000,0.9,3661689690,2973599950,2337919950,-20.1,22949,20168,2781,1003,1335,681,1722,27690,116,1875604,8897,1258,689,407,699,11950,56114,11052,8311,4338,19186,99001,0,0,2258,6671,947,1036,465,1478,7853,104,1943,67166,22949,2.900000095367432,1875604,22949,81.69999694824219,26,3,0,5,26,8,34,12,12,2,26,0,0,0,0,1754,259,26,3,0,5,22949,1.2999999523162842,26,0,22949,1.100000023841858,1754,29,5,51.59999847412109
2018,22,광주과학기술원,72.2,61,대학,국립,광주,C그룹,55986,82052,138038,68851,98758,167609,29,4,57464,2,35,57464,0,6,6,7375,0,7375,6341,0,167609,2042,82.0999984741211,7375,167609,4.599999904632568,8760.0,667,18,50,68,8760.0,2042,4.300000190734863,237669000000,261762987,10027428,5594510,1770430830,36651402,0,57467000,2141934157,223351000000,300000000,11572800,0,1845921725,37252000,0,0,2194746525,2141934157,2042,1048939.4,2141934157,237669000000,0.9,0,1988702013,2141934157,0.0,2042,738,1304,182,71,664,0,2959,2,237029,669,994,353,206,0,2222,23322,26802,22826,15782,1572,90304,0,0,804,811,777,32,27,326,20,0,0,50124,2042,24.5,237029,2042,116.0999984741211,1,2,4,14,5,16,21,1,0,0,1,0,4,0,4,128,4,1,2,4,14,2042,6.300000190734863,1,4,2042,2.400000095367432,128,3,18,6.099999904632568
2018,23,경상국립대학교,72.0,37,대학,국립,경남,A그룹,663482,265463,928945,1377497,457850,1835347,33,31,38722,3,67,38722,1029,256,1285,32082,28083,60165,46268,146,1835347,22060,83.19999694824219,60165,1835347,3.400000095367432,35014.0,3510,74,299,373,35014.0,22060,1.600000023841858,263655378000,470439770,550466160,16177720,1214507427,342732445,0,44629558,2638953080,248980395000,361200000,214195790,12500000,637002460,160116540,0,29966000,1414980790,2638953080,22060,119626.2,2638953080,263655378000,1.0,3371050395,3062222320,2638953080,-11.5,22060,19243,2817,992,1128,566,2910,27656,123,1140611,10870,763,672,407,1901,14613,85115,7887,11748,5653,20543,130946,0,0,10609,9857,812,317,269,1169,2629,120,3913,93002,22060,4.199999809265137,1140611,22060,51.70000076293945,31,2,3,0,34,2,36,9,22,0,31,1,2,0,3,2975,586,31,2,3,0,22060,1.600000023841858,31,3,22060,1.5,2975,33,3,82.5999984741211
2018,24,아주대학교,71.9,264,대학,사립,경기,A그룹,346857,236354,583211,632151,438820,1070971,45,43,46261,2,90,46261,613,102,715,18951,2255,21206,18857,0,1070971,13741,77.9000015258789,21206,1070971,2.0,16297.0,2654,66,93,159,16297.0,13741,1.2000000476837158,282615627000,304362520,89401500,9789110,1885610897,442605780,0,49581348,2781351155,260379169000,311000000,100600000,10000000,2004212812,466271129,0,54211124,2946295065,2781351155,13741,202412.6,2781351155,282615627000,1.0,2903878624,2867256000,2781351155,-2.1,13741,9543,4198,703,781,264,6773,22262,42,1304262,6607,1523,529,277,1623,10559,55678,18992,11344,4288,22571,112873,0,0,2535,2083,926,280,228,2387,2245,80,1307,74670,13741,5.400000095367432,1304262,13741,94.9000015258789,11,2,8,3,19,5,24,3,8,0,11,0,8,0,8,703,157,11,2,8,3,13741,1.5,11,8,13741,1.399999976158142,703,13,11,29.299999237060547
2018,25,울산과학기술원,71.3,295,대학,국립,울산,C그룹,90405,132700,223105,104276,136028,240304,37,25,428386,0,62,428386,58,12,70,10678,87,10765,10342,0,240304,4491,53.5,10765,240304,4.699999809265137,10657.0,1017,17,104,121,10657.0,4491,2.400000095367432,271113000000,204381325,8149900,2999560,815720724,349362994,0,12699321,1393313824,258674924000,194640000,11000000,3000000,815000000,366000000,0,15360000,1405000000,1393313824,4491,310245.8,1393313824,271113000000,0.5,1378420619,1621370393,1393313824,1.8,4491,2893,1598,289,155,345,207,5487,12,786883,2564,1123,155,484,70,4396,22362,8268,1232,2673,4742,39277,0,0,2719,1542,2316,202,12,2001,10,83,1389,30630,4491,6.800000190734863,786883,4491,175.1999969482422,5,0,4,2,9,2,11,1,4,0,5,0,4,0,4,216,39,5,0,4,2,4491,2.0,5,4,4491,2.0,216,5,6,19.600000381469727
2018,26,영남대학교,71.2,276,대학,사립,경북,A그룹,508812,367917,876729,1188896,603982,1792878,42,41,36911,2,85,36911,908,168,1076,23463,7526,30989,28372,32555,1792878,24257,73.9000015258789,30989,1792878,1.7999999523162842,35610.0,4412,77,302,379,35610.0,24257,1.5,322499065000,332077994,221643350,14490357,1585680886,479779687,0,18706744,2652379018,341101079000,264000000,221000000,22000000,1725119000,501000000,0,34200000,2767319000,2652379018,24257,109344.9,2652379018,322499065000,0.8,3386591406,2991820862,2652379018,-11.5,24257,21211,3046,925,1151,624,2244,29201,72,1372723,13137,1494,869,697,1100,17297,108374,26115,19800,9102,16095,179486,0,0,2790,2205,5172,538,758,2015,1931,130,2738,134489,24257,5.5,1372723,24257,56.59999847412109,26,1,4,4,30,5,35,11,14,1,26,0,4,0,4,991,146,26,1,4,4,24257,1.2999999523162842,26,4,24257,1.2000000476837158,991,27,8,28.299999237060547
2018,27,단국대학교,71.0,107,대학,사립,경기,A그룹,925856,301104,1226960,1471041,498027,1969068,20,26,31222,5,51,31222,964,141,1105,28528,9142,37670,29117,0,1969068,26716,73.69999694824219,37670,1969068,2.0,33311.0,5435,49,275,324,33311.0,26716,1.2000000476837158,323350744000,676246347,84573277,8935782,987393198,395958913,0,45708447,2198815964,320842065000,671522000,84814000,8480000,993222000,347660000,0,49000000,2154698000,2198815964,26716,82303.3,2198815964,323350744000,0.7,2696819830,2488880467,2198815964,-9.7,26716,22798,3918,1106,1572,524,1606,31524,155,1620922,11880,1675,819,784,503,15661,93649,19240,10363,7335,41512,172099,0,0,12212,6680,1432,144,335,863,314,22,1010,112889,26716,4.199999809265137,1620922,26716,60.70000076293945,16,7,2,2,18,9,27,4,12,0,16,0,2,0,2,928,92,16,7,2,2,26716,0.8999999761581421,16,2,26716,0.699999988079071,928,23,4,34.400001525878906
2018,28,충북대학교,71.0,359,대학,국립,충북,A그룹,456814,204300,661114,1100932,264843,1365775,34,33,63696,3,70,63696,721,213,934,14526,24107,38633,30428,23,1365775,17510,78.0,38633,1365775,2.900000095367432,18774.0,2616,64,142,206,18774.0,17510,1.100000023841858,217753718000,221280640,41422000,3000000,1349595550,377844480,0,134957250,2128099920,169800202000,250000000,59642000,18000000,20000000,20000000,0,97000000,464642000,2128099920,17510,121536.3,2128099920,217753718000,1.0,2347479420,2214406770,2128099920,-4.8,17510,14150,3360,755,1045,456,4158,23924,88,1767178,7790,1690,467,442,668,11057,65984,18252,5922,4967,25556,120681,0,0,34430,6612,301,1523,298,456,303,41,775,84236,17510,4.800000190734863,1767178,17510,100.9000015258789,22,1,0,2,22,3,25,5,16,1,22,0,0,0,0,2472,656,22,1,0,2,17510,1.399999976158142,22,0,17510,1.2999999523162842,2472,23,2,98.9000015258789
2018,29,세종대학교,70.9,236,대학,사립,서울,A그룹,363621,192810,556431,638004,301545,939549,25,22,43146,9,56,43146,196,86,282,6173,2377,8550,6875,0,939549,14087,66.69999694824219,8550,939549,0.8999999761581421,17313.0,3831,34,313,347,17313.0,14087,1.2000000476837158,190551320000,84199494,36032934,0,803968598,364883973,0,97022762,1386107761,202657486000,66600000,38000000,0,847538000,347600000,0,99840000,1399578000,1386107761,14087,98396.2,1386107761,190551320000,0.7,1367977000,1445024862,1386107761,0.8,14087,11730,2357,483,513,171,13205,28459,56,1550399,6011,899,386,129,453,7878,41208,7114,4547,1420,10854,65143,0,0,2427,1804,834,39,124,128,125,17,248,48322,14087,3.400000095367432,1550399,14087,110.0999984741211,8,0,0,3,8,3,11,2,6,0,8,0,0,0,0,205,29,8,0,0,3,14087,0.699999988079071,8,0,14087,0.6000000238418579,205,8,3,18.600000381469727
