YR,ID,SNM,STYP,FND,RGN,USC,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS
2022,200,서울대학교,대학,국립,서울,A그룹,27924,16045,11879,2256,3546,2036,17647,53409,28266,15870,12396,2278,3804,3222,8297,45867,0,1282773,10115,9593,1326,3188,2338,26560,69005,104078,19294,30870,72700,295947,0,0,26286,28783,35908,3182,2104,3497,7183,336,5783,6,553,173083,27924,6.199999809265137,1282773,27924,45.900001525878906
2022,201,서울디지털대학교,대학,사립,서울,A그룹,10952,10952,0,52,316,60,2993,14373,11133,11133,0,51,345,61,2101,13691,0,22373,1797,0,12,16,56,1881,14900,0,139,199,402,15640,0,0,0,0,0,0,0,3,0,0,0,3,13,14900,10952,1.399999976158142,22373,10952,2.0
2022,202,서울미디어대학원대학교,대학원대학,사립,서울,-,261,0,261,13,15,8,0,297,227,0,227,12,16,11,0,266,0,59,0,5,0,3,0,8,0,15,0,22,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,15,261,0.1000000014901161,59,261,0.2000000029802322
2022,203,서울벤처대학원대학교,대학원대학,사립,서울,-,258,0,258,12,28,13,0,311,273,0,273,12,28,14,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0.0,0,258,0.0
2022,204,서울불교대학원대학교,대학원대학,사립,서울,-,164,0,164,12,30,10,0,216,149,0,149,12,31,9,0,201,0,51,0,47,4,0,0,51,0,347,32,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,347,164,2.0999999046325684,51,164,0.3000000119209289
2022,205,서울사이버대학교,대학,사립,서울,A그룹,15777,15372,405,60,351,89,57,16334,16943,16539,404,60,399,96,31,17529,0,1463,1320,59,18,32,31,1460,2736,178,32,73,132,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,2914,15777,0.2000000029802322,1463,15777,0.1000000014901161
2022,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,126,0,126,5,12,9,0,152,122,0,122,6,12,9,0,149,0,175,0,12,0,1,0,13,0,70,0,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,70,126,0.6000000238418579,175,126,1.399999976158142
2022,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,112,0,112,9,3,10,0,134,134,0,134,9,3,10,40,196,0,964,0,78,5,9,6,98,0,428,68,49,40,585,0,0,90,120,7,0,0,1,0,8,81,0,0,428,112,3.799999952316284,964,112,8.600000381469727
2022,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,93,0,93,6,18,4,0,121,74,0,74,5,16,5,14,114,0,11856,0,49,13,2,2,66,0,184,105,33,8,330,0,0,173,221,6,19,1,163,1,7,127,3,363,184,93,2.0,11856,93,127.5
2022,209,서울시립대학교,대학,공립,서울,A그룹,11879,9023,2856,441,719,305,167,13511,11613,8674,2939,447,809,485,140,13494,0,534206,3204,965,283,276,231,4959,23984,13746,6258,5196,31443,80627,0,0,280,850,79,224,143,224,114,12,27,1,73,37730,11879,3.200000047683716,534206,11879,45.0
