Year,ID,SchName,SchType,FoundType,Region,UnivScale,VolunteerUserCnt_VolunteerTC_PrevYear_StCount,VolunteerUserCnt_VolunteerTC_PrevYear_Undergrad,VolunteerUserCnt_VolunteerTC_PrevYear_GradSt,VolunteerUserCnt_VolunteerTC_PrevYear_FullFaculty,VolunteerUserCnt_VolunteerTC_PrevYear_PartFaculty,VolunteerUserCnt_VolunteerTC_PrevYear_Staff,VolunteerUserCnt_VolunteerTC_PrevYear_Other,VolunteerUserCnt_VolunteerTC_PrevYear_TotalSum,VolunteerUserCnt_VolunteerTC_CurrYear_StCount,VolunteerUserCnt_VolunteerTC_CurrYear_Undergrad,VolunteerUserCnt_VolunteerTC_CurrYear_GradSt,VolunteerUserCnt_VolunteerTC_CurrYear_FullFaculty,VolunteerUserCnt_VolunteerTC_CurrYear_PartFaculty,VolunteerUserCnt_VolunteerTC_CurrYear_Staff,VolunteerUserCnt_VolunteerTC_CurrYear_Other,VolunteerUserCnt_VolunteerTC_CurrYear_TotalSum,VolunteerUserCnt_DeptCnt,VolunteerUserCnt_UserCnt_LibUserCnt,LoanStatus_LoanUserCnt_Undergrad,LoanStatus_LoanUserCnt_GradSt,LoanStatus_LoanUserCnt_Faculty,LoanStatus_LoanUserCnt_Staff,LoanStatus_LoanUserCnt_Other,LoanStatus_LoanUserCnt_TotalSum,LoanStatus_LoanBookCnt_Undergrad,LoanStatus_LoanBookCnt_GradSt,LoanStatus_LoanBookCnt_Faculty,LoanStatus_LoanBookCnt_Staff,LoanStatus_LoanBookCnt_Other,LoanStatus_LoanBookCnt_TotalSum,RefCollab_RefBefore2010_Request,RefCollab_RefBefore2010_Provided,RefCollab_RefAfter2010_Consultation,RefCollab_RefAfter2010_Phone,RefCollab_RefAfter2010_Online,RefCollab_RefLoan_Request,RefCollab_RefLoan_Provided,RefCollab_RefCopy_Request,RefCollab_RefCopy_Provided,UserEdu_OnsiteEduUser_EduCount,UserEdu_OnsiteEduUser_EduPartCnt,UserEdu_RemoteEduUser_EduCount,UserEdu_RemoteEduUser_EduPartCnt,LoanPerSt_LoanBookCnt,LoanPerSt_StCountPrev,LoanPerSt_LoanPerSt,VisitPerSt_VisitCnt,VisitPerSt_StCountPrev,VisitPerSt_VisitPerSt
2021,14,강원대학교,대학,국립,강원,A그룹,22114,19587,2527,1004,1288,815,764,25985,21898,19297,2601,1013,1382,936,860,26089,0,259785,2090,521,418,267,95,3391,9591,4514,5193,2717,18633,40648,0,0,196,1201,295,218,88,1047,4012,0,0,141,480,14105,22114,0.6000000238418579,259785,22114,11.699999809265137
2021,15,강원도립대학교,전문대학,공립,강원,C그룹,635,635,0,30,94,62,282,1103,579,579,0,121,91,74,225,1090,0,16712,113,0,18,51,36,218,1281,0,365,1249,615,3510,0,0,20,0,0,1,23,10,0,0,0,2,109,1281,635,2.0,16712,635,26.299999237060547
2021,16,개신대학원대학교,대학원대학,사립,서울,-,145,0,145,7,18,6,206,382,137,0,137,28,24,6,257,452,0,6000,0,28,9,3,24,64,0,493,118,26,240,877,0,0,70,50,30,27,0,74,0,0,0,0,0,493,145,3.400000095367432,6000,145,41.400001525878906
2021,17,거제대학교,전문대학,사립,경남,C그룹,1181,1181,0,39,68,39,52,1379,1066,1066,0,99,62,68,0,1295,0,50250,187,0,33,40,7,267,1490,0,580,544,147,2761,0,0,1,4,1,6,1,14,0,0,0,5,607,1490,1181,1.2999999523162842,50250,1181,42.5
2021,18,건국대학교,대학,사립,서울,A그룹,20087,15766,4321,689,1349,538,31783,54446,20271,15751,4520,659,1455,602,33219,56206,0,200002,4044,1495,508,327,1429,7803,29648,17741,9298,4608,30994,92289,0,0,0,0,0,113,208,1069,420,0,0,30,186,47389,20087,2.400000095367432,200002,20087,10.0
2021,19,건국대학교(글로컬),대학,사립,충북,B그룹,7402,6995,407,462,341,177,1061,9443,7431,7014,417,462,350,208,0,8451,0,695124,1354,77,152,142,29,1754,6352,535,2590,2328,349,12154,0,0,0,0,0,41,101,198,23,0,0,114,1187,6887,7402,0.8999999761581421,695124,7402,93.9000015258789
2021,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2021,21,건신대학원대학교,대학원대학,사립,대전,-,169,0,169,13,20,7,1061,1270,166,0,166,33,21,8,1097,1325,0,1310,0,46,9,4,1,60,0,678,148,41,34,901,0,0,35,70,0,4,0,12,0,2,57,0,0,678,169,4.0,1310,169,7.800000190734863
2021,22,건양대학교,대학,사립,충남,B그룹,7603,7039,564,385,243,235,767,9233,7336,6754,582,376,231,265,937,9145,0,97351,1673,76,175,128,143,2195,25633,1051,3201,2825,2084,34794,0,0,378,396,503,33,36,450,88,0,0,23,173,26684,7603,3.5,97351,7603,12.800000190734863
2021,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4712,4712,0,115,249,61,542,5679,4276,4276,0,378,263,70,152,5139,0,76446,364,0,61,54,3,482,14787,0,1595,980,21,17383,0,0,108,83,0,12,682,46,0,4,114,119,573,14787,4712,3.0999999046325684,76446,4712,16.200000762939453
2021,24,경기대학교,대학,사립,경기,A그룹,15975,13712,2263,541,671,265,7397,24849,16112,14033,2079,578,751,274,7037,24752,0,14343,1474,195,218,177,242,2306,6839,2194,2309,2441,42892,56675,0,0,2988,7211,148,102,245,527,171,0,0,1,1383,9033,15975,0.6000000238418579,14343,15975,0.8999999761581421
2021,25,경남대학교,대학,사립,경남,A그룹,12302,11147,1155,447,549,222,1604,15124,11943,10792,1151,467,535,257,1397,14599,0,117319,1659,355,307,130,124,2575,8762,3493,6225,2886,25078,46444,0,0,5902,3768,43,101,312,261,102,5,95,8,1922,12255,12302,1.0,117319,12302,9.5
2021,26,경남도립거창대학,전문대학,공립,경남,C그룹,856,856,0,29,77,49,13,1024,804,804,0,113,84,51,13,1065,0,2500,81,0,19,21,1,122,707,0,306,307,48,1368,0,0,54,0,0,0,0,0,0,2,59,0,0,707,856,0.800000011920929,2500,856,2.900000095367432
2021,27,경남도립남해대학,전문대학,공립,경남,C그룹,783,783,0,24,69,51,0,927,728,728,0,105,81,65,0,979,0,801,37,0,12,22,0,71,119,0,106,168,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,119,783,0.2000000029802322,801,783,1.0
2021,28,경남정보대학교,전문대학,사립,부산,A그룹,6665,6665,0,181,406,129,40,7421,6030,6030,0,605,426,122,53,7236,0,9498,606,0,58,49,20,733,4352,0,486,538,206,5582,0,0,8,13,166,1,1,8,0,38,1138,0,0,4352,6665,0.699999988079071,9498,6665,1.399999976158142
2021,29,경동대학교,대학,사립,강원,B그룹,7814,7814,0,254,133,120,402,8723,7549,7549,0,247,144,134,0,8074,0,249500,1737,0,14,191,3,1945,53986,0,86,723,23,54818,0,0,2000,1000,500,0,0,1,1,3,37,37,684,53986,7814,6.900000095367432,249500,7814,31.899999618530277
2021,30,경민대학교,전문대학,사립,경기,B그룹,4432,4432,0,123,255,101,82,4993,3845,3845,0,376,250,109,90,4670,0,13692,360,0,70,62,31,523,11480,0,1766,1466,757,15469,0,0,13,62,197,6,3,4,0,1,27,3,3127,11480,4432,2.5999999046325684,13692,4432,3.0999999046325684
2021,31,경복대학교,전문대학,사립,경기,A그룹,6455,6455,0,173,323,77,0,7028,6208,6208,0,495,325,85,0,7113,0,125297,1473,0,238,233,0,1944,27238,0,1941,2073,0,31252,0,0,3226,3863,76,0,0,2,0,0,0,443,16735,27238,6455,4.199999809265137,125297,6455,19.399999618530277
2021,32,경북과학대학교,전문대학,사립,경북,C그룹,1655,1655,0,52,76,32,0,1815,1845,1845,0,140,87,34,0,2106,0,350,2,0,4,2,0,8,83,0,19,2,0,104,0,0,3,0,0,0,0,0,0,0,0,0,0,83,1655,0.1000000014901161,350,1655,0.2000000029802322
