YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_15A,BG3Y_MCS_16B,BG3Y_MCS_17C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2017,36,경북전문대학교,전문대학,사립,경북,B그룹,79608,29207,108815,107134,33966,141100,1,1,5376,0,2,5376,133,2,135,3221,1709,4930,4473,15000,141100,2562,55.09999847412109,4930,141100,3.5999999046325684,22222,1783,37,152,189,22222,8685,2.5999999046325684,8165875000,22161600,0,0,0,0,0,0,22161600,9731813000,25000000,0,0,0,0,0,0,25000000,22161600,848,26134,22161600,8165875000,.3,25000000,24766850,22161600,-5.7,1902,1902,0,62,148,38,0,2150,19,7250,41,0,10,4,0,55,431,0,105,64,0,600,0,0,3,2,0,0,0,0,0,0,0,431,1902,.2000000029802322,7250,1902,3.799999952316284,4,2,0,0,4,2,6,1,3,0,4,0,0,0,0,498,19,4,2,0,0,0,0,4,0,0,0,498,6,0,83
2017,37,경상국립대학교,대학,국립,경남,A그룹,607000,281515,888515,1328576,443824,1772400,36,32,30306,0,68,31324,1036,253,1289,26584,24744,51328,38543,76,1772400,22867,77.5,51328,1772400,3,12421,1706,25,183,208,12421,7914,1.600000023841858,69131986000,125706400,4534200,5845360,14781980,19130000,0,0,169997940,61011271000,80000000,7000000,13000000,15000000,20000000,0,35000000,170000000,169997940,6853,24806.4,169997940,69131986000,.2,199872080,184872360,169997940,-7.8,30296,23702,6594,1262,1628,739,14707,48632,151,974572,17833,2903,1306,493,1179,23714,151648,39357,22412,6311,31417,251145,0,0,100885,44549,3196,537,1166,1761,2864,128,3332,191005,30296,6.300000190734863,974572,30296,32.20000076293945,25,2,25,1,50,3,53,11,13,1,25,0,24,1,25,1506,463,25,2,25,1,33327,1.399999976158142,25,25,33327,1.5,1506,27,26,28.39999961853028
2017,38,경성대학교,대학,사립,부산,A그룹,397619,157120,554739,729353,208706,938059,14,27,50859,0,41,52044,708,69,777,21041,6397,27438,16891,57,938059,13468,69.69999694824219,27438,938059,3,21423,3717,52,132,184,21423,16672,1.2999999523162842,93503911000,317515535,4177350,0,50000000,11695000,0,18899585,402287470,89036563000,334312000,10000000,0,70000000,10000000,0,0,424312000,402287470,7240,55564.6,402287470,93503911000,.4,315130728,315555401,402287470,13.8,1300,1300,0,43,89,48,0,1480,8,0,497,0,29,28,0,554,4443,0,804,986,0,6233,0,0,8,5,0,2,0,11,0,12,264,4443,1300,3.400000095367432,0,1300,0,22,1,1,8,23,9,32,9,11,2,22,0,1,0,1,1537,357,22,1,1,8,24537,1.100000023841858,22,1,24537,.8999999761581421,1537,23,9,48
2017,39,경안대학원대학교,대학원대학,사립,경북,-,11,1,12,7929,305,8234,0,0,0,0,0,0,5,0,5,50,104,154,128,0,8234,73,112.8000030517578,154,8234,1.899999976158142,12875,1628,31,107,138,12875,8296,1.600000023841858,55081584000,91247750,19750000,3200000,20295000,2384656,0,23720000,160597406,51233927000,88000000,20000000,3000000,22500000,2500000,0,25000000,161000000,160597406,4661,34455.6,160597406,55081584000,.3,155575726,155008636,160597406,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3,0,0,2,2,0,1,0,1,91,13,2,0,1,0,5179,.5,2,1,5179,.6000000238418579,91,2,1,30.299999237060547
2017,40,경운대학교,대학,사립,경북,C그룹,167556,26586,194142,343138,34560,377698,2,7,47314,0,9,47682,301,49,350,11898,84412,96310,34655,18,377698,5066,74.5999984741211,96310,377698,34.20000076293945,11316,1678,18,102,120,11316,7131,1.600000023841858,156854568000,87079510,2186300,1923000,0,16021848,0,30000000,137210658,94318203000,118500000,3000000,2000000,0,16500000,0,0,140000000,137210658,6350,21608,137210658,156854568000,.1,129452361,138735168,137210658,3,2562,2562,0,76,146,62,0,2846,24,92800,542,0,23,56,0,621,2592,0,644,793,0,4029,0,0,760,152,25,1,0,0,0,22,1023,2592,2562,1,92800,2562,36.20000076293945,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,24,0,1,0,0,0,68,14.699999809265137,1,0,68,14.699999809265137,24,1,0,24
2017,41,경인교육대학교,대학,국립,인천,C그룹,185631,11284,196915,509287,19001,528288,8,6,5812,0,14,5933,241,11,252,12993,1168,14161,7795,13961,528288,4246,124.4000015258789,14161,528288,2.799999952316284,10764,1330,22,52,74,10764,8513,1.2999999523162842,37679818000,11007740,0,23760,8412000,0,0,22030000,41473500,34638020000,22372000,0,500000,8600000,0,0,16000000,47472000,41473500,1902,21805.2,41473500,37679818000,.1,47313700,47600000,41473500,-6.1,22867,19939,2928,986,1098,550,5135,30636,117,717175,9671,1303,594,415,2885,14868,74931,14026,10349,5863,26801,131970,0,0,9700,13590,835,198,249,1414,301,40,887,88957,22867,3.900000095367432,717175,22867,31.39999961853028,1,1,1,0,2,1,3,0,1,0,1,0,0,1,1,319,25,1,1,1,0,2856,.8999999761581421,1,1,2856,.699999988079071,319,2,1,106.3000030517578
2017,42,경인여자대학교,전문대학,사립,인천,B그룹,88183,15565,103748,138332,15685,154017,0,2,25348,0,2,25557,48,13,61,10742,10073,20815,14200,0,154017,4894,31.5,20815,154017,15.600000381469728,4810,556,9,61,70,4810,2748,1.7999999523162842,340307885000,848975270,1245648530,6932240,2158093553,826393935,0,230005512,5316049040,303306242000,801757000,1116490000,5243000,2113909300,777959500,0,203741200,5019100000,5316049040,30296,175470.3,5316049040,340307885000,1.6,4720425000,5151721000,5316049040,6.2,13468,12674,794,450,561,249,6085,20813,43,653560,5003,299,408,153,4040,9903,43299,5135,8881,2827,32603,92745,0,0,7153,6435,220,153,218,280,255,82,2598,48434,13468,3.5999999046325684,653560,13468,48.5,28,5,11,3,39,8,47,14,14,0,28,0,9,2,11,2673,370,28,5,11,3,29540,1.399999976158142,28,11,29540,1.2999999523162842,2673,33,14,56.900001525878906
2017,43,경일대학교,대학,사립,경북,B그룹,161107,124493,285600,332430,142726,475156,6,8,80020,0,14,81092,330,2,332,17243,23245,40488,34915,4,475156,7373,64.4000015258789,40488,475156,9.300000190734863,22549,4405,50,120,170,22549,19611,1.100000023841858,13114592000,27611290,523000,0,7520000,2517951,0,3590000,41762241,12124181000,28000000,800000,0,10700000,0,0,6000000,45500000,41762241,1300,32124.8,41762241,13114592000,.3,43398260,45193571,41762241,-1.7,73,0,73,7,13,2,1,96,3,50,0,31,0,0,1,32,0,54,0,0,4,58,0,0,0,0,0,0,0,0,0,0,0,54,73,.699999988079071,50,73,.699999988079071,3,0,6,0,9,0,9,0,3,0,3,0,6,0,6,191,14,3,0,6,0,7768,1,3,6,7768,1.2000000476837158,191,3,6,21.200000762939453
2017,44,경찰대학,기타,기타,충남,-,137040,45520,182560,137040,45520,182560,0,9,1486,0,9,1486,196,62,258,8411,976,9387,9387,0,182560,0,0,9387,182560,5.400000095367432,11878,1866,21,79,100,11878,8341,1.399999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5066,4944,122,194,200,106,8,5574,24,146000,1214,3,76,49,7,1349,4423,19,506,205,313,5466,0,0,9,12,0,8,0,8,16,0,0,4442,5066,.8999999761581421,146000,5066,28.799999237060547,0,1,1,0,1,1,2,0,0,0,0,0,0,1,1,4,1,0,1,1,0,9671,.2000000029802322,0,1,9671,.1000000014901161,4,1,1,2
2017,45,경희대학교,대학,사립,서울,A그룹,852852,398645,1251497,1913172,594574,2507746,60,47,252632,0,107,257717,435,302,737,35329,7599,42928,30699,102514,2507746,33327,75.19999694824219,42928,2507746,1.7000000476837158,210,56,1,18,19,210,66,3.200000047683716,30675230000,40716550,3434300,21600,4800000,2085170,0,0,51057620,29405827000,46645040,4487000,2000000,5547000,2320960,0,0,61000000,51057620,2562,19928.8,51057620,30675230000,.2,60889350,52698750,51057620,-8.3,4246,2624,1622,132,187,138,592,5295,14,279814,2509,1050,192,105,119,3975,47412,7017,3529,1236,1964,61158,0,0,11904,5952,167,21,41,116,25,20,527,54429,4246,12.800000190734863,279814,4246,65.9000015258789,5,1,0,1,5,2,7,0,4,1,5,0,0,0,0,199,19,5,1,0,1,5064,1.2000000476837158,5,0,5064,1,199,6,1,28.39999961853028
