YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCC,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCC,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_14A,BG3Y_MCS_15B,BG3Y_MCS_16C,BG3Y_BG3Y,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2016,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,5828,0,5828,8652,0,8652,0,0,0,0,0,0,0,0,0,182,196,378,221,1284,8652,311,27.799999237060547,378,8652,4.599999904632568,216,80,1,0,1,216,311,0.699999988079071,6439224000,2645530,0,0,0,0,0,0,2645530,9488814000,3000000,0,0,0,0,0,0,3000000,2645530,311,8506.5,2645530,6439224000,0.0,2278680,0,2645530,0.0,311,311,0,17,11,27,0,366,4,95,24,0,0,0,0,24,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,37,311,0.1000000014901161,95,311,0.3000000119209289,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,311,2.5999999046325684,0,0,311,0.0,0,1,0,0.0
2016,2,가야대학교,대학,사립,경남,C그룹,86403,26005,112408,143413,28008,171421,1,3,23262,0,4,25601,1553,60,1613,17651,1558,19209,17972,0,171421,2718,63.09999847412109,19209,171421,12.600000381469728,3826,823,6,32,38,3826,2718,1.399999976158142,30221431000,118279840,16861360,7457000,9423000,0,0,0,152021200,36980817000,45000000,22000000,8000000,15000000,15000000,0,47021000,152021000,152021200,2718,55931.3,152021200,30221431000,0.5,146103210,138003945,152021200,2.3,2718,2570,148,93,96,67,20,2994,15,106128,720,7,35,22,0,784,6896,70,1322,658,3114,12060,0,0,398,50,5,44,7,35,0,7,471,6966,2718,2.5999999046325684,106128,2718,39.0,2,0,1,0,3,0,3,0,2,0,2,0,1,0,1,16,3,2,0,1,0,2718,1.0,2,1,2718,1.100000023841858,16,2,1,5.300000190734863
2016,3,가천대학교,대학,사립,경기,A그룹,318707,126005,444712,796250,167803,964053,29,35,19406,0,64,79047,155,1,156,27591,5101,32692,15125,0,964053,20737,46.5,32692,964053,3.5,12577,3230,31,117,148,12577,20737,0.6000000238418579,262156472000,463327808,238353,16822870,1049289068,472387432,0,126852600,2128918131,317165063000,425000000,0,57000000,1100000000,460000000,0,128000000,2170000000,2128918131,20737,102662.8,2128918131,262156472000,0.8,2025673140,2647035700,2128918131,5.6,20737,18642,2095,856,1267,280,2812,25952,59,1009805,8891,445,218,145,102,9801,66329,4388,3544,2267,16164,92692,0,0,6298,5353,2784,77,267,323,143,53,3226,70717,20737,3.400000095367432,1009805,20737,48.70000076293945,10,6,4,7,14,13,27,2,7,1,10,0,4,0,4,969,210,10,6,4,7,20737,1.0,10,4,20737,0.699999988079071,969,16,11,35.900001525878906
2016,4,가톨릭관동대학교,대학,사립,강원,B그룹,201222,141829,343051,469488,195806,665294,6,15,57554,0,21,85238,412,68,480,13103,2482,15585,10992,0,665294,9332,71.30000305175781,15585,665294,2.400000095367432,8149,1343,29,73,102,8149,9332,0.8999999761581421,120432176000,214289238,80515730,15437590,250241772,153501220,0,73578218,787563768,117479905000,247500000,89862000,21000000,266437000,150626000,0,93770000,869195000,787563768,9332,84393.9,787563768,120432176000,0.7,694071747,717639505,787563768,6.6,9332,8868,464,432,312,251,222,10549,56,489753,2511,85,147,117,12,2872,23460,668,1637,2096,188,28049,0,0,2820,1010,6,1,137,62,68,18,6550,24128,9332,2.5999999046325684,489753,9332,52.5,6,1,0,6,6,7,13,1,5,0,6,0,0,0,0,331,25,6,1,0,6,9332,1.100000023841858,6,0,9332,0.6000000238418579,331,7,6,25.5
2016,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,33846,4171,38017,47233,4625,51858,0,14,2295,0,14,22214,89,1,90,3424,726,4150,3743,175,51858,536,96.8000030517578,4150,51858,8.699999809265137,1727,246,6,23,29,1727,536,3.200000047683716,9999387000,30604795,3231000,69564,0,42594641,0,16500000,93000000,9714599000,28000000,3200000,300000,0,45000000,0,16500000,93000000,93000000,536,173507.5,93000000,9999387000,0.9,74221283,93000000,93000000,12.7,536,486,50,22,40,43,0,641,2,42858,376,27,17,17,0,437,3353,477,312,318,0,4460,0,0,12,6,17,0,0,0,2,1,120,3830,536,7.099999904632568,42858,536,80.0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,29,3,1,0,0,0,536,1.899999976158142,1,0,536,1.899999976158142,29,1,0,29.0
2016,6,가톨릭대학교,대학,사립,경기,A그룹,377940,193656,571596,705626,345897,1051523,76,68,45626,0,144,254717,2702,956,3658,21187,7200,28387,17137,398,1051523,10881,96.5999984741211,28387,1051523,2.799999952316284,17684,3190,65,202,267,17684,10881,1.600000023841858,206460558000,491678410,146827129,38401110,2726893304,576169033,0,69053202,4049022188,214622649000,538681000,147700000,52000000,2837022805,564423195,0,66300000,4206127000,4049022188,10881,372118.6,4049022188,206460558000,2.0,5821393365,3947650145,4049022188,-14.8,10881,7992,2889,1154,1180,491,2415,16121,46,1423404,7152,933,1948,298,1165,11496,102928,23776,26381,8233,16492,177810,0,0,6655,6528,2444,726,3075,3485,2324,119,4660,126704,10881,11.600000381469728,1423404,10881,130.8000030517578,19,7,2,0,21,7,28,4,15,0,19,0,1,1,2,512,53,19,7,2,0,10881,2.400000095367432,19,2,10881,1.899999976158142,512,26,2,18.299999237060547
2016,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,57676,2312,59988,94199,4067,98266,3,4,8458,0,7,13865,57,0,57,2689,633,3322,2376,0,98266,1975,49.79999923706055,3322,98266,3.5,3339,444,10,37,47,3339,1975,1.7000000476837158,14646743000,33454070,7209188,4189490,3290000,8093448,0,2878310,59114506,18509144000,34128000,8000000,2270000,4500000,8500000,0,2700000,60098000,59114506,1975,29931.4,59114506,14646743000,0.4,48584040,52650586,59114506,10.3,1975,1975,0,60,139,59,26,2259,21,125952,812,0,29,47,14,902,6654,0,487,521,560,8222,0,0,33,2,0,4,0,9,0,15,743,6654,1975,3.400000095367432,125952,1975,63.79999923706055,1,0,2,1,3,1,4,1,0,0,1,0,2,0,2,159,20,1,0,2,1,1975,1.600000023841858,1,2,1975,1.5,159,1,3,39.79999923706055
2016,8,감리교신학대학교,대학,사립,서울,C그룹,50445,42813,93258,79485,56528,136013,4,2,1601,0,6,7788,114,38,152,4387,510,4897,4176,0,136013,1576,86.30000305175781,4897,136013,3.700000047683716,2542,377,8,33,41,2542,1576,1.600000023841858,19254216000,144123078,15302156,166700,16019369,14366920,0,0,189978223,16951274000,140000000,17000000,500000,17500000,21000000,0,4000000,200000000,189978223,1576,120544.6,189978223,19254216000,1.0,139988422,139995973,189978223,17.9,1576,840,736,27,103,35,262,2003,7,1732,796,647,107,23,101,1674,15367,20347,3622,592,2134,42062,0,0,126,70,57,0,0,25,35,1,54,35714,1576,22.700000762939453,1732,1576,1.100000023841858,2,0,1,0,3,0,3,2,0,0,2,0,1,0,1,67,3,2,0,1,0,1576,1.7999999523162842,2,1,1576,1.899999976158142,67,2,1,22.299999237060547
2016,9,강남대학교,대학,사립,경기,B그룹,246562,78411,324973,361278,122947,484225,7,7,8655,0,14,31588,126,75,201,8674,429,9103,5438,0,484225,7325,66.0999984741211,9103,484225,1.899999976158142,5233,961,20,59,79,5233,7325,0.699999988079071,89591330000,138050430,41884180,8460750,201372467,57508719,0,11000000,458276546,88821093000,189600000,44400000,10000000,221866000,75260000,0,12000000,553126000,458276546,7325,62563.4,458276546,89591330000,0.5,405995110,423221924,458276546,6.3,7325,6918,407,239,334,108,155,8161,37,242609,832,129,79,119,37,1196,24145,1520,1348,1903,595,29511,0,0,23,45,14,15,49,49,32,2,1830,25665,7325,3.5,242609,7325,33.099998474121094,3,0,6,1,9,1,10,0,3,0,3,0,6,0,6,66,18,3,0,6,1,7325,1.100000023841858,3,6,7325,1.2000000476837158,66,3,7,6.599999904632568
2016,10,강동대학교,전문대학,사립,충북,B그룹,43080,339,43419,65016,375,65391,1,2,3989,0,3,9622,95,1,96,4607,38,4645,3290,0,65391,4027,16.200000762939453,4645,65391,7.599999904632568,1055,420,4,8,12,1055,4027,0.3000000119209289,39018283000,52819796,3194200,0,6560000,5485000,0,41422460,109481456,37482085000,61200000,4800000,0,0,14000000,0,70000000,150000000,109481456,4027,27186.9,109481456,39018283000,0.3,120858400,120091300,109481456,-4.7,4027,4027,0,97,286,49,0,4459,34,47587,308,0,20,10,0,338,926,0,221,281,1309,2737,0,0,400,30,0,0,0,0,0,1,286,926,4027,0.2000000029802322,47587,4027,11.800000190734863,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4027,0.4000000059604645,1,0,4027,0.2000000029802322,0,1,1,0.0
