Year,ID,SchName,SchType,FoundType,Region,UnivScale,Settle_UnivSettle,Settle_BookCost,Settle_SerialsCost,Settle_NonBookCost,Settle_ECost_EJournal,Settle_ECost_WebDB,Settle_ECost_SubEBook,Settle_ECost_OthERes,Settle_MatCostTot,Budget_UnivBgt,Budget_BookCost,Budget_SerialsCost,Budget_NonBookCost,Budget_ECost_EJournal,Budget_ECost_WebDB,Budget_ECost_SubEBook,Budget_ECost_OthERes,Budget_MatCostTot,CostPerStSettle_MatCost,CostPerStSettle_StCountCurr,CostPerStSettle_CostPerSt,LibBgtRt_MatCost,LibBgtRt_UnivSettle,LibBgtRt_BgtRtSettle,BgtGrowth3Y_MatCostSettle_2013A,BgtGrowth3Y_MatCostSettle_2014B,BgtGrowth3Y_MatCostSettle_2015C,BgtGrowth3Y_BgtGrowth3Y
2015,21,건신대학원대학교,대학원대학,사립,대전,-,1293103000,6894428,1796900,0,0,8339600,0,0,17030928,1336900000,13000000,1900000,500000,0,8000000,0,0,23400000,17030928,148,115073.8,17030928,1293103000,1.3,21284237,16701615,17030928,-9.8
2015,22,건양대학교,대학,사립,충남,B그룹,181413726000,151408610,4492000,28771310,279237604,52669096,0,16612570,533191190,118647981000,180000000,5000000,20000000,390000000,10000000,0,10000000,615000000,533191190,8799,60596.8,533191190,181413726000,0.3,397622518,534266396,533191190,17.1
2015,23,경기과학기술대학교,전문대학,사립,경기,A그룹,45101159000,88936720,30236520,3505000,10086000,0,0,10735600,143499840,42237781000,87500000,31328000,5000000,10455000,0,0,15000000,149283000,143499840,4505,31853.5,143499840,45101159000,0.3,124485234,138347420,143499840,7.4
2015,24,경기대학교,대학,사립,경기,A그룹,205120840000,569055450,47301816,11733780,511461601,174997966,0,60902790,1375453403,190818262000,550000000,75041000,10000000,611588000,40000000,0,50000000,1336629000,1375453403,16686,82431.6,1375453403,205120840000,0.7,1291664659,1280258787,1375453403,3.3
2015,25,경남대학교,대학,사립,경남,A그룹,155393336000,294860475,22749200,3759000,559318878,127862888,0,26447900,1034998341,139695330000,305000000,23000000,2000000,560000000,120000000,0,20000000,1030000000,1034998341,14088,73466.7,1034998341,155393336000,0.7,922709179,984983492,1034998341,5.9
2015,26,경남도립거창대학,전문대학,공립,경남,C그룹,7136994000,17476000,1961800,3634000,0,0,0,4890000,27961800,7821719000,18000000,0,4000000,0,0,0,5000000,27000000,27961800,955,29279.4,27961800,7136994000,0.4,20000000,21800000,27961800,18.6
2015,27,경남도립남해대학,전문대학,공립,경남,C그룹,6861270000,25000000,0,0,0,0,0,0,25000000,7841535000,25000000,0,0,0,0,0,0,25000000,25000000,846,29550.8,25000000,6861270000,0.4,20000000,24870620,25000000,12.4
2015,28,경남정보대학교,전문대학,사립,부산,A그룹,84678719000,98955040,7162920,20488320,13954000,18095000,0,41216800,199872080,81790593000,90000000,5000000,20000000,15000000,20000000,0,50000000,200000000,199872080,7058,28318.5,199872080,84678719000,0.2,205920830,205999749,199872080,-1.5
2015,29,경동대학교,대학,사립,강원,B그룹,85523812000,116697530,5141500,0,52209740,41581958,0,99500000,315130728,90903488000,114450000,47150000,0,0,111450000,0,111450000,384500000,315130728,5987,52635.8,315130728,85523812000,0.4,150892640,37257595,315130728,335.3
2015,30,경민대학교,전문대학,사립,경기,B그룹,50664969000,52823170,19390000,3100000,18877500,3986616,0,57398440,155575726,48741781000,58000000,20000000,3000000,22000000,3000000,0,50000000,156000000,155575726,4723,32940.0,155575726,50664969000,0.3,149253120,155988087,155575726,2.1
2015,31,경복대학교,전문대학,사립,경기,A그룹,84180776000,76794240,1985627,3774910,0,16897584,0,30000000,129452361,65738491000,90000000,4000000,5000000,20000000,3000000,0,43000000,165000000,129452361,6452,20063.9,129452361,84180776000,0.2,154642285,93972260,129452361,-0.7
2015,32,경북과학대학교,전문대학,사립,경북,C그룹,21035921000,13374700,0,0,7939000,0,0,26000000,47313700,21926882000,25000000,0,2000000,7939000,0,0,15176000,50115000,47313700,1851,25561.2,47313700,21035921000,0.2,25350000,54453890,47313700,50.8
2015,33,경북대학교,대학,국립,대구,A그룹,301184234000,686429000,1571163000,602800,1614385964,773612602,0,74231634,4720425000,304543201000,793160000,1626860000,81070000,1653708000,676956000,0,78246000,4910000000,4720425000,30890,152814.0,4720425000,301184234000,1.6,4503339000,4623237000,4720425000,2.4
2015,34,경북보건대학교,전문대학,사립,경북,C그룹,12508502000,27648930,873000,0,7280000,2102630,0,5493700,43398260,12539278000,30000000,1000000,0,10000000,0,0,6000000,47000000,43398260,1344,32290.4,43398260,12508502000,0.3,38066370,42241687,43398260,6.9
2015,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2015,36,경북전문대학교,전문대학,사립,경북,B그룹,37165090000,44881740,3976000,1467640,4700000,788770,0,5075200,60889350,28566931000,62926900,4658000,297200,5230000,2112000,0,7024900,82249000,60889350,2700,22551.6,60889350,37165090000,0.2,74725550,63474590,60889350,-9.6
2015,37,경상국립대학교,대학,국립,경남,A그룹,243373132000,848507510,1109959760,25445240,1364899870,368284900,0,83772230,3800869510,239251405000,579000000,632562040,24500000,609750000,48000000,0,74072000,1967884040,3800869510,23799,159707.1,3800869510,243373132000,1.6,2734005790,2820065700,3800869510,19.0
2015,38,경성대학교,대학,사립,부산,A그룹,148269706000,400461567,56104309,12903160,609056570,205456130,0,121623754,1405605490,166200007000,345000000,60000000,23088000,640000000,190000000,0,86000000,1344088000,1405605490,14008,100343.1,1405605490,148269706000,0.9,1547783094,1465836876,1405605490,-4.7
2015,39,경안대학원대학교,대학원대학,사립,경북,-,350222000,0,0,0,0,0,0,0,0,393466000,2000000,0,0,0,0,0,0,2000000,0,76,0.0,0,350222000,0.0,143480,0,0,0.0
