YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,APS_APS,BGT_MCT,BGT_UBGT,BPS_BPS,BR_BCNT_SUM,CPSS_CPS,EHS_EHS,FACLT_EQP_TPC,FACLT_LAS,FACLT_RS_TRS,LBRT_USTL,LPK_LPK,LPS_LPS,LS_LB_SUM,LS_LU_SUM,SPK_SPK,STL_MCT,STL_USTL,VPS_VPS,VUC_UC_LUC
2014,22,인하대학교,44.78,316,대학,사립,인천,A그룹,.800000011920929,19000000,9255978000,75.5,1633867,10161.7,5,33,3110,263,8841062000,.5,.800000011920929,1681,206,.699999988079071,13261000,8841062000,9.600000381469728,15480
2014,23,충남대학교,44.77,357,대학,국립,대전,A그룹,0,0,0,66.80000305175781,1611407,0,0,0,0,0,0,0,35.70000076293945,17782,570,0,0,0,2.0999999046325684,923
2014,24,가톨릭대학교,44.74,6,대학,사립,경기,A그룹,9.699999809265137,220990000,47949839000,87.5,963682,37600.7,9,5,416,28,53577050000,2,2,10847,1639,3.299999952316284,197892680,53577050000,19.600000381469727,88750
2014,25,인제대학교,44.56,310,대학,사립,경남,B그룹,0,1114901335,105891510000,69.69999694824219,823368,141924.2,0,0,0,0,91925053000,0,23.39999961853028,60496,2743,0,1141212133,91925053000,118.6999969482422,268655
2014,26,영남대학교,44.55,276,대학,사립,경북,A그룹,.699999988079071,441000000,80287499000,66.69999694824219,1782444,59864.7,102.3000030517578,54,3108,702,131923301000,.4000000059604645,2.5999999046325684,25326,3448,.5,454911799,131923301000,50.400001525878906,409813
2014,27,강원대학교,44.49,14,대학,국립,강원,A그룹,.6000000238418579,1625800000,181838538000,59,1475783,106225.3,94.6999969482422,147,2419,460,151540641879,1.899999976158142,.6000000238418579,4148,988,2.200000047683716,1566080330,151540641879,6.5,41991
2014,28,충북대학교,44.47,359,대학,국립,충북,A그룹,.699999988079071,0,0,58.20000076293945,1067059,0,22.39999961853028,380,9507,3191,0,1.2000000476837158,.1000000014901161,96,96,1.2999999523162842,0,0,1,800
2014,29,세종대학교,44.47,236,대학,사립,서울,A그룹,1.5,3000000,16170558000,68.69999694824219,933660,0,64.19999694824219,377,34985,4120,17059352000,9,80.4000015258789,16416,261,8.800000190734863,0,17059352000,28.100000381469727,5280
2014,30,중앙대학교,44.47,339,대학,사립,서울,A그룹,8.699999809265137,0,0,64.4000015258789,1863440,0,0,7,7101,180,0,0,10.5,266647,21432,0,0,0,124.1999969482422,2782586
2014,31,조선대학교,44.46,335,대학,사립,광주,A그룹,.3000000119209289,0,0,50,1193034,0,0,2,264,90,0,0,5.199999809265137,10988,1248,0,0,0,29.100000381469727,53420
2014,32,국립부경대학교,44.39,76,대학,국립,부산,A그룹,1.5,93000000,7713850000,53.5,1066610,130441.6,0,80,17762,3000,7664991000,0,5.199999809265137,66963,7606,2.200000047683716,74221283,7664991000,48,507536
2014,33,한림대학교,44.36,434,대학,사립,강원,B그룹,.3000000119209289,120000000,42122472000,72.19999694824219,697534,37703.1,18,44,1949,509,47859217000,.699999988079071,3.5999999046325684,1990,262,.699999988079071,116804240,47859217000,73,36010
2014,34,서울시립대학교,44.3,209,대학,공립,서울,A그룹,.2000000029802322,268140000,26681987000,73.9000015258789,906109,110480.4,0,12,1050,437,26869222000,0,7.300000190734863,8800,766,.5,286586154,26869222000,182.8000030517578,182800
2015,1,서울대학교,64.82,200,대학,국립,서울,A그룹,1.600000023841858,0,0,183.6000061035156,5231823,0,11.300000190734863,269,17684,3191,0,1.2000000476837158,11.300000190734863,151511,9538,2,0,0,85.5,1042920
2015,2,연세대학교,51.02,272,대학,사립,서울,A그룹,2.900000095367432,12000000,3766888000,78.9000015258789,2461507,23170.6,24,71,3849,788,3015057000,1.5,1.899999976158142,19536,3075,1.899999976158142,9430450,3015057000,64.0999984741211,488000
2015,3,고려대학교,49.79,50,대학,사립,서울,A그룹,0,422800000,43284617000,92.3000030517578,2722881,107194,98,77,4895,114,42559741000,.5,11.300000190734863,461039,34429,.5,458147080,42559741000,72.19999694824219,2379649
2015,4,한국과학기술원,48.95,373,대학,국립,대전,A그룹,.2000000029802322,182000000,40306507000,50.59999847412109,536698,57083.8,8,2,315,96,38456269000,0,1,557,116,.4000000059604645,207613696,38456269000,2.200000047683716,841
2015,5,포항공과대학교,48.24,367,대학,사립,경북,C그룹,1.5,117078000,41988703000,134.60000610351562,423989,29805.5,21.200000762939453,105,11892,1341,45457591000,1.899999976158142,0,0,0,1.7999999523162842,119430510,45457591000,0,0
2015,6,한양대학교,47.6,443,대학,사립,서울,A그룹,.8999999761581421,2000000,10799098000,65.9000015258789,1470223,5217.6,0,118,9465,1672,19485196000,.699999988079071,3.0999999046325684,11434,1728,.699999988079071,13247500,19485196000,56.59999847412109,173235
2015,7,성균관대학교,47.19,227,대학,사립,서울,A그룹,1.2000000476837158,0,1043952000,69.19999694824219,1870412,0,26.5,650,35961,5410,794569000,.4000000059604645,6,93716,9625,.6000000238418579,0,794569000,145.6999969482422,1997443
