Year,ID,SchName,SchType,FoundType,Region,UnivScale,VolunteerUserCnt_StCountPrev,VolunteerUserCnt_VolunteerTC_Undergrad,VolunteerUserCnt_VolunteerTC_GradSt,VolunteerUserCnt_VolunteerTC_FullFaculty,VolunteerUserCnt_VolunteerTC_PartFaculty,VolunteerUserCnt_VolunteerTC_Staff,VolunteerUserCnt_VolunteerTC_Other,VolunteerUserCnt_VolunteerTC_TotalSum,VolunteerUserCnt_DeptCnt,VolunteerUserCnt_UserCnt_LibUserCnt,LoanStatus_LoanUserCnt_Undergrad,LoanStatus_LoanUserCnt_GradSt,LoanStatus_LoanUserCnt_Faculty,LoanStatus_LoanUserCnt_Staff,LoanStatus_LoanUserCnt_Other,LoanStatus_LoanUserCnt_TotalSum,LoanStatus_LoanBookCnt_Undergrad,LoanStatus_LoanBookCnt_GradSt,LoanStatus_LoanBookCnt_Faculty,LoanStatus_LoanBookCnt_Staff,LoanStatus_LoanBookCnt_Other,LoanStatus_LoanBookCnt_TotalSum,RefCollab_RefBefore2010_Request,RefCollab_RefBefore2010_Provided,RefCollab_RefAfter2010_Consultation,RefCollab_RefAfter2010_Phone,RefCollab_RefAfter2010_Online,RefCollab_RefLoan_Request,RefCollab_RefLoan_Provided,RefCollab_RefCopy_Request,RefCollab_RefCopy_Provided,UserEdu_EduCount,UserEdu_EduPartCnt,LoanPerSt_LoanBookCnt,LoanPerSt_StCountPrev,LoanPerSt_LoanPerSt,VisitPerSt_VisitCnt,VisitPerSt_StCountPrev,VisitPerSt_VisitPerSt
2018,347,청강문화산업대학교,전문대학,사립,경기,B그룹,3568,3568,0,104,240,83,6,4001,33,172712,1766,0,118,53,6,1943,34655,0,2615,1008,5844,44122,0,0,100,100,20,0,0,0,0,0,0,34655,3568,9.699999809265137,172712,3568,48.400001525878906
2018,348,청암대학교,전문대학,사립,전남,B그룹,2780,2780,0,77,154,68,40,3119,38,7500,732,0,17,29,3,781,3579,0,70,697,27,4373,0,0,0,2,0,0,0,0,0,1,40,3579,2780,1.2999999523162842,7500,2780,2.700000047683716
2018,349,청운대학교,대학,사립,충남,B그룹,6847,6697,150,195,321,140,209,7712,43,337273,3406,25,115,132,51,3729,47600,128,1206,2689,362,51985,0,0,928,333,49,3,4,39,2,34,1236,47728,6847,7.0,337273,6847,49.29999923706055
2018,350,청주교육대학교,대학,국립,충북,C그룹,1651,1223,428,69,103,53,306,2182,12,39322,1052,94,70,40,9,1265,13504,522,1281,612,245,16164,0,0,302,30,96,356,17,33,1,4,58,14026,1651,8.5,39322,1651,23.799999237060547
2018,351,청주대학교,대학,사립,충북,A그룹,11862,11427,435,405,419,240,599,13525,68,1099558,5952,113,191,217,268,6741,44270,1113,3650,3177,13156,65366,0,0,1705,929,12,11,97,215,30,3,187,45383,11862,3.799999952316284,1099558,11862,92.6999969482422
2018,352,초당대학교,대학,사립,전남,C그룹,3358,3157,201,108,121,72,246,3905,29,95014,1197,6,64,75,17,1359,4005,33,794,684,6329,11845,0,0,750,341,62,21,15,53,13,37,2625,4038,3358,1.2000000476837158,95014,3358,28.299999237060547
2018,353,총신대학교,대학,사립,서울,C그룹,4099,1906,2193,126,213,118,415,4971,13,521824,1494,1782,144,72,263,3755,21346,63952,4952,1780,10450,102480,0,0,881,406,43,16,11,61,18,11,164,85298,4099,20.799999237060547,521824,4099,127.3000030517578
2018,354,추계예술대학교,대학,사립,서울,C그룹,1387,1249,138,49,230,41,728,2435,12,76195,837,55,60,41,45,1038,10360,452,898,537,198,12445,0,0,466,0,0,18,16,24,22,0,0,10812,1387,7.800000190734863,76195,1387,54.900001525878906
2018,355,춘천교육대학교,대학,국립,강원,C그룹,1818,1400,418,77,87,59,1219,3260,12,45203,1347,230,73,38,174,1862,29442,2334,1741,693,1991,36201,0,0,261,116,39,3,2,121,3,0,0,31776,1818,17.5,45203,1818,24.899999618530277
2018,356,춘해보건대학교,전문대학,사립,울산,B그룹,2605,2605,0,75,175,33,79,2967,21,62589,807,0,46,57,3,913,4570,0,1113,1457,254,7394,0,0,11,7,0,0,0,9,0,19,887,4570,2605,1.7999999523162842,62589,2605,24.0
2018,357,충남대학교,대학,국립,대전,A그룹,23452,18153,5299,958,1447,523,1229,27609,130,2708971,9974,2640,498,498,1108,14718,79379,31429,8648,7061,34098,160615,0,0,20310,5943,1980,473,566,3474,4701,110,4121,110808,23452,4.699999809265137,2708971,23452,115.5
2018,358,충남도립대학교,전문대학,공립,충남,C그룹,1148,1148,0,32,93,41,469,1783,16,58490,313,0,11,36,0,360,1496,0,94,1138,23,2751,0,0,1060,610,0,0,0,0,0,14,618,1496,1148,1.2999999523162842,58490,1148,50.900001525878906
2018,359,충북대학교,대학,국립,충북,A그룹,17510,14150,3360,755,1045,456,4158,23924,88,1767178,7790,1690,467,442,668,11057,65984,18252,5922,4967,25556,120681,0,0,34430,6612,301,1523,298,456,303,41,775,84236,17510,4.800000190734863,1767178,17510,100.9000015258789
2018,360,충북도립대학교,전문대학,공립,충북,C그룹,928,928,0,29,62,37,0,1056,23,1750,240,0,9,42,0,291,2143,0,178,272,0,2593,0,0,150,15,0,0,0,0,0,0,0,2143,928,2.299999952316284,1750,928,1.899999976158142
2018,361,충북보건과학대학교,전문대학,사립,충북,B그룹,2832,2832,0,97,153,57,31,3170,49,18000,397,0,76,0,0,473,3998,0,534,0,18,4550,0,0,60,30,10,2,0,2,1,0,0,3998,2832,1.399999976158142,18000,2832,6.400000095367432
2018,362,충청대학교,전문대학,사립,충북,B그룹,4778,4778,0,131,330,79,0,5318,77,75371,817,0,67,63,0,947,12890,0,1064,1283,0,15237,0,0,2,0,0,1,8,6,2,4,156,12890,4778,2.700000047683716,75371,4778,15.800000190734863
2018,363,치유상담대학원대학교,대학원대학,사립,서울,-,147,0,147,14,5,10,300,476,3,500,0,112,3,3,3,121,0,516,30,12,21,579,0,0,60,20,3,0,0,3,3,7,28,516,147,3.5,500,147,3.400000095367432
2018,364,칼빈대학교,대학,사립,경기,C그룹,821,400,421,24,132,26,231,1234,7,41270,175,128,21,9,24,357,1617,3070,353,62,251,5353,0,0,343,145,101,4,7,6,10,4,186,4687,821,5.699999809265137,41270,821,50.29999923706055
2018,365,탐라대학교,대학,사립,제주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2018,366,평택대학교,대학,사립,경기,C그룹,4556,3909,647,167,231,91,198,5243,34,247119,1607,270,98,47,36,2058,15292,5140,1133,500,1407,23472,0,0,747,2659,1155,115,9,375,4,20,1268,20432,4556,4.5,247119,4556,54.20000076293945
2018,367,포항공과대학교,대학,사립,경북,C그룹,3198,1449,1749,281,172,306,6384,10341,13,312832,1063,1194,165,136,686,3244,6840,8113,1898,1555,11673,30079,0,0,20,240,72,64,17,587,375,8,107,14953,3198,4.699999809265137,312832,3198,97.8000030517578
2018,368,포항대학교,전문대학,사립,경북,C그룹,1953,1953,0,74,113,51,18,2209,43,16930,378,0,6,51,2,437,2424,0,80,725,334,3563,0,0,52,49,0,0,0,0,0,2,70,2424,1953,1.2000000476837158,16930,1953,8.699999809265137
2018,369,한경국립대학교,대학,국립,경기,B그룹,6976,6566,410,240,413,156,3854,11639,57,331857,2951,122,126,167,814,4180,27476,1205,1691,2052,3304,35728,0,0,1501,700,21,19,1,174,1,37,1549,28681,6976,4.099999904632568,331857,6976,47.59999847412109
