ID,SNM,STYP,FND,RGN,USC,SCR_EST,RK_EST,YR,APS_APS,BGT_MCT,BGT_UBGT,BPS_BPS,BR_BCNT_SUM,CPSS_CPS,EHS_EHS,FACLT_EQP_TPC,FACLT_LAS,FACLT_RS_TRS,LBRT_USTL,LPK_LPK,LPS_LPS,LS_LB_SUM,LS_LU_SUM,SPK_SPK,STL_MCT,STL_USTL,VPS_VPS,VUC_UC_LUC
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,70.54604997397868,109,2020,1.399999976158142,3000000,9680332100,29.200000762939453,9375,8411.2,4.0,0,429.2999877929688,161,8508479168,0.0,0.3000000119209289,210,55,1.600000023841858,2700000,8508479168,1.100000023841858,357
2,가야대학교,대학,사립,경남,C그룹,67.7681012154604,308,2020,1.5,150000000,33003242000,86.69999694824219,220949,54437.3,32.5,32,3467.10009765625,797,57973273878,1.2999999523162842,2.0,8279,642,1.2000000476837158,138760560,57973273878,19.89999961853028,50747
3,가천대학교,대학,사립,경기,A그룹,69.75437914252667,157,2020,0.6000000238418579,2164000000,294025591000,53.5,1113140,102480.9,26.39999961853028,176,13194.2998046875,3347,261245429365,0.699999988079071,2.299999952316284,68554,7060,1.0,2131706235,261245429365,43.79999923706055,911345
4,가톨릭관동대학교,대학,사립,강원,B그룹,67.27452856170001,359,2020,1.0,791877000,114273754000,89.19999694824219,755719,93515.4,51.59999847412109,71,8226.0,1369,106940058918,0.6000000238418579,2.0999999046325684,24021,2454,0.8999999761581421,792449292,106940058918,51.70000076293945,438324
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,67.90117541170851,287,2020,3.299999952316284,50000000,8323643000,126.9000015258789,64742,98039.2,56.0,26,1727.0,185,9080185063,1.899999976158142,4.699999809265137,2790,388,3.400000095367432,50000000,9080185063,71.19999694824219,36320
6,가톨릭대학교,대학,사립,경기,A그룹,69.69123317934682,160,2020,1.7000000476837158,4181986000,277981210000,110.8000030517578,1164092,389261.2,26.200000762939453,189,17684.0,3105,237108156271,2.0,7.800000190734863,125416,9116,2.299999952316284,4088410834,237108156271,114.4000015258789,1201344
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,66.95250864761898,401,2020,1.7999999523162842,60910000,22193443034,59.5,112150,33769.3,47.70000076293945,38,3339.0,414,22888177356,1.600000023841858,5.300000190734863,17548,865,1.5,63655127,22888177356,58.900001525878906,111091
8,감리교신학대학교,대학,사립,서울,C그룹,66.68073461256189,421,2020,1.7000000476837158,100000000,16967874801,144.60000610351562,223286,97088.2,37.0,13,2542.0,402,18194584445,1.2999999523162842,18.700000762939453,34456,1544,1.2999999523162842,149904175,18194584445,65.0,100363
9,강남대학교,대학,사립,경기,B그룹,68.54479962406329,235,2020,0.800000011920929,522096000,76974844000,76.19999694824219,544987,67203.0,21.299999237060547,80,5555.0,1101,78358404265,0.699999988079071,2.5,22021,3795,0.8999999761581421,480635808,78358404265,20.700000762939453,148134
10,강동대학교,전문대학,사립,충북,B그룹,69.83979846963341,148,2020,0.3000000119209289,90000000,43619426000,38.09999847412109,143518,23852.5,21.0,8,1055.300048828125,350,33401280949,0.3000000119209289,0.4000000059604645,2345,347,0.4000000059604645,89757070,33401280949,6.5,24423
11,강릉영동대학교,전문대학,사립,강원,B그룹,68.95136072129536,199,2020,0.8999999761581421,56160000,27857118760,34.29999923706055,95760,21607.7,28.0,16,2521.0,525,22561524702,0.4000000059604645,1.7000000476837158,5677,778,0.4000000059604645,60393463,22561524702,0.0,0
12,강서대학교,대학,사립,서울,C그룹,68.39535790857867,246,2020,0.800000011920929,105440000,15966259000,74.0999984741211,112568,66868.4,204.0,10,1156.0999755859375,281,16312543695,1.2999999523162842,1.2999999523162842,3396,364,1.2999999523162842,101639995,16312543695,3.400000095367432,5178
13,강원관광대학교,전문대학,사립,강원,C그룹,69.97622573563689,144,2020,1.100000023841858,42000000,13124533000,40.79999923706055,48433,23784.5,14.0,21,1092.0,228,12117965087,1.0,1.2000000476837158,1513,266,1.0,28232250,12117965087,19.89999961853028,23600
14,강원대학교,대학,국립,강원,A그룹,71.0866726698542,27,2020,1.2999999523162842,2310000000,250853993000,72.0,1614782,132576.9,54.59999847412109,301,28504.900390625,3756,283616942500,1.100000023841858,2.200000047683716,80972,11508,1.2999999523162842,2971577588,283616942500,76.5,1715470
15,강원도립대학교,전문대학,공립,강원,C그룹,68.456471060889,242,2020,2.700000047683716,36500000,13450000000,98.1999969482422,60756,58762.8,35.79999923706055,10,1735.0,188,13403950820,1.600000023841858,3.0,3804,368,2.400000095367432,36374200,13403950820,51.400001525878906,31800
16,개신대학원대학교,대학원대학,사립,서울,-,70.82282070380236,75,2020,1.5,9000000,1335790000,159.1999969482422,24996,28608.6,16.0,8,221.5,40,1245099399,6.900000095367432,3.5999999046325684,1171,99,6.900000095367432,4491545,1245099399,47.09999847412109,7400
17,거제대학교,전문대학,사립,경남,C그룹,68.02530616317529,277,2020,1.2000000476837158,39500000,13013192000,59.400001525878906,71277,33258.3,38.5,11,1413.5999755859375,306,14381336558,1.7000000476837158,1.899999976158142,4255,485,1.5,39876715,14381336558,57.900001525878906,69445
18,건국대학교,대학,사립,서울,A그룹,70.0236856337529,143,2020,1.2000000476837158,2500000000,376628928000,66.5,1349140,123292.4,8.899999618530273,264,24695.0,3389,396992983030,1.2000000476837158,4.099999904632568,128560,14392,1.100000023841858,2500000000,396992983030,83.0,1682509
19,건국대학교(글로컬),대학,사립,충북,B그룹,67.33375360240208,352,2020,1.2999999523162842,852378871,0,91.8000030517578,703846,108279.8,48.79999923706055,86,9933.2001953125,1620,0,0.800000011920929,3.5999999046325684,38331,4388,1.2000000476837158,830181562,0,45.29999923706055,347449
20,건동대학교,대학,사립,경북,C그룹,70.92998950715015,30,2020,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0
21,건신대학원대학교,대학원대학,사립,대전,-,67.99734231510611,280,2020,2.5999999046325684,17600000,1467921000,131.39999389648438,21677,76943.7,51.0,5,446.0,60,1360043314,0.0,6.5,1266,99,7.699999809265137,12695710,1360043314,13.100000381469728,2159
22,건양대학교,대학,사립,충남,B그룹,66.63578622034905,424,2020,1.2999999523162842,670000000,121080463738,58.70000076293945,464673,82628.0,32.5,148,9895.0,2013,125916414310,1.2000000476837158,4.900000095367432,48762,4843,1.0,653918315,125916414310,82.9000015258789,656381
23,경기과학기술대학교,전문대학,사립,경기,A그룹,67.15321531356098,375,2020,0.8999999761581421,130550000,43451959665,35.0,149547,29834.5,31.700000762939453,100,4415.0,913,42266299442,0.6000000238418579,3.700000047683716,18520,1621,0.6000000238418579,127363440,42266299442,80.0999984741211,342125
24,경기대학교,대학,사립,경기,A그룹,68.44162136774693,244,2020,0.8999999761581421,886720000,191127475000,81.19999694824219,1305990,54537.2,28.799999237060547,138,13909.0,2517,187022294585,0.8999999761581421,2.799999952316284,93304,8296,1.100000023841858,877122062,187022294585,36.5,586709
25,경남대학교,대학,사립,경남,A그룹,67.53023289503199,328,2020,1.100000023841858,918000000,124334991000,78.80000305175781,994185,69473.5,73.80000305175781,154,13473.2001953125,2931,128454943550,0.8999999761581421,2.400000095367432,61983,4554,1.100000023841858,875991754,128454943550,55.20000076293945,695567
26,경남도립거창대학,전문대학,공립,경남,C그룹,69.84510634103006,147,2020,1.0,29000000,17391282000,49.79999923706055,44732,30734.2,28.5,15,823.0,180,12065113797,1.2000000476837158,2.5999999046325684,3098,400,1.7999999523162842,27599270,12065113797,6.5,5793
27,경남도립남해대학,전문대학,공립,경남,C그룹,68.88639155848757,207,2020,1.0,25000000,11832417000,51.59999847412109,40941,26666.4,72.4000015258789,27,759.9000244140625,110,13410981581,1.2999999523162842,0.8999999761581421,1250,230,1.7000000476837158,21173090,13410981581,28.700000762939453,22814
28,경남정보대학교,전문대학,사립,부산,A그룹,67.52941185034491,329,2020,1.2000000476837158,145000000,65702905000,32.5,228391,21603.0,103.3000030517578,118,7791.0,1340,68394717446,0.3000000119209289,0.800000011920929,7704,1235,0.5,151999020,68394717446,20.100000381469727,141415
29,경동대학교,대학,사립,강원,B그룹,65.3038439919161,459,2020,1.399999976158142,463950000,96911335984,41.5,323548,56440.8,126.3000030517578,123,11290.0,2169,93072893987,1.0,7.099999904632568,56560,3632,1.100000023841858,439899359,93072893987,31.89999961853028,249000
30,경민대학교,전문대학,사립,경기,B그룹,67.28150962999707,357,2020,0.5,156000000,52082785000,37.0,160560,36483.8,38.79999923706055,17,2218.39990234375,220,49387123852,0.5,5.400000095367432,27514,2088,0.699999988079071,158193886,49387123852,13.399999618530272,57907
31,경복대학교,전문대학,사립,경기,A그룹,67.09559271391495,386,2020,1.5,145000000,75287618000,19.600000381469727,128856,28372.3,150.0,111,9777.099609375,1082,90626605889,0.5,3.200000047683716,23247,1701,0.5,186263899,90626605889,20.0,131521
32,경북과학대학교,전문대학,사립,경북,C그룹,69.81747255714969,149,2020,0.6000000238418579,32400000,27747048000,63.900001525878906,91028,7149.6,15.0,20,1014.0,252,26731658623,0.6000000238418579,0.2000000029802322,415,43,0.6000000238418579,10188210,26731658623,4.900000095367432,6930
33,경북대학교,대학,국립,대구,A그룹,72.50659227901089,9,2020,1.5,4029937000,329090590000,119.0,3362607,180022.8,57.0,190,41434.3984375,5444,347126748906,1.7000000476837158,4.800000190734863,248481,21082,1.7000000476837158,5085824740,347126748906,154.10000610351562,4354084
34,경북보건대학교,전문대학,사립,경북,C그룹,68.24535857148348,257,2020,0.6000000238418579,45000000,13680683000,35.400001525878906,45957,33736.6,48.5,20,741.0,210,14191668685,0.800000011920929,4.5,6492,437,0.800000011920929,43790160,14191668685,0.0,0
35,경북외국어대학교,대학,사립,대구,C그룹,70.92998950715015,30,2020,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0
36,경북전문대학교,전문대학,사립,경북,B그룹,68.06726885689844,275,2020,0.6000000238418579,66360000,30986980000,45.70000076293945,130451,19930.4,49.5,14,1749.199951171875,388,29735146705,0.699999988079071,0.800000011920929,3324,604,1.0,56841371,29735146705,33.400001525878906,95124
37,경상국립대학교,대학,국립,경남,A그룹,71.38584865083037,14,2020,1.5,1857822000,237388951000,79.80000305175781,1735157,133660.1,57.79999923706055,221,31938.30078125,3156,286441040758,1.399999976158142,2.900000095367432,107481,12655,1.5,2907106666,286441040758,43.70000076293945,951042
38,경성대학교,대학,사립,부산,A그룹,66.95145172253127,403,2020,1.0,881356147,133477136000,79.0,1017958,71648.3,94.0,132,13287.5,1918,150701171973,1.0,6.099999904632568,110275,7282,0.8999999761581421,923044868,150701171973,38.70000076293945,499008
39,경안대학원대학교,대학원대학,사립,경북,-,70.46156280027903,119,2020,2.0999999046325684,1000000,459961717,139.0,8341,7321.7,27.0,1,117.3000030517578,33,430504630,17.899999618530273,1.2000000476837158,83,22,17.899999618530273,439300,430504630,1.399999976158142,83
40,경운대학교,대학,사립,경북,C그룹,67.41969330659477,342,2020,1.2999999523162842,248000000,56011427000,91.1999969482422,420453,31645.8,46.20000076293945,120,5753.5,1376,56449939310,0.699999988079071,2.0,11831,2040,1.100000023841858,145823826,56449939310,26.0,119805
41,경인교육대학교,대학,국립,인천,C그룹,66.17772040174125,446,2020,2.5999999046325684,400000000,49259051000,151.8000030517578,608366,99712.1,85.80000305175781,139,10071.900390625,1530,46457921864,2.0,17.5,78958,3635,2.0999999046325684,399646008,46457921864,63.59999847412109,254960
42,경인여자대학교,전문대학,사립,인천,B그룹,67.11844116176087,383,2020,0.5,118785700,62548129000,52.09999847412109,241892,25199.9,37.29999923706055,36,2190.0,473,79147491096,0.4000000059604645,2.799999952316284,15577,1915,0.3000000119209289,117078919,79147491096,93.0999984741211,432552
43,경일대학교,대학,사립,경북,B그룹,67.18809096320174,369,2020,1.7000000476837158,404000000,78727924270,76.19999694824219,534571,58835.0,92.0,53,12429.0,1522,78357370640,1.0,2.0999999046325684,18145,2136,1.100000023841858,412727327,78357370640,22.0,154235
44,경찰대학,기타,기타,충남,-,68.49609508332105,237,2020,0.0,197380000,0,0.0,200183,0.0,71.5,32,5497.0,260,0,0.0,0.0,11479,802,0.0,208772381,0,0.0,27641
45,경희대학교,대학,사립,서울,A그룹,73.62125364254587,6,2020,1.100000023841858,5571477000,485816571000,75.9000015258789,2583443,160528.0,17.100000381469727,270,38001.80078125,5560,468612879042,1.2999999523162842,5.5,307546,24642,1.100000023841858,5460519881,468612879042,53.09999847412109,1804916
46,계명대학교,대학,사립,대구,A그룹,66.83041365216259,413,2020,1.2000000476837158,2899500000,307785509000,90.4000015258789,2115520,123399.5,75.80000305175781,440,28169.69921875,3740,323567146893,0.8999999761581421,4.599999904632568,191266,19467,1.0,2886437827,323567146893,47.29999923706055,1105672
47,계명문화대학교,전문대학,사립,대구,A그룹,67.06661682587773,390,2020,1.100000023841858,115000000,57690000000,47.20000076293945,247941,21805.6,39.0,64,5598.0,839,56937861262,0.4000000059604645,4.599999904632568,28800,2126,0.5,114588674,56937861262,18.39999961853028,96585
48,계약신학대학원대학교,대학원대학,사립,경기,-,70.61806714924278,95,2020,10.899999618530272,7360000,826786000,794.2999877929688,24622,247624.2,43.0,9,402.0,58,744884609,27.0,39.70000076293945,1322,51,27.0,7676350,744884609,2.0,63
