YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_18A,BG3Y_MCS_19B,BG3Y_MCS_20C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2020,49,서울과학기술대학교,67.5,196,대학,국립,서울,A그룹,254073,118255,372328,617928,142172,760100,25,25,20212,4,54,20212,396,21,417,22437,940,23377,12813,0,760100,12209,62.29999923706055,23377,760100,3.200000047683716,1727,185,26,1727,524,3.299999952316284,81324607840,268855500,18336000,5299000,63289000,50220252,0,0,405999752,77633297000,270000000,19000000,6000000,64000000,51000000,0,0,410000000,405999752,6989,58091.3,405999752,81324607840,.5,407999384,419999362,405999752,-.2,6989,6785,204,235,300,138,230,7892,7028,6860,168,229,301,137,264,7959,0,327796,2360,31,144,122,103,2760,18294,346,2763,2131,3106,26640,0,0,1,2,23,17,79,87,22,47,1215,18640,6989,2.700000047683716,327796,6989,46.900001525878906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9880,0,0,0,9880,0,0,0,0,0
2020,50,국립공주대학교,67.4,71,대학,국립,충남,A그룹,497306,106438,603744,1159286,173755,1333041,20,22,78763,1,43,78763,422,77,499,24474,5664,30138,15790,0,1333041,15712,84.80000305175781,30138,1333041,2.299999952316284,3487.699951171875,643,23,3487.699951171875,3066,1.100000023841858,57973273878,86362230,17215000,5106330,21077000,0,0,9000000,138760560,33003242000,70000000,20000000,10000000,26000000,10000000,0,14000000,150000000,138760560,2549,54437.3,138760560,57973273878,.2,144937020,147846695,138760560,-2.1,60,0,60,18,93,6,0,177,67,0,67,18,101,9,0,195,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,26000,60,433.2999877929688,2,10,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,10,0,1,13,0,0,0,0,0,2,10,0,1,13,793,149,12,0,0,1,8105,1.5,12,0,8105,1.5,793,12,1,61
2020,51,광운대학교,67.4,59,대학,사립,서울,B그룹,312884,79789,392673,614660,131656,746316,14,18,29084,1,33,29084,175,24,199,16404,3417,19821,12424,93,746316,9561,78.0999984741211,19821,746316,2.700000047683716,221.3999938964844,42,9,221.3999938964844,46,4.800000190734863,753651781333,864944173,519292393,17333830,4544872560,1134237173,0,293695830,7374375959,724535442000,891600000,525690000,17000000,4637485000,1105725000,0,321908000,7499408000,7374375959,29757,247819.9,7374375959,753651781333,1,6802538133,7135558329,7374375959,4.1,7135,6443,692,263,325,202,371,8296,7096,6387,709,260,445,212,371,8384,0,281046,3291,710,334,268,1051,5654,28136,6354,2820,4528,6472,48310,0,0,3774,604,0,65,137,65,104,4,49,34490,7135,4.800000190734863,281046,7135,39.400001525878906,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,1,3,126.5,18,2,0,0,1,986,2.5,2,0,986,2,126.5,2,1,42.20000076293945
2020,52,국립강릉원주대학교,67.3,69,대학,국립,강원,B그룹,328257,84833,413090,698324,176587,874911,15,16,42420,2,33,42420,709,14,723,8104,3083,11187,11091,0,874911,8473,103.3000030517578,11187,874911,1.2999999523162842,1034.800048828125,440,2,1034.800048828125,1471,.699999988079071,2515320976,2987320,0,0,11876000,0,0,360000,15223320,2460132000,4000000,0,0,12217000,0,0,0,16217000,15223320,268,56803.4,15223320,2515320976,.6,13345000,12259200,15223320,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,14,3,0,0,1,0,28,28.600000381469727,0,1,28,35.70000076293945,14,0,1,14
2020,53,홍익대학교,67,458,대학,사립,서울,A그룹,901376,261848,1163224,1589740,398270,1988010,39,45,83675,11,95,83675,801,233,1034,43899,6840,50739,43831,0,1988010,21986,90.4000015258789,50739,1988010,2.5999999046325684,35855.69921875,5674,298,35855.69921875,27831,1.2999999523162842,0,17109000,1011000,0,3150000,6299000,0,0,27569000,0,16522000,1200000,0,3210000,6577000,0,0,27509000,27569000,680,40542.6,27569000,0,0,22409680,28170160,27569000,11.8,680,680,0,27,35,29,0,771,633,633,0,24,45,27,0,729,0,26419,404,0,12,10,1,427,2388,0,10,27,17,2442,0,0,92,20,0,1,0,0,0,10,724,2388,680,3.5,26419,680,38.900001525878906,12,31,0,0,43,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0,12,35,0,4,51,0,0,0,0,0,12,35,0,4,51,2523.39990234375,416,43,0,4,4,27831,1.7000000476837158,43,4,27831,1.7000000476837158,2523.39990234375,44,5,51.5
2020,54,을지대학교,67,307,대학,사립,대전,B그룹,110506,58455,168961,171604,63415,235019,15,12,41968,0,27,41968,76,0,76,3101,1024,4125,2339,0,235019,4898,48,4125,235019,1.7999999523162842,15.5,2,1,15.5,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,525,0,31,29,27,0,612,519,519,0,27,26,28,0,600,0,203,44,0,13,4,0,61,91,0,80,32,0,203,0,0,0,0,0,0,0,0,0,0,0,91,525,.2000000029802322,203,525,.4000000059604645,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,205.5,17,3,0,0,0,807,3.700000047683716,3,0,807,3.700000047683716,205.5,3,0,68.5
2020,55,대구가톨릭대학교,67,109,대학,사립,경북,A그룹,525605,261500,787105,1021785,365241,1387026,33,28,54174,0,61,54174,600,68,668,25941,5666,31607,22728,5038,1387026,13891,99.9000015258789,31607,1387026,2.299999952316284,15937,1796,85,15937,10078,1.600000023841858,17389216872,8664470,0,0,0,0,0,0,8664470,18884743000,30000001,0,0,0,10000000,0,10000000,50000001,8664470,3046,2844.5,8664470,17389216872,0,423100,0,8664470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,2,10,0,0,0,2,2,0,11,0,2,13,0,0,0,2,2,0,11,0,4,15,598,97,3,0,8,4,10078,1.100000023841858,3,8,10078,1.100000023841858,598,3,12,39.900001525878906
2020,56,숙명여자대학교,66.8,247,대학,사립,서울,A그룹,397595,188639,586234,943439,314318,1257757,32,36,108571,2,70,108571,426,124,550,20561,3174,23735,14900,540,1257757,12342,101.9000015258789,23735,1257757,1.899999976158142,0,0,0,0,1304,0,58857247607,103478359,3705000,0,125649522,16400279,0,59444000,308677160,61350275000,95650000,8810000,1400000,128235200,16250800,0,59654000,310000000,308677160,5409,57067.3,308677160,58857247607,.5,291114000,309243360,308677160,3,5409,4801,608,192,179,103,0,5883,5329,4810,519,189,189,110,0,5817,0,144235,1119,82,62,56,0,1319,3886,867,742,617,1399,7511,0,0,48,96,4,0,0,24,6,32,948,4753,5409,.8999999761581421,144235,5409,26.700000762939453,4,7,0,0,11,0,0,0,0,0,1,5,2,0,8,0,0,0,0,0,5,12,2,0,19,0,0,0,0,0,5,12,2,0,19,863.5,261,11,0,8,0,16141,1.100000023841858,11,8,16141,1.2000000476837158,863.5,11,7,48
2020,57,한국외국어대학교,66.6,388,대학,사립,서울,A그룹,570644,374508,945152,1365523,582919,1948442,32,46,119073,8,86,119073,1473,436,1909,51388,5332,56720,36990,39,1948442,20430,95.4000015258789,56720,1948442,3,647,238,23,647,400,1.600000023841858,4734412621,5344010,0,419310,0,0,0,0,5763320,4564497955,4000000,0,400000,0,0,0,0,4400000,5763320,430,13403.1,5763320,4734412621,.1,4635670,4676710,5763320,12.1,1636,1636,0,54,63,136,283,2172,1673,1673,0,54,88,169,240,2224,0,34887,467,0,32,65,25,589,5745,0,424,1439,308,7916,0,0,1127,384,11,0,0,9,9,0,0,5745,1636,3.5,34887,1636,21.299999237060547,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,38.5,6,1,1,0,0,400,4.5,1,0,400,2.5,38.5,1,1,19.299999237060547
2020,58,국립한밭대학교,66.3,82,대학,국립,대전,B그룹,241387,75413,316800,524438,97243,621681,13,18,24665,2,33,24665,288,50,338,14739,6184,20923,13718,0,621681,9285,67,20923,621681,3.5,4501,510,17,4501,2551,1.7999999523162842,12117965087,22311950,1440300,0,4480000,0,0,0,28232250,13124533000,35000000,2000000,0,5000000,0,0,0,42000000,28232250,1187,23784.5,28232250,12117965087,.2,32045990,31750990,28232250,-6,7152,6760,392,238,208,165,72,7835,7101,6695,406,238,216,171,140,7866,0,148134,3379,116,118,136,46,3795,16612,1016,1760,2200,433,22021,0,0,75,103,35,23,41,37,51,4,71,17628,7152,2.5,148134,7152,20.700000762939453,5,5,1,2,13,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,5,21,1,2,29,0,0,0,0,0,5,21,1,2,29,1412.5,405,11,2,16,0,18122,1.399999976158142,11,16,18122,1.5,1412.5,12,18,47.09999847412109
