YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_16A,BG3Y_MCS_17B,BG3Y_MCS_18C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2018,11,강릉영동대학교,전문대학,사립,강원,B그룹,47427,14120,61547,73474,14942,88416,1,1,19169,0,2,19169,176,0,176,3432,10631,14063,12676,0,88416,2944,30.0,14063,88416,18.89999961853028,2521.0,600,3,16,19,2521.0,2944,0.8999999761581421,29125323000,57949214,2999520,0,5547000,2372000,0,0,68867734,31490870000,63000000,1000000,0,0,0,0,0,64000000,68867734,2944,23392.6,68867734,29125323000,0.2,85754364,84867550,68867734,-9.9,2944,2944,0,90,137,54,68,3293,37,0,1205,0,62,34,33,1334,7213,0,977,402,1537,10129,0,0,4,1,0,0,0,2,0,0,0,7213,2944,2.5,0,2944,0.0,0,1,1,0,1,1,2,0,0,0,0,0,0,1,1,60,1,0,1,1,0,2944,0.5,0,1,2944,0.3000000119209289,60,1,1,30.0
2018,12,강서대학교,대학,사립,서울,C그룹,64342,18833,83175,84825,20866,105691,4,11,11860,2,17,11860,141,36,177,1576,696,2272,1808,12,105691,1550,68.19999694824219,2272,105691,2.200000047683716,821.0,152,5,10,15,821.0,1550,0.5,15738012000,24281716,22655889,21600,20030000,29810795,0,2200000,99000000,0,16500000,19000000,1500000,23057760,21842240,0,2200000,84100000,99000000,1550,63871.0,99000000,15738012000,0.6,94398701,96975527,99000000,2.4,1550,1382,168,50,106,46,304,2056,21,6426,240,69,36,22,36,403,1405,889,582,138,1032,4046,0,0,659,268,5,1,42,1,2,4,151,2294,1550,1.5,6426,1550,4.099999904632568,2,0,1,0,3,0,3,0,2,0,2,0,0,1,1,114,26,2,0,1,0,1550,1.7999999523162842,2,1,1550,1.899999976158142,114,2,1,38.0
2018,13,강원관광대학교,전문대학,사립,강원,C그룹,35033,230,35263,44594,266,44860,1,0,1654,0,1,1654,69,0,69,1839,453,2292,2242,0,44860,1220,36.79999923706055,2292,44860,5.400000095367432,1092.0,228,2,21,23,1092.0,1220,0.8999999761581421,10990289000,24485690,2512300,700000,4348000,0,0,0,32045990,12588715000,35000000,3000000,0,4000000,0,0,0,42000000,32045990,1220,26267.2,32045990,10990289000,0.3,35558410,36841860,32045990,-4.7,1220,1220,0,36,69,34,0,1359,31,21550,262,0,12,9,0,283,1220,0,64,54,0,1338,0,0,2444,450,75,0,0,0,0,10,310,1220,1220,1.0,21550,1220,17.700000762939453,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,41,3,1,0,0,0,1220,0.800000011920929,1,0,1220,0.800000011920929,41,1,0,41.0
2018,14,강원대학교,대학,국립,강원,A그룹,749624,173309,922933,1262219,312691,1574910,24,28,28938,0,52,28938,1623,368,1991,21812,6787,28599,25666,92,1574910,22949,68.5999984741211,28599,1574910,1.7999999523162842,28484.0,3427,58,350,408,28484.0,22949,1.2000000476837158,255008208000,284600190,702767330,10133300,920557960,393825000,0,26036170,2337919950,244415986000,280000000,741000000,9000000,800000000,427000000,0,25000000,2282000000,2337919950,22949,101874.6,2337919950,255008208000,0.9,3661689690,2973599950,2337919950,-20.1,22949,20168,2781,1003,1335,681,1722,27690,116,1875604,8897,1258,689,407,699,11950,56114,11052,8311,4338,19186,99001,0,0,2258,6671,947,1036,465,1478,7853,104,1943,67166,22949,2.900000095367432,1875604,22949,81.69999694824219,26,3,0,5,26,8,34,12,12,2,26,0,0,0,0,1754,259,26,3,0,5,22949,1.2999999523162842,26,0,22949,1.100000023841858,1754,29,5,51.59999847412109
2018,15,강원도립대학교,전문대학,공립,강원,C그룹,44415,2004,46419,57361,2234,59595,0,0,5318,1,1,5318,57,0,57,1898,175,2073,1910,59,59595,784,76.0,2073,59595,3.5999999046325684,1735.0,188,3,10,13,1735.0,784,2.200000047683716,12863032000,30000000,2974800,0,0,0,0,3500000,36474800,13100000000,30000000,3000000,0,0,0,0,3500000,36500000,36474800,784,46524.0,36474800,12863032000,0.3,57325070,32548700,36474800,-15.6,784,784,0,31,70,53,25,963,17,2450,206,0,19,43,25,293,1072,0,253,964,2606,4895,0,0,103,0,0,0,0,5,0,0,0,1072,784,1.399999976158142,2450,784,3.0999999046325684,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,146,16,1,0,0,1,784,1.899999976158142,1,0,784,1.2999999523162842,146,1,1,73.0
2018,16,개신대학원대학교,대학원대학,사립,서울,-,16571,1055,17626,22588,1639,24227,0,0,82,0,0,82,60,4,64,574,161,735,594,1,24227,168,144.1999969482422,735,24227,3.0999999046325684,221.0,41,2,8,10,221.0,168,1.2999999523162842,2489378000,6295705,869879,0,0,0,0,0,7165584,2604480000,9000000,1000000,0,0,0,0,0,10000000,7165584,168,42652.3,7165584,2489378000,0.3,2946358,6496186,7165584,65.4,168,0,168,6,21,7,199,401,9,8500,0,45,11,3,28,87,0,602,214,24,216,1056,0,0,50,30,60,5,0,2,0,0,0,602,168,3.5999999046325684,8500,168,50.59999847412109,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,30,2,1,0,0,0,168,6.0,1,0,168,6.0,30,1,0,30.0
2018,17,거제대학교,전문대학,사립,경남,C그룹,47328,1684,49012,65650,1793,67443,1,1,2408,0,2,2408,116,0,116,1825,232,2057,1963,1362,67443,1143,59.0,2057,67443,3.0999999046325684,1464.0,304,4,12,16,1464.0,1143,1.2999999523162842,13448672000,26838850,5289100,2547220,2787000,2227203,0,0,39689373,12465873000,26000000,5600000,1800000,3500000,3500000,0,0,40400000,39689373,1143,34723.9,39689373,13448672000,0.3,58187379,50199790,39689373,-17.3,1143,1143,0,43,75,47,26,1334,15,52275,413,0,50,41,13,517,2981,0,1194,695,235,5105,0,0,6,2,7,7,0,66,0,11,184,2981,1143,2.5999999046325684,52275,1143,45.70000076293945,1,0,1,0,2,0,2,1,0,0,1,0,1,0,1,53,8,1,0,1,0,1143,1.600000023841858,1,1,1143,1.7000000476837158,53,1,1,26.5
2018,18,건국대학교,대학,사립,서울,A그룹,529894,176070,705964,1126303,250430,1376733,26,32,46157,1,59,46157,642,197,839,41961,5808,47769,28923,2,1376733,19861,69.30000305175781,47769,1376733,3.5999999046325684,24695.0,3675,58,264,322,24695.0,19861,1.2000000476837158,410300932000,892282490,82213160,8462150,1233956751,519638269,0,6000000,2742552820,397456456000,682594000,73494000,9000000,1286774000,541881000,0,6257000,2600000000,2742552820,19861,138087.3,2742552820,410300932000,0.7,2800000000,2827349920,2742552820,-1.0,19861,15552,4309,702,1340,451,21530,43884,67,1947311,9919,2541,716,503,3268,16947,81082,28558,12623,6065,40321,168649,0,0,0,0,0,91,209,971,275,14,280,109640,19861,5.5,1947311,19861,98.0,8,2,16,2,24,4,28,2,6,0,8,0,16,0,16,807,123,8,2,16,2,19861,1.2000000476837158,8,16,19861,1.2000000476837158,807,10,18,28.799999237060547
2018,19,건국대학교(글로컬),대학,사립,충북,B그룹,271969,113079,385048,494081,151663,645744,11,14,50919,3,28,50919,182,19,201,13908,83,13991,7959,0,645744,8223,78.5,13991,645744,2.200000047683716,7463.0,1644,26,136,162,7463.0,8223,0.8999999761581421,0,358422227,44810960,4562410,444603945,107215043,0,73413320,1033027905,0,332000000,44800000,4600000,346400000,110000000,0,62200000,900000000,1033027905,8223,125626.6,1033027905,0,0.0,899999485,999925788,1033027905,7.2,8223,7721,502,483,315,158,3110,12289,45,439057,4323,156,190,192,187,5048,37457,1503,3872,2338,11046,56216,0,0,89,151,62,40,124,376,22,38,2494,38960,8223,4.699999809265137,439057,8223,53.400001525878906,3,3,2,5,5,8,13,3,0,0,3,0,2,0,2,716,136,3,3,2,5,8223,1.2000000476837158,3,2,8223,0.6000000238418579,716,6,7,55.09999847412109
2018,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
