YR,ID,SNM,STYP,FND,RGN,USC,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2024,33,경북대학교,대학,국립,대구,A그룹,15,19.0,1,4,39.0,0,0,0,0.0,0.0,1,13.0,1,2.0,17.0,0,0,0,0,0,16,32.0,2,6.0,56.0,0,0,0,0.0,0.0,16,32.0,2,6.0,56.0,1133.0,302,804.7999877929688,213,35.0,4.0,15.0,2.0,28016,1.7999999523162842,35.0,15.0,28016,1.7999999523162842,1937.800048828125,37.0,18.5,34.900001525878906
2024,34,경북보건대학교,전문대학,사립,경북,C그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,32.0,5,27.399999618530277,10,1.0,0.0,0.0,0.0,1315,0.800000011920929,1.0,0.0,1315,0.800000011920929,59.400001525878906,1.0,0.0,59.400001525878906
2024,35,경북외국어대학교,대학,사립,대구,C그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024,36,경북전문대학교,전문대학,사립,경북,B그룹,0,1.0,0,0,1.0,0,1,0,1.0,2.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,1,0,1.0,2.0,0,2.0,0,1.0,3.0,85.0,17,97.0,24,2.0,1.0,0.0,0.0,2568,1.100000023841858,2.0,0.0,2568,0.800000011920929,182.0,3.0,0.0,60.70000076293945
2024,37,경상국립대학교,대학,국립,경남,A그룹,7,17.0,1,0,25.0,0,0,0,0.0,0.0,3,4.0,0,0.0,7.0,0,0,0,0,0,10,21.0,1,0.0,32.0,0,0,0,0.0,0.0,10,21.0,1,0.0,32.0,992.9000244140624,384,1049.5999755859375,325,25.0,0.0,7.0,0.0,20128,1.5,25.0,7.0,20128,1.600000023841858,2042.5,26.0,5.0,65.9000015258789
2024,38,경성대학교,대학,사립,부산,A그룹,1,2.0,0,1,4.0,0,0,0,0.0,0.0,0,10.0,0,3.0,13.0,0,0,0,0,0,1,12.0,0,4.0,17.0,0,0,0,0.0,0.0,1,12.0,0,4.0,17.0,183.5,58,789.0999755859375,231,3.0,1.0,10.0,3.0,12866,1.0,3.0,10.0,12866,1.0,972.5999755859376,6.0,11.0,57.20000076293945
2024,39,경안대학원대학교,대학원대학,사립,경북,-,0,0.0,0,0,0.0,0,1,0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0.0,1.0,0,1.0,0,0.0,1.0,9.0,2,24.0,7,1.0,0.0,0.0,0.0,60,16.700000762939453,1.0,0.0,60,16.700000762939453,33.0,1.0,0.0,33.0
2024,40,경운대학교,대학,사립,경북,C그룹,0,2.0,0,1,3.0,0,0,0,0.0,0.0,0,1.0,0,3.0,4.0,0,0,0,0,0,0,3.0,0,4.0,7.0,0,0,0,0.0,0.0,0,3.0,0,4.0,7.0,48.0,12,198.5,44,2.0,1.0,1.0,3.0,4980,1.0,2.0,1.0,4980,0.6000000238418579,246.5,3.0,4.0,35.20000076293945
2024,41,경인교육대학교,대학,국립,인천,C그룹,0,3.0,1,0,4.0,1,0,0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,3.0,1,0.0,4.0,1,0,0,0.0,1.0,1,3.0,1,0.0,5.0,193.3000030517578,52,322.9000244140625,87,5.0,0.0,0.0,0.0,3670,1.399999976158142,5.0,0.0,3670,1.399999976158142,516.2000122070312,6.0,0.0,86.0
2024,42,경인여자대학교,전문대학,사립,인천,B그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,2.0,0,0.0,2.0,0,0,0,0,0,0,2.0,0,0.0,2.0,0,0,0,0.0,0.0,0,2.0,0,0.0,2.0,77.5,16,103.0,21,0.0,0.0,2.0,0.0,3544,0.5,0.0,2.0,3544,0.6000000238418579,180.5,0.0,2.0,90.3000030517578
