YR,ID,SNM,STYP,FND,RGN,USC,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS
2016,22,건양대학교,대학,사립,충남,B그룹,8593,7994,599,399,249,188,737,10166,47,760777,6393,133,193,205,277,7201,94433,1142,3396,2785,1248,103004,0,0,110,252,80,36,32,703,495,37,2278,95575,8593,11.100000381469728,760777,8593,88.5
2016,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4483,4483,0,115,210,61,242,5111,21,383105,1515,0,73,70,15,1673,6703,0,868,966,2591,11128,0,0,62,19,5,0,0,4,0,6,180,6703,4483,1.5,383105,4483,85.5
2016,24,경기대학교,대학,사립,경기,A그룹,16377,14164,2213,500,899,250,6966,24992,68,767833,10861,1067,365,460,413,13166,93736,11370,6576,7167,25305,144154,0,0,1116,8874,1353,124,450,1919,268,104,2640,105106,16377,6.400000095367432,767833,16377,46.900001525878906
2016,25,경남대학교,대학,사립,경남,A그룹,13489,12277,1212,453,465,227,1696,16330,49,577893,5134,517,309,141,361,6462,30790,6449,6281,2851,27068,73439,0,0,2407,1297,5,50,208,264,170,34,566,37239,13489,2.799999952316284,577893,13489,42.79999923706055
2016,26,경남도립거창대학,전문대학,공립,경남,C그룹,889,889,0,30,81,55,13,1068,12,9430,282,0,50,31,1,364,1946,0,1192,343,34,3515,0,0,0,0,0,0,0,0,0,0,0,1946,889,2.200000047683716,9430,889,10.600000381469728
2016,27,경남도립남해대학,전문대학,공립,경남,C그룹,848,848,0,23,60,42,0,973,9,28747,578,0,32,29,0,639,4624,0,799,557,0,5980,0,0,0,0,0,0,0,0,0,0,0,4624,848,5.5,28747,848,33.900001525878906
2016,28,경남정보대학교,전문대학,사립,부산,A그룹,6853,6853,0,185,401,139,0,7578,30,195391,1110,0,89,51,0,1250,4228,0,774,503,2189,7694,0,0,35,58,8,0,0,18,0,5,2700,4228,6853,0.6000000238418579,195391,6853,28.5
2016,29,경동대학교,대학,사립,강원,B그룹,7240,7240,0,244,118,82,273,7957,41,96722,906,0,16,41,0,963,15195,0,739,684,0,16618,0,0,400,300,70,0,0,0,0,0,88,15195,7240,2.0999999046325684,96722,7240,13.399999618530272
2016,30,경민대학교,전문대학,사립,경기,B그룹,4661,4661,0,135,338,86,49,5269,31,58210,1891,0,98,88,49,2126,10270,0,2141,1247,6487,20145,0,0,80,122,10,0,0,34,0,32,2176,10270,4661,2.200000047683716,58210,4661,12.5
2016,31,경복대학교,전문대학,사립,경기,A그룹,6350,6350,0,176,321,99,2,6948,38,20095,1894,0,56,55,2,2007,19825,0,835,918,3,21581,0,0,11,22,3,0,0,3,0,20,2272,19825,6350,3.0999999046325684,20095,6350,3.200000047683716
2016,32,경북과학대학교,전문대학,사립,경북,C그룹,1902,1902,0,62,148,38,0,2150,19,7456,53,0,6,6,0,65,215,0,55,56,0,326,0,0,5,4,0,0,0,0,0,5,150,215,1902,0.1000000014901161,7456,1902,3.900000095367432
2016,33,경북대학교,대학,국립,대구,A그룹,30296,23702,6594,1262,1628,739,15384,49309,151,988361,18650,3845,1373,455,1429,25752,161543,49083,23284,6244,29634,269788,0,0,83470,33012,2620,675,1159,2434,3840,121,5630,210626,30296,7.0,988361,30296,32.599998474121094
2016,34,경북보건대학교,전문대학,사립,경북,C그룹,1300,1300,0,43,89,48,0,1480,8,0,674,0,24,20,0,718,4285,0,426,1141,15,5867,0,0,0,0,0,0,0,0,0,11,257,4285,1300,3.299999952316284,0,1300,0.0
2016,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2016,36,경북전문대학교,전문대학,사립,경북,B그룹,2562,2562,0,76,146,62,0,2846,24,87504,610,0,35,67,0,712,2984,0,539,1098,0,4621,0,0,800,160,21,0,1,15,0,26,1107,2984,2562,1.2000000476837158,87504,2562,34.20000076293945
