YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_19A,BG3Y_MCS_20B,BG3Y_MCS_21C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_REL_PTH,SES_REL_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2021,276,영남대학교,대학,사립,경북,A그룹,544985,398980,943965,1220962,642462,1863424,52,46,95777,2,100,95777,639,148,787,19385,4790,24175,20928,0,1863424,22831,81.5999984741211,24175,1863424,1.2999999523162842,5097,992,95,5097,1564,3.299999952316284,0,0,0,0,0,0,0,0,0,0,30000000,0,0,0,0,0,0,30000000,0,1613,0,0,0,0,0,0,0,0,14081,12080,2001,1131,1039,311,12716,29278,13888,11888,2000,1149,1076,331,13516,29960,0,126933,2993,357,401,348,199,4298,26808,3611,5568,5749,6318,48054,0,0,591,2929,462,140,232,1450,423,3,42,18,3043,30419,14081,2.200000047683716,126933,14081,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,1920,0,0,2,0,0
2021,277,영남사이버대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16814.5,2362,185,16814.5,11490,1.5,174598162429,349474192,50734400,4509000,312985634,162881800,0,58790000,939375026,183765062730,295000000,53580000,4000000,0,528800000,0,58000000,939380000,939375026,4672,201064.9,939375026,174598162429,.5,991898277,923580000,939375026,-2.6,1103,1103,0,43,12,35,0,1193,840,840,0,64,27,22,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,1,3,0,0,104,17,28,4,0,0,2,1,4706,.4000000059604645,0,2,4706,.4000000059604645,132,0,4,33
2021,278,영남신학대학교,대학,사립,경북,C그룹,66434,35267,101701,96577,44378,140955,8,6,24639,0,14,24639,48,0,48,499,149,648,454,148,140955,777,181.3999938964844,648,140955,.5,8654,820,66,8654,3445,2.5,39457791540,26018460,17192630,10601600,4950000,8140000,0,10850000,77752690,34222000000,29000000,30600000,15000000,5000000,30000000,0,40000000,149600000,77752690,1673,46475,77752690,39457791540,.2,73053040,92846950,77752690,5.4,16431,15007,1424,743,1084,261,12720,31239,16132,14889,1243,771,1042,261,12248,30454,0,324157,2234,398,303,143,607,3685,12541,4019,4279,2529,53585,76953,0,0,4420,6005,923,88,479,238,316,3,112,110,929,16560,16431,1,324157,16431,19.700000762939453,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,2,0,0,0,0,22,4,1,1,0,0,167,10.800000190734863,1,0,167,6,22,2,0,11
2021,279,영남외국어대학,전문대학,사립,경북,C그룹,25123,1024,26147,25606,1026,26632,0,0,1345,0,0,1345,0,0,0,0,0,0,0,0,26632,503,52.900001525878906,0,26632,0,8863.7998046875,1810,70,8863.7998046875,3681,2.400000095367432,118835649261,248821130,20792130,0,199496153,195868116,0,57000000,721977529,130871872000,204219000,11663000,0,248430000,181890000,0,18700000,664902000,721977529,105671,6832.3,721977529,118835649261,.6,675017640,745738112,721977529,3.6,4593,4593,0,125,250,60,5,5033,4479,4479,0,384,263,59,4,5189,0,2676,201,0,16,34,7,258,24623,0,377,272,66,25338,0,0,62,875,153,6,0,0,0,0,0,41,2094,24623,4593,5.400000095367432,2676,4593,.6000000238418579,0,1,0,1,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,3,0,3,6,0,0,42.5,9,13,3,1,1,2,2,6227,.699999988079071,1,2,6227,.5,55.5,4,2,9.300000190734863
2021,280,영남이공대학교,전문대학,사립,대구,A그룹,106021,4837,110858,220284,7015,227299,10,8,76316,2,20,76316,255,0,255,5970,516,6486,3958,12359,227299,5911,38.5,6486,227299,2.900000095367432,969,146,14,969,1314,.699999988079071,10091168963,2484660,0,0,0,0,0,0,2484660,11447762000,3500000,0,0,0,0,0,0,3500000,2484660,1977,1256.8,2484660,10091168963,0,3184000,2890000,2484660,-11.6,46,0,46,9,2,1,1,59,42,0,42,11,2,1,0,56,0,1300,0,33,4,1,0,38,0,312,30,1,0,343,0,0,0,0,0,0,0,0,0,2,48,0,0,312,46,6.800000190734863,1300,46,28.299999237060547,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,115.5,24,26,5,1,0,0,0,3267,.3000000119209289,1,0,3267,.3000000119209289,141.5,1,1,70.80000305175781
2021,281,영산대학교,대학,사립,경남,B그룹,264034,59228,323262,409524,72385,481909,14,14,59658,7,35,59658,133,4,137,6061,2966,9027,8144,0,481909,7225,66.69999694824219,9027,481909,1.899999976158142,5068,487,79,5068,1674,3,2496835871,8414160,0,0,14850000,6599625,0,0,29863785,2424693000,11000000,0,0,16000000,7000000,0,2000000,36000000,29863785,159,187822.5,29863785,2496835871,1.2,35868465,35090236,29863785,-8.5,458,0,458,16,64,14,0,552,425,0,425,75,58,16,0,574,0,2315,0,123,17,6,27,173,0,1878,144,41,242,2305,0,0,2,31,0,2,0,5,2,0,0,0,0,1878,458,4.099999904632568,2315,458,5.099999904632568,0,6,0,1,7,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,7,0,3,10,0,0,0,0,0,0,7,0,3,10,115,18,280.5,33,258,35,6,1,1,2,8255,1,6,1,8255,.800000011920929,653.5,6,4,65.4000015258789
2021,282,영산선학대학교,대학,사립,전남,C그룹,35260,2978,38238,46185,5753,51938,0,0,0,0,0,0,55,0,55,462,205,667,605,4,51938,29,1791,667,51938,1.2999999523162842,2377,660,34,2377,2713,.8999999761581421,16322638830,27148180,18767100,0,0,41428384,0,24654558,111998222,16988297436,22000000,18340000,2000000,0,49600000,0,17400000,109340000,111998222,1240,90321.1,111998222,16322638830,.7,100682858,97127183,111998222,5.9,3260,2999,261,118,93,77,184,3732,3017,2761,256,114,112,113,0,3356,0,15836,257,18,55,28,8,366,2359,321,611,248,1707,5246,0,0,45,310,0,5,19,10,8,1,9,55,115,2680,3260,.800000011920929,15836,3260,4.900000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,283,영진전문대학교,전문대학,사립,대구,A그룹,156848,24222,181070,318846,36209,355055,5,12,27596,3,20,27596,181,0,181,8200,0,8200,4027,0,355055,7988,44.400001525878906,8200,355055,2.400000095367432,37760.8984375,5447,195,37760.8984375,22412,1.7000000476837158,9517936539,15120000,689000,0,0,0,0,0,15809000,10601817960,15120000,689000,0,0,0,0,0,15809000,15809000,635,24896.1,15809000,9517936539,.2,14693550,15216630,15809000,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,0,9,14,0,0,0,0,0,0,5,0,15,20,0,0,0,0,0,0,5,0,15,20,0,0,110,19,190.3999938964844,42,0,6,5,9,10074,1.2999999523162842,0,5,10074,.5,300.3999938964844,5,15,15
2021,284,예명대학원대학교,대학원대학,사립,서울,-,8265,1195,9460,15869,1516,17385,0,0,0,0,0,0,0,0,0,133,0,133,113,0,17385,240,72.4000015258789,133,17385,.800000011920929,2886,542,33,2886,1025,2.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5732,5732,0,16,240,70,0,6058,6026,6026,0,19,255,73,0,6373,0,0,349,0,122,0,0,471,1360,0,179,179,0,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,5732,.2000000029802322,0,5732,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,1,0,2,3,0,0,64,11,72.5,18,0,0,1,2,3833,.5,0,1,3833,.3000000119209289,136.5,0,3,45.5
2021,285,예수대학교,대학,사립,전북,C그룹,33513,3219,36732,42686,3879,46565,0,9,5659,1,10,5659,21,7,28,447,295,742,673,450,46565,559,83.30000305175781,742,46565,1.600000023841858,28131.30078125,3030,227,28131.30078125,16386,1.7000000476837158,39439559930,1000000,0,0,0,0,0,0,1000000,42276414000,1000000,0,0,0,0,0,0,1000000,1000000,5732,174.5,1000000,39439559930,0,1000000,1000000,1000000,0,3410,3410,0,95,256,73,190,4024,3071,3071,0,321,228,80,190,3890,0,21229,548,0,57,43,0,648,6256,0,804,631,7007,14698,0,0,488,244,37,0,0,0,0,0,0,39,1019,6256,3410,1.7999999523162842,21229,3410,6.199999809265137,1,3,0,1,5,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,1,6,0,4,11,0,0,0,0,0,1,6,0,4,11,0,0,70,6,0,0,4,1,3,3,4041,2.200000047683716,4,3,4041,1.7000000476837158,70,5,8,5.400000095367432
