YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCC,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCC,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_12A,BG3Y_MCS_13B,BG3Y_MCS_14C,BG3Y_BG3Y,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2014,1,서울대학교,66.06,200,대학,국립,서울,A그룹,626865,1135225,1762090,2209778,2490073,4699851,97,88,468994,0,185,516893,1730,2151,3881,51082,29930,81012,55926,11855,4699851,27986,167.89999389648438,81012,4699851,1.7999999523162842,216,80,1,0,1,216,325,.699999988079071,94802123000,172743150,18334600,7404710,90061742,29785000,0,31668752,349997954,98541862000,150000000,20000000,10000000,90000000,30000000,0,50000000,350000000,349997954,7468,46866.4,349997954,94802123000,.4,349991930,349999113,349997954,0,125,0,125,10,1,8,13,157,1,36203,0,87,10,6,13,116,0,4044,207,75,40,4366,0,0,1914,428,81,0,0,0,0,19,219,4044,125,32.400001525878906,36203,125,289.6000061035156,2,1,0,0,2,1,3,0,2,0,2,0,0,0,0,64,3,2,1,0,0,6084,.5,2,0,6084,.3000000119209289,64,3,0,21.299999237060547
2014,2,연세대학교,50.95,272,대학,사립,서울,A그룹,901458,468761,1370219,1632197,767814,2400011,87,149,282927,0,236,371909,1779,1100,2879,47501,17802,65303,42451,1619,2400011,31061,77.30000305175781,65303,2400011,2.799999952316284,3425,901,12,54,66,3425,1836,1.899999976158142,74526018000,63479000,32392723,2879000,163051980,14158077,0,92108571,368069351,81468676000,55000000,22000000,5000000,196501000,70400000,0,10000000,358901000,368069351,7341,50138.9,368069351,74526018000,.5,201884665,369364371,368069351,41.3,987,987,0,29,85,28,223,1352,24,3090,217,0,12,7,0,236,321,0,31,10,0,362,0,0,0,0,0,2,1,0,0,0,0,321,987,.3000000119209289,3090,987,3.0999999046325684,4,0,0,1,4,1,5,0,1,3,4,0,0,0,0,360,8,4,0,0,1,1836,2.5,4,0,1836,2.200000047683716,360,4,1,72
2014,3,한국과학기술원,49.88,373,대학,국립,대전,A그룹,191272,122297,313569,269449,233788,503237,54,31,63329,0,85,113371,111,59,170,10245,7597,17842,15140,501,503237,10416,48.29999923706055,17842,503237,3.700000047683716,25699,3916,69,243,312,25699,22412,1.100000023841858,23678077000,98268000,13365000,9717000,0,36448000,0,0,157798000,18144803000,59000000,52200000,7000000,0,24500000,0,0,142700000,157798000,1718,91849.8,157798000,23678077000,.7,196682000,179817000,157798000,-10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,28,0,28,12,12,2,26,0,2,0,2,821,166,26,0,2,0,22412,1.2000000476837158,26,2,22412,1.2000000476837158,821,26,2,29.299999237060547
2014,4,고려대학교,49.84,50,대학,사립,서울,A그룹,528499,688676,1217175,1403501,1257757,2661258,100,114,262077,0,214,325185,1483,1589,3072,39268,37327,76595,56679,347,2661258,29387,90.5999984741211,76595,2661258,3,13559,1334,25,84,109,13559,8964,1.5,54656503000,103327500,23641990,4861000,61739450,10870250,0,97322000,301762190,47867290000,105500000,24000000,5000000,68041000,11620000,0,97300000,311461000,301762190,5387,56016.7,301762190,54656503000,.6,138514172,249778826,301762190,50.6,32137,24966,7171,1449,2034,877,25794,62291,84,2614131,22894,5382,1183,893,5385,35737,313329,98012,29508,24332,52354,517535,0,0,56734,45769,8537,1090,4125,2156,1937,347,6195,411341,32137,12.800000190734863,2614131,32137,81.30000305175781,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,34,1,1,0,0,0,1984,.5,1,0,1984,.5,34,1,0,34
2014,5,한양대학교,48.63,443,대학,사립,서울,A그룹,424148,261154,685302,825927,515276,1341203,37,49,106600,0,86,189540,1598,607,2205,34614,5541,40155,29664,0,1341203,22412,59.79999923706055,40155,1341203,3.0999999046325684,8106,1469,21,54,75,8106,9977,.800000011920929,37925223000,50328740,1734260,26082000,0,5205000,0,38650000,122000000,35435963000,40900000,1500000,31800000,0,7000000,0,24800000,106000000,122000000,4685,26040.6,122000000,37925223000,.3,64998000,130942400,122000000,47.3,10540,9929,611,319,475,153,347,11834,54,428044,5345,293,217,205,144,6204,52976,4490,4966,4182,1353,67967,0,0,5892,4745,39,162,67,366,103,38,2429,57466,10540,5.5,428044,10540,40.59999847412109,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9,2,0,1,0,0,51,15.699999809265137,0,0,51,0,9,1,0,9
2014,6,포항공과대학교,48.35,367,대학,사립,경북,C그룹,95475,160846,256321,134134,309472,443606,28,8,185497,0,36,194900,138,117,255,14105,328,14433,8803,21,443606,3123,142,14433,443606,3.400000095367432,1281,14,2,2,4,1281,48,26.700000762939453,77627789000,16753830,7309940,81510,57781287,14450601,0,4994000,101371168,83068954000,57200000,31500000,800000,48500000,13000000,0,6000000,157000000,101371168,2126,47681.6,101371168,77627789000,.1,93781241,110422505,101371168,4.8,1097,1097,0,51,55,13,0,1216,12,1020,1005,0,13,2,0,1020,2412,0,83,17,0,2512,0,0,30,20,5,0,0,0,0,0,0,2412,1097,2.200000047683716,1020,1097,.8999999761581421,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,12,2,0,1,0,0,48,16.700000762939453,0,0,48,0,12,1,0,12
2014,7,성균관대학교,47.79,227,대학,사립,서울,A그룹,581188,431611,1012799,1169426,683590,1853016,94,104,334623,0,198,421415,904,691,1595,35889,6337,42226,34196,6536,1853016,27048,68.5,42226,1853016,2.299999952316284,7791,1146,13,100,113,7791,7321,1.100000023841858,58491948000,37764000,20827000,3800000,6247000,8373000,0,95852000,172863000,56797080000,200000000,0,0,0,0,0,0,200000000,172863000,6544,26415.5,172863000,58491948000,.3,35638000,170290308,172863000,189.7,1854,1854,0,15,88,34,0,1991,0,0,37,0,6,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854,0,0,1854,0,18,0,6,3,24,3,27,2,16,0,18,0,6,0,6,1145,235,18,0,6,3,16242,1.5,18,6,16242,1.5,1145,18,9,42.400001525878906
2014,8,경북대학교,46.23,33,대학,국립,대구,A그룹,854266,451130,1305396,2139349,938874,3078223,36,41,144906,0,77,188555,1077,1228,2305,48541,8558,57099,35932,34032,3078223,30971,99.4000015258789,57099,3078223,1.899999976158142,4164,816,13,20,33,4164,6372,.699999988079071,148475067000,490593000,151768000,251000,0,941344000,0,9801000,1593757000,130098987000,312460000,164448000,15400000,0,362084000,0,10000000,864392000,1593757000,12417,128352.8,1593757000,148475067000,1.1,1626327180,1435502960,1593757000,-.4,2822,2822,0,99,172,61,12,3166,51,13627,330,0,73,0,6,409,2114,0,1059,0,137,3310,0,0,70,20,10,0,0,0,0,1,500,2114,2822,.699999988079071,13627,2822,4.800000190734863,11,5,4,5,15,10,25,2,8,1,11,0,4,0,4,885,81,11,5,4,5,21016,1,11,4,21016,.699999988079071,885,16,9,35.400001525878906
2014,9,광주과학기술원,46.02,61,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,250,2,14,16,712,2107,.3000000119209289,0,81826330,63659497,1320820,178283586,211711201,0,57383500,594184934,0,64000000,32200000,3800000,224200000,232000000,0,23800000,580000000,594184934,8017,74115.6,594184934,0,0,650000000,650000000,594184934,-4.3,924,0,924,57,1684,40,0,2705,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,924,0,14,2,2,1,16,3,19,3,10,1,14,0,0,2,2,1375,130,14,2,2,1,8932,2,14,2,8932,1.7999999523162842,1375,16,3,72.4000015258789
2014,10,이화여자대학교,45.67,308,대학,사립,서울,A그룹,561600,501146,1062746,963147,695331,1658478,45,103,152330,0,148,200671,1182,1191,2373,42029,24726,66755,57794,30906,1658478,22268,74.5,66755,1658478,4.199999809265137,627,116,6,3,9,627,1095,.6000000238418579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6996,6996,0,167,351,98,0,7612,25,254912,2182,0,77,68,0,2327,11454,0,1289,1197,1,13941,0,0,11,9,13,13,0,2,0,0,0,11454,6996,1.600000023841858,254912,6996,36.400001525878906,1,0,2,0,3,0,3,0,1,0,1,0,1,1,2,0,0,1,0,2,0,1095,2.400000095367432,1,2,1095,2.700000047683716,0,1,2,0
2014,11,경희대학교,45.66,45,대학,사립,서울,A그룹,801261,389405,1190666,1883989,582962,2466951,63,46,114514,0,109,216280,746,542,1288,52807,12447,65254,50760,32790,2466951,32137,76.80000305175781,65254,2466951,2.700000047683716,11878,2031,21,79,100,11878,8747,1.399999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5387,5244,143,221,220,103,30,5961,24,342860,1438,6,60,45,9,1558,8245,50,726,397,93,9511,0,0,0,0,0,3,0,7,21,3,1500,8295,5387,1.5,342860,5387,63.59999847412109,7,0,0,3,7,3,10,0,5,2,7,0,0,0,0,190,17,7,0,0,3,5114,1.7000000476837158,7,0,5114,1.399999976158142,190,7,3,19
2014,12,전남대학교,45.55,321,대학,국립,광주,A그룹,541376,260984,802360,1106073,452361,1558434,36,38,35606,0,74,77722,1203,421,1624,62998,16298,79296,43013,0,1558434,26208,59.5,79296,1558434,5.400000095367432,0,0,0,0,0,0,0,0,51559031000,112594340,51035000,1172080,37563000,95328633,0,23440320,321133373,49997784000,72000000,40000000,4100000,40000000,100800000,0,33100000,290000000,321133373,5223,61484.5,321133373,51559031000,.6,423366722,339216713,321133373,-12.6,3346,3346,0,80,217,88,10,3741,39,62500,584,0,22,58,2,666,5982,0,148,464,118,6712,0,0,1255,753,0,0,0,4,3,10,469,5982,3346,1.7999999523162842,62500,3346,18.700000762939453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,13,전북대학교,45.51,324,대학,국립,전북,A그룹,505511,243141,748652,1086268,451966,1538234,35,42,57085,0,77,96817,1261,898,2159,19295,13442,32737,24040,0,1538234,23596,65.19999694824219,32737,1538234,2.200000047683716,4087,738,16,20,36,4087,2450,1.7000000476837158,10407672000,45093333,28948007,0,14072000,30684516,0,13221620,132019476,10762243000,45700000,30000000,500000,14500000,31000000,0,15500000,137200000,132019476,1076,122694.7,132019476,10407672000,1.3,137138621,123944786,132019476,-1.6,1017,890,127,87,88,61,0,1253,26,3024,29,0,3,0,0,32,64,0,4,0,0,68,0,0,23,15,0,0,0,3,0,0,0,64,1017,.1000000014901161,3024,1017,3,2,2,0,6,2,8,10,0,2,0,2,0,0,0,0,204,58,2,2,0,6,2450,2.700000047683716,2,0,2450,.800000011920929,204,4,6,20.39999961853028
2014,14,서강대학교,45.43,191,대학,사립,서울,A그룹,346682,414011,760693,664899,578018,1242917,37,26,44694,0,63,59866,843,593,1436,28274,2166,30440,20079,12852,1242917,11614,107,30440,1242917,2.5,1110,394,3,5,8,1110,1106,1,944336000,1432630,0,0,0,0,0,0,1432630,969320000,5000000,0,0,0,0,0,0,5000000,1432630,58,24700.5,1432630,944336000,.2,4355660,3773570,1432630,-37.7,3041,1570,1471,95,291,107,621,4155,14,392762,1597,596,70,66,295,2624,40412,7298,1453,1212,3050,53425,0,0,63,12,48,0,0,237,53,40,948,47710,3041,15.699999809265137,392762,3041,129.1999969482422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,15,경상국립대학교,45.43,37,대학,국립,경남,A그룹,594111,265869,859980,1195669,419597,1615266,40,29,24252,0,69,59698,1263,423,1686,44553,24330,68883,51254,0,1615266,23945,67.5,68883,1615266,4.5,17794,2127,44,201,245,17794,8932,2,5948139000,24870620,0,0,0,0,0,0,24870620,6621236000,25000000,0,0,0,0,0,0,25000000,24870620,950,26179.6,24870620,5948139000,.4,17922680,20000000,24870620,18,1841,1841,0,61,163,39,7,2111,77,8435,54,0,6,5,0,65,197,0,24,27,0,248,0,0,3,2,0,0,0,4,4,2,45,197,1841,.1000000014901161,8435,1841,4.599999904632568,28,3,21,7,49,10,59,10,17,1,28,0,18,3,21,1777,262,28,3,21,7,32137,1.600000023841858,28,21,32137,1.5,1777,31,28,30.100000381469727
2014,16,부산대학교,45.38,178,대학,국립,부산,A그룹,681846,347474,1029320,1770025,459916,2229941,39,45,116191,0,84,170133,1287,1429,2716,63034,39437,102471,60199,0,2229941,30429,73.30000305175781,102471,2229941,4.800000190734863,5131,605,13,44,57,5131,3267,1.600000023841858,38323369000,51905700,21427400,550000,0,6525800,0,44948000,125356900,35677885000,51900000,21500000,600000,0,6500000,0,45000000,125500000,125356900,4970,25222.7,125356900,38323369000,.3,68597220,126213000,125356900,41.7,7840,7840,0,206,441,72,12,8571,78,106280,3147,0,118,101,12,3378,16351,0,2217,1964,909,21441,0,0,15,27,11,4,4,5,5,0,150,16351,7840,2.0999999046325684,106280,7840,13.600000381469728,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,136,7.400000095367432,0,0,136,0,0,0,2,0
2014,17,아주대학교,45.35,264,대학,사립,경기,A그룹,303071,223111,526182,579591,419217,998808,46,35,32163,0,81,62619,607,397,1004,10432,8956,19388,14123,0,998808,14295,69.9000015258789,19388,998808,2,6280,1095,16,96,112,6280,4386,1.399999976158142,65577354000,97870050,24582190,13041000,33563000,99267512,0,116132000,384455752,59521766000,124873000,27216000,16113000,50256000,101119000,0,60423000,380000000,384455752,7522,51110.8,384455752,65577354000,.6,245933168,376702586,384455752,27.6,5919,5919,0,153,300,56,222,6650,67,60847,989,0,57,45,0,1091,3908,0,792,288,0,4988,0,0,0,0,0,0,0,0,0,56,3243,3908,5919,.699999988079071,60847,5919,10.300000190734863,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,7,1,1,0,0,0,833,1.2000000476837158,1,0,833,1.2000000476837158,7,1,0,7
2014,18,울산대학교,45.14,297,대학,사립,울산,A그룹,348347,211154,559501,612821,426798,1039619,59,57,109443,0,116,151745,489,296,785,11626,4796,16422,11818,24671,1039619,16242,64,16422,1039619,1.600000023841858,22241,1303,19,78,97,22241,3123,7.099999904632568,37278230000,49130900,41893000,1345000,0,33513000,0,35533000,161414900,41063091000,54600000,42340000,10000000,0,33783000,0,0,140723000,161414900,3099,52086.1,161414900,37278230000,.4,114707162,171121650,161414900,21.8,3799,3708,91,132,144,57,0,4132,31,124500,1058,0,97,55,0,1210,6099,0,1708,439,0,8246,0,0,30,50,0,0,0,8,8,2,120,6099,3799,1.600000023841858,124500,3799,32.79999923706055,6,0,1,3,7,3,10,1,2,3,6,0,1,0,1,951,89,6,0,1,3,3123,2.700000047683716,6,1,3123,2.200000047683716,951,6,4,95.0999984741211
