YR,RK,SNM,SCR
2020,1,서울대학교,86.5
2020,2,연세대학교,79.6
2020,3,고려대학교,79.3
2020,4,성균관대학교,78.8
2020,5,한국과학기술원,78.0
2020,6,한양대학교,76.4
2020,7,포항공과대학교,75.8
2020,8,경희대학교,75.5
2020,9,울산대학교,75.3
2020,10,경북대학교,75.3
2020,11,전남대학교,74.8
2020,12,부산대학교,74.7
2020,13,이화여자대학교,73.8
2020,14,울산과학기술원,73.6
2020,15,가톨릭대학교,73.1
2020,16,전북대학교,73.0
2020,17,건국대학교,73.0
2020,18,중앙대학교,72.7
2020,19,충남대학교,72.7
2020,20,인하대학교,72.5
2020,21,강원대학교,72.2
2020,22,아주대학교,72.2
2020,23,영남대학교,71.9
2020,24,광주과학기술원,71.8
2020,25,세종대학교,71.7
2020,26,경상국립대학교,71.7
2020,27,과학기술연합대학원대학교,71.0
2020,28,동국대학교,71.0
2020,29,인제대학교,71.0
2020,30,가천대학교,70.9
2020,31,서울시립대학교,70.9
2020,32,충북대학교,70.8
2020,33,한림대학교,70.5
2020,34,서강대학교,70.3
2020,35,단국대학교,70.1
2020,36,순천향대학교,69.8
2020,37,부경대학교,69.5
2020,38,동아대학교,69.3
2020,39,계명대학교,69.0
2020,40,조선대학교,68.8
2020,41,대구경북과학기술원,68.7
2020,42,숭실대학교,68.7
2020,43,제주대학교,68.7
2020,44,차의과학대학교,68.4
2020,45,국민대학교,68.0
2020,46,명지대학교,68.0
2020,47,원광대학교,67.6
2020,48,인천대학교,67.6
2020,49,서울과학기술대학교,67.5
2020,50,공주대학교,67.4
2020,51,광운대학교,67.4
2020,52,국립강릉원주대학교,67.3
2020,53,홍익대학교,67.0
2020,54,을지대학교,67.0
2020,55,대구가톨릭대학교,67.0
2020,56,숙명여자대학교,66.8
2020,57,한국외국어대학교,66.6
2020,58,한밭대학교,66.3
2020,59,순천대학교,66.2
2020,60,대구대학교,66.0
2020,61,경기대학교,65.8
