Year,ID,SchName,SchType,FoundType,Region,UnivScale,BookRes_TitleCount_DomBook,BookRes_TitleCount_ForBook,BookRes_TitleCount_TotalSum,BookRes_BookCount_DomBook,BookRes_BookCount_ForBook,BookRes_BookCount_TotalSum,ERes_EJournal_Package,ERes_WebDB_Package,ERes_SubEBook_TitleCount,ERes_ELearnVideo_Package,ERes_Total_Package,ERes_Total_TitleCount,Serials_Domestic,Serials_Foreign,Serials_Total,AnnualHoldChg_AnnualBookInc_Buy,AnnualHoldChg_AnnualBookInc_Donation,AnnualHoldChg_AnnualBookInc_Total,AnnualHoldChg_AnnualTitleInc,AnnualHoldChg_AnnualBookRm,BooksPerSt_BooksOwned,BooksPerSt_StCountPrev,BooksPerSt_BooksPerSt,HoldGrowRate_AnnualHoldBookCount,HoldGrowRate_BooksOwned,HoldGrowRate_HoldGrowRate
2017,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,6316,0,6316,8831,0,8831,0,0,0,0,0,0,0,0,0,179,0,179,170,0,8831,311,28.399999618530277,179,8831,2.0999999046325684
2017,2,가야대학교,대학,사립,경남,C그룹,101956,29828,131784,160469,31889,192358,8,0,34058,0,8,34058,1525,59,1584,14748,6189,20937,19376,0,192358,2718,70.80000305175781,20937,192358,12.199999809265137
2017,3,가천대학교,대학,사립,경기,A그룹,334102,126388,460490,831980,168726,1000706,30,29,21293,0,59,21560,165,0,165,28472,8189,36661,16770,0,1000706,20737,48.29999923706055,36661,1000706,3.799999952316284
2017,4,가톨릭관동대학교,대학,사립,강원,B그룹,210291,152188,362479,486194,206214,692408,9,16,72454,0,25,74821,387,18,405,16897,10239,27136,19758,0,692408,9332,74.19999694824219,27136,692408,4.099999904632568
2017,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,35814,6636,42450,49989,7094,57083,0,15,4759,0,15,4968,90,1,91,3935,1290,5225,4517,0,57083,536,106.5,5225,57083,10.100000381469728
2017,6,가톨릭대학교,대학,사립,경기,A그룹,396926,197280,594206,731810,380273,1112083,68,67,77460,0,135,79142,2402,894,3296,21870,8610,30480,18475,47,1112083,10881,102.1999969482422,30480,1112083,2.799999952316284
2017,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,60205,2342,62547,98811,4099,102910,3,6,8777,0,9,9145,60,2,62,2704,955,3659,2304,0,102910,1975,52.09999847412109,3659,102910,3.700000047683716
2017,8,감리교신학대학교,대학,사립,서울,C그룹,52865,45575,98440,87048,62694,149742,4,3,5801,0,7,8489,116,34,150,13361,368,13729,5182,0,149742,1576,95.0,13729,149742,10.100000381469728
2017,9,강남대학교,대학,사립,경기,B그룹,261134,78938,340072,380094,123504,503598,7,8,38508,0,15,38641,107,77,184,18744,629,19373,15099,0,503598,7325,68.80000305175781,19373,503598,4.0
2017,10,강동대학교,전문대학,사립,충북,B그룹,51165,20366,71531,85449,20408,105857,1,3,53355,0,4,53495,34,1,35,34258,12,34270,31732,0,105857,4027,26.299999237060547,34270,105857,47.900001525878906
