Year,ID,SchName,SchType,FoundType,Region,UnivScale,BookRes_TitleCount_DomBook,BookRes_TitleCount_ForBook,BookRes_TitleCount_TotalSum,BookRes_BookCount_DomBook,BookRes_BookCount_ForBook,BookRes_BookCount_TotalSum,ERes_EJournal_Package,ERes_WebDB_Package,ERes_SubEBook_TitleCount,ERes_ELearnVideo_Package,ERes_Total_Package,ERes_Total_TitleCount,Serials_Domestic,Serials_Foreign,Serials_Total,AnnualHoldChg_AnnualBookInc_Buy,AnnualHoldChg_AnnualBookInc_Donation,AnnualHoldChg_AnnualBookInc_Total,AnnualHoldChg_AnnualTitleInc,AnnualHoldChg_AnnualBookRm,BooksPerSt_BooksOwned,BooksPerSt_StCountPrev,BooksPerSt_BooksPerSt,HoldGrowRate_AnnualHoldBookCount,HoldGrowRate_BooksOwned,HoldGrowRate_HoldGrowRate
2022,32,경북과학대학교,전문대학,사립,경북,C그룹,56795,11967,68762,78519,13744,92263,2,0,3925,0,2,3925,67,0,67,106,605,711,485,0,92263,1845,50.0,711,92263,0.800000011920929
2022,33,경북대학교,대학,국립,대구,A그룹,866000,706305,1572305,2272508,1155065,3427573,51,57,554416,3,111,554416,830,572,1402,38195,7183,45378,23325,24830,3427573,27380,125.1999969482422,45378,3427573,1.2999999523162842
2022,34,경북보건대학교,전문대학,사립,경북,C그룹,26370,631,27001,41182,668,41850,2,2,9250,0,4,9250,2,0,2,1712,0,1712,1493,7368,41850,1233,33.900001525878906,1712,41850,4.300000190734863
2022,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,36,경북전문대학교,전문대학,사립,경북,B그룹,96261,10099,106360,128207,12567,140774,1,1,10429,0,2,10429,129,2,131,2761,474,3235,3192,0,140774,2736,51.5,3235,140774,2.400000095367432
2022,37,경상국립대학교,대학,국립,경남,A그룹,847527,297160,1144687,1164039,450657,1614696,44,46,307938,5,95,307938,319,176,495,395342,6392,401734,371802,97578,1614696,20962,77.0,401734,1614696,33.099998474121094
2022,38,경성대학교,대학,사립,부산,A그룹,452514,169659,622173,815592,221957,1037549,21,27,121728,3,51,121728,160,3,163,15381,4735,20116,15232,51,1037549,12972,80.0,20116,1037549,2.0
2022,39,경안대학원대학교,대학원대학,사립,경북,-,7664,0,7664,8524,0,8524,0,0,0,0,0,0,2,0,2,4,82,86,84,360,8524,58,147.0,86,8524,1.0
2022,40,경운대학교,대학,사립,경북,C그룹,198764,27014,225778,407419,35059,442478,13,9,120861,0,22,120861,253,39,292,6872,3487,10359,4048,3,442478,4518,97.9000015258789,10359,442478,2.400000095367432
2022,41,경인교육대학교,대학,국립,인천,C그룹,212284,29590,241874,562852,37180,600032,18,15,85582,2,35,85582,134,0,134,14919,1069,15988,9878,19995,600032,3973,151.0,15988,600032,2.700000047683716
2022,42,경인여자대학교,전문대학,사립,인천,B그룹,111307,34081,145388,215333,34095,249428,15,11,103369,0,26,103369,85,6,91,5078,436,5514,4452,0,249428,4585,54.400001525878906,5514,249428,2.299999952316284
2022,43,경일대학교,대학,사립,경북,B그룹,190003,130755,320758,387779,139839,527618,19,13,149220,6,38,149220,348,2,350,10671,560,11231,4822,34354,527618,7141,73.9000015258789,11231,527618,2.200000047683716
2022,44,경찰대학,기타,기타,충남,-,171352,52023,223375,171330,52021,223351,0,11,0,0,11,0,143,55,198,14746,763,15509,15509,0,223351,0,0.0,15509,223351,7.5
2022,45,경희대학교,대학,사립,서울,A그룹,967591,404852,1372443,2000747,631563,2632310,68,45,453983,6,119,453983,39,38,77,26765,4814,31579,28205,6143,2632310,34454,76.4000015258789,31579,2632310,1.2000000476837158
2022,46,계명대학교,대학,사립,대구,A그룹,544375,355930,900305,1627047,485545,2112592,44,42,425880,3,89,425880,1401,248,1649,23688,4376,28064,22343,75262,2112592,23449,90.0999984741211,28064,2112592,1.2999999523162842
2022,47,계명문화대학교,전문대학,사립,대구,A그룹,160094,8118,168212,213731,11341,225072,13,11,70639,1,25,70639,31,0,31,5018,97,5115,5026,4072,225072,4708,47.79999923706055,5115,225072,2.299999952316284
2022,48,계약신학대학원대학교,대학원대학,사립,경기,-,14791,4246,19037,20408,4387,24795,0,0,691,0,0,691,0,0,0,0,0,0,0,0,24795,9,2755.0,0,24795,0.0
2022,49,계원예술대학교,전문대학,사립,경기,B그룹,81379,36505,117884,92025,37325,129350,5,3,6920,3,11,6920,10,40,50,314,47,361,361,0,129350,2832,45.70000076293945,361,129350,0.3000000119209289
2022,50,고려대학교,대학,사립,서울,A그룹,671164,1107752,1778916,1523649,1681306,3204955,126,106,1066326,8,240,1066326,873,1208,2081,37021,12635,49656,38262,29185,3204955,29572,108.4000015258789,49656,3204955,1.600000023841858
2022,51,고려대학교(세종),대학,사립,세종,B그룹,290727,68188,358915,447937,103233,551170,4,10,13139,3,17,13139,106,18,124,5034,1328,6362,5176,9221,551170,7481,73.69999694824219,6362,551170,1.2000000476837158
2022,52,고려사이버대학교,대학,사립,서울,A그룹,5594,38415,44009,12862,38415,51277,0,1,44009,0,1,44009,0,0,0,579,0,579,396,0,51277,10457,4.900000095367432,579,51277,1.100000023841858
2022,53,고신대학교,대학,사립,부산,C그룹,237331,134707,372038,314531,166850,481381,10,7,7265,2,19,7265,373,59,432,5274,2677,7951,6495,0,481381,4686,102.6999969482422,7951,481381,1.7000000476837158
2022,54,공군사관학교,기타,기타,충북,-,210479,38843,249322,215958,38843,254801,5,2,4933,0,7,4933,150,11,161,4873,3103,7976,6870,261,254801,0,0.0,7976,254801,3.200000047683716
2022,55,공주교육대학교,대학,국립,충남,C그룹,124129,6630,130759,316811,22306,339117,16,13,63871,0,29,63871,90,0,90,7426,257,7683,3738,0,339117,2003,169.3000030517578,7683,339117,2.299999952316284
2022,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,8083,95166,103249,15976,95166,111142,1,5,70199,0,6,70199,0,0,0,16795,0,16795,16752,445,111142,1282,86.69999694824219,16795,111142,17.799999237060547
2022,57,광신대학교,대학,사립,광주,C그룹,62067,58171,120238,87100,64681,151781,5,6,15083,0,11,15083,158,13,171,1962,383,2345,1823,0,151781,977,155.39999389648438,2345,151781,1.600000023841858
2022,58,광양보건대학교,전문대학,사립,전남,C그룹,23443,476,23919,39907,542,40449,0,0,451,0,0,451,48,0,48,0,20,20,20,0,40449,371,109.0,20,40449,0.0
2022,59,광운대학교,대학,사립,서울,B그룹,331059,93356,424415,643431,145619,789050,25,22,124001,1,48,124001,162,23,185,18820,3102,21922,16294,337,789050,9900,79.69999694824219,21922,789050,2.900000095367432
2022,60,광주가톨릭대학교,대학,사립,전남,C그룹,93045,59244,152289,134768,74288,209056,14,11,94651,5,30,94651,47,65,112,1103,607,1710,1595,0,209056,109,1917.9000244140625,1710,209056,0.800000011920929
2022,61,광주과학기술원,대학,국립,광주,C그룹,68732,90515,159247,85914,108894,194808,17,12,62029,1,30,62029,0,0,0,1704,1074,2778,721,806,194808,2003,97.3000030517578,2778,194808,1.399999976158142
2022,62,광주교육대학교,대학,국립,광주,C그룹,191419,29567,220986,289483,35700,325183,0,26,14364,0,26,14364,40,9,49,5971,1265,7236,6587,0,325183,1842,176.5,7236,325183,2.299999952316284
2022,63,광주대학교,대학,사립,광주,B그룹,302661,61389,364050,531964,106755,638719,13,12,115835,3,28,115835,220,21,241,24968,2515,27483,15087,0,638719,7146,89.4000015258789,27483,638719,4.5
