YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_18A,BG3Y_MCS_19B,BG3Y_MCS_20C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2020,51,고려대학교(세종),대학,사립,세종,B그룹,281900,67197,349097,452902,102084,554986,6,9,11513,2,17,11513,115,17,132,4147,2901,7048,6284,6947,554986,7135,77.80000305175781,7048,554986,1.2999999523162842,10290.2998046875,1646,44,10290.2998046875,9305,1.100000023841858,79147491096,95259320,10823838,4024060,0,6971701,0,0,117078919,62548129000,96200000,9885700,4000000,0,8700000,0,0,118785700,117078919,4646,25199.9,117078919,79147491096,.1,178386855,133024123,117078919,-18.7,7015,6846,169,252,139,152,29,7587,7141,6922,219,255,133,151,0,7680,0,154235,1911,32,86,89,18,2136,14706,327,1381,1444,287,18145,0,0,230,380,215,4,5,37,0,37,969,15033,7015,2.0999999046325684,154235,7015,22,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,77,11,2,0,1,0,3009,.8999999761581421,2,1,3009,1,77,2,1,25.700000762939453
2020,52,고려사이버대학교,대학,사립,서울,A그룹,4863,38358,43221,11780,38358,50138,0,1,43221,0,1,43221,0,0,0,624,0,624,368,0,50138,9045,5.5,624,50138,1.2999999523162842,13310.2001953125,2485,126,13310.2001953125,18122,.699999988079071,78357370640,179252220,12644900,3929310,118789750,38417147,0,59694000,412727327,78727924270,182000000,13000000,4000000,125000000,42000000,0,38000000,404000000,412727327,7015,58835,412727327,78357370640,.5,400540215,402972521,412727327,1.5,0,0,0,0,0,0,600,600,0,0,0,0,0,0,600,600,0,27641,247,30,47,169,309,802,2872,1575,2633,2981,1418,11479,0,0,46,51,1,49,6,86,7,2,77,4447,0,0,27641,0,0,13,11,1,2,27,0,0,0,0,0,0,13,2,3,18,0,0,0,0,0,13,24,3,5,45,0,0,0,0,0,13,24,3,5,45,1704.300048828125,629,25,2,15,3,29580,1.399999976158142,25,15,29580,1.399999976158142,1704.300048828125,27,17,38.70000076293945
2020,53,고신대학교,대학,사립,부산,C그룹,218514,137427,355941,291667,167434,459101,10,8,10122,0,18,10122,482,96,578,5546,1730,7276,7092,1781,459101,4802,95.5999984741211,7276,459101,1.600000023841858,9072,243,30,9072,0,0,0,120268833,40543463,4225085,0,43735000,0,0,208772381,0,130000000,11880000,5000000,0,50500000,0,0,197380000,208772381,0,0,208772381,0,0,211865060,211865060,208772381,-.7,34016,26430,7586,1434,2007,950,23963,62370,33373,25875,7498,1407,2210,1098,22796,60884,0,1804916,15700,4185,1151,700,2906,24642,131470,55255,19714,11976,89131,307546,0,0,44652,22101,2316,862,2229,870,751,306,7432,186725,34016,5.5,1804916,34016,53.09999847412109,0,2,0,0,2,0,0,0,1,1,0,5,0,2,7,0,0,0,0,0,0,7,0,2,9,0,0,0,1,1,0,7,0,3,10,283.5,36,2,1,5,2,7096,1.100000023841858,2,5,7096,1,283.5,3,6,31.5
2020,54,공군사관학교,기타,기타,충북,-,200274,38189,238463,200274,38189,238463,4,2,3769,0,6,3769,173,13,186,4737,1628,6365,6365,83,238463,0,0,6365,238463,2.700000047683716,103,31,5,103,270,.4000000059604645,468612879042,476302247,50192471,8176185,3880448300,899904606,0,145496072,5460519881,485816571000,559592000,60000000,4500000,3940336000,833000000,0,174049000,5571477000,5460519881,34016,160528,5460519881,468612879042,1.2,5249671357,5256141968,5460519881,2,23391,21195,2196,915,851,536,17788,43481,22930,20692,2238,902,982,505,15250,40569,0,1105672,13385,1420,1111,753,2798,19467,87322,20308,18048,10785,54803,191266,0,0,12721,24916,90,326,1095,1811,746,158,3630,107630,23391,4.599999904632568,1105672,23391,47.29999923706055,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,4.5,1,0,2,0,0,9468,.2000000029802322,0,0,9468,0,4.5,2,0,2.299999952316284
2020,55,공주교육대학교,대학,국립,충남,C그룹,122460,6389,128849,303293,21328,324621,8,9,9531,0,17,9531,142,0,142,6032,0,6032,2934,0,324621,1957,165.89999389648438,6032,324621,1.899999976158142,703.0999755859375,212,25,703.0999755859375,3857,.2000000029802322,323567146893,590078520,184365920,15596750,1108855020,791467687,0,196073930,2886437827,307785509000,572500000,150000000,15000000,1245000000,742000000,0,175000000,2899500000,2886437827,23391,123399.5,2886437827,323567146893,.9,3034636049,2959036625,2886437827,-2.5,5255,5255,0,126,554,88,1499,7522,5008,5008,0,122,547,92,1713,7482,0,96585,1827,0,164,73,62,2126,24013,0,1743,1457,1587,28800,0,0,62,51,33,0,0,3,0,7,559,24013,5255,4.599999904632568,96585,5255,18.39999961853028,0,1,2,1,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,2,1,6,0,0,0,0,0,0,3,2,1,6,237.5,48,3,1,2,0,4788,1.100000023841858,3,2,4788,1,237.5,5,1,39.59999847412109
2020,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,7077,29269,36346,14754,74344,89098,2,8,440801,0,10,440801,0,0,0,7520,0,7520,7447,0,89098,1308,68.0999984741211,7520,89098,9.199999809265137,0,0,0,0,0,0,56937861262,69981598,590400,9842076,13611000,15563600,0,5000000,114588674,57690000000,73000000,1000000,9000000,13000000,14000000,0,5000000,115000000,114588674,5255,21805.6,114588674,56937861262,.2,112837792,113095119,114588674,.8,31,0,31,6,3,4,19,63,37,0,37,5,3,3,1,49,0,63,0,39,9,2,1,51,0,1230,65,26,1,1322,0,0,30,132,0,0,0,0,0,2,11,1230,31,39.70000076293945,63,31,2,2,6,0,1,9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,6,0,3,11,0,0,0,0,0,2,6,0,3,11,268.5,17,8,1,0,2,0,0,8,0,0,0,268.5,9,2,24.39999961853028
2020,57,광신대학교,대학,사립,광주,C그룹,57632,58591,116223,87620,65544,153164,3,5,13312,0,8,13312,158,17,175,2113,4076,6189,5589,310,153164,972,157.60000610351562,6189,153164,4.199999809265137,583,120,0,583,84,6.900000095367432,744884609,7162350,514000,0,0,0,0,0,7676350,826786000,6930000,430000,0,0,0,0,0,7360000,7676350,31,247624.2,7676350,744884609,1,5247560,9801975,7676350,32.6,2892,2892,0,88,206,70,1,3257,3009,3009,0,84,195,75,0,3363,0,33291,1250,0,42,42,0,1334,10170,0,552,517,9604,20843,0,0,91,156,13,0,0,1,1,4,246,10170,2892,3.5,33291,2892,11.5,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,1,3,0,0,4,260.5,46,4,0,0,0,1921,2.0999999046325684,4,0,1921,2.0999999046325684,260.5,4,0,65.0999984741211
2020,58,광양보건대학교,전문대학,사립,전남,C그룹,23363,476,23839,39827,542,40369,0,2,451,1,3,451,55,0,55,0,0,0,0,0,40369,996,40.5,0,40369,0,0,0,4,0,3119,0,33813226215,62696100,14873887,0,11818000,8693697,0,26254450,124336134,33576908256,43000000,18500000,1500000,10000000,8500000,0,15000000,96500000,124336134,2892,42993.1,124336134,33813226215,.4,149940053,139583765,124336134,-8.9,29757,21165,8592,1442,2834,1030,2819,37882,29580,20822,8758,1477,2797,1135,2861,37850,0,5817936,14503,4532,1122,857,325,21339,176414,116318,22327,14444,45667,375170,0,0,19914,29161,5210,3979,4027,4768,13682,408,3839,292732,29757,9.800000190734863,5817936,29757,195.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1304,.6000000238418579,0,0,1304,0,0,1,0,0
2020,59,광운대학교,대학,사립,서울,B그룹,312884,79789,392673,614660,131656,746316,14,18,29084,1,33,29084,175,24,199,16404,3417,19821,12424,93,746316,9561,78.0999984741211,19821,746316,2.700000047683716,221.3999938964844,42,9,221.3999938964844,46,4.800000190734863,753651781333,864944173,519292393,17333830,4544872560,1134237173,0,293695830,7374375959,724535442000,891600000,525690000,17000000,4637485000,1105725000,0,321908000,7499408000,7374375959,29757,247819.9,7374375959,753651781333,1,6802538133,7135558329,7374375959,4.1,7135,6443,692,263,325,202,371,8296,7096,6387,709,260,445,212,371,8384,0,281046,3291,710,334,268,1051,5654,28136,6354,2820,4528,6472,48310,0,0,3774,604,0,65,137,65,104,4,49,34490,7135,4.800000190734863,281046,7135,39.400001525878906,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,1,3,126.5,18,2,0,0,1,986,2.5,2,0,986,2,126.5,2,1,42.20000076293945
2020,60,광주가톨릭대학교,대학,사립,전남,C그룹,90007,58606,148613,130971,73308,204279,5,6,42376,5,16,42376,46,67,113,998,599,1597,1466,0,204279,107,1909.0999755859373,1597,204279,.800000011920929,45,1,1,45,0,0,0,75667443,17026642,1143120,222376566,227452234,0,51199024,594865029,0,76600000,19894250,1000000,247802750,241104000,0,28200000,614601000,594865029,7135,83372.8,594865029,0,0,655636799,593339183,594865029,-4.6,9045,8967,78,44,126,67,0,9282,9468,9385,83,44,207,67,0,9786,0,0,1228,20,12,10,532,1802,8315,73,57,36,0,8481,0,0,0,0,0,0,0,0,0,0,0,8388,9045,.8999999761581421,0,9045,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,16,2,1,0,0,0,648,1.5,1,0,648,1.5,16,1,0,16
