YR,RK,SNM,SCR
2021,1,서울대학교,86.5
2021,2,고려대학교,79.6
2021,3,연세대학교,79.4
2021,4,성균관대학교,78.8
2021,5,한국과학기술원,78.2
2021,6,한양대학교,76.5
2021,7,포항공과대학교,75.7
2021,8,경희대학교,75.4
2021,9,경북대학교,75.3
2021,10,울산대학교,75.0
2021,11,전남대학교,74.9
2021,12,부산대학교,74.7
2021,13,울산과학기술원,73.8
2021,14,이화여자대학교,73.6
2021,15,전북대학교,73.0
2021,16,건국대학교,72.9
2021,17,가톨릭대학교,72.8
2021,18,중앙대학교,72.7
2021,19,충남대학교,72.4
2021,20,인하대학교,72.3
2021,21,강원대학교,72.1
2021,22,아주대학교,72.0
2021,23,세종대학교,71.8
2021,24,영남대학교,71.8
2021,25,광주과학기술원,71.7
2021,26,경상국립대학교,71.5
2021,27,동국대학교,71.0
2021,28,서울시립대학교,70.9
2021,29,가천대학교,70.9
2021,30,인제대학교,70.9
2021,31,과학기술연합대학원대학교,70.7
2021,32,충북대학교,70.6
2021,33,한림대학교,70.3
2021,34,서강대학교,70.1
2021,35,단국대학교,69.8
2021,36,순천향대학교,69.5
2021,37,부경대학교,69.4
2021,38,동아대학교,69.0
2021,39,대구경북과학기술원,68.9
2021,40,계명대학교,68.7
2021,41,조선대학교,68.6
2021,42,숭실대학교,68.5
2021,43,제주대학교,68.2
2021,44,차의과학대학교,68.1
2021,45,국민대학교,67.8
2021,46,명지대학교,67.8
2021,47,인천대학교,67.7
2021,48,서울과학기술대학교,67.6
2021,49,공주대학교,67.3
2021,50,광운대학교,67.3
2021,51,원광대학교,67.2
2021,52,국립강릉원주대학교,67.2
2021,53,홍익대학교,66.8
2021,54,숙명여자대학교,66.8
2021,55,을지대학교,66.7
2021,56,한국외국어대학교,66.7
2021,57,대구가톨릭대학교,66.6
2021,58,한밭대학교,66.2
2021,59,순천대학교,66.0
2021,60,대구대학교,66.0
