YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_PKG,ER_ELV_PKG,ER_TTL_PKG,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_22A,BG3Y_MCS_23B,BG3Y_MCS_24C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2024,48,계약신학대학원대학교,대학원대학,사립,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,56,18,210,60,3.5,137407780614,338229524,0,0,703257201,208202593,0,10000000,1259689318,140485887000,324600000,4000000,0,144060000,98940000,0,44000000,615600000,1259689318,12478,100952.8,1259689318,137407780614,.9,835009789,144017789,1259689318,346,12478,11870,608,403,583,226,4239,17929,12866,12210,656,383,612,236,4317,18414,0,232491,3836,167,259,122,148,4532,35802,1959,4901,2155,2719,47536,0,0,0,0,0,105,456,204,107,182,2499,1,2148,37761,12478,3,232491,12478,18.600000381469727,1,2,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,7,0,0,8,0,0,0,0,0,1,7,0,0,8,212.5,52,808,163,3,0,5,0,7301,1,3,5,7301,1.100000023841858,1020.5,3,6,113.4000015258789
2024,49,계원예술대학교,전문대학,사립,경기,B그룹,83968,36756,120724,94673,37575,132248,3,0,0,3,6,5,6,11,1284,31,1315,1313,0,132248,2790,47.400001525878906,1315,132248,1,14914.599609375,2070,126,14914.599609375,8906,1.7000000476837158,396060405,216080,0,0,0,0,0,0,216080,503760860,1000000,0,0,0,0,0,0,1000000,216080,48,4501.7,216080,396060405,.1,169700,137400,216080,19.1,48,0,48,5,11,3,48,115,60,0,60,6,15,2,48,131,0,6,0,7,2,1,0,10,0,44,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,44,48,.8999999761581421,6,48,.1000000014901161,0,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,4,0,1,5,0,0,2,1,4,1,0,0,0,0,4,0,0,0,2,5,0,.4000000059604645
2024,50,고려대학교,대학,사립,서울,A그룹,712649,1142590,1855239,1584155,1727722,3311877,68,104,15,8,195,564,1106,1670,42485,9591,52076,43836,2045,3311877,30320,109.1999969482422,52076,3311877,1.600000023841858,15319,1919,180,15319,8504,1.7999999523162842,60461541242,86514380,21026290,2918000,58490000,18262694,0,0,187211364,68344287000,154800000,11200000,2000000,75000000,64000000,0,0,307000000,187211364,4569,40974.3,187211364,60461541242,.3,247265061,235092180,187211364,-12.6,4569,4390,179,176,173,154,17,5089,4980,4777,203,168,184,163,20,5515,0,58570,814,13,67,39,8,941,4532,151,1102,434,155,6374,0,0,0,0,0,2,136,0,14,6,68,4,476,4683,4569,1,58570,4569,12.800000190734863,11,6,1,0,18,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,11,31,1,0,43,0,0,0,0,0,11,31,1,0,43,1105,312,327.5,82,18,0,25,0,34396,1.100000023841858,18,25,34396,1.2999999523162842,1432.5,19,21,35.79999923706055
2024,51,고려대학교(세종),대학,사립,세종,B그룹,238117,52808,290925,351117,83991,435108,7,10,0,4,21,113,10,123,2574,832,3406,3102,10301,435108,7501,58,3406,435108,.800000011920929,7741.39990234375,914,67,7741.39990234375,7184,1.100000023841858,54206958053,239920087,0,0,101757240,15857320,0,11850000,369384647,51459117000,200000000,0,0,107614538,11093810,0,11850000,330558348,369384647,3727,99110.4,369384647,54206958053,.7,376563980,369701100,369384647,-1,3727,2489,1238,131,308,177,399,4742,3670,2417,1253,133,344,177,398,4722,0,435164,1845,252,228,94,647,3066,22218,2172,2693,1530,2881,31494,0,0,0,0,0,41,139,39,12,54,277,1,213,24390,3727,6.5,435164,3727,116.8000030517578,8,7,2,0,17,0,0,0,0,0,2,5,0,3,10,0,0,0,0,0,10,12,2,3,27,0,0,0,0,0,10,12,2,3,27,1017.5,508,2282,594,17,0,7,3,22450,1.100000023841858,17,7,22450,1.100000023841858,3299.5,18,10,117.8000030517578
2024,52,고려사이버대학교,대학,사립,서울,A그룹,6289,38415,44704,13960,38415,52375,0,1,0,0,1,0,0,0,534,0,534,265,0,52375,10119,5.199999809265137,534,52375,1,9990.900390625,1333,45,9990.900390625,8872,1.100000023841858,45193160011,82330590,4804290,0,12539000,4916571,0,0,104590451,50502940000,84500000,4500000,0,12900000,5300000,0,0,107200000,104590451,3859,27103,104590451,45193160011,.2,127377761,114463714,104590451,-9.4,3859,3859,0,108,190,69,479,4705,3544,3544,0,101,177,69,543,4434,0,231291,1050,0,58,64,12,1184,16657,0,1205,1369,104,19335,0,0,0,0,0,0,0,34,2,0,0,1,445,16657,3859,4.300000190734863,231291,3859,59.900001525878906,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,50,11,27.5,7,1,0,2,0,4514,.6000000238418579,1,2,4514,.699999988079071,77.5,2,1,25.799999237060547
2024,53,고신대학교,대학,사립,부산,C그룹,239796,135426,375222,320132,138945,459077,22,22,5,2,51,226,14,240,2717,1607,4324,4086,40,459077,4035,113.8000030517578,4324,459077,1,12646,1841,98,12646,18057,.699999988079071,98284365876,140781880,12095280,0,113671955,53736165,11286000,60396850,391968130,98960527747,143000000,12100000,0,114100000,51800000,11000000,60000000,392000000,391968130,7116,55082.6,391968130,98284365876,.4,398996191,391993556,391968130,-.9,7116,6801,315,262,98,223,40,7739,7301,6864,437,252,121,219,47,7940,0,260619,1897,20,137,81,15,2150,13274,345,1623,1084,90,16416,0,0,0,0,0,4,29,16,14,54,1320,14,1367,13619,7116,1.899999976158142,260619,7116,36.59999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,54,공군사관학교,기타,기타,충북,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9072,190,38,9072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208772381,191580000,0,-54.1,0,0,0,0,0,0,1062,1062,0,0,0,0,0,0,811,811,0,50732,159,66,39,181,174,619,1946,971,888,3055,1592,8452,0,0,0,0,0,46,3,54,2,2,100,0,0,2917,0,0,50732,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,75,17,14,3,2,0,1,0,2744,1,2,1,2744,1.100000023841858,89,2,1,29.700000762939453
2024,55,공주교육대학교,대학,국립,충남,C그룹,129882,7009,136891,329427,23534,352961,16,19,4,0,39,86,0,86,7009,278,7287,3171,0,352961,1916,184.1999969482422,7287,352961,2.0999999046325684,103,31,5,103,242,.4000000059604645,497111263943,788453700,14953999,920380,5209213894,1118521502,272885326,38051340,7443000141,536438817000,676500000,13000000,171600000,3299100000,757800000,270000000,66000000,5254000000,7443000141,34535,215520.5,7443000141,497111263943,1.5,6412394073,6581249383,7443000141,7.9,34535,25960,8575,1396,2412,1119,24076,63538,34396,25575,8821,1378,2520,1182,28487,67963,0,1722037,10385,2486,990,852,1812,16525,97804,30322,17668,9999,82950,238743,0,0,0,0,0,507,1883,597,1065,355,6011,73,1700,128126,34535,3.700000047683716,1722037,34535,49.900001525878906,12,8,1,2,23,0,0,0,0,0,0,15,2,2,19,0,0,0,0,0,12,23,3,4,42,0,0,0,0,0,12,23,3,4,42,914,215,546,96,21,2,17,2,31130,1.2000000476837158,21,17,31130,1.2000000476837158,1460,23,19,34.79999923706055
2024,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,5579,122943,128522,17394,122943,140337,2,6,0,0,8,0,0,0,13376,0,13376,13313,0,140337,1352,103.8000030517578,13376,140337,10.5,703.0999755859375,212,25,703.0999755859375,2367,.3000000119209289,319579327296,774355919,9730120,42992720,1035694104,708680907,39974841,45500000,2656928611,328704808000,442000000,12000000,10000000,1100000000,681500000,30000000,368000000,2643500000,2656928611,22747,116803.5,2656928611,319579327296,.8,2386327695,2536641374,2656928611,5.5,22747,20789,1958,844,958,517,1794,26860,22450,20544,1906,856,962,525,1743,26536,0,722184,9307,1009,685,615,1799,13415,81851,14416,15606,8183,20223,140279,0,0,0,0,0,208,1631,567,773,110,4519,2,703,96267,22747,4.199999809265137,722184,22747,31.700000762939453,0,2,0,0,2,0,0,0,0,0,0,7,0,2,9,0,0,0,0,0,0,9,0,2,11,0,0,0,0,0,0,9,0,2,11,185,14,0,0,2,0,7,2,7322,1.2000000476837158,2,7,7322,1.2000000476837158,185,2,9,16.799999237060547
2024,57,광신대학교,대학,사립,광주,C그룹,67722,58696,126418,95519,65190,160709,9,13,4,0,26,124,13,137,2552,74,2626,1864,0,160709,948,169.5,2626,160709,1.7000000476837158,0,0,0,0,0,0,50365876722,54670081,527400,2090944,18778000,1419000,4900000,3500000,85885425,49700000000,45000000,1000000,3000000,12000000,2000000,4000000,3000000,70000000,85885425,4505,19064.5,85885425,50365876722,.2,103111119,81062611,85885425,-7.7,4505,4505,0,120,549,92,1567,6833,4514,4514,0,116,598,95,1598,6921,0,54283,1241,0,125,55,21,1442,19525,0,1515,1780,269,23089,0,0,0,0,0,1,1,0,0,30,1137,0,0,19525,4505,4.300000190734863,54283,4505,12,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,28,4,0,0,0,2,0,0,10175,.2000000029802322,0,0,10175,0,28,2,0,14
