YR,RK,SNM,SCR
2014,1,서울대학교,66.06
2014,2,연세대학교,50.95
2014,3,한국과학기술원,49.88
2014,4,고려대학교,49.84
2014,5,한양대학교,48.63
2014,6,포항공과대학교,48.35
2014,7,성균관대학교,47.79
2014,8,경북대학교,46.23
2014,9,광주과학기술원,46.02
2014,10,이화여자대학교,45.67
2014,11,경희대학교,45.66
2014,12,전남대학교,45.55
2014,13,전북대학교,45.51
2014,14,서강대학교,45.43
2014,15,경상국립대학교,45.43
2014,16,부산대학교,45.38
2014,17,아주대학교,45.35
2014,18,울산대학교,45.14
2014,19,동국대학교,45.07
2014,20,건국대학교,45.01
2014,21,단국대학교,44.82
2014,22,인하대학교,44.78
2014,23,충남대학교,44.77
2014,24,가톨릭대학교,44.74
2014,25,인제대학교,44.56
2014,26,영남대학교,44.55
2014,27,강원대학교,44.49
2014,28,충북대학교,44.47
2014,29,세종대학교,44.47
2014,30,중앙대학교,44.47
2014,31,조선대학교,44.46
2014,32,부경대학교,44.39
2014,33,한림대학교,44.36
2014,34,서울시립대학교,44.3
